Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Vous êtes Elon Musk: Un livre dont vous êtes le héros,14.98,Essayez de prendre les mêmes décisions que Elon Musk.Serez-vous capable de créer Tesla? SpaceX? Ou mourrez-vous dans l&#39une des aventures de la vie de Musk? Ou serez-vous transporté dans un univers parallèle en fonction de vos décisions?Ce livre vous en donnera la réponse.,978-1698872889,https://m.media-amazon.com/images/I/613Tskf2kyL._SY522_.jpg,Independently published (10 octobre 2019),Steve Rioux,Biographies
Paupières ouvertes,17.93,"Autobiographie de Georges Lemaire écrite peu avant son décès.
La vie d&#39un homme tombé amoureux de la Thaïlande, il y raconte ses aventures et péripéties.. mais aussi son combat contre sa maladie : l&#39emphysème.",979-8324819514,https://m.media-amazon.com/images/I/71dGqXhIhIL._SY522_.jpg,Independently published (2 juin 2024),Georges Lemaire,Biographies
Le nom sur le mur,19.8,"Je ne suis pas l&#39ami d&#39André Chaix, et aurais-je d&#39ailleurs su l&#39être, moi que presque rien ne relie à lui ? Juste un nom sur le mur. Chaix était un résistant, un maquisard, un jeune homme à la vie brève comme il y en eut beaucoup. Je ne savais rien de lui. J&#39ai posé des questions, j&#39ai recueilli des fragments d&#39une mémoire collective, j&#39ai un peu appris qui il était. Dans cette enquête, beaucoup m&#39a été donné par chance, presque par miracle, et j&#39ai vite su que j&#39aimerais raconter André Chaix. Sans doute, toutes les vies sont romanesques. Certaines plus que d&#39autres. Quatre-vingts années ont passé depuis sa mort. Mais à regarder le monde tel qu&#39il va, je ne doute pas qu&#39il faille toujours parler de l&#39Occupation, de la collaboration et du fascisme, du rejet de l&#39autre jusqu&#39à sa destruction. Ce livre donne la parole aux idéaux pour lesquels il est mort et questionne notre nature profonde, ce désir d&#39appartenir à plus grand que nous, qui conduit au meilleur et au pire. H. L. T.",978-2073061539,https://m.media-amazon.com/images/I/71Xrq-ZOOxL._SY522_.jpg,GALLIMARD; Illustrated édition (18 avril 2024),Hervé Le Tellier,Biographies
Un enfant sans ombre,6.57,"Shaul Harel, alias Charlie Hilsberg, a perdu son ombre à l’âge de cinq ans, à la fin de 1942, lorsqu&#39il est séparé de sa famille, de son entourage et de sa langue maternelle.

Grâce au courage de la résistance belge, il échappe aux fours crématoires car aucun enfant de moins de treize ans envoyé à Auschwitz à partir du camp de concentration de Malines en Belgique n’en est revenu. Le petit Charlie passe de cachette en cachette, solitaire, sans pouvoir révéler sa véritable identité. Il apprend à se taire, à pleurer sans larmes et surtout à survivre. À la fin de la guerre, il se retrouve sans parents, sans son frère et sa sœur, et doit continuer à lutter pour sa survie.

Ce livre décrit son parcours dans les orphelinats de Belgique, son émigration en Israël, son séjour dans les maisons d’enfants de l’Aliyat Hanoar, son service militaire -au cours duquel il est grièvement blessé- et comment il a su se créer une nouvelle ombre et une nouvelle vie. En reconnaissance à celles et ceux qui lui ont sauvé la vie, il entreprend de consacrer la sienne à soigner les enfants. Il étudie la médecine à l’Université Hébraïque de Jérusalem et aux États-Unis, puis s’adonne à la création et à la consolidation d’une nouvelle discipline en Israël: la neuropédiatrie et le développement de l’enfant.

Le parcours de Shaul Harel est une saga belgo-israélienne recouvrant la période de la Shoah et celle des premières années de l’existence de l’État d’Israël. C&#39est l’histoire d&#39un enfant qui a su surmonter un traumatisme grave et réaliser, contre toute attente, une carrière professionnelle et personnelle hors du commun.

C’est un message universel de survie, d’optimisme et d’espoir.",979-8547546846,https://m.media-amazon.com/images/I/71Z1h-GFbWL._SY522_.jpg,Independently published (1 août 2021),Prof. Shaul Harel,Biographies
... mais la vie continue,8.59,"C&#39est l&#39histoire d&#39un homme qui vient d&#39avoir quatre-vingt-deux ans. Déjà ? Jadis, il était toujours pressé, il régnait sur le monde de la culture et il se sentait invincible. Aujourd&#39hui, à la retraite, c&#39est plus calme : les défaillances du corps, les anxiétés de l&#39âme, la peur de perdre ses vieux amis qui forment une bande de joyeux octogénaires… Une autre vie commence. Avec le plaisir de pouvoir enfin prendre son temps – et aussi de le perdre. À travers ce narrateur qui lui ressemble comme deux gouttes de vieux bourgogne, Bernard Pivot raconte le grand âge à sa façon. Curiosité, lucidité, humour, c&#39est bien lui. Et c&#39est bien sa manière de proposer une petite leçon de gouvernance individuelle où chacun trouvera quelques recettes pour vieillir heureux.",978-2253107378,https://m.media-amazon.com/images/I/712G4TWkQNL._SY522_.jpg,Le Livre de Poche (6 avril 2022),Bernard Pivot,Biographies
Mes guerres: Confidences d&#39une grand reporter,23.0,"Voilà une femme que l&#39on a regardée derrière nos écrans de télévision en nous disant : elle a du cran. Son visage, sa voix si familière, ses reportages en zone de guerre (Afghanistan, Golfe, Tchétchénie, Rwanda...), son style bien à elle ont marqué nos esprits. Aujourd&#39hui, elle lève le voile pour nous faire découvrir les coulisses d&#39un monde aussi passionnant qu&#39impitoyable dans lequel elle a su se frayer un chemin. L&#39amour du métier de grand reporter chevillé au corps, elle a dû endurer la misogynie et les stéréotypes dont on l&#39affublait, mais elle a tenu bon au nom d&#39un idéal : porter la parole des femmes et des hommes victimes de l&#39horreur de la guerre. Ce récit n&#39élude pas non plus ses guerres intimes : endométriose, cancer, harcèlement. Celle qui n&#39a jamais pu être mère a aussi soulevé des montagnes pour construire, il y a vingt ans, un hôpital pour enfants à Kaboul, dans un Afghanistan occupé par les talibans. Il est toujours debout. C&#39est ce parcours d&#39aventurière moderne que res-titue pour nous Marine Jacquemin. Ce livre est à la fois un témoignage humain bouleversant et l&#39introspection d&#39une femme dans un monde d&#39hommes, décidée à s&#39accomplir en tant que journaliste, amie, amoureuse...",979-1032930267,https://m.media-amazon.com/images/I/51Xlf1zFFpL._SY522_.jpg,L&#39OBSERVATOIRE; Illustrated édition (17 avril 2024),Marine Jacquemin,Biographies
Marion et les crocodiles d&#39Amstrad: L&#39histoire d&#39Amstrad France,19.19,"L’histoire d’Amstrad comme vous ne l’avez jamais lue !
Marion Vannier, emblématique patronne d’Amstrad France, sert de fil conducteur à ce livre qui retrace l’épopée d’Amstrad et de ses ordinateurs mythiques : les CPC, les PCW et les PC.
De sa province natale au conseil d’administration d’une firme multinationale, vous découvrirez le parcours hors norme d’une femme déterminée à s’imposer à la seule force de son travail.
Les relations humaines sont placées au cœur de l’aventure et vous constaterez qu’il n’était pas évident, au début des années 80, de se mouvoir dans le milieu des affaires, peuplé de crocodiles en tous genres.

Sommaire :
La naissance d’Amstrad",979-8884534582,https://m.media-amazon.com/images/I/71UU0qm4bWL._SY522_.jpg,Independently published (27 avril 2024),David Hecq,Biographies
La Lignée,21.9,"Louise et Madeleine. Deux écrivaines, deux générations. L&#39une écrit pour fuguer, l&#39autre fugue pour écrire. L&#39une débute dans l&#39écriture, l&#39autre n&#39écrit plus.
À travers une correspondance intime, elles partagent leurs doutes face à la création et à leurs vies de femmes artistes, d&#39épouses et de mères. Être prête à décevoir, à déplaire, à oser dire ce que l&#39on pense et à faire ce qui doit être fait pour devenir – au-delà des injonctions, de la culpabilité, des injustices sociales et de genre – la personne que l&#39on devait être.

Une ode à la transmission, à la nature et à la liberté qui pose la question brûlante : quand on a pris certains chemins dans la vie – travail, mariage, enfants –, a-t-on encore le droit d&#39être soi ?

À travers cette amitié épistolaire, qui nous plonge dans les abîmes de la création et dans la solitude de la vie d&#39écrivain, Aurélie Valognes nous livre son roman le plus intime.",978-2213720562,https://m.media-amazon.com/images/I/81J6qmry5TL._SY522_.jpg,Fayard; 1er édition (28 février 2024),Aurélie Valognes,Biographies
CIEL DE TRAINE,7.63,"Pourquoi sommes-nous là et que laisserons-nous derrière nous ?
Ces questions fondamentales guident la réflexion sur le sens de notre existence.
L&#39auteur, trop généreux pour garder pour lui une vie extraordinaire, partage ses trois vies fabuleuses à travers une série de flash-backs basés sur des faits réels.
Plutôt qu&#39une simple biographie, c&#39est un récit captivant d&#39un homme vivant des expériences hors du commun, semblable à un dîner gastronomique en douze plats, toujours surprenant et jamais lassant.
Le fil conducteur est simple : la vie est courte, mais le bonheur doit être continu et exponentiel.
L&#39auteur veut montrer que nous n&#39avons pas besoin d&#39être malheureux pour apprécier le bonheur. Cette histoire, riche en contrastes comme un ciel de traîne après une perturbation, emmène le lecteur à travers des voyages étonnants, des rencontres avec des personnalités exceptionnelles, et des paysages à couper le souffle.",979-8326062529,https://m.media-amazon.com/images/I/51h8QCaWGmL._SY522_.jpg,Independently published (19 mai 2024),EDOUARD MAITRE,Biographies
PARODIE,12.46,"Après ORO, best-seller mondial, puis SAHARA, PARODIE est le troisième récit autobiographique de la célèbre trilogie de Cizia Zykë. «Un aventurier est avant tout un rêveur, un utopique un peu allumé qui préfère s&#39identifier à Robin Hood qu&#39à un salopard» Ciza Zykë - «Toronto 197, cité tranquille et prospère. J&#39ai découvert le monde de tricheurs. Exceptionnel manipulateur d&#39hommes, j&#39ai contrôlé en quelques mois la vie nocturne de la métropole. Jeux, rackets, drogue, violence, amour et fête sont les ingrédients de cette aventure intense et cruelle.» Débarquant à l&#39aéroport de Toronto, sans contact et sans argent, Cizia Zykë va rapidement se faire passer pour un mafieux en vacances forcées et prendre la direction d&#39un restaurant italien. «De tous mes vices, le jeu est le plus fort».",978-2367060279,https://m.media-amazon.com/images/I/81IkcIUfSUL._SY522_.jpg,BOOKS ON DEMAND (23 avril 2021),Cizia Zykë,Biographies
