Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Access Autonomy: Croître et durer,13.75,"VOUS VOULEZ DU MUSCLE ?

Mais vous avez des doutes en voyant tous ces escrocs dopés qui vous vendent des solutions miracles ? Ne vous prenez plus la tête ! Faites confiance au n°1. Olivier Lafay est le leader de la transformation corporelle en France, depuis 2004 (avec + de 600.000 livres vendus). Access Autonomy, c&#39est 5 niveaux pour les débutants, grands débutants, personnes en surpoids, personnes fragiles. C&#39est la possibilité d&#39atteindre un très haut niveau athlétique, progressivement. C&#39est un entraînement efficient, c&#39est-à-dire court et peu fréquent, tout en étant très efficace. C&#39&#39est bien d&#39autres qualités, que vous allez découvrir...

Olivier Lafay a inventé, il y a 30 ans, la seule approche véritablement innovante dans le fitness : l&#39approche écosystémique intégrale. Son premier livre, sorti en 2004 est devenu la plus grosse vente de livres de musculation de tous les temps en France. Access Autonomy reprend, intègre et dépasse tout ce qui a fait le succès des livres d&#39Olivier Lafay.",978-2956491057,https://m.media-amazon.com/images/I/61NprzwhViL._SY522_.jpg,LDMT (11 septembre 2023),Olivier Lafay,Blessures et reeducation
Yoga sur Chaise pour Maigrir: Guide Entièrement Illustré et Tutoriels Vidéo pour un Défi de 28 Jours de Yoga sur Chaise. Perte de Poids et Bien-être en Seulement 10 minutes par jour,16.11,"🎁 Bonus - Tutoriels vidéo dédiés pour chaque exercice

Les tutoriels vidéo de yoga sur chaise offrent des conseils clairs et faciles à suivre, garantissant une posture et une technique correctes pour un maximum de bénéfices et de sécurité. Parfait pour tous les niveaux!


🎯 Vous cherchez un moyen doux mais efficace de perdre du poids et d&#39améliorer votre condition physique, tout cela dans le confort et l&#39intimité de votre maison ?

🎯 Les douleurs articulaires et la mobilité vous posent-elles des problèmes et rendent-elles les exercices traditionnels difficiles ?",979-8322279983,https://m.media-amazon.com/images/I/61jCqedCjHL._SY522_.jpg,Independently published (8 avril 2024),Cecilia Hart,Blessures et reeducation
Jeux de Mémoire pour les Seniors: Un Livre d&#39Activités Puzzle XXL en gros caractères qui contient 501 exercices cérébraux amusants et excitants pour ... cognitives [Le Cadeau du Senior Intelligent],14.9,"L&#39ORIGINAL révisé et mis à jour : Découvrez comment améliorer et maintenir de manière significative vos fonctions cognitives grâce à des puzzles et des jeux amusants et attrayants.
Ce livre est un cadeau idéal pour les personnes âgées de votre entourage.
Chaque exercice est conçu avec soin et expertise afin d&#39assurer un engagement mental optimal et beaucoup de plaisir.

Imaginez : vous regardez un visage familier, mais vous ne parvenez pas à vous souvenir de son nom. Imaginez à nouveau cette situation : Vous seriez sorti il y a cinq minutes si seulement vous pouviez vous rappeler où vous avez mis vos clés ! Autant de situations qui nous sont intimement familières à mesure que nous vieillissons. Et elles sont tout aussi frustrantes et déprimantes qu&#39elles en ont l&#39air.

Bien que l&#39on s&#39attende à une certaine détérioration de certaines activités cérébrales avec l&#39âge, toute personne qui s&#39investit dans ce domaine est en mesure de stopper et même d&#39inverser certains de ces changements ! Les activités mentalement stimulantes telles que les puzzles renforcent la santé du cerveau et inversent le déclin cognitif. Certaines de ces tâches sont directement liées à la stimulation de la neuroplasticité et permettent une plus grande flexibilité mentale.",979-8354274826,https://m.media-amazon.com/images/I/71OIDG-qa3L._SY522_.jpg,Independently published (26 décembre 2022),Gardez Votre Esprit Jeune,Blessures et reeducation
"Jeux de Mémoire Pour les Seniors: 571 Jeux de Mémoire Stimulants pour Seniors, Cadeau Intelligent pour un Cerveau Actif!",9.0,"Réveille ton esprit avec 571 jeux de mémoire: Le compagnon parfait pour les personnes âgées.
Es-tu prêt à donner une nouvelle vie à ton esprit, à défier l&#39ennui et à garder ta mémoire bien aiguisée?
Notre livre de jeux de mémoire est la réponse que tu recherches!
Exercices pour tous les niveaux: Avec 571 jeux allant des plus faciles aux plus difficiles, tu auras toujours un défi adapté à ton niveau de compétence. Nous sommes là pour stimuler ton esprit, quelle que soit ton expérience!
Solutions faciles à trouver: Toutes les solutions sont situées à la fin du livre, tu n&#39auras donc jamais à t&#39inquiéter de rester bloqué!",979-8860761094,https://m.media-amazon.com/images/I/713T8ITD5gL._SY522_.jpg,Independently published (8 septembre 2023),Teacher Tailor,Blessures et reeducation
60 Pages d’Activités et Jeux Spécial Seniors: Cahier d’exercices multi-jeux en gros caractères pour seniors et personnes âgées - Stimuler la mémoire et les fonctions cognitives,10.53,"Ce cahier d&#39activités multi-jeux est idéal pour les seniors qui veulent entretenir leur mémoire et booster leurs fonctions cognitives : perception, attention, concentration, mémorisation. 🔎 Pour le confort visuel, les polices d&#39écriture sont en gros caractères et les exercices en couleurs.
✅ Un cahier recommandé pour les personnes souffrant de troubles des fonctions cognitifs comme la maladie d’Alzheimer ou la démence ou pour une rééducation de ces fonctions suite à un AVC.
✅ Un support pratique pouvant faciliter le travail de proche-aidant",979-8839396142,https://m.media-amazon.com/images/I/61U2wLNxi7L._SY522_.jpg,Independently published (3 juillet 2022),Editions Layke,Blessures et reeducation
THE COMPLETE GUIDE TO USE XENICAL,10.42,"Xenical is a member of the lipase inhibitors drug class. It is mainly recommended for the treatment of obesity and weight reduction in those who are overweight or obese. Xenical is the brand name for the generic medication Orlistat, which was created by Roche. Orlistat, the active component of Xenical, prevents the digestive enzyme lipase from breaking down dietary fats. By blocking lipase, the weight-loss drug Xenical lowers calorie intake from dietary fat consumption by reducing dietary fat absorption in the body. Xenical is normally taken as part of a complete weight reduction program that also includes a low-calorie diet and frequent exercise. It is designed for adults and adolescents 12 years of age and older who are under the supervision and direction of a healthcare practitioner. Xenical has been shown to support weight reduction by encouraging a calorie deficit when used as prescribed. By assisting in the reduction of body mass index (BMI) and waist circumference, it may help people reach and maintain a healthy body weight.",978-1312404007,https://m.media-amazon.com/images/I/61veZoEJwWL._SY522_.jpg,Lulu.com (27 juin 2023),Varick Ken,Blessures et reeducation
Access Autonomy: Croître et durer,9.16,"VOUS VOULEZ DU MUSCLE ?

Mais vous avez des doutes en voyant tous ces escrocs dopés qui vous vendent des solutions miracles ? Ne vous prenez plus la tête ! Faites confiance au n°1. Olivier Lafay est le leader de la transformation corporelle en France, depuis 2004 (avec + de 600.000 livres vendus). Access Autonomy, c&#39est 5 niveaux pour les débutants, grands débutants, personnes en surpoids, personnes fragiles. C&#39est la possibilité d&#39atteindre un très haut niveau athlétique, progressivement. C&#39est un entraînement efficient, c&#39est-à-dire court et peu fréquent, tout en étant très efficace. C&#39est bien d&#39autres qualités, que vous allez découvrir...

Olivier Lafay a inventé, il y a 30 ans, la seule approche véritablement innovante dans le fitness : l&#39approche écosystémique intégrale. Son premier livre, sorti en 2004 est devenu la plus grosse vente de livres de musculation de tous les temps en France. Access Autonomy reprend, intègre et dépasse tout ce qui a fait le succès des livres d&#39Olivier Lafay.",978-2956491064,https://m.media-amazon.com/images/I/61FFBWqPo2L._SY522_.jpg,LDMT (12 novembre 2023),Olivier Lafay,Blessures et reeducation
"Jeux de Mémoire Pour les Seniors: Livre puzzle format XXL, imprimé en gros caractères. Stimule le cerveau et la mémoire- cerebral booster votre mémoire, Concentration et logique. Cadeau Broché",7.22,"👉 Vous êtes à la retraite et vous ne savez pas quoi faire pour vous désennuyer ? Vous avez oublié où vous avez mis vos clés ? Quel est le nom de votre voisin ? Vous ne vous souvenez pas?
Si vous vous reconnaissez dans ces situations, lisez ce qui suit....

Le cerveau fonctionne comme n&#39importe quel autre muscle, il a donc besoin d&#39exercice pour rester actif.

Apprenez à améliorer considérablement et à maintenir vos fonctions cognitives grâce à des puzzles et des jeux amusants et stimulants.
Notre livre de jeux de mémoire est la réponse que vous cherchez !


Ce livre a été spécialement conçu comme un jeu thérapeutique pour les personnes âgées, les gériatres, les seniors et les personnes ayant des problèmes de mémoire, de concentration ou les adultes qui souffrent ou pourraient souffrir de problèmes cognitifs tels que l&#39oubli, le manque de concentration, la maladie d&#39Alzheimer, la démence, Rééducation Après AVC, la maladie de Parkinson, les accidents vasculaires cérébraux, les lésions cérébrales, l&#39Aphasie et des Lésions Cérébrales Traumatiques, les maladies neurodégénératives et d&#39autres inconvénients de la vieillesse et Leurs Aidants

Chez les personnes sans déficience : maintien des fonctions cognitives à un niveau optimal en favorisant la création de nouvelles connexions neuronales, promotion d&#39un vieillissement en bonne santé : maintien de l&#39attention, de la concentration, de la mémoire, des capacités de résolution de problèmes, de la logique, du calcul, de la créativité, etc.

Il s&#39agit d&#39un livre créé avec tout l&#39amour que nous portons aux personnes âgées, nous avons soigné les moindres détails pour qu&#39elles s&#39amusent.
- Grand format 21,59 x 27,94 cm.
- Gros caractères, idéal pour les personnes ayant des problèmes de vue.
- Conseils thérapeutiques : Conçu pour prévenir la démence et la maladie d&#39Alzheimer et pour améliorer la mémoire et la concentration.
- Thèmes agréables et reconnaissables.
- Favorise la santé mentale et le bien-être émotionnel.
- Cadeau idéal : surprenez vos proches avec un cadeau qui prend soin de leur âme !
- Idéal pour la démence. Si vous ou l&#39un de vos proches êtes atteint de démence ou d&#39un stade précoce de la maladie d&#39Alzheimer, ces jeux peuvent améliorer votre qualité de vie.
- Des solutions sont proposées à la fin du livre.

Pour entraîner l&#39agilité mentale, il faut travailler quotidiennement diverses compétences cognitives :
L&#39attention
le langage
la mémoire
la motricité
la perception
Raisonnement
Résolution de problèmes
Motricité fine
Il est très important que toute cette série d&#39activités soit accompagnée d&#39une activité physique quotidienne pour vieillir en bonne santé.


Vous pouvez relever les défis avec vos petits-enfants et passer du temps ensemble. Le cadeau idéal pour prendre soin de son esprit et de son cœur !

Achetez votre exemplaire dès aujourd&#39hui ! Parfait comme cadeau d&#39anniversaire, cadeau de Noël ou simplement pour les aider à garder l&#39esprit en forme.
Ce jeu peut être partagé avec vos petits-enfants et leur permettre de passer du temps ensemble.
IMPORTANT : LE PRODUIT NE CONTIENT AUCUNE RÉFÉRENCE MÉDICALE.

CHOISISSEZ AUJOURD&#39HUI D&#39INVESTIR DANS VOTRE ESPRIT ET VOTRE BIEN-ÊTRE.",979-8320339337,https://m.media-amazon.com/images/I/711wjP7bpiL._SY522_.jpg,Independently published (20 mars 2024),Sport cerebral adulte,Blessures et reeducation
"LA FAIM NERVEUSE: Comment mettre fin aux fringales incontrôlées, résister à une alimentation émotionnelle et éviter les kilos superflus pour respecter votre minceur.",18.41,"Avez-vous déjà ressenti une faim soudaine qui vous semble impossible à contrôler ?
Vous arrive-t-il souvent de manger pour vous réconforter, pour combler un vide intérieur ou évacuer vos émotions négatives ?
Si vous vous trouvez dans ces situations, vous souffrez peut-être de faim nerveuse.
La faim nerveuse est un trouble alimentaire très répandu qui peut avoir plusieurs causes, notamment le stress, l&#39anxiété, la dépression ou des problèmes relationnels.

Elle peut conduire à un comportement alimentaire dysfonctionnel qui peut affecter l&#39estime de soi, l&#39humeur et la santé.",979-8851143885,https://m.media-amazon.com/images/I/61jQWzpJucL._SY522_.jpg,Independently published (5 juillet 2023),Camille Bonnet,Blessures et reeducation
Electromyography and Neuromuscular Disorders: Clinical-Electrophysiologic-Ultrasound Correlations,9.6,"Successfully correlate electrodiagnostic findings and neuromuscular ultrasound with key clinical findings with Electromyography and Neuromuscular Disorders, 4th Edition. This popular text is the go-to resource for clinicians at all levels of experience who have an interest in neuromuscular medicine, including those studying for the AANEM board exam. An easy-to-read writing style, abundant case studies, and learning features online help you master the electrodiagnostic evaluation and improve safety and accuracy.
Helps you diagnose neuromuscular disorders more quickly and accurately, and correlate electromyographic and clinical findings.
Explains complex subject matter in an easy-to-understand, user-friendly",978-0323661805,https://m.media-amazon.com/images/I/81fGhrTKApL._SY522_.jpg,Elsevier - Health Sciences Division; 4e édition (24 avril 2020),David C. Preston,Blessures et reeducation
