Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Résilience - Les 7 piliers de la force mentale: Gérer le stress et cultiver le bien-être émotionnel. Découvrir la sérénité et canaliser son potentiel dans sa vie personnelle et professionnelle,6.76,"Comment surmonter les défis de la vie avec résilience !
Avez-vous déjà souhaité pouvoir...
Relever les défis sans effort, comme s&#39ils n&#39étaient rien ?
Gérer tous les problèmes avec aisance et sang-froid ?
Rester impassible face à toute crise, quelle qu&#39en soit la gravité ?
Les personnes qui font preuve de résilience ne se laissent pas facilement déstabiliser.
Elles font face aux crises avec une facilité remarquable et relèvent même les défis avec enthousiasme.
En d&#39autres termes, ces personnes ont un niveau de résilience psychologique incroyablement élevé.",978-1964617015,https://m.media-amazon.com/images/I/61NsfkfbyZL._SY522_.jpg,HeartWisdom Publishing (14 mai 2024),Sophie Evrard,Conflits
Brûlée vive,7.0,"Souad a dix-sept ans, elle est amoureuse. Dans son village l&#39amour avant le mariage est synonyme de mort. "" Déshonorée "", sa famille désigne son beau-frère pour exécuter la sentence.
Aux yeux de tous, cet homme est un héros. C&#39est ce que l&#39on appelle un "" crime d&#39honneur "". Ce n&#39est en fait qu&#39un lâche assassinat.
Atrocement brûlée, Souad a été sauvée par miracle. Elle a décidé de parler pour toutes celles qui aujourd&#39hui risquent leur vie.

"" Un cri de guerre. "" L&#39Express",978-2266137928,https://m.media-amazon.com/images/I/61KSpiZ5DLL._SY522_.jpg,Pocket (3 juin 2004),Souad,Conflits
La tragique et fascinante histoire d’une terre promise,15.0,,979-1034909339,https://m.media-amazon.com/images/I/61RVnsRfnjL._SY522_.jpg,LEVI (28 mars 2024),Collectif,Conflits
"Revivre Après Une Relation Toxique: Sociopathe, Narcissique, Manipulateur...",17.82,"Ce livre est une version mise à jour et augmentée en 2024.

On les appelle sociopathes, psychopathes, pervers narcissiques. Même sans aller aussi loin que les sociopathes, il y a aussi toute une faune de personnalités narcissiques. Narcissiques à plusieurs niveaux.

Ce genre de personne, est ce qu’on appelle des « personnalités toxiques ».

Si vous avez fait un bout de chemin avec une personne de ce genre, vous savez de quoi je parle. Il s’agit d’une aventure sombre qui vous aura jeté dans les affres de la dépression, de la rage et de la solitude. Une fois l’aventure finie, vous vous êtes retrouvé comme une épave échouée sur une plage. Vidé. Épuisé. Comme une coquille de noix vide. Vous avez peut-être même l’impression d’être au bout du rouleau. Mais c’est une erreur de jugement ! Il vous faut passer plusieurs étapes afin de réapprendre à être vous. Un vous amélioré. Plus solide, plus fort et plus épanouï que vous ne pouvez vous l&#39imaginer.

Ce livre décrit la relation avec une personnalité toxique, comment elle se développe, comment on vous manipule et surtout, que faire pour en sortir et pour se reconstruire.",978-1519527530,https://m.media-amazon.com/images/I/71UYzjfy5rL._SY522_.jpg,CreateSpace Independent Publishing Platform (25 novembre 2015),Cyril Malka,Conflits
"Manuel du LANGAGE CORPOREL: Comment analyser les gens, lire leur communication non verbale et se défendre facilement contre les techniques de manipulation",6.88,"Avez-vous déjà essayé de dire un mensonge ?


Eh bien, c’est une certitude !

Pendant que vous mentez, les mouvements de votre corps et les micro-expressions de votre visage laissent deviner ce que vous avez réellement en tête.

Mais ne vous inquiétez pas : TOUT LE MONDE fait la même chose, CHAQUE jour.",979-8477223466,https://m.media-amazon.com/images/I/61kRqCh4h9L._SY522_.jpg,Independently published (14 septembre 2021),Robert Mercier,Conflits
True Crime France: De vraies affaires criminelles,9.56,"Dans le cinquième volume de sa série True Crime, Adrian Langenscheid, auteur allemand de best-sellers sur les grandes affaires criminelles des dernières décennies, nous propose une fois de plus une lecture passionnante et addictive. Cette peinture à couper le souffle des abîmes glaçants de l’esprit humain réveille des émotions puissantes précisément en raison de la froideur et de la neutralité du récit.
Exemptes de tout sensationnalisme, les dix-huit nouvelles contenues dans ce livre relatent quelques-unes des affaires criminelles françaises les plus spectaculaires. C’est un recueil captivant de récits de meurtres, d&#39homicides involontaires, d&#39enlèvements, d&#39abus en tout genre, de fraudes, de trahisons et de vols qui conduisent le lecteur aux limites du supportable. Ces crimes ou délits impliquent des ""gens comme vous et moi"" ; des personnes dont la vie, en raison de circonstances tragiques, a basculé d’un jour à l’autre.
Avec une grande expertise et un sens remarquable de l&#39observation, l’auteur intègre dans de passionnants récits des éléments clés tirés d&#39audiences, de dossiers, d’évaluations psychologiques, d&#39interrogatoires et de rapports d&#39enquête.
La vie écrit des histoires terribles. Ce livre vous les raconte. Vous serez captivé, abasourdi, sidéré, bouleversé, vous remettrez en question tout ce que vous pensiez savoir sur la nature humaine.
Plongez, vous aussi, dans le monde hallucinant des vrais crimes bien réels. VRAI CRIME. Il suffit de faire défiler la page et de cliquer sur « ACHETER MAINTENANT EN 1 CLIC ».",978-3986610067,https://m.media-amazon.com/images/I/61XCs3C6MuL._SY522_.jpg,Pixa Heros (24 septembre 2021),Adrian Langenscheid,Conflits
"Maîtrisez l’art de parler en public: Comment survivre aux présentations, vaincre sa peur des discours et captiver son public avec confiance en soi grâce à la rhétorique et la communication efficace",5.81,"Révélez l&#39Orateur en Vous : Guide Pratique pour Surmonter l&#39Introversion et l&#39Anxiété
Comme beaucoup, vous admirez peut-être ceux qui s&#39expriment avec aisance devant une foule, prononçant des discours inspirants sans la moindre appréhension. Que diriez-vous si vous pouviez devenir l&#39une de ces personnes ? Si vous pouviez formuler un message si percutant qu&#39il transformerait votre audience passive en une foule d&#39adeptes passionnés ? Si vous pouviez le faire avec audace et sans peur ?
Imaginez...
Pourriez-vous révéler cette idée commerciale brillante qui a germé dans votre esprit ? Qu&#39il serait formidable de convaincre régulièrement les gens de la valeur de vos idées. Pensez aux opportunités qui s&#39ouvriraient à vous.",978-1958166468,https://m.media-amazon.com/images/I/61V6hpCvszL._SY522_.jpg,Communication Excellence (7 juin 2023),Gerard Shaw,Conflits
Notre silence nous a laissées seules,21.0,La couverture de l&#39article peut varier,978-2221271223,https://m.media-amazon.com/images/I/61vgVO9DJHL._SY522_.jpg,Robert Laffont (25 janvier 2024),Judith Chemla,Conflits
Le livre noir des violences sexuelles - 3e éd.,27.9,"Presque 10 ans se sont écoulés depuis la première édition de ce livre.
Entre-temps, une révolution s’est produite, avec les mouvements #MeToo, puis #MeTooInceste, qui ont libéré et légitimé la parole des victimes de violences sexuelles. Ces mouvements, associés à nos combats acharnés, ont permis une prise de conscience inédite de l’ampleur et de la gravité des violences sexuelles que subissent principalement les femmes et les personnes les plus vulnérables, et ce dès leur plus jeune âge.
Pourtant, les chiffres des violences sexuelles ne baissent pas, l’impunité s’aggrave, et la plupart des victimes de violences sexuelles restent toujours abandonnées, privées de protection, de soins spécifiques, de justice et de réparations. Le déni, la loi du silence et la culture du viol continuent de régner.
Or, si on souhaite que le monde soit enfin plus solidaire et plus juste pour les victimes de ces graves violations des droits humains, que la vérité sur ces crimes et délits sexuels ne soit plus niée, la prise en compte du psychotraumatisme est un préalable. Reconnaître le psychotraumatisme comme la conséquence logique et universelle des violences est une priorité absolue. Informer le grand public et former tous les professionnels sur ses mécanismes (la sidération, la dissociation, la mémoire traumatique), sur ses lourdes répercussions sur la santé et la vie des victimes, et sur les soins efficaces à leur donner, permettra de leur éviter des pertes de chances considérables, et de leur rendre justice.",978-2100825837,https://m.media-amazon.com/images/I/71GsbUPh7oL._SY522_.jpg,Dunod; 3e édition (16 novembre 2022),Muriel Salmona,Conflits
"Une histoire du conflit politique: Elections et inégalités sociales en France, 1789-2022",14.51,"Qui vote pour qui et pourquoi ? Comment la structure sociale des élec­torats des différents courants politiques en France a-t-elle évolué de 1789 à 2022 ? En s’appuyant sur un travail inédit de numérisation des données électorales et socio-économiques des 36 000 communes de France couvrant plus de deux siècles, cet ouvrage propose une his­toire du vote et des inégalités à partir du laboratoire français.
Au-delà de son intérêt historique, ce livre apporte un regard neuf sur les crises du présent et leur possible dénouement. La tripartition de la vie politique issue des élections de 2022, avec d’une part un bloc central regroupant un électorat socialement beaucoup plus favorisé que la moyenne – et réunissant d’après les sources ici rassemblées le vote le plus bourgeois de toute l’histoire de France –, et de l’autre des classes populaires urbaines et rurales divisées entre les deux autres blocs, ne peut être correctement analysée qu’en prenant le recul historique nécessaire. En particulier, ce n’est qu’en remontant à la fin du 19e siècle et au début du 20e siècle, à une époque où l’on observait des formes similaires de tripartition avant que la bipolarisation ne l’emporte pendant la majeure partie du siècle dernier, que l’on peut comprendre les tensions à l’oeuvre aujourd’hui. La tripartition a toujours été instable alors que c’est la bipartition qui a permis le progrès économique et social. Comparer de façon minutieuse les différentes configurations permet de mieux envisager plusieurs trajectoires d’évolutions possibles pour les décennies à venir.

Une entreprise d’une ambition unique qui ouvre des perspectives nouvelles pour sortir de la crise actuelle. Toutes les données collectées au niveau des quelques 36 000 com­munes de France sont disponibles en ligne en accès libre sur le site unehistoireduconflitpolitique.fr, qui comprend des centaines de cartes, graphiques et tableaux interactifs auxquels le lecteur pourra se reporter afin d’approfondir ses propres analyses et hypothèses.",978-2021454543,https://m.media-amazon.com/images/I/71f3oeekbsL._SY522_.jpg,SEUIL (8 septembre 2023),Julia Cagé,Conflits
