Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Lève-toi et Prospecte: Parce que vendre est d&#39abord une conquête !,17.24,"Lève-toi et Prospecte ! ® : pour transformer la prospection en plaisir !

Suite logique du maintenant célèbre ""Lève-toi et Vends !"", ""Lève-toi et Prospecte !"" est le deuxième volet de la « Trilogie de la vente ». Cet ouvrage continue d&#39apporter une vision rafraîchissante et simplifiée de la vente, en démystifiant le processus de prospection.

Souvent redoutée et perçue comme une tâche complexe, la prospection est ici transformée en un exercice agréable et gratifiant. Le livre rappelle à quel point la prospection est une activité commerciale noble, essentielle à la réussite de toute entreprise.

""Lève-toi et Prospecte !"" propose des",979-8733622538,https://m.media-amazon.com/images/I/6164GCVlODL._SY522_.jpg,Independently published (5 avril 2021),Nicolas Caron,Croissance et crise
"Climat, crises: Le plan de transformation de l&#39économie française",13.9,"« La question que nous nous sommes posée peut se résumer ainsi : que faut-il faire pour mettre l’économie française en cohérence avec une baisse des émissions planétaires de 5 % par an, compatible avec nos engagements climatiques, tout en permettant à chacun(e) de trouver un emploi ?
C’est ce plan de marche visant la décarbonation effective de nos activités que nous avons essayé de construire. Derrière les chapitres qui suivent, il y a l’apport de dizaines de collaborateurs, de centaines de contributeurs et de milliers de relecteurs. Il a fallu en défricher des sujets pour commencer à avoir une vue d’ensemble ! Si ce plan parvient à faire un tant soit peu la différence dans les débats à venir, nous n’aurons pas perdu notre temps. »
Jean-Marc Jancovici",978-2738154262,https://m.media-amazon.com/images/I/71gJ1gxplqL._SY522_.jpg,Odile Jacob; Illustrated édition (26 janvier 2022),The Shift Project,Croissance et crise
"Les limites à la croissance (dans un monde fini): Le rapport Meadows, 30 ans après",14.9,"En 1972, quatre jeunes scientifiques du MIT rédigent à la demande du Club de Rome un rapport qu&#39ils intitulent The Limits to Growth. Celui-ci va choquer le monde et devenir un best-seller international. Pour la première fois, leur recherche établit les conséquences dramatiques d&#39une croissance exponentielle dans un monde fini.
En 2004, quand les auteurs reprennent leur analyse et l&#39enrichissent de données accumulées durant trois décennies d&#39expansion sans limites, l&#39impact destructeur des activités humaines sur les processus naturels les conforte définitivement dans leur raisonnement.
En 2012, à l&#39occasion de la traduction française de cette dernière version, Dennis Meadows déclare : « Il y aura plus de changements – sociaux, économiques et politiques – dans les vingt ans à venir que durant le siècle passé. »
En 2022, que nous reste-t-il à envisager ?",978-2374253329,https://m.media-amazon.com/images/I/61wSX+s8PNL._SY522_.jpg,Rue de l&#39échiquier (3 mars 2022),Dennis Meadows,Croissance et crise
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant.,6.69,"OVER 4 MILLION COPIES SOLD
WALL STREET JOURNAL AND BUSINESSWEEK BESTSELLER
RECOGNIZED AS ONE OF THE MOST ICONIC AND IMPACTFUL STRATEGY BOOKS EVER WRITTEN
The global phenomenon that has sold over 4 million copies, is published in a record-breaking 49 languages and is a bestseller across five continents--now updated and expanded with new content. Named by Fast Company as one of the most influential leadership books in its Leadership Hall of Fame. A strategy classic.
In this perennial bestseller, embraced by organizations and industries worldwide, globally preeminent management thinkers W. Chan Kim and Renée Mauborgne challenge everything you thought you knew about the requirements for strategic success. Recognized as one of the most iconic and impactful strategy books ever written,",978-1625274496,https://m.media-amazon.com/images/I/91YCWH4jFdL._SY522_.jpg,Harvard Business School Press; Expanded édition (20 janvier 2015),W. Chan Kim,Croissance et crise
"L&#39entrepreneuriat innovant au coeur du marketing relationnel: Conseils stratégiques et exercices pratiques pour développer, manager et motiver votre organisation en MLM",9.57,"Ce livre est conçu pour les personnes impliquées dans le MLM qui souhaitent améliorer leur activité en utilisant les meilleurs outils disponibles.
Il ne s&#39agit pas de l&#39œuvre d&#39un auteur en particulier, mais plutôt d&#39un guide pratique destiné à aider les professionnels du MLM à développer leur entreprise.
Nous sommes à un tournant commercial stratégique : le MLM, concept révolutionnaire sans précédent, explose dans tous les domaines : immobilier, finances, assurances, formation continue, produits bien-être… pour ne citer que ceux-là.
Mais comme dans tout système novateur, il y a des méthodes, des habitudes et des manières de faire inédites à mettre en place. Et surtout une nouvelle posture à adopter.",978-2959099205,https://m.media-amazon.com/images/I/61MLjzbtA-L._SY522_.jpg,Yoann Truwant (17 décembre 2023),Yoann Truwant,Croissance et crise
Lève-toi et Négocie !: Pour négocier sans négocier !,21.9,"Lève-toi et Négocie ! ® : une vision moderne et éthique de la négociation commerciale.

Troisième tome de la ""Trilogie de la vente"", ""Lève-toi et Négocie !"" bouscule et déconstruit les principes de négociation commerciale considérés depuis des décennies comme des vérités absolues et immuables.

Cet ouvrage ne propose pas de subterfuges ni de « tactiques » qui sont bien souvent des mensonges à peine déguisés. Ici, la négociation tarifaire est une question de préparation, de respect, de patience et de professionnalisme.

C&#39est en cultivant la confiance et le respect du client que l&#39on parvient à conclure des affaires rentables, sans avoir à choisir entre faiblesse et agressivité.",978-2956217237,https://m.media-amazon.com/images/I/51UB61vD1QL._SY522_.jpg,,Nicolas Caron,Croissance et crise
"How Brands Grow: Including Emerging Markets, Services, Durables, B2B and Luxury Brands",30.95,"This book will change the way you think about marketing forever.

Following the success of international bestseller How Brands Grow: What Marketers Dont Know, How Brands Grow Part 2 takes readers further on a journey to smarter, evidence-based marketing.

How Brands Grow Part 2 is about the fundamentals of buying behaviours and brand performance – fundamentals that provide a consistent roadmap for brand growth, and improved marketing productivity. This revised edition includes updates to all chapters and the addition of a new chapter, &#39Getting Down to Business-to-Business Markets&#39.",978-0190330026,https://m.media-amazon.com/images/I/61wxaN1wQ5S._SY522_.jpg,OUP Australia and New Zealand; 2e édition (20 septembre 2021),Jenni Romaniuk,Croissance et crise
"SURVIVRE A UNE CRISE FINANCIERE, sauver son épargne, sécuriser ses placements, protéger ses économies",9.25,La dette. Est-elle le mal du siècle ?,978-2956571810,https://m.media-amazon.com/images/I/51spkKrJ3iL._SY522_.jpg,Editions Mad&#39Jack (25 septembre 2023),Nicolas Popovitch,Croissance et crise
Transformed: Becoming a Product-driven Company,32.96,"Help transform your business and innovate like the world&#39s top tech companies!
In INSPIRED, product thought leader Marty Cagan revealed the best practices and techniques used by the top product teams operating in the product model. Next, EMPOWERED shared the best practices and techniques used by the top product leaders to provide their teams with the kind of environment they need to thrive in the product model.
Yet, the most common question after reading INSPIRED and EMPOWERED has been: ""Yes, we want to work this way, but the way we work today is so different, and so deeply ingrained, is it even possible for a company like ours to transform to the product model?""",978-1119697336,https://m.media-amazon.com/images/I/61jdCpO1urL._SY522_.jpg,John Wiley & Sons Inc (26 février 2024),Marty Cagan,Croissance et crise
Technique de Vente : Les Strategies Gagnantes Etape par Etape + *BONUS* Formation Video,19.97,"La vente et les techniques de vente sont omniprésentes !
Vous avez un bon produit / service, un savoir faire / une expertise... mais vous ne savez pas le vendre à la hauteur de son potentiel commercial ?
Vous avez des difficultés lorsqu’il s’agit de trouver des clients, prospecter, prendre contact, convaincre et vendre à un client ? Vous vous sentez mal à l’aise, et parfois désarmé face aux objections ?
Vous n’arrivez pas toujours à capter l’attention, faire valoir vos arguments et à susciter l’adhésion autour de vos offres commerciales et vos prestations ?
Vous aimeriez être plus percutant, convaincant, vendre plus et mieux au quotidien, avec professionnalisme (et régularité) pour obtenir CROISSANCE et RENTABILITÉ ?",978-1519739773,https://m.media-amazon.com/images/I/615dN8-GV1L._SY522_.jpg,CreateSpace Independent Publishing Platform (7 décembre 2015),Victor Cabrera,Croissance et crise
"Villages Méditerranéens Livre de Coloriage: Découvrez Le Charme Des Villages Méditerranéens, Idéaux Pour Les Amoureux De Paysages Côtiers Et De Beauté Rustique",16.01,"Libérez votre créativité avec le Villages Méditerranéens Livre de Coloriage. Plongez-vous dans un monde de designs captivants qui vous inspireront et vous détendront.
Caractéristiques:
Variété de Designs Abstraits: Explorez une gamme diversifiée de designs abstraits qui vous invitent à laisser libre cours à votre imagination en les coloriant.
Art Thérapeutique: Faites une pause dans l&#39agitation quotidienne et trouvez la quiétude dans l&#39art thérapeutique de la coloration. C&#39est un moyen merveilleux de se détendre et de déstresser.
Outils de Coloriage Polyvalents: Utilisez vos outils de coloriage préférés, que ce soient des stylos, des crayons, des marqueurs ou des aquarelles, pour donner vie à ces designs enchanteurs.",979-8876479662,https://m.media-amazon.com/images/I/71lg1LtGtTL._SY522_.jpg,Independently published (17 janvier 2024),Zakai Jeremias,Croissance et crise
Good To Great,10.69,"________________________________
Can a good company become a great one? If so, how?

After a five-year research project, Jim Collins concludes that good to great can and does happen. In this book, he uncovers the underlying variables that enable any type of organisation to make the leap from good to great while other organisations remain only good. Rigorously supported by evidence, his findings are surprising - at times even shocking - to the modern mind.

Good to Great achieves a rare distinction: a management book full of vital ideas that reads as well as a fast-paced novel. It is widely regarded as one of the most important business books ever written.",978-0712676090,https://m.media-amazon.com/images/I/61YfNhp-6uL._SY522_.jpg,Random House Business; 37e édition (4 octobre 2001),Jim Collins,Croissance et crise
"L&#39Économie pour les Nuls en 50 notions clés, 2e éd",13.26,"La collection qui va à l&#39essentiel : en 50 notions clés maitrisez votre sujet !
BCE, déficit budgétaire, dette, inflation : l&#39économie est devenue un des thèmes majeurs de notre vie quotidienne, de notre actualité et il ne se passe pas un jour sans qu&#39on entende un terme économique. Pourtant, il n&#39est pas toujours facile de s&#39y retrouver et de comprendre toutes ces notions. Vous trouverez dans cet ouvrage les fondamentaux de l&#39économie en 50 notions clés, exposés avec clarté et pédagogie. Avec ce guide, chacun pourra alors comprendre les grands enjeux économiques et prendre part au débat. Un livre à mettre de toute urgence entre toutes les mains.",978-2412088784,https://m.media-amazon.com/images/I/51wAk8nAoOL._SY522_.jpg,Pour les nuls; 2e édition (15 juin 2023),Michel Musolino,Croissance et crise
Bourse : seuls les meilleurs gagnent: Les 10 règles d&#39or pour des rendements à long terme avec un risque minime,22.8,"Et s’il existait un placement à la fois exceptionnellement sûr et procurant les meilleurs rendements à long terme possibles ?

Dans « Bourse : seuls les meilleurs gagnent », Peter Seilern, investisseur chevronné, dévoile tout ce que vous devez savoir pour pratiquer l’art de l’investissement quality growth : trouver les entreprises capables de générer une croissance forte et régulière sur le long terme.

Vous livrant les enseignements tirés de toute une vie consacrée aux marchés financiers, Peter Seilern vous explique comment, sur les dizaines de milliers d’actions cotées en Bourse, ne sélectionner que l’élite d’entre elles qui composera le portefeuille de l’investisseur en quête d’une croissance de qualité.

L’auteur démontre que ces actions peuvent être plus sûres que les dépôts bancaires ou les emprunts d’État. Il remet en cause les mérites de la diversification, révélant que la gestion indicielle classique est souvent au service de ses propres intérêts.

Les entreprises",978-2818811429,https://m.media-amazon.com/images/I/61-HMaL-E8L._SY522_.jpg,Maxima (29 juin 2022),Peter Seilern,Croissance et crise
Pro en Ludopédagogie: 55 outils et 11 plans d&#39action,6.29,"55 outils et 11 plans d&#39action pour maîtriser les fondamentaux de la formation par le jeu.

Il existe en France 63.000 organismes de formation. Parmi ces organismes, de plus en plus recherchent des formateurs spécialisés dans la formation par le jeu, pour sortir des approches classiques et peu efficaces.
Si vous souhaitez faire évoluer vos pratiques, ce livre est pour vous ! Il vous apprendra à mieux vous connaître pour mieux connaître vos stagiaires formateurs et mieux les faire progresser.
Ce PRO EN ouvre la voie de la ludopédagogie, qui est malheureusement encore peu accessible et matérialisée dans les salles de formation, alors qu’elle est un véritable atout pour développer le potentiel humain (bienveillance, considération, reconnaissance de l’aptitude de chacun et autonomisation des stagiaires apprenants).",978-2311624908,https://m.media-amazon.com/images/I/61WWvSKAfdL._SY522_.jpg,VUIBERT; 1er édition (20 avril 2022),Marie Cortana,Croissance et crise
,17.86,,,,,,Croissance et crise
