Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
L&#39Esprit critique pour les Nuls,24.95,"Le livre qui vous apprend à douter !
Guerres, pandémies, faits alternatifs... Les médias diffusent de grandes quantités d&#39informations qu&#39il ne faut pas toutes croire. Les arnaqueurs, théoriciens en pseudo-sciences et aspirants gourous, à travers Internet et les réseaux sociaux, s&#39infiltrent dans les failles de notre esprit critique. Mais plus important encore, nous cultivons nous-mêmes une grande partie des illusions qui nous bercent.
Pour savoir former des jugements plus sûrs à propos de ce qu&#39il faut croire et ce qu&#39il faut faire, il est utile de comprendre les multiples facettes de l&#39esprit critique et d&#39apprendre à reconnaître les situations où il risque d&#39être pris en défaut.
Dans cet ouvrage nourri de références et jalonné d&#39entretiens, Thomas C. Durand s&#39attache à mettre à notre portée ses grands principes et nous livre des pistes pour l&#39aiguiser. Avec intelligence et humour, il nous prouve que nous pouvons nous améliorer – même plus, que nous y avons intérêt ! – et que l&#39exercice peut s&#39avérer utile et plaisant à la fois.",978-2412070161,https://m.media-amazon.com/images/I/61oawRrexkL._SY522_.jpg,Pour les nuls; Illustrated édition (28 septembre 2023),Thomas C. Durand,Culture
L&#39Esprit critique pour les Nuls,24.95,"Le livre qui vous apprend à douter !
Guerres, pandémies, faits alternatifs... Les médias diffusent de grandes quantités d&#39informations qu&#39il ne faut pas toutes croire. Les arnaqueurs, théoriciens en pseudo-sciences et aspirants gourous, à travers Internet et les réseaux sociaux, s&#39infiltrent dans les failles de notre esprit critique. Mais plus important encore, nous cultivons nous-mêmes une grande partie des illusions qui nous bercent.
Pour savoir former des jugements plus sûrs à propos de ce qu&#39il faut croire et ce qu&#39il faut faire, il est utile de comprendre les multiples facettes de l&#39esprit critique et d&#39apprendre à reconnaître les situations où il risque d&#39être pris en défaut.
Dans cet ouvrage nourri de références et jalonné d&#39entretiens, Thomas C. Durand s&#39attache à mettre à notre portée ses grands principes et nous livre des pistes pour l&#39aiguiser. Avec intelligence et humour, il nous prouve que nous pouvons nous améliorer – même plus, que nous y avons intérêt ! – et que l&#39exercice peut s&#39avérer utile et plaisant à la fois.",978-2412070161,https://m.media-amazon.com/images/I/61oawRrexkL._SY522_.jpg,Pour les nuls; Illustrated édition (28 septembre 2023),Thomas C. Durand,Culture
"Les morts ont la parole: Philippe Boxho, médecin légiste, fait parler les cadavres. Âmes sensibles s abstenir !",19.9,"Médecin légiste, Philippe Boxho nous fait découvrir son quotidien fait de morts qui ne le sont pas toujours ou pas encore, de disparition de cadavres, de dissimulation de meurtres, de suicides étonnants. Les histoires qu&#39il raconte sont issues de la réalité, rien n&#39est inventé, il n&#39y a d&#39ailleurs pas besoin d&#39inventer, la réalité se suffit à elle seule tant l&#39imagination humaine est libérée quand il s&#39agit de mourir, de tuer, de se suicider, de faire disparaître un corps. Après un décryptage des séries américaines CSI, « les experts », en plus de 30 histoires, il raconte son métier, sa passion. Il nous raconte l&#39évolution des corps après la mort à travers des histoires de momies et de mouches, puis il s&#39arrête sur cet homme qui pensait mourir d&#39un seul coup de feu et qui restait encore vivant après le trentième, sur cet autre qui, en voulant se pendre, est décédé d&#39une fracture du crâne, ce meurtrier qui n&#39aurait jamais dû consommer d&#39alcool, cette morte qui transpirait. Vous ne verrez plus jamais un cochon ni un insert de cheminée de la même manière. Ce livre nous invite à rire de la mort avant qu&#39elle ne nous sourie.",978-2380756975,https://m.media-amazon.com/images/I/71dJR1EbDYL._SY522_.jpg,Kennes les 3 As (1 juin 2022),Philippe Boxho,Culture
Entretien avec un cadavre: Un médecin légiste fait parler les morts,19.9,"« Ce que j’affectionne par-dessus tout, c’est d’aller à la découverte des traces et des indices, de tous ces éléments qui permettent de donner une dernière fois la parole aux morts et de les écouter dans ce qu’ils ont à dire. » C’est par ces mots que le docteur Philippe Boxho, médecin légiste depuis plus de trente ans, introduit son nouvel ouvrage, dans lequel, une fois encore, assassinats et meurtres se succèdent sans relâche.

Au premier plan pour les observer, le célèbre médecin légiste a choisi de nous raconter quelques-unes des histoires qui ont marqué sa carrière : ce suicide à l’arme à feu qui cachait bien son jeu, cet enfant que les parents avaient négligé et qui en est mort, ces gens victimes d’une explosion et de l’effondrement de leur immeuble, cette femme étouffée par son mari, ces hommes trépassés à l’étranger d’avoir cru qu’ils étaient aimés, et bien d’autres encore.

Philippe Boxho nous a régalé avec un premier livre à succès intitulé",978-2380759051,https://m.media-amazon.com/images/I/81k5mpBl+rL._SY522_.jpg,Kennes les 3 As (14 juin 2023),Philippe Boxho,Culture
La fabrication du désastre - Qui ? Pourquoi ? Comment ?,29.9,"Dans son précédent livre Autopsie d’un désastre, Jean-Dominique Michel a réalisé le bilan de la gestion catastrophique du Covid-19, une épidémie relativement bénigne qui aurait été aisément gérable si l’on avait suivi la science et les bonnes pratiques en la matière. Or nos gouvernements ont systématiquement fait l’inverse de ce que l’on savait devoir faire, en imposant des mesures inutiles, liberticides et destructrices – et en terrorisant littéralement les populations. Attribuer cette dérive à des maladresses ou à des erreurs involontaires est insuffisant : nous avons aujourd’hui la preuve qu’il s’est agi en réalité d’une opération prévue et planifiée de longue date, et qui a été soigneusement mise en œuvre.",978-2874342233,https://m.media-amazon.com/images/I/61-M1kOWDFL._SY522_.jpg,M PIETTEUR (15 mai 2024),Jean-Dominique Michel,Culture
"La mort en face: Dr. Philippe Boxho, le médecin légiste qui fait parler les morts.",19.9,"« Ce qui a motivé mon choix pour la médecine légale ? Le hasard. J’avais 18 ans, l’âge où tout est possible et la prêtrise me tentait beaucoup, j’adorais étudier l’évangile, rencontrer les gens, aider ceux qui en avaient besoin, et je me sentais prêt. (...) Au terme de la première année de médecine, j’ai revu l’évêque de Liège et lui ai confié que j’avais abandonné l’idée de la prêtrise. Il n’était guère surpris car, selon son avis, je n’avais pas vraiment la foi mais une soif intellectuelle qui ne lui correspondait guère. Mgr van Zuylen était quelqu’un de très intelligent, il était aussi hyper prudent. »

Médecin légiste et professeur en criminologie depuis plus de trente ans, le Dr. Philippe Boxho, est l’auteur de deux livres qui ont permis à un très large public de découvrir la réalité du monde fascinant de la médecine légale. C’est aussi un regard acéré sur notre société qui incite à la réflexion.

Il nous revient avec un troisième ouvrage, dans lequel il n’hésite plus à se livrer, tout en nous contant des histoires vécues plus incroyables que jamais.
Du mystère entourant la mort de Napoléon, à cette fermière noyée par son mari dans une cuve à lait en passant par les dangers du haschich assassin ou de l’alcool, il nous plonge plus profondément que jamais dans les coulisses des enquêtes sur les morts accidentelles, des suicides et meurtres, des plus célèbres aux plus confidentielles.",978-2380759785,https://m.media-amazon.com/images/I/81XpC2+esxL._SY522_.jpg,Kennes les 3 As (21 août 2024),Philippe Boxho,Culture
La face cachée des JO,10.25,"Une cérémonie d’ouverture alarmante.
Un budget d’organisation explosé.
Un vote, la nuit, à l’Assemblée nationale, pour augmenter la garantie de l’État – en clair, pour que le citoyen paye le dépassement du budget.
Des aberrations écologiques : destruction des coraux pour l’épreuve de surf, climatisation de la taille d’un immeuble pour celle de basket-ball…
Des perquisitions financières au sein du Comité d’organisation alors que les Jeux n’ont pas commencé, une première dans l’histoire olympique.
Le licenciement d’un membre de ce Comité d’organisation, Sébastien Chesbeuf, pour avoir dénoncé les abus.
L’inertie des pouvoirs publics, qui savaient.
Et cette enquête inédite, qui révèle les coulisses du plus grand événement sportif mondial.",978-2709674409,https://m.media-amazon.com/images/I/71OiaWSsibL._SY522_.jpg,JC Lattès (5 juin 2024),Sébastien Chesbeuf,Culture
La mort n&#39existe pas: L&#39enquête best-seller de 2024 sur l&#39après-vie pour gagner en sérénité face à la mort,21.9,"Le best-seller sur l’après-vie

15 ans d’enquête sur l’après-vie pour gagner en sérénité face à la mort

Que se passe-t-il lorsque nous mourrons ? Que devient notre conscience ? Survit-elle à la mort cérébrale ? Ces questions vertigineuses se sont imposées à Stéphane Allix au moment du décès de son frère. Il a dès lors mobilisé toutes ses compétences et son instinct de journaliste pour tenter d’élucider le mystère de la conscience.
Les recherches en médecine ou en neurosciences, ainsi que les innombrables phénomènes inexpliqués autour de la mort (expériences de mort imminente, perceptions extrasensorielles, etc.), suggèrent que notre conscience possède une dimension spirituelle. Est-ce ce que les mystiques appellent",979-1033912569,https://m.media-amazon.com/images/I/71yjx0byRwL._SY522_.jpg,HarperCollins (4 octobre 2023),Stéphane Allix,Culture
Au coeur de l&#39Islam de France: Trois ans d&#39infiltration dans 70 mosquées,19.9,"Durant trois ans, Étienne Delarcher a infiltré 70 mosquées françaises pour « voir et entendre ce que pourrait percevoir un musulman lambda ». Se faisant passer pour un jeune converti, il a assisté aux prières, écouté les prêches des recteurs ou imams, puis les a questionnés sur les droits des femmes : quid de l&#39inégale répartition de l&#39héritage, du témoignage de la femme qui vaudrait la moitié de celui de l&#39homme, de la domination masculine et de la violence dans le couple, de la place du mahram (tuteur) ? Il a interrogé tous ces religieux sur leur rapport aux textes sacrés, notamment le Coran, perçu comme une création divine pure, sur les hududs ou châtiments les plus cruels prescrits par la charia...Quelle distance les responsables de ces lieux de culte ont-ils vis-à-vis des textes ? Comment les interprètent-ils ? Quelle vision ont-ils de la société française ? Défendent-ils des régimes théocratiques ? Que pensent-ils de la laïcité ? Quel est le poids des discours modérés et sont-ils minoritaires ?",978-2268110554,https://m.media-amazon.com/images/I/61sYdu60KoL._SY522_.jpg,Editions du Rocher (29 mai 2024),Etienne Delarcher,Culture
La frénésie du bonheur: Du bonheur différé au bonheur immédiat,8.71,"« En quelques décennies, alors qu&#39une autre religion gagnait les quartiers, nous avons vécu en France la déconstruction, puis l&#39effondrement des deux grandes religions de salut céleste (catholicisme) et terrestre (communisme). En 1950, plus de 90 % des Français étaient baptisés, ils ne sont plus que 30 % ! 45 000 prêtres diocésains prêchaient dans nos églises, ils ne sont plus que 4 500, tandis que l&#39électorat communiste passait de 25 % à 2,5 % ! Conséquence : s&#39il n&#39y a plus d&#39après, plus de seconde vie après la mort ou la Révolution, c&#39est ici et maintenant qu&#39il s&#39agit d&#39être heureux, en quoi nous vivons le passage de l&#39acceptation d&#39un bonheur différé à l&#39exigence du bonheur immédiat. À l&#39encontre de la leçon du conte, le premier petit cochon l&#39emporte désormais sur le troisième. Ce livre analyse les causes (non pas Mai 68, comme on le croit souvent, mais le capitalisme d&#39innovation, d&#39hyperconsommation et de rupture avec les traditions), puis les conséquences d&#39une profondeur abyssale de cette véritable faille dans la civilisation qui touche tous les domaines de nos existences, du rapport au travail (si je n&#39ai qu&#39une seule vie, alors on ne touche pas à ma retraite !) à la naissance des métavers, qui prétendent nous offrir une ""seconde vie plus réussie"", en passant par l&#39explosion de la psychologie positive et des théories du développement personnel, qui nous promettent le bonheur ici et maintenant. »   L.F.",979-1032926871,https://m.media-amazon.com/images/I/41NOgWOiADL._SY522_.jpg,L&#39OBSERVATOIRE (4 octobre 2023),Luc Ferry,Culture
Mes guerres: Confidences d&#39une grand reporter,23.0,"Voilà une femme que l&#39on a regardée derrière nos écrans de télévision en nous disant : elle a du cran. Son visage, sa voix si familière, ses reportages en zone de guerre (Afghanistan, Golfe, Tchétchénie, Rwanda...), son style bien à elle ont marqué nos esprits. Aujourd&#39hui, elle lève le voile pour nous faire découvrir les coulisses d&#39un monde aussi passionnant qu&#39impitoyable dans lequel elle a su se frayer un chemin. L&#39amour du métier de grand reporter chevillé au corps, elle a dû endurer la misogynie et les stéréotypes dont on l&#39affublait, mais elle a tenu bon au nom d&#39un idéal : porter la parole des femmes et des hommes victimes de l&#39horreur de la guerre. Ce récit n&#39élude pas non plus ses guerres intimes : endométriose, cancer, harcèlement. Celle qui n&#39a jamais pu être mère a aussi soulevé des montagnes pour construire, il y a vingt ans, un hôpital pour enfants à Kaboul, dans un Afghanistan occupé par les talibans. Il est toujours debout. C&#39est ce parcours d&#39aventurière moderne que res-titue pour nous Marine Jacquemin. Ce livre est à la fois un témoignage humain bouleversant et l&#39introspection d&#39une femme dans un monde d&#39hommes, décidée à s&#39accomplir en tant que journaliste, amie, amoureuse...",979-1032930267,https://m.media-amazon.com/images/I/51Xlf1zFFpL._SY522_.jpg,L&#39OBSERVATOIRE; Illustrated édition (17 avril 2024),Marine Jacquemin,Culture
L&#39Occident déboussolé,21.0,"Racisme, colonisation, esclavage : l&#39Occident, névrosé, s&#39accuse encore et toujours de tous les maux. C&#39est oublier que tous les peuples ont été tantôt conquérants, tantôt conquis et que l&#39esclavage a été pratiqué par toutes les civilisations. Et si cette éternelle autoflagellation, prétendument désin-téressée, était en fait une façon paternaliste de rester au centre de l&#39attention ? Hier, l&#39Occident se présentait comme le bienfaiteur de l&#39humanité. Aujourd&#39hui, il prend la pose du grand méchant universel. Du colonialisme à la repentance, du héros au bourreau, la démarche reste cependant la même : nier l&#39histoire propre des autres civilisations et faire de l&#39homme blanc l&#39unique acteur digne d&#39être sur la scène.   Pour éviter notre suicide, nous devons en rabattre sur notre égocentrisme et notre haine de nous-mêmes, pour accepter l&#39idée de n&#39être ni meilleurs ni pires que les autres.",979-1032929810,https://m.media-amazon.com/images/I/31TH1iZElFL.jpg,L&#39OBSERVATOIRE (13 mars 2024),Jean-Loup Bonnamy,Culture
Autopsie d&#39un désastre - Mensonges et corruption autour du Covid,19.49,"Qui aurait pu imaginer à l’automne 2019 les années de folie que nous allions vivre ? Si les autorités de santé redoutent depuis des décennies l’apparition d’une nouvelle pandémie, les données ont été rassurantes dès la mi-mars 2020, montrant que le Covid-19 était de l’ordre de gravité d’une grippe un peu forte. Les plans pandémie à disposition devaient nous permettre de passer l’écueil sans difficulté. Or au lieu d’appliquer les connaissances et les bonnes pratiques en santé publique, nos gouvernements ont délibérément fait paniquer la population en déformant les chiffres, en interdisant aux médecins de soigner leurs patients et en imposant des mesures, liberticides et brutales, connues de longue date pour être inutiles.",978-2874342097,https://m.media-amazon.com/images/I/61CCf5cph+L._SY522_.jpg,M PIETTEUR (4 décembre 2023),Jean-Dominique Michel,Culture
Au coin du fjord: Les aventures d&#39une Française en Norvège,5.01,"Tout commence lorsque Lorelou, franco-québécoise, s’installe à Oslo après y avoir décroché un emploi. Ce livre pétillant et drôle raconte les facétieuses aventures de Lorelou durant sa première année en Norvège. Depuis des voyages dans le grand Nord qui la mèneront aux Lofoten et sous les aurores boréales des Samis, des aventures et mésaventures amoureuses cocasses et tendres, en passant par l’apprentissage du monde du travail norvégien et de la langue, Lorelou est déterminée à s’intégrer.

Déjà vendu à plus de 7000 exemplaires, disponible en 3 langues et best-seller en Norvège, ce récit aussi désopilant que perspicace nous amène à découvrir avec délice la Norvège encore méconnue.

Lorelou Desjardins vit en Norvège depuis 13 ans. Elle est juriste, écrivaine et journaliste. Ses textes paraissent dans la presse norvégienne ainsi que les radios et télés nationales. Elle donne des cours en entreprise pour aider les étrangers à mieux comprendre la Norvège.",978-8269285413,https://m.media-amazon.com/images/I/61Tz3nyR8JL._SY522_.jpg,North Press (19 mars 2023),Lorelou Desjardins,Culture
The Culture Map,7.37,"An international business expert helps you understand and navigate cultural differences in this insightful and practical guide, perfect for both your work and personal life.

Americans precede anything negative with three nice comments; French, Dutch, Israelis, and Germans get straight to the point; Latin Americans and Asians are steeped in hierarchy; Scandinavians think the best boss is just one of the crowd. It&#39s no surprise that when they try and talk to each other, chaos breaks out.

In The Culture Map, INSEAD professor Erin Meyer is your guide through this subtle, sometimes treacherous terrain in which people from starkly different backgrounds are expected to work harmoniously together. She provides a field-tested model for decoding how cultural differences impact international business, and combines a smart analytical framework with practical, actionable advice.",978-1610392761,https://m.media-amazon.com/images/I/71ReFbLwF1L._SY522_.jpg,PublicAffairs; 1er édition (5 janvier 2016),Erin Meyer,Culture
The 48 Laws of Power (Anglais),15.3,"THE MILLION COPY INTERNATIONAL BESTSELLER

&#39If power is your ultimate goal, this is the book you need&#39 The Times

Amoral, cunning, ruthless, and instructive, this piercing work distils three thousand years of the history of power into forty-eight well-explicated laws. As attention-grabbing in its design as it is in its content, this bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun-tzu, Carl von Clausewitz, and other great thinkers.

Some laws require prudence (""Law 1: Never Outshine the Master""), some stealth (""Law 3: Conceal Your Intentions""), and some the total absence of mercy (""Law 15: Crush Your Enemy Totally""), but like it or not, all have applications in real-life situations.

Illustrated through the tactics of Queen Elizabeth I, Henry Kissenger, P T Barnum, and other famous figures who have wielded - or been victimised by - power, these laws will fascinate any reader interested in gaining, observing or defending against ultimate control.",978-1861972781,https://m.media-amazon.com/images/I/61J3Uu4jOLL._SY522_.jpg,Profile Books Ltd; Main édition (20 novembre 2000),Robert Greene,Culture
