Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Access Autonomy: Croître et durer,10.74,"VOUS VOULEZ DU MUSCLE ?

Mais vous avez des doutes en voyant tous ces escrocs dopés qui vous vendent des solutions miracles ? Ne vous prenez plus la tête ! Faites confiance au n°1. Olivier Lafay est le leader de la transformation corporelle en France, depuis 2004 (avec + de 600.000 livres vendus). Access Autonomy, c&#39est 5 niveaux pour les débutants, grands débutants, personnes en surpoids, personnes fragiles. C&#39est la possibilité d&#39atteindre un très haut niveau athlétique, progressivement. C&#39est un entraînement efficient, c&#39est-à-dire court et peu fréquent, tout en étant très efficace. C&#39&#39est bien d&#39autres qualités, que vous allez découvrir...

Olivier Lafay a inventé, il y a 30 ans, la seule approche véritablement innovante dans le fitness : l&#39approche écosystémique intégrale. Son premier livre, sorti en 2004 est devenu la plus grosse vente de livres de musculation de tous les temps en France. Access Autonomy reprend, intègre et dépasse tout ce qui a fait le succès des livres d&#39Olivier Lafay.",978-2956491057,https://m.media-amazon.com/images/I/61NprzwhViL._SY522_.jpg,LDMT (11 septembre 2023),Olivier Lafay,Culturisme et haltérophilie
La nouvelle bible de la préparation physique: Le guide scientifique et pratique pour tous,44.95,"Cet ouvrage, déjà vendu à plus de 50 000 exemplaires, est devenu LA référence absolue dans le domaine de la préparation physique. Que vous soyez sportif, étudiant ou encadrant, vous y trouverez les réponses aux questions que vous vous posez, quels que soient votre niveau, votre sport et vos objectifs. Cette troisième édition, présentée entièrement en couleurs pour un meilleur accès aux informations, bénéficie des dernières mises à jour en lien avec les nouvelles connaissances scientifiques. Conseillée dans nombre d&#39universités et de centres de formation en France et à l&#39étranger, cette nouvelle Bible de la préparation physique est entièrement réécrite et réactualisée avec, en bonus : + Un nouveau chapitre totalement inédit sur la réathlétisation + Le glossaire complété + Un index pour mieux retrouver les informations + Des questions ajoutées à la fin de chaque chapitre pour vous tester + De nouvelles aides proposées via des QR-codes + Des chapitres ayant chacun une couleur spécifique pour mieux se repérer. Traités de façon indépendante, ils peuvent se lire dans le désordre si le lecteur le souhaite. Des renvois sont proposés pour des compléments vers les autres chapitres si nécessaire. Endurance spécifique, perte de poids, musculation, force maximale, explosivité, vitesse, force endurance, masse musculaire, souplesse, équilibre, gainage fonctionnel, récupération, réathlétisation... Chaque chapitre fait en permanence le va-et-vient entre théorie et pratique, vous amenant à réfléchir sur la logique de vos séances. Pour les aspects de terrain, des exemples sont donnés pour trois niveaux : le débutant, l&#39entraîné et le sportif qui cherche une aide supplémentaire pour sa préparation, mais qui ne veut pas faire de la qualité physique concernée un objectif principal. Les points abordés sont documentés et illustrés afin que vous compreniez mieux les principes permettant d&#39atteindre les objectifs fixés, en toute sécurité et avec une efficacité avérée. « Conjuguée à l&#39expérience de terrain, la culture scientifique des deux auteurs, Didier Reiss et Pascal Prévost, fait de cet ouvrage une référence qui apportera certainement beaucoup, non seulement aux préparateurs physiques auxquels il est principalement dédié, mais aussi aux médecins du sport, aux entraîneurs, aux étudiants en STAPS et à leurs enseignants qui prendront, à n&#39en pas douter, autant de plaisir à le lire que j&#39en ai eu moi-même. En outre, nombre d&#39étudiants en STAPS pourront aussi y trouver d&#39excellents sujets de thèses pour tester les hypothèses que les deux auteurs avancent. » Georges Cazorla",978-2757604670,https://m.media-amazon.com/images/I/71GTE-zrHxL._SY522_.jpg,AMPHORA; Illustrated édition (13 octobre 2020),DIDIER REISS,Culturisme et haltérophilie
METHODE DE MUSCULATION: 110 EXERCICES SANS MATERIEL,13.02,"La « Méthode Lafay », nom donné par les pratiquants eux-mêmes, est devenue une véritable institution. Paru en 2004 et vendu à 600 000 exemplaires, ce label est la référence absolue en musculation au poids de corps et nutrition. Olivier Lafay a révolutionné l&#39approche de la musculation en France et bouleversé les codes en étant le premier à diffuser auprès du grand public la notion d&#39efficience dans l&#39entraînement pour des résultats rapides, complets et durables. C&#39est également lui qui a conçu la première méthodologie rigoureuse appliquée à la nutrition et applicable par tous. Parfois copiée mais jamais égalée, la « Méthode Lafay » s&#39appuie également sur une communauté active de plus de 200 000 personnes sur les réseaux sociaux. Cet ouvrage a été conçu pour répondre à vos attentes quel que soit votre niveau de départ. Éliminer vos graisses excédentaires, développer vos muscles ou améliorer vos performances athlétiques : vous serez guidé en permanence et bénéficierez d&#39un système d&#39évaluation performant qui vous permettra d&#39atteindre vos objectifs, même les plus élevés. Ne nécessitant pas de matériel (haltères, bancs, machines...), vous pourrez suivre cette méthode où et quand vous le souhaitez. C&#39est elle qui s&#39adaptera à vos contraintes. La souplesse et l&#39endurance ne sont pas oubliées ; des programmes spécifiques leur sont consacrés dans lesquels vous pourrez puiser selon vos besoins et envies.",978-2757605042,https://m.media-amazon.com/images/I/71WEtMDM9YL._SY522_.jpg,AMPHORA; Illustrated édition (13 mai 2021),OLIVIER LAFAY,Culturisme et haltérophilie
"La méthode Delavier de musculation, volume 2",29.9,"Les premiers kilos de masse musculaire sont relativement faciles à accumuler avec un programme cohérent tel que ceux proposés dans La Méthode Delavier de musculation, volume 1. Mais passé cet état de grâce de quelques mois, les muscles deviennent de plus en plus réfractaires à la croissance. Ce livre va vous aider à élaborer des stratégies et des programmes d&#39entraînement plus sophistiqués pour continuer à progresser à un rythme satisfaisant grâce à la connaissance approfondie de l&#39anato-morphologie que possèdent ses auteurs. Ils ont en effet rédigé pendant de nombreuses années la célèbre rubrique de biomécanique du magazine IronMan aux Etats-Unis. Ils ont également écrit de nombreux articles pour des revues comme Mind & Muscle Power, Men&#39s Health ou encore Sport Revue. Leurs parcours sportif et professionnel en font deux des plus grands spécialistes internationaux de la musculation et du fitness.",978-2711420650,https://m.media-amazon.com/images/I/81ZM4LVGhYL._SY522_.jpg,VIGOT (7 juillet 2010),Frédéric Delavier,Culturisme et haltérophilie
L&#39encyclopédie de la préparation physique,12.37,"QUATRIEME EDITION – 385 000 EXEMPLAIRES VENDUS AUX ETATS-UNIS – TRADUCTION FRANÇAISE OFFICIELLE
Développée par la National Strength and Conditioning Association (NSCA) avec l’expertise de trente contributeurs, traduite pour la première fois en français, L’Encyclopédie de la préparation physique est la référence pour tous les acteurs de la préparation physique.
Entièrement mis à jour, cet ouvrage complet expose les théories, les concepts et les principes scientifiques clés de l&#39entraînement et de la préparation physique ainsi que leur application en compétition et performance sportive. Il détaille également les aptitudes requises pour tout professionnel dans ces domaines.",979-1091285711,https://m.media-amazon.com/images/I/91Eq7mymUeL._SY522_.jpg,4 TRAINER; 4e édition (18 novembre 2020),Collectif,Culturisme et haltérophilie
La Methode Delavier de musculation chez soi,27.9,"Ce livre est le fruit d&#39une collaboration de plus de 15 ans entre Frédéric Delavier et Michael Gundill. D&#39une approche très visuelle, avec de nombreuses photos et illustrations, un texte clair et précis et plus de 200 exercices et 50 programmes, cet ouvrage révolutionnaire vous apportera toutes les réponses à vos questions pour débuter, progresser et vous perfectionner en musculation ou dans votre discipline sportive. Les auteurs ont réalisé des articles pour de nombreux magazines comme Mind & Muscle Power, Men&#39s Health, Sport Revue ou encore IronMan aux Etats-Unis, où ils ont tenu pendant de nombreuses années la célèbre rubrique de biomécanique. Leurs parcours sportif et professionnel en font deux des plus grands spécialistes internationaux de la musculation et du fitness.",978-2711420186,https://m.media-amazon.com/images/I/71IXFuQYRCL._SY522_.jpg,VIGOT (18 mars 2009),DELAVIER FREDERIC/GUNDILL MICHAEL,Culturisme et haltérophilie
Guide des compléments alimentaires pour sportifs,24.9,"Ce guide des compléments alimentaires pour sportifs a pour objectif d&#39aider le sportif à choisir parmi les nombreux compléments alimentaires existants ceux qui sont susceptibles d&#39optimiser ses propres paramètres biologiques pour améliorer ses performances. Des informations claires et étayées par une importante bibliographie scientifique l&#39y aideront. Faciles à consulter, elles lui permettront de saisir rapidement les avantages et les inconvénients de chacun. Grâce au classement des compléments alimentaires en divers secteurs préalablement définis (l&#39énergie, l&#39endurance, la force, le volume musculaire, la récupération, le bon état général, la perte de poids), il pourra consulter sans délai ce qui l&#39intéresse. Au-delà des effets de mode, quels sont les produits réellement actifs et ceux qui ne le sont pas ? Comment les a-t-on testés ? Quels sont les mécanismes d&#39action de ces produits et comment peuvent-ils être efficaces ? Comment faire le bon choix en fonction de ses propres objectifs ? Ces substances ont-elles le même effet à tout moment ? Sinon, quand les prendre ? Quelles sont les limites des recherches scientifiques dam ce domaine ? Forts de plus de trente-cinq ans d&#39expérience, les auteurs se proposent de répondre à toutes ces questions de manière pragmatique et objective.",978-2711425501,https://m.media-amazon.com/images/I/71g6krL4KyL._SY522_.jpg,VIGOT; 3e édition (4 avril 2019),Frédéric Delavier,Culturisme et haltérophilie
"La Maîtrise de la Musculation: Un Guide Complet pour Augmenter la Masse Musculaire, Brûler les Graisses et Obtenir un Corps Sculpté + Exercices Illustrés, Diagrammes d&#39Entraînement et Plans de Régime.",14.2,"Avez-vous déjà eu des doutes sur les Exercices Essentiels pour obtenir des résultats en bodybuilding?

Êtes-vous fatigué des Conseils d&#39Entraînement et de Nutrition Inappropriés, Confus et Souvent Contradictoires?

Vous rêvez d&#39un Guide Clair et Complet qui vous accompagnerait à chaque étape de votre parcours en salle de sport?


Nous savons à quel point il peut être frustrant de commencer le bodybuilding sans disposer de références claires et fiables.

Les difficultés à choisir les exercices, l&#39incertitude due à des conseils contradictoires et le sentiment d&#39être à la merci d&#39informations confuses sont des expériences courantes, vécues par de nombreuses personnes souhaitant commencer le bodybuilding.

L&#39entraînement peut être un terrain glissant, surtout lorsque l&#39on est seul. Nous avons vu de nombreux jeunes comme vous se sentir perdus, ne sachant pas vers qui se tourner pour améliorer leurs résultats.",979-8878330992,https://m.media-amazon.com/images/I/71TqRztPJfL._SY522_.jpg,Independently published (6 février 2024),FitForce Publishing,Culturisme et haltérophilie
TAPING ET STRAPPING: TOUS LES MONTAGES À CONNAITRE,15.86,"L&#39évolution des produits et des connaissances scientifiques sur la structure et le fonctionnement des tissus a motivé une nouvelle édition du guide pratique des contentions. Plus complète et plus pédagogique, sa méthodologie vous enseigne comment utiliser chaque technique selon les règles de l&#39art, en se basant sur : un angle théorique qui explique, dans le détail, les fondements du strapping, du taping et des orthèses ; une partie pratique consacrée à l&#39apprentissage et à la réalisation de nombreux montages pour des indications très variées. La qualité des illustrations qui se succèdent, permet de visualiser concrètement l&#39élaboration de tous ces montages. Vous trouverez toutes les réponses à vos interrogations.",979-1090653078,https://m.media-amazon.com/images/I/51-pIH8Bl8L._SY522_.jpg,GEOFFROY; Illustrated édition (16 août 2018),Christophe Geoffroy,Culturisme et haltérophilie
La méthode Delavier de musculation volume 3: Toutes les techniques d&#39entraînement avancées pour relancer votre progression (3),27.9,"Véritable référence dans le domaine de la musculation et déjà vendue à plusieurs milliers d&#39exemplaires, La Méthode Delavier, volume 1, pose les bases de la musculation en répondant aux principales questions des bodybuilders. La Méthode Delavier, volume 2, va plus loin : avec plus de 600 illustrations et dessins anatomiques soigneusement sélectionnés, elle développe le concept d&#39anato-morphologie pour le choix des exercices, afin de permettre aux bodybuilders d&#39accélérer leur progression. La méthode Delavier de musculation, Volume 3, vient compléter ces deux premiers volumes en s&#39attachant à donner des solutions aux pratiquants qui n&#39arrivent plus à progresser ou à rattraper leurs points faibles. Elle répond à une triple contrainte à laquelle ont à faire face les athlètes expérimentés : Plus on progresse, plus il est difficile de progresser davantage. Une fois atteint un certain niveau, le potentiel de développement faiblit. Les auteurs livrent donc dans ce volume les astuces que permettent certaines particularités physiologiques peu exploitées pour tirer le maximum de son potentiel physique. Il faut lutter contre les idées fausses qui limitent la créativité dans l&#39entraînement et qui sont nombreuses, circulant dans les salles de musculation ou sur Internet. Elles peuvent être causes de blessures et surtout restreignent l&#39innovation dans l&#39entraînement, ce qui est un facteur de stagnation. Les auteurs dénoncent, preuves scientifiques à l&#39appui, ces concepts erronés. Comment faire face aux problématiques classiques auxquelles on se heurte après plusieurs années de musculation ? Par exemple, comment entraîner ses bras alors que l&#39on souffre de tendinite aux avant-bras, comment muscler ses cuisses quand on a mal aux genoux ou au dos, etc. ? Les auteurs offrent ici des programmes spécifiques qui répondront aux difficultés de chacun.",978-2711425143,https://m.media-amazon.com/images/I/71504NMsDmL._SY522_.jpg,VIGOT; Illustrated édition (28 juin 2018),Frédéric Delavier,Culturisme et haltérophilie
