Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"L&#39Intelligence Émotionnelle: Comment garder son calme, gérer le stress et comprendre les gens grâce à des méthodes efficaces",12.9,"Développez votre intelligence émotionnelle grâce à nos conseils!
Voudriez-vous être capable de gérer vos émotions?

Vous êtes à la recherche d&#39un plan d&#39action qui vous aidera à réduire les conflits et les comportements négatifs? Aimeriez-vous que vos journées soient caractérisées par l&#39abondance de positivité?

Beaucoup de gens ne vivent leur vie qu&#39à moitié, dominés par leurs émotions, et cela peut avoir de lourdes conséquences sur leur état d&#39esprit. Les émotions devraient être un moyen d&#39obtenir des informations sur les événements que nous traversons. Découvrez comment lire, gérer et utiliser les émotions pour développer votre intelligence émotionnelle! Êtes-vous prêt à commencer ce voyage qui changera la manière de voir vos émotions? Dans ce livre, vous apprendrez à analyser vos émotions, à contrôler vos comportements et à communiquer efficacement!",979-8730724921,https://m.media-amazon.com/images/I/61b2YQjTHIL._SY522_.jpg,Independently published (30 mars 2021),Viola Di Russo,Depression angoisses et stress
"L&#39Intelligence Émotionnelle: Comment garder son calme, gérer le stress et comprendre les gens grâce à des méthodes efficaces",12.9,"Développez votre intelligence émotionnelle grâce à nos conseils!
Voudriez-vous être capable de gérer vos émotions?

Vous êtes à la recherche d&#39un plan d&#39action qui vous aidera à réduire les conflits et les comportements négatifs? Aimeriez-vous que vos journées soient caractérisées par l&#39abondance de positivité?

Beaucoup de gens ne vivent leur vie qu&#39à moitié, dominés par leurs émotions, et cela peut avoir de lourdes conséquences sur leur état d&#39esprit. Les émotions devraient être un moyen d&#39obtenir des informations sur les événements que nous traversons. Découvrez comment lire, gérer et utiliser les émotions pour développer votre intelligence émotionnelle! Êtes-vous prêt à commencer ce voyage qui changera la manière de voir vos émotions? Dans ce livre, vous apprendrez à analyser vos émotions, à contrôler vos comportements et à communiquer efficacement!",979-8730724921,https://m.media-amazon.com/images/I/61b2YQjTHIL._SY522_.jpg,Independently published (30 mars 2021),Viola Di Russo,Depression angoisses et stress
J&#39ai broyé du Noir pour voir la vie en Rose: Apaiser son anxiété pour éclairer le présent et préparer le futur,15.72,"Ce livre t&#39accompagne dans un parcours vers un mieux-être face à l&#39anxiété.

En combinant des mots sincères, des réflexions profondes, et des coloriages apaisants, il t&#39offre les outils pour explorer et comprendre tes émotions vers une vie moins anxieuse.

A travers des images fortes et des exemples parlants, tu seras guidé(e) à déchiffrer les messages cachés derrière tes angoisses, à reconnaître ses origines et à développer des stratégies pour une vie quotidienne plus sereine.

Et plus encore, ce livre t&#39encourage à examiner de près comment tes propres pensées et anticipations façonnent ton ressenti, te donnant les clés pour rebâtir une existence où l&#39anxiété ne prend plus le dessus.

C&#39est un pas vers la liberté intérieure, une invitation à cultiver la patience et l&#39acceptation de soi dans un monde qui peut souvent sembler accablant.",979-8878959872,https://m.media-amazon.com/images/I/61mp31C812L._SY522_.jpg,Independently published (8 février 2024),Célestine Leroi,Depression angoisses et stress
Le complexe de la tortue: Surmonter ses auto-sabotages et oser briller,16.9,"Jusqu&#39à quand vos autosaboteurs paralyseront-ils votre vie ?

Senna, styliste de mode talentueuse dont la carrière est au point mort, se débat dans une relation fusionnelle avec une mère étouffante. À 46 ans, sa vie professionnelle est une succession d’échecs et de rêves non aboutis. Quant à ses relations sentimentales, qui se résument à une collection d’aventures sans lendemain avec des hommes deux fois plus jeunes qu&#39elle, elles cachent un profond sentiment de solitude et une terrible mésestime d’elle-même.

À travers l’analyse du film ""Happy Birthday"", écrit et réalisé par Susan Walter, Anne-Claire FROGER met en lumière les mécanismes psychologiques à l’origine des blocages professionnels et amoureux de Senna, le personnage principal interprété par une Sharon Stone étonnante, qui se dévoile ici dans un registre inattendu.

Si vous aussi, vous vous heurtez dans votre vie à une succession de portes fermées et de déceptions, si vous remettez à demain vos projets les plus importants, faute d’y croire suffisamment, ou si un autosaboteur particulièrement actif se charge de réduire à néant les espoirs qui réussissent malgré tout à se faufiler jusqu’à vous, vous trouverez dans ce livre des clés qui vous ouvriront des portes insoupçonnées.

Vous découvrirez en quoi la crise que traversent les hommes et vos loyautés familiales inconscientes ont paralysé votre vie jusqu’à aujourd’hui, et comment réussir à vous en libérer pour enfin commencer à croire en vos rêves et les réaliser.",979-8672043500,https://m.media-amazon.com/images/I/61dO1Xx0T7L._SY522_.jpg,Independently published (3 août 2020),ANNE-CLAIRE FROGER,Depression angoisses et stress
"REPROGRAMMATION MENTALE: Les techniques de la psychologie du succès pour lever vos blocages mentaux, vous forger un mental de fer et atteindre vos objectifs",17.87,"Découvrez comment éliminer vos blocages mentaux négatifs et attirer le succès dans votre vie.



Vos croyances et votre façon de penser influencent constamment votre réalité.

Et le résultat est que dans votre vie, vous attirez ce à quoi vous croyez (et non ce que vous voulez).

Si, par exemple, votre désir est de vous marier et de fonder une famille mais que vous pensez inconsciemment que les relations ne sont qu&#39une arnaque alors vous n&#39arriverez tout simplement jamais à rien (et vous finirez par n&#39attirer que des arnaques), parce que c&#39est ce que vous croyez vraiment.

Que vous le vouliez ou non, votre état d&#39esprit n&#39attirera que des personnes et des situations en accord avec votre pensée.

Mais voici maintenant la bonne nouvelle :",979-8840743171,https://m.media-amazon.com/images/I/61UyzumWs2L._SY522_.jpg,Independently published (14 juillet 2022),Robert Mercier,Depression angoisses et stress
Floraison de l&#39âme et du cœur,7.44,"Nouvelle Edition

« Au fil des pages, une éclosion de douceur, un parfum de tendresse, le fleurissement d&#39amour et d&#39espoir, qui s&#39enracinent dans l&#39âme et le cœur... »

Ce recueil est dédié aux cœurs brisés et blessés par la vie. Aux âmes meurtries et tourmentées. À ceux en quête d&#39espoir et de réconfort. Aux cœurs bons et aux belles âmes...

En espérant humblement qu&#39à la lecture de mes mots, de mes poèmes à vers libres, par la Grâce d&#39Allah, germeront en vous des graines d&#39espoir et d&#39amour !

Que cela vous donnera envie d&#39aller vers Le Seul capable de guérir vos blessures les plus profondes, d&#39apaiser vos peines les plus intenses et de faire fleurir vos âmes et vos cœurs...

Lorsque Le Tout-Miséricordieux m&#39a sorti des ténèbres à la lumière, je me suis promis de transmettre à mes sœurs et à mes frères en humanité, qui étaient encore dans le creux de la nuit, que l&#39aube est proche...

C&#39est le profond de mon âme et de mon cœur qui s&#39adresse à votre âme et à votre cœur... C&#39est une main tendue... Avec bienveillance et douceur. ♡",978-2957456208,https://m.media-amazon.com/images/I/51UyiRIqkwL._SY522_.jpg,Yasmin Blossom (30 octobre 2020),Yasmin Blossom,Depression angoisses et stress
La PNL de A à Z: Comment la PNL vous aidera à atteindre vos objectifs et réussir dans la vie,8.99,"Grâce aux conseils et aux exercices de ce livre, apprenez à exploiter le potentiel de la PNL!
Vous aimeriez organiser votre vie de manière plus efficace?

Vous souhaiteriez vous débarrasser de vos mauvaises habitudes?Vous avez besoin d&#39aide pour affronter sereinement le changement?

Vous voudriez montrer aux autres le meilleur de vous-même, mais vous échouez à cause de l&#39anxiété, des doutes et des préjugés infondés qui vous submergent? Il est temps de dire stop! Ce manuel sur la PNL est le guide qu&#39il vous faut pour faire grandir les qualités qui sommeillent en vous et vous débarrasser de vos vices! Avec des exemples tirés de la vie quotidienne, vous apprendrez à surmonter vos doutes et à pratiquer des exercices pour orienter votre subconscient vers le succès au lieu de lui barrer le chemin avec les mauvaises expériences ou les doutes intérieurs. Non seulement vous travaillerez à l&#39atteinte de vos objectifs et de vos rêves, mais vous pourriez également découvrir en vous de nouveaux talents que vous ne soupçonniez même pas. Tout le monde peut apprendre la PNL (Programmation Neuro-Linguistique). Avec des exercices adaptés, les bonnes connaissances, des conseils et des astuces, vous pouvez entraîner votre subconscient à penser le succès, à transformer vos croyances négatives en pensées positives et productives, et enfin à atteindre les victoires que vous méritez. Parce que votre potentiel est bien plus grand que ce que vous imaginiez! Pourquoi choisir ce livre?",979-8654862211,https://m.media-amazon.com/images/I/71pSLXMpLzL._SY522_.jpg,Independently published (17 juin 2020),Lucio Canistrelli,Depression angoisses et stress
"L&#39anorexie, mon bouclier mortel - Livre autobiographique - Témoignage anorexie: Livre TCA - Livre histoire vraie",5.78,"Cela me tenait à cœur d’écrire mon roman autobiographique pour retracer mon parcours de guérison des troubles alimentaires.
Ce livre m’a d’ailleurs aidé dans mon propre chemin de guérison.
Mais je l’ai fait pour offrir un témoignage authentique sur toutes les étapes que j’ai traversées pour m’en sortir. J’ai voulu y partager toutes les réflexions personnelles que j’ai eues, toutes les prises de conscience qui m’ont été nécessaires.
Je l’ai également écrit pour offrir un guide afin d’aider les proches à mieux comprendre et ainsi mieux aider les personnes qui souffrent de troubles alimentaires (anorexie, boulimie…).",979-1041532667,https://m.media-amazon.com/images/I/71e07sDDdrL._SY522_.jpg,Norainnoflower Édition (29 janvier 2024),Mathilde CRESPEL Norainnoflower,Depression angoisses et stress
"Et Si Tu Vidais ton Sac ?: Thérapie par l’écriture de lettres. Exprime, libère et soulage tes émotions grâce à la courrier-thérapie. Livre de développement personnel à compléter",12.37,"Tu te sens souvent submergé(e) par des émotions négatives ?
Tu as du mal à trouver la paix intérieure face au stress quotidien ?
Tu cherches un moyen efficace pour exprimer et comprendre tes sentiments les plus profonds ?

"" Et Si Tu Vidais ton Sac ?"" est ton guide personnel vers la guérison émotionnelle.

Ce livre t&#39offre un espace pour explorer tes émotions, les exprimer en mettant des mots sur tes maux et les transformer positivement. À travers des exercices d&#39écriture de lettres (à brûler, à conserver ou à expédier), tu apprendras à dialoguer avec ton intérieur, facilitant ainsi ton chemin vers la libération émotionnelle.

A une époque où comprendre et prendre soin de sa santé mentale est essentiel, "" Et Si Tu Vidais ton Sac ?"" te donne les clés pour agir.

Que tu souhaites",,https://m.media-amazon.com/images/I/5130OvxPq6L._SY522_.jpg,Independently published (18 mars 2024),Claire Vermont,Depression angoisses et stress
"Journal de Suivi de l&#39Humeur: Carnet Quotidien de Bien-être et de Santé Mentale pour Suivre votre Humeur, Sommeil , et Sentiments pour Soulager l&#39Anxiété & la Depression",9.65,"Que vous soyez aux prises avec la dépression, le stress ou que vous souhaitiez simplement être plus positif dans votre vie, vous trouverez tout ce dont vous avez besoin dans notre journal. Ce journal de suivi d&#39humeur vous accompagnera dans votre démarche de suivi quotidien de votre santé mentale.

Il vous aidera à mieux vous connaître et à identifier les domaines de votre vie qui vous causent le plus de chagrin, de stress ou de bonheur. Vous apprendrez à prendre soin de vous et à savoir quand il est temps de faire une pause. Vous découvrirez également comment équilibrer votre vie dans tous ses aspects et la gérer plus efficacement.",,https://m.media-amazon.com/images/I/61FUwihx5YL._SY522_.jpg,Independently published (25 novembre 2023),Hilal Creations Press,Depression angoisses et stress
