Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",16.75,"“How long are you going to wait before you demand the best for yourself?”
– Epictetus, Stoic philosopher
Where can you find joy? Gain strength? How should we face our fears? Deal with the death of a loved one? And what about those reoccurring depressing thoughts?
While traditional schooling doesn’t address such questions, it’s exactly what ancient schools of philosophy were all about: They taught you how to live. Even though these schools don’t exist anymore, you and I and most people are in as much need of a philosophy that guides us through life as we ever were.
This compelling, highly actionable guide shows you how to deal more effectively with whatever life throws at you and live up to your best self.",978-3952506905,https://m.media-amazon.com/images/I/71uOhcp68bL._SY522_.jpg,Jonas Salzgeber (19 janvier 2019),Jonas Salzgeber,Ethique
Le Code: Les outils essentiels pour vivre libre et serein,17.9,"Comment accepter les événements de la vie avec sérénité ? Comment éviter de s&#39inquiéter des choses qui sont hors de notre contrôle ? Comment atteindre une vie heureuse, juste et bonne ?
Pour répondre à ces questions, Cyrus North s&#39appuie sur une philosophie millénaire, le stoïcisme, et sur les découvertes les plus récentes sur le fonctionnement de nos émotions.
Avec un ton plein d&#39humour, il nous propose son code pour faire le tri dans notre vie, réorganiser nos priorités et être tout simplement plus heureux. Oui, rien que ça !
Riche d&#39expériences scientifiques, de situations réelles ou encore d&#39anecdotes personnelles, ce livre sera pour vous un guide vers la sérénité dans ce monde qui va à 100 à l&#39heure.",978-2226466464,https://m.media-amazon.com/images/I/61MjZXgXw2L._SY522_.jpg,Albin Michel (18 octobre 2023),Cyrus North,Ethique
On ne peut pas plaire à tout le monde: Un livre sur la confiance en soi,13.99,"Détachez-vous du regard des autres et libérez votre véritable personnalité !

Et si je vous disais que peu importe votre physique, vos actions, vos décisions, vous serez toujours critiqué ? Que même si vous étiez parfait, certains persisteraient à vous juger ?

Peur, abandon, regrets…

Le manque de confiance en soi empêche énormément de personnes de s’épanouir et de s’accomplir. La plupart du temps, les gens s’oublient pour faire plaisir au plus grand nombre. Ils vivent à travers le regard des autres et n’osent pas par peur d’être exclus, de déplaire ou de décevoir. Dans ce livre, vous apprendrez comment vous défaire de l’opinion des autres.",979-8405475813,https://m.media-amazon.com/images/I/71SyaZ0-COL._SY522_.jpg,Independently published (31 janvier 2022),Valentin Auwercx,Ethique
"Méditations: Le journal de Marc Aurèle - Souvenirs, Pensées et Réflexions - La Philosophie Stoïcienne du plus grand Empereur Romain",9.45,"""La vie d&#39un homme consiste en ce que ses pensées en font.""

Voici l&#39essence de la sagesse stoïcienne à travers les yeux de l&#39un des plus grands empereurs romains, Marc Aurèle, dans ce voyage « Méditations : Le Journal de Marc Aurèle ».
Cet ouvrage vous plongera au cœur de la philosophie stoïcienne, combinant un récit historique approfondi avec l&#39introspection philosophique et la sagesse du plus grand empereur de Rome.

Marc Aurèle : l&#39empereur philosophe
Marc Aurèle, connu comme le dernier des « cinq bons empereurs », régna de 161 à 180 après JC. Sa vie, un incroyable mélange de puissance et de sagesse, était un exemple de vertu et de dévouement stoïque. En tant qu&#39empereur, il fit face à des défis à la fois internes et externes, mais fut toujours guidé par sa profonde conviction éthique et sa recherche de la vertu.",979-8876927606,https://m.media-amazon.com/images/I/71WeBCZqwtL._SY522_.jpg,Independently published (8 février 2024),Marc Aurèle,Ethique
"REPROGRAMMATION MENTALE: Les techniques de la psychologie du succès pour lever vos blocages mentaux, vous forger un mental de fer et atteindre vos objectifs",5.08,"Découvrez comment éliminer vos blocages mentaux négatifs et attirer le succès dans votre vie.



Vos croyances et votre façon de penser influencent constamment votre réalité.

Et le résultat est que dans votre vie, vous attirez ce à quoi vous croyez (et non ce que vous voulez).

Si, par exemple, votre désir est de vous marier et de fonder une famille mais que vous pensez inconsciemment que les relations ne sont qu&#39une arnaque alors vous n&#39arriverez tout simplement jamais à rien (et vous finirez par n&#39attirer que des arnaques), parce que c&#39est ce que vous croyez vraiment.

Que vous le vouliez ou non, votre état d&#39esprit n&#39attirera que des personnes et des situations en accord avec votre pensée.

Mais voici maintenant la bonne nouvelle :",979-8840743171,https://m.media-amazon.com/images/I/61UyzumWs2L._SY522_.jpg,Independently published (14 juillet 2022),Robert Mercier,Ethique
La santé mentale en france,11.78,"Avec treize millions de personnes concernées chaque année par un trouble psychique en France, la « médecine de l’âme » s’est installée au cœur de la santé publique de ce XXIe siècle. Jamais les Français n’ont été si nombreux à s’intéresser à la santé mentale et à la psychiatrie.

Toutefois, la morosité règne parmi les acteurs des soins, les patients et leurs proches : listes d’attentes interminables pour obtenir un rendez-vous, difficultés d’accès à certaines thérapeutiques, déstabilisation due à la crise de la Covid-19, discours simplistes ou caricaturaux… La psychiatrie a pourtant profondément évolué au cours des dernières décennies.

Ce livre est donc né d’une double ambition. D’une part, permettre au lecteur d’embrasser ce que sont santé mentale et psychiatrie en France au quart de ce siècle. D’autre part, porter un plaidoyer citoyen, afin de faire de la psychiatrie une grande cause nationale.

Trois axes structurent l’ouvrage : les troubles et thérapeutiques ; l’organisation des soins ; la place de la santé mentale dans nos sociétés avec l’éclairage des sciences humaines.

De façon inédite, 114 auteurs, issus de toute la France, médecins, directeurs d’hôpitaux, universitaires, soignants, personnes concernées, représentants institutionnels, dessinent, chacun dans leur champ, les grands enjeux d’aujourd’hui et de demain, pour imaginer le monde d’après.

Œuvre collective dans la nuit, ce livre se veut un pas sur le chemin de l’aurore.",978-2848749884,https://m.media-amazon.com/images/I/61pGVuQHGxL._SY522_.jpg,Les Etudes Hospitalières édition (22 mai 2024),LEH Edition,Ethique
"L’épreuve d’entretien professionnel – CAPES, CAPEPS, CAPET, CAPLP: L’essentiel à connaître – 2024",17.87,"Cet ouvrage permet de préparer l&#39épreuve d&#39entretien professionnel des concours de l&#39enseignement secondaire (CAPES, CAPEPS, CAPET, CAPLP).

Cet ouvrage accompagne les candidats dans leur préparation de l’épreuve d’entretien professionnel des concours de l’enseignement secondaire (CAPES, CAPEPS, CAPET, CAPLP).
LE CONTENU
Ce livre propose les fondamentaux pour comprendre et réussir l’épreuve :
• des conseils méthodologiques pour travailler l’oral et connaître les différentes formalités ;",978-2759053346,https://m.media-amazon.com/images/I/71Vxe24-4aL._SY522_.jpg,STUDYRAMA (10 janvier 2024),Marie-Véronique Hémard,Ethique
Petit traité des grandes vertus,9.7,"Mieux vaut enseigner les vertus, disait Spinoza, que condamner les vices. Il ne s&#39agit pas de donner des leçons de morale, mais d&#39aider chacun à devenir son propre maître, comme il convient, et son unique juge. Dans quel but ? Pour être plus humain, plus fort, plus doux, plus libre. Les vertus sont nos valeurs morales, mais incarnées : toujours singulières, comme chacun d&#39entre nous, toujours plurielles, comme les faiblesses qu&#39elles combattent ou redressent. Il n&#39y a pas de Bien en soi. Le bien n&#39existe pas ; il est à faire, et c&#39est ce qu&#39on appelle les vertus. Ce sont elles que je me suis données ici pour objet : de la politesse à l&#39amour, dix-huit chapitres sur ces vertus qui nous manquent (mais point totalement : comment pourrions-nous autrement les penser ?), et qui nous éclairent.
A. C.-S.",978-2253257523,https://m.media-amazon.com/images/I/81-CLdv5I1L._SY522_.jpg,Le Livre de Poche (19 septembre 2018),André Comte-Sponville,Ethique
101 questions à se poser: Trouve en toi les réponses que personne d&#39autre ne peut te donner,11.95,"Ce livre te pose 101 questions. Des questions qui t&#39aideront à mieux te comprendre. Des questions qui te permettront de te redécouvrir. Des questions auxquelles tu dois répondre honnêtement, même si cela peut faire mal.

Ce livre peut être résumé par cette citation : « Un sage ne donne pas les bonnes réponses, mais pose les bonnes questions. » Les solutions à tes problèmes, tu ne peux les trouver qu&#39en toi-même. Car en fin de compte, tu es le seul à pouvoir ouvrir ton cœur.

Laisse derrière toi le stress de la vie quotidienne pendant un moment. Commence le voyage le plus important de ta vie : Le voyage à la rencontre de soi-même.",979-8388075970,https://m.media-amazon.com/images/I/61RAHD9pCJL._SY522_.jpg,Independently published (22 mars 2023),Sofia Briffaut,Ethique
"Le livre pnl: Le grand livre sur le développement personnel, le comportement humain, le intelligence emotionnelle et le pouvoir de la confiance de soi - Inclus pnl exercices",9.19,"*** Version mise à jour et améliorée du 29.08.2023 ***

La PNL pour les débutants - Livre sur le développement personnel

L&#39état d&#39esprit et le développement d&#39une personne sont considérablement influencés par le subconscient. Cependant, la plupart des gens ne sont pas conscients de ce fait, ou bien, n&#39ont tout simplement pas les connaissances nécessaires pour pouvoir utiliser efficacement ces informations.
Les sentiments, les actions, le langage corporel, et les décisions sont intimement liés à notre subconscient et contribuent donc inévitablement à notre succès ou à notre échec. Ne serait-il pas formidable de pouvoir influencer et apprendre à programmer son propre subconscient ?
***
Avec le livre La PNL pour les débutants, qui est aussi un livre sur la confiance en soi, vous apprendrez à programmer votre propre état d&#39esprit, et à utiliser une communication assertive. Ne donnez plus de place aux pensées négatives et remplacez-les par des structures de pensées positives, appelées psychologie positive. Cela n&#39est pas seulement bénéfique pour votre niveau de stress et votre bien-être, pour toute la confiance en soi que vous pouvez acquérir... C&#39est aussi pour améliorer votre intelligence émotionnelle et comprendre le langage corporel des autres, mais également la pierre angulaire d&#39une vie épanouie.",979-8825184425,https://m.media-amazon.com/images/I/61S-RVCBh+L._SY522_.jpg,Independently published (12 mai 2022),Louis-Arthur Girard,Ethique
