Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"Histoire, géographie et géopolitique du monde contemporain: 2e année",23.9,,978-2749552262,https://m.media-amazon.com/images/I/81B-HiIzV7L._SY522_.jpg,BREAL (21 juin 2022),Alexandra Monot,Geographie humaine
Géohistoire - Une autre histoire des humains sur la Terre,24.0,"""Quand la géographie éclaire l&#39 histoire. Lumineux et nécessaire !"" Erik Orsenna
Et si la meilleure façon de raconter l&#39histoire du monde, c&#39était de commencer par sa géographie ?
En mobilisant la géologie, l&#39anthropologie, la climatologie, la démographie, la génétique ou encore l&#39économie, Christian Grataloup dessine dans ce livre lumineux et pionnier une autre histoire des sociétés humaines. En confrontant toutes ces disciplines à nos connaissances historiques, il raconte pourquoi et comment les civilisations sont apparues sur la Terre, se sont développées ou ont
parfois disparu. Une histoire qui est aussi humaine qu&#39environnementale. Une histoire globale. Une géohistoire.",979-1037510150,https://m.media-amazon.com/images/I/615VynOYY1L._SY522_.jpg,Les Arènes; Illustrated édition (19 octobre 2023),Christian Grataloup,Geographie humaine
"Environnements : approches géographiques: Des repères et des thèmes de réflexion, une bibliographie raisonnée, des sujets types",15.18,"L&#39ouvrage incontournable pour comprendrela nouvelle question de géographie du CAPES externe 2025 d&#39histoire-géographie, préparer efficacement le concours et le réussir.
La nouvelle question de géographie du CAPES externe 2025 d&#39histoire-géographie dans la collection CAPES Amphi Géographie.Trois parties (Comprendre, Recherche, S&#39entraîner) pour comprendre les enjeux de la question, maîtriser les connaissances et les cartes essentielles et les différentes épreuves. Un ouvrage indispensable pour préparer efficacement le concours et le réussir.",978-2749555270,https://m.media-amazon.com/images/I/61HJXjYjvML._SY522_.jpg,BREAL; 1er édition (17 octobre 2023),Frank Paris,Geographie humaine
Une histoire populaire des bistrots,28.9,"À quelques minutes du premier confinement lors de la crise de la Covid-19, toutes les chaînes d’information envoyèrent leurs journalistes interroger ceux qui savouraient « les derniers instants de liberté » dans les bistrots des grandes villes. Plus tard, la réouverture des mêmes cafés marquait la joie collective d’un lieu essentiel retrouvé. Les bistrots, leurs terrasses, leur sociabilité étaient devenus le centre névralgique d’affects politiques et moraux, qu’ils n’avaient jamais cessé de porter. Et la France redécouvrait qu’ils faisaient sa réputation à l’étranger.
Du débit de boissons de 1789 au comptoir du XXIe siècle, en passant par les caboulots du petit matin, les auberges de terroir, les grands cafés parisiens, ceux du commerce ou des sports, les grandes brasseries de province, cet ouvrage restitue la palette incroyablement riche de ce lieu familier. Les jeux et divertissements, la fréquentation féminine, l’âge d’or de l’apéro, la guinguette, l’importance du garçon de café, la figure de l’habitué… l’auteur explore toute la complexité du bistrot, poste d’observation privilégié de l’évolution de notre société.
Le café s’affirme en lieu d’Histoire, parcouru lui-même par d’innombrables histoires, au ras du quotidien.

Spécialiste de Montmartre et de la sociabilité artistique au XIX",978-2380944594,https://m.media-amazon.com/images/I/817dDl4mvaL._SY522_.jpg,Nouveau Monde Editions; Illustrated édition (25 octobre 2023),Laurent BIHL,Geographie humaine
Le Japon - 111 faits incroyables sur le Japon: Découvertes et curiosités d’un pays fascinant,9.95,"Fasciné par le Japon et ses secrets bien gardés ? Avez-vous déjà rêvé de découvrir les trésors cachés de ce pays d&#39une richesse culturelle incroyable ?

Plongez dans ""111 faits incroyables sur le Japon : Découvertes et curiosités d&#39un pays fascinant"", un voyage inoubliable à travers la culture, les traditions et les paysages à couper le souffle du Japon. De la forêt mystérieuse d&#39Aokigahara aux sanctuaires shinto, en passant par les concerts de robots et les îles aux lapins, chaque page vous emmène dans une aventure surprenante.

Imaginez vous déambulant dans les ruelles animées de Tokyo, partageant un moment de quiétude dans les onsens, ou savourant la beauté des cerisiers en fleurs... Grâce à ce livre, vous pouvez",979-8396980167,https://m.media-amazon.com/images/I/71ZinAibFRL._SY522_.jpg,Independently published (2 juin 2023),111 FunFacts,Geographie humaine
,11.86,,,,,,Geographie humaine
Atlas mondial de l&#39eau: Défendre et protéger notre bien commun,14.16,"L&#39eau est la ressource la plus précieuse sur la Terre. Irremplaçable pour l&#39homme, l&#39eau est pourtant menacée, parfois mal gérée, souvent inaccessible. Comment donner un accès à l&#39eau pour tous ? Cet atlas propose un tour d&#39horizon autour de divers aspects : - L&#39eau, ressource vitale, abondante mais mal répartie, qui révèle des inégalités sociales et de genre. - L&#39eau, bien commun menacé par la surexploitation, les pollutions agricoles, industrielles et urbaines. - Préserver les ressources en eau et leur qualité : un défi sanitaire et social, économique et environnemental, mais aussi et surtout un choix politique. Cette nouvelle édition, grâce aux plus de 100 cartes et schémas mis à jour, dresse un tableau complet des défis auxquels le monde est aujourd&#39hui confronté pour une meilleure gestion de l&#39eau.",978-2746763012,https://m.media-amazon.com/images/I/71jae55iQTL._SY522_.jpg,AUTREMENT; 4e édition (16 février 2022),David Blanchon,Geographie humaine
,10.66,,,,,,Geographie humaine
Les littoraux français,6.61,"L&#39ouvrage incontournable pour comprendre la nouvelle question de géographie du CAPES externe 2025 d&#39histoire-géographie, les littoraux français, préparer efficacement le concours et le réussir.

Les littoraux français, la nouvelle question de géographie du CAPES externe 2025 d&#39histoire-géographie dans la collection CAPES Amphi Géographie.
Trois parties (Comprendre, Recherche, S&#39entraîner) pour comprendre les enjeux de la question, maîtriser les connaissances et les cartes essentielles et les différentes épreuves.
Un ouvrage indispensable pour préparer efficacement le concours et le réussir.",978-2749555706,https://m.media-amazon.com/images/I/61F1s1phfTL._SY522_.jpg,BREAL (12 décembre 2023),Frank Paris,Geographie humaine
Le Creuset français: Histoire de l&#39immigration (XIXe-XXe siècle),12.1,"Le Creuset français est désormais un « classique » sur l’immigration. Dans le débat passionnel que suscite ce thème, Gérard Noiriel fait entendre la voix de l’histoire et de la raison. Il propose de rendre compte de l’immigration dans son ensemble, sans s’en tenir aux seuls cas particuliers. L’immigration n’est pas un fait extérieur mais un problème interne à la société française contemporaine.
Prendre au sérieux la diversité des origines de la population actuelle de la France, c’est adopter un autre point de vue sur son passé, c’est écrire autrement son histoire, en tentant d’analyser à nouveaux frais les impensés de la politique républicaine : quelle place faire à la question des « origines », au « sentiment d’appartenance » ? Quel rôle jouent le déracinement et les déracinés dans la constitution d’une société ? Quelles relations instaurer entre l’État et les individus ?",978-2757857786,https://m.media-amazon.com/images/I/71NrHjrXzeL._SY522_.jpg,POINTS (7 janvier 2016),Gérard Noiriel,Geographie humaine
Sociologie de l’environnement,14.0,"LA référence pour le sujet de Sociologie de l&#39agrégation de Sciences économiques et sociales

Tout ce dont le candidat a besoin pour le sujet de Sociologie de l&#39agrégation externe de Sciences économiques et sociales. Comme tous les Clefs-concours, l’ouvrage est structuré en trois parties : - Repères : un rappel des concepts et de leur histoire - Thèmes : comprendre les enjeux du programme - Outils : pour retrouver rapidement une définition, une date, une référence",978-2350309354,https://m.media-amazon.com/images/I/61X+AZeYz+L._SY522_.jpg,ATLANDE (12 décembre 2023),Paul Cary,Geographie humaine
Atlas mondial des matières premières: Incertitudes et défis,12.48,"Assurer son approvisionnement, valoriser ses ressources naturelles et réussir la transition énergétique.Nourrir les hommes, répondre à leurs besoins énergétiques et préserver l&#39environnement : ce sont les grands enjeux du monde d&#39aujourd&#39hui et de demain.- Grands métaux industriels, hydrocarbures, métaux rares, produits agricoles, bois et même eau douce : toutes ces matières premières sont devenues des biens qui s&#39échangent dans le monde entier.- Quels choix stratégiques opérer dans un contexte d&#39épuisement des ressources et d&#39instabilité des marchés ?- Acteurs, enjeux socio-économiques et environnementaux : comment mettre en place une économie des matières premières réellement durable et solidaire.Les 100 cartes et infographies, entièrement mises à jour pour cette nouvelle édition, nourrissent la réflexion face au défi d&#39une gestion raisonnée de ces matières premières.",978-2746755758,https://m.media-amazon.com/images/I/81y0ZB8Cy4L._SY522_.jpg,AUTREMENT; 3e édition (9 septembre 2020),Bernadette Mérenne-Schoumaker,Geographie humaine
Pirates,26.9,"Sans foi ni loi, dépravé, meurtrier sanguinaire prêt à tout pour s’emparer de galions remplis d’or, telle est l’image populaire du pirate qui hante nos imaginaires. La fiction a pris le pas sur la réalité et passe sous silence une autre vérité : une existence dangereuse, souvent courte où l’objectif n’est pas d’abattre le premier adversaire venu mais de rester en vie.
L’archéologue Jean Soulat raconte pour la première fois la véritable histoire des pirates, derrière la légende. Grâce à ses expéditions archéologiques menées dans l’océan Indien, il dresse un portrait inédit de ces forbans, du fameux Barbe Noire à Jack Rackham, en plein âge d’or de la piraterie aux XVIIe et XVIIIe siècles.
Vous découvrirez leur quotidien, les conditions de vie à bord des navires, le fonctionnement de leurs bases dans les îles des Caraïbes et de l’océan Indien, et le rôle central qu’ils ont joué dans la mondialisation.",978-2379353918,https://m.media-amazon.com/images/I/71VohjuKPfL._SY522_.jpg,ALISIO; 1er édition (31 octobre 2023),Jean Soulat,Geographie humaine
La France en perspectives: Imaginer 2050,25.0,"Imaginer la France de 2050. Imaginer les enjeux et les nouveaux équilibres socioéconomiques du pays. Dans quel environnement vivrons-nous dans un contexte de changement climatique ? Une réindustrialisation du pays est-elle possible ? Quel visage aura l&#39école et comment seront formés les travailleurs de demain ? Comment seront organisés les systèmes de santé ? Quels seront les défis démographiques et sociaux d&#39une France vieillissante ? Les auteurs, grâce à une cartographie riche de plus de 200 documents, répondent à toutes ces questions, dégagent les grandes tendances et ouvrent la réflexion sur les défis auxquels la France va être confrontée dans les 25 prochaines années.",978-2080427779,https://m.media-amazon.com/images/I/71-bTdbqRvL._SY522_.jpg,AUTREMENT (22 mai 2024),GILLI Frédéric,Geographie humaine
Histoire d&#39une montagne,17.5,"Un traité géographique qui est aussi une méditation poétique et morale, par l&#39anarchiste Reclus.",978-2742761876,https://m.media-amazon.com/images/I/61pcwD8P5yL._SY522_.jpg,Babel (4 octobre 2006),Elisée Reclus,Geographie humaine
"Histoire, géographie et géopolitique du monde contemporain: 2e année",23.9,,978-2749552262,https://m.media-amazon.com/images/I/81B-HiIzV7L._SY522_.jpg,BREAL (21 juin 2022),Alexandra Monot,Geographie humaine
Atlas du Moyen-Orient: Aux racines de la violence,15.82,"Les plus de 80 cartes et documents, entièrement mis à jour, nous éclairent sur les origines multiples des violences au Moyen-Orient, cet ensemble géopolitique allant de la Turquie au Yémen, et de l&#39Égypte à l&#39Iran. - Les racines historiques des conflits actuels depuis l&#39effondrement de l&#39Empire ottoman. - Les impasses politiques des régimes autoritaires et les dérives nationalistes, islamistes et sionistes. - Pétrole, gaz, eau, terres : des ressources stratégiques très disputées. - Les intérêts et stratégies des grandes puissances dans la région. Dans les conflits du Moyen-Orient, en Syrie, au Yémen, en Irak, en Israël-Palestine, c&#39est le destin d&#39États, de peuples et de sociétés civiles parfois en lambeaux qui est en jeu. Pour qu&#39une stabilité régionale soit possible, il est ainsi indispensable de comprendre les origines de la violence.",978-2080424167,https://m.media-amazon.com/images/I/71LxVuL9PqL._SY522_.jpg,AUTREMENT; 3e édition (7 juin 2023),Pierre Blanc,Geographie humaine
Ciao Italia !: Un siècle d&#39immigration et de culture italiennes en France,25.0,"Cet ouvrage, qui accompagne l&#39exposition présentée au Musée national de l&#39histoire de l&#39immigration, propose de découvrir la grande diversité des regards portés sur les immigrés italiens venus s&#39installer en France, à travers différentes sources (cinéma, oeuvre d&#39art, récits de vie, articles de presse ou de personnalités politiques).",978-2732480817,https://m.media-amazon.com/images/I/810UTzd5wzL._SY522_.jpg,MARTINIERE BL; Illustrated édition (16 mars 2017),Stéphane Mourlane,Geographie humaine
