Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"Mon combat contre le diabète, l&#39obésité et l&#39apnée du sommeil: Suis-je sortie du diabète type 2 ?",12.03,"MON COMBAT CONTRE LE DIABETE est mon premier livre sur le diabète. Depuis j&#39ai écrit deux livres de recettes pour aider à gérer son diabète : MES RECETTES DE DIABETIQUE A PARTAGER EN FAMILLE.

Je reçois de nombreux message personnels de diabétiques et de personnes obèses ou en surpoids que ce livre a aidé à gérer leur surpoids ou leur diabète.

Ce livre parle du diabète du point de vue du malade. C&#39est mon témoignage. J&#39y décris comment j&#39ai combattu le diabète de type 2 et différentes pathologies qui sont liées à cette maladie :
L&#39obésité",979-8842549009,https://m.media-amazon.com/images/I/615iWBdkntL._SY522_.jpg,Independently published (14 septembre 2022),Mme Anne Reymonet-Valers,Guerison
"Guérison par les 4 Éléments: Équilibre et sagesse de la Terre, l&#39Eau, l&#39Air et le Feu",7.88,"Plongez dans un voyage à la découverte des 4 éléments fondamentaux qui éveillent la guérison et l&#39équilibre de notre être.
Découvrez comment les 4 éléments - terre, eau, air et feu - résonnent en chacun de nous, influençant notre bien-être physique, émotionnel et spirituel. Explorez les multiples facettes de leur impact sur notre vie quotidienne, ainsi que les déséquilibres qu&#39ils peuvent causer.
À travers des connaissances approfondies de la sagesse essénienne, Guilhem Cayzac vous guidera vers des solutions pour rétablir l&#39équilibre des éléments en vous.
Au-delà de ces 4 éléments connus, découvrez l&#39existence d&#39un cinquième élément qui transcende les autres. Explorez sa réalité et son pouvoir transformateur, et apprenez à intégrer cette dimension supérieure dans votre quête d&#39équilibre et de guérison.",979-8861317009,https://m.media-amazon.com/images/I/71wp6m1FFhL._SY522_.jpg,Independently published (23 septembre 2023),Guilhem Cayzac,Guerison
"Vos mains guérissent, votre parole soigne: Magnétiseurs, énergéticiens, guérisseurs, coupeurs de feu, leurs puissantes techniques de guérison à votre portée !",14.97,"Note importante concernant les BONUS inclus:
De nombreux lecteurs et lectrices n&#39étant pas à l&#39aise avec les fichiers .zip à dézipper ou le QR code à flasher, nous avons donc modifié la manière d&#39obtenir tous les bonus promis dans ce livre. La procédure a été simplifiée pour rendre l&#39accès plus facile à toutes et tous. Ainsi, plus aucun souci de téléchargement des bonus!

Franck Ribaldy et Gérard Bissman dévoilent plusieurs techniques puissantes de guérison et applicables par toutes et tous. Nul besoin de connaissances particulières, d&#39un don quelconque ou encore d&#39être croyant pour soigner et soulager les petits soucis et autres maux de la vie courante.

Vous avez déjà tout ce qu&#39il faut naturellement. Il suffit de révéler ce qui sommeille en vous !

Ce livre vous permettra aussi d&#39effectuer de multiples exercices fiables, de maîtriser les gestes indispensables, de pratiquer des soins sur vous-même et les autres, mais aussi sur les animaux de compagnie.

Mais ce n&#39est pas tout. L&#39ancrage, la sylvothérapie ou encore la reformulation verbale n&#39auront plus de secrets pour vous !",979-8784588906,https://m.media-amazon.com/images/I/61PleX+PslL._SY522_.jpg,Independently published (15 décembre 2021),Franck Ribaldy,Guerison
"Utiliser correctement les antibiotiques végétaux comme alternative naturelle: Utiliser les plantes médicinales antibiotiques et antivirales de la nature, fabriquer soi-même un antibiotique",17.52,"Utiliser correctement les antibiotiques végétaux comme alternative naturelle
Utiliser les plantes médicinales antibiotiques et antivirales de la nature, fabriquer soi-même un antibiotique

Parfois, notre système immunitaire ne parvient pas à venir seul à bout des bactéries ou des virus et nous devons le soutenir. Souvent, nous avons alors recours aux antibiotiques.
Ne serait-ce pas formidable si, avec l&#39aide de plantes médicinales naturelles, tu pouvais renoncer à l&#39utilisation d&#39antibiotiques pharmaceutiques ? Si tu pouvais non seulement lutter contre les maladies, mais aussi les prévenir, et ce uniquement grâce à la force de la nature ?
La nature nous offre de nombreuses plantes médicinales qui peuvent nous aider non seulement contre les bactéries et les virus, mais aussi contre les champignons et autres micro-organismes. Pendant des milliers d&#39années, leur efficacité était connue et elles ont été utilisées avec succès. Mais avec la découverte de la pénicilline, une grande partie des connaissances a été perdue dans la population actuelle.
Pourtant, l&#39avantage est évident, notamment dans le domaine des maladies bénignes et surtout de la prévention, car il n&#39y a pratiquement pas d&#39effets secondaires et aucune résistance n&#39apparaît. De plus, les remèdes naturels sont faciles à obtenir et à utiliser pour tout le monde.",978-3988393944,https://m.media-amazon.com/images/I/71PdM0NgIIL._SY522_.jpg,Expertengruppe Verlag (6 juin 2023),Evelyn Schneider-Mark,Guerison
Se Debarrasser de Ses Douleurs: Les gestes simples de la méthode Tao,7.29,"Qui n&#39a pas souhaité, quelle que puisse être l&#39intensité de ses douleurs, s&#39en débarrasser de façon instantanée ou, au minimum, les atténuer ?
C&#39est ce que propose ce livre, grâce à des gestes simples issus de la médecine traditionnelle chinoise millénaire.
Ils seront efficaces dans un grand nombre de situations (hors blessure), ainsi que nous l&#39avons constaté et testé à de multiples reprises.
De culture taoïste, Weiming Shi pratique depuis longtemps cet enseignement ancestral qu&#39il partage avec générosité et humilité pour soulager des cas douloureux allant de la migraine ou de la sinusite au blocage du dos ou d&#39un bras, de l&#39impossibilité de marcher à une douleur chronique de la hanche...",979-1096132294,https://m.media-amazon.com/images/I/51a-3oN2whL._SY522_.jpg,Talma Studios (15 août 2019),Weiming Shi,Guerison
LES POUVOIRS DE LA CONSCIENCE LES CLÉS DE L’INCONSCIENT: Outils précieux pour évoluer ou pour reprendre le contrôle de sa vie,16.13,"Si vous avez essayé maintes thérapies sans succès.
Si vous êtes seul moralement dans la vie et que vous n’arrivez pas à résoudre vos problèmes.
Si vous sentez que vous ne pouvez compter que sur vous-même pour trouver la voie de la guérison et du bien-être moral.
Alors, ce livre est fait pour vous !

Il s’agit d’un manuel d’auto-thérapie psychanalytique. Vous serez donc acteur de votre thérapie.
Au fil des chapitres, vous allez découvrir mes théories qui vous feront évoluer en toute autonomie et de manière progressive. Des exercices thérapeutiques inédits sont prévus à cet effet et proposés dans cet ouvrage.
Au fil des pages, vous allez acquérir des connaissances qui lèveront le voile sur les causes de vos difficultés et de vos blocages.
Vous allez apprendre une foule d’informations sur la conscience et l’inconscient et cela vous permettra, assurément, de voir plus clair en vous. Ainsi, vous aurez les compétences nécessaires pour régler vos problèmes en toute autonomie.",979-8833044117,https://m.media-amazon.com/images/I/51pt3IUXf5L._SY522_.jpg,Independently published (13 juin 2022),Olda BUCH,Guerison
"Fast Like a Girl: A Woman&#39s Guide to Using the Healing Power of Fasting to Burn Fat, Boost Energy, and Balance Hormones",24.24,"Includes a 30-Day fasting reset that uses the power of your cycle - even if you no longer have one!

A go-to fasting manual created specifically to address women&#39s needs based on their hormones and menstrual cycle by Dr. Mindy Pelz, a well-known expert on women and fasting, whose fast-growing YouTube channel has become the destination for women who want to learn about fasting.

Are you among the many women who feel unheard and unseen by their doctors and health professionals? Have you become exhausted by the promise of quick-fix diets that only leave you disappointed? Well in Fast Like a Girl, Dr. Mindy helps you to take back control of your health by using the quickest path back to better health-fasting.

While most fasting advice has been a one-size-fits-all approach that leaves women with more questions than answers, in this book Dr. Mindy shares the proven strategies, specific protocols to use if you are trying to overcome a condition, fasting hacks, and tools that she has used to help hundreds of thousands of women thrive with their fasting lifestyles.

Dr. Mindy will teach you:

- the rights steps on how to go from eating all day to intermittent fasting (13-15 hours)

- how to safely fast longer if you choose to do so (15-72 hours)

- how to time fasting according to your menstrual cycle (although if you don&#39t have a cycle, she has you covered)

- the best foods to break your fast to achieve better metabolic health

This book also includes more than 50 recipes based on the two food plans - ketobiotic and hormone feasting - she created to best support women&#39s hormones. And, it has recipes specifically created to break a fast such as her Coconut Cacao Chia Pudding.

Inspired by the thousands of women she has worked with who have reclaimed their health with fasting, Dr. Mindy wrote this book because, ""once a woman knows how to build a fasting lifestyle around her cycle, she becomes unstoppable.""",978-1401969929,https://m.media-amazon.com/images/I/61czCs8Z6iL._SY522_.jpg,Hay House Inc (27 décembre 2022),Dr. Mindy Pelz,Guerison
LaHoChi de la Treizième Octave. La Puissance des Archanges: Dela découverte à la Maîtrise,6.6,"Evolution stupéfiante du LaHoChi, le LaHoChi de la 13ème Octave vous place en résonance avec les plus hautes fréquences énergétiques disponibles actuellement.
Plongez dans un océan de sensations bienfaisantes et de découvertes vibrantes grâce à cette technique ultime de séances énergétiques. Que vous soyez novice ou initié, ce livre vous enseignera des méthodes simples et puissantes pour revitaliser votre corps, équilibrer votre esprit et nourrir votre âme., Le LaHoChi de la Treizième Octave, canalisé à l&#39origine par Linda Dillon va vous aider à renforcer votre conscience, à vous libérer du stress et à réveiller votre potentiel créatif et votre spiritualité. Que vous souhaitiez trouver un soulagement des tensions quotidiennes, arriver à des états de relaxation régénératrices, explorer de nouvelles dimensions de conscience, ce livre est votre passeport vers un bien-être global.",979-8850860301,https://m.media-amazon.com/images/I/71ALoZaX93L._SY522_.jpg,Independently published (3 juillet 2023),Eric Riquet,Guerison
"Manuel Reiki Usui degré 4: Maître - Enseignant, souffle violet & souffle vital, syntonie de guérison, initiation du coeur & d&#39ancrage",15.08,"Ce manuel s&#39adresse aux initiés ou aux personnes en devenir. Il contient les cours complets permettant d&#39acquérir le niveau : Maître Enseignant de Reiki USUI. Vous y étudierez les nouveaux symboles du Maître-enseignant, ainsi que les processus d&#39initiations aux 4 niveaux Reiki. Il contient également, les indispensables et puissants outils de soins et d&#39ancrage des Maîtres Enseignants de la lignée traditionnelle USUI : La syntonie de guérison, l&#39initiation du coeur, l&#39ancrage par les pieds, le souffle violet et le souffle vital (KI).

Dans ce cours, tous les protocoles nécessaires à l&#39initiation de vos élèves sont expliqués pas à pas et sont très illustrés (en couleur). Ceci afin d&#39en faciliter leurs compréhensions ainsi que leurs intégrations définitives.

Clair et intuitif, ce support de cours est destiné aux Maîtres enseignants ou à celles et ceux en devenir.",979-8778414921,https://m.media-amazon.com/images/I/61BvFLFcv-L._SY522_.jpg,Independently published (8 décembre 2021),Nicolas ORLER,Guerison
Lahochi : le manuel pour comprendre et pratiquer,9.9,"Le guide pratique pour découvrir et pratiquer le Lahochi.
L&#39intérêt du Lahochi réside dans sa facilité d&#39accès et sa puissance, pour faire circuler l&#39énergie vitale. Après la lecture de cette méthode, et quelques heures de pratique, vous pourrez ressentir l&#39énergie et pratiquer des séances énergétiques, sur vous-même ou sur les autres.

Une méthode concrète, que chacun peut suivre pas à pas, et qui fonctionne, avec des exercices pour les 5 grandes positions des mains.

Voici les grandes parties du livre :
-",979-8578379086,https://m.media-amazon.com/images/I/61NsXUFI-5S._SY522_.jpg,Independently published (8 décembre 2020),Olivier Remole,Guerison
