Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Invincible - Intégrale T12,29.95,Le récit final des aventures de Mark Grayson - alias Invincible - et d'Atom Eve s'étend d'un bout à l'autre de l'univers de la série. Chacune des histoires développées depuis plus de 15 ans mène à ce moment : la fin de toutes choses...,978-2413048695,https://m.media-amazon.com/images/I/81Ov93PXoNL._SY522_.jpg,Delcourt (29 mai 2024),Ryan Ottley
Astérix - Astérix aux jeux olympiques - n°12,10.9,Astérix et Obélix veulent faire participer leur village aux Jeux olympiques pour faire front aux occupants romains de leur contrée : ils réussiront au-delà de toute espérance...,978-2012101449,https://m.media-amazon.com/images/I/81m+erEZdGL._SY522_.jpg,HACHETTE ASTERIX; Nouvelle édition (20 janvier 2005),René Goscinny
Lightfall: Le Temps des Ténèbres (3),19.42,"Les lumières se sont éteintes sur Irpa. Alors que les rescapés de la bataille de Rinn entament une longue marche pour trouver refuge à Baihle, Béa et Cad font route vers la Citadelle des Savoirs, accompagnés du Cochon-Sorcier et de leur ami arsaï. Les menaces se multiplient au fil du voyage, qu'elles proviennent des ombres ou de cette boue hostile qu'on appelle la Fange. Mais la rencontre avec une alliée inattendue va lever le voile sur un secret immémorial... et apporter une nouvelle lueur d'espoir.",978-2075194549,https://m.media-amazon.com/images/I/71VqD4dmhfL._SY522_.jpg,GALLIMARD BD; Illustrated édition (24 avril 2024),Tim Probert
Les Royaumes de Feu: La bande dessinée-Le piège de glace (7),17.0,,978-2075204453,https://m.media-amazon.com/images/I/81mkn758fML._SY522_.jpg,GALLIMARD JEUNE; Illustrated édition (13 juin 2024),Tui T. Sutherland
Lightfall: L'Ombre de l'Oiseau (2),19.9,"À l'issue d'une bataille épique, l'Oiseau Kest, Destructeur du Soleil, s'est emparé de la dernière flamme. D'un jour à l'autre, les lumières menacent de disparaître de la surface d'Irpa... Cherchant désespérément une solution pour sauver la planète, la jeune Béa et son ami Galdurien, Cad, partent à la recherche de l'esprit des eaux, censé leur donner des réponses... Mais ce sont de nouvelles questions qui les attendent. Dans l'impasse, ils devront faire un choix : arrêter l'oiseau mythique ou découvrir la vérité. La quête lumineuse et fantastique continue... Un nouveau voyage à couper le souffle dans le monde magique d'Irpa !",978-2075156318,https://m.media-amazon.com/images/I/81p0tf8ZVZL._SY522_.jpg,GALLIMARD BD; Illustrated édition (17 août 2022),Tim Probert
Astérix - Astérix le gaulois - n°1,10.9,"La toute première histoire d'Astérix, pour faire connaissance avec la troupe des irréductibles Gaulois.
à partir de 6 ans.",978-2012101333,https://m.media-amazon.com/images/I/618+ej+x29L._SY445_SX342_.jpg,HACHETTE ASTERIX; Illustrated édition (16 juin 2004),René Goscinny
Dark Knights of Steel tome 2,12.33,"Aux portes de la mort, Batman se cache pour essayer de se remettre de ses blessures et de la trahison de son frère d'armes, Kal-El. Loin de là, la bataille pour les Trois Royaumes s'enveniment et prend vite une tournure dramatique, alors que les ennemis se révèlent et que de sombres secrets se répandent comme le sang sur le champ de bataille... Les héros parviendront-ils à éviter à cette guerre l'issue la plus funeste ?",979-1026825609,https://m.media-amazon.com/images/I/71-DaSdislL._SY522_.jpg,URBAN COMICS; Illustrated édition (17 mai 2024),TAYLOR Tom
Brume - Tome 02: La Forêt des âmes perdues,7.64,"Le grand frisson
Après avoir terrassé le dragon, Brume apprend qu'elle est en possession du grimoire de Naïa, la puissante sorcière qui veillait jadis sur son village et qui a disparu depuis de longues années. La fillette est bien décidée à dissiper le mystère qui entoure cette disparition ! Toujours accompagnée de son fidèle assistant, le petit cochon Hubert, et d’Hugo son meilleur ami, Brume entreprend la plus dangereuse des quêtes : trouver l'antre de Naïa ! La bâtisse se situerait au plus profond de la forêt des âmes perdues, or selon la légende, quiconque pénètre dans ces bois hantés se perd pour l'éternité... Nos aventuriers vont rapidement se retrouver en très mauvaise posture car dans les profondeurs de la forêt, là où le soleil ne brille jamais, une créature terrible rôde... Brume va-t-elle réussir à s’approcher de Naia et à rassembler par la même occasion les morceaux de sa propre histoire ? Perdus, nos trois amis sortiront-ils indemnes de leur expédition ? Toujours aussi drôle et inventive,",978-2344056424,https://m.media-amazon.com/images/I/81hG3R5GRvL._SY522_.jpg,Glénat BD; Illustrated édition (3 janvier 2024),Jérôme Pélissier
Predator Versus Wolverine : Toutes griffes dehors,19.0,"Vous pensiez tout savoir sur Wolverine ? Vous vous trompiez ! Un membre de la race des Yautja, plus connue par le grand public sous le nom de Predator, cherche à traquer la proie la plus dangereuse ayant jamais existé. Le mutant nommé Logan est un bon candidat, non ? Un affrontement qui survole plusieurs époques.

Ça n'est pas la taille des griffes qui compte… mais quand même un peu ! Avec le rachat de la Fox par Disney, les grands monstres du studio hollywoodien, Alien et Predator, peuvent désormais interagir avec l'univers Marvel. Aux rênes de cette saga haletante, Benjamin Percy, un habitué des aventures de Wolverine puisqu'il scénarise sa série depuis le début de la période House of X !",979-1039125352,https://m.media-amazon.com/images/I/8170-6P94CL._SY522_.jpg,Panini (22 mai 2024),Benjamin Percy
Sorceline - Tome 06: Mystère et boule de gnome !,12.5,"Nouvelle saison sur l’île de Vorn. Après l’initiation aux soins magiques, place aux travaux pratiques !
L’île de Vorn revêt sa robe rougeoyante comme celle du petit phénix recueilli par Sorceline et ses amis. Mais les teintes chaleureuses de l’automne peinent à réchauffer l’atmosphère car les leçons du nouveau professeur, Vorn, donnent froid dans le dos. Il est clair que le saigneur de l’île ne partage pas la même passion pour les créatures fantastiques que ses jeunes élèves et on est bien loin des cours prodigués cet été par le bienveillant professeur Archibald Balzar ! Malgré tout, Sorceline, Merode, Willa, Charlie, Alcide, Tara et Arlène, soigneurs dans l’âme, poursuivent, seuls et en secret, leur apprentissage en fantasticologie. À la recherche des meilleurs remèdes, ils s’improvisent pharmagiciens. Le travail ne manque pas avec les créatures blessées par Vorn puis bientôt, celles victimes de mystérieuses attaques nocturnes. De son côté, Sorceline n’oublie pas sa mission personnelle : pénétrer l’esprit de Vorn pour libérer son père emprisonné dans l’un des rêves de ce dernier. Dans cette quête, la jeune fille fera une terrible découverte !",978-2749310008,https://m.media-amazon.com/images/I/811KyIwhhqL._SY522_.jpg,Vents d'Ouest; Illustrated édition (18 octobre 2023),Sylvia Douyé
