Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Comment échapper à l&#39infarctus et l&#39AVC,26.9,"Ce livre s&#39adresse aux familles et à leurs médecins. Son but : vous aider à prendre les bonnes décisions aux bons moments pour échapper à l&#39infarctus et à l&#39AVC.

Les maladies cardio-vasculaires restent la première cause de décès dans tous les pays. Selon le Dr de Lorgeril, nous savons désormais comment les empêcher car des progrès majeurs ont été réalisés ces douze dernières années.
Comment naissent et se développent les plaques d&#39athérosclérose ? Quels sont les mécanismes qui provoquent l&#39infarctus et l&#39AVC ? Quelles sont les personnes à risque et surtout comment neutraliser ce risque ? Le Dr de Lorgeril apporte des réponses très claires à ces questions en s&#39appuyant sur les études scientifiques les plus récentes et avec de nombreux cas cliniques édifiants.",978-2365495530,https://m.media-amazon.com/images/I/61mRxC2pDwL._SY522_.jpg,Thierry Souccar (28 avril 2022),Michel de Lorgeril,Insuffisance cardiaque
Prévenir l&#39infarctus et l&#39accident vasculaire cérébral,26.99,"Malgré les progrès de la cardiologie, l&#39infarctus reste la première cause de décès prématuré, l&#39AVC est la troisième.
Le Dr Michel de Lorgeril vous dit comment vous protéger naturellement et efficacement des maladies cardiovasculaires sur la base des données scientifiques les plus récentes.
Son message n°1 : l&#39efficacité et l&#39utilité de la plupart des traitements
conventionnels sont remises en cause aujourd&#39hui
Si vous espérez améliorer votre espérance de vie en prenant un médicament contre le cholestérol, un autre contre l&#39hypertension, un autre contre le diabète, en débouchant vos artères avec des stents, vous vous trompez et vous allez découvrir pourquoi.
Son message n°2 : vous pouvez réduire considérablement votre risque
en adoptant une nutrition et un mode de vie protecteurs
Cette nutrition et ce mode de vie sont fondés sur les centaines d&#39études scientifiques dont celles conduites par Michel de Lorgeril et ses équipes et publiées dans les plus grands jour naux médicaux. Aujourd&#39hui il les traduit en recommandations concrètes.
Parmi les révélations de ce livre :
. Ce sont les caillots qui bouchent les artères, pas le cholestérol
. L&#39infarctus et les AVC sont des maladies du mode de vie
. Les graisses ne doivent pas être éliminées : certaines sont indispensables
. Les conseils nutritionnels de ce livre sont la meilleure garantie
contre l&#39infarctus et l&#39AVC mais aussi contre l&#39insuffisance cardiaque,
l&#39hypertension, le diabète, la dépression, la maladie d&#39Alzheimer et les cancers


Michel de Lorgeril est cardiologue et chercheur au CNRS et à la Faculté de médecine de Grenoble. Internationalement reconnu pour ces travaux sur l&#39infarctus et les acides gras oméga-3, il est le promoteur du French paradox et de la diète méditerranéenne qui ont révélé l&#39importance de l&#39alimentation pour la santé. Il est l&#39auteur des best-sellers Cholestérol, mensonges et propagande et Dites à votre médecin que le cholestérol est innocent.
Patricia Salen est diététicienne nutritionniste. Elle a été responsable des aspects nutritionnels de la célèbre Etude de Lyon.",978-2916878881,https://m.media-amazon.com/images/I/61t3DTRuS0L._SY522_.jpg,Thierry Souccar (1 décembre 2011),Michel de Lorgeril,Insuffisance cardiaque
"Prévenir les troubles cardiaques grâce à l&#39alimentation, au jeûne et à la biorespiration",14.0,"Les battements du cœur sont à la fois intrigants et rassurants. Intrigants car on ne sait pas toujours très bien interpréter les différents rythmes et sensations cardiaques, et rassurants car leur perception signifie que la vie est là… Si l&#39on sait que le fonctionnement de cet organe échappe à la direction consciente du cerveau et qu&#39il n&#39est pas possible de commander son cœur, on peut toutefois le protéger afin de prolonger son existence. Mais comment faire pour échapper aux maladies cardiovasculaires et à leurs conséquences souvent désastreuses ? Après avoir rappelé le fonctionnement du cœur et des circulations sanguine et pulmonaire, l&#39auteur décrit les différents troubles qui peuvent toucher cet organe essentiel (arythmies, hypertension, infarctus, péricardite, myocardite, etc.) et donne des pistes de prévention. En effet, le cœur est malmené dans nos sociétés modernes à cause du stress, du manque d&#39exercices physiques et de la suralimentation. Or, en modifiant notre alimentation (moins de produits animaux, de sucres et de sel) et en respectant les compatibilités alimentaires, l&#39auteur nous démontre que nous avons déjà le pouvoir de moins fatiguer notre cœur. Si cela n&#39est pas suffisant et que des troubles apparaissent, le jeûne et la biorespiration agiront efficacement pour réduire la toxémie et régénérer le cœur. Dans cet ouvrage à la portée de tous, le célèbre hygiéniste Désiré Mérien prouve que nous pouvons renforcer cet organe vital et ainsi bénéficier d&#39une belle santé jusqu&#39à un âge avancé.",978-2733914236,https://m.media-amazon.com/images/I/61vnYIPwdSL._SY522_.jpg,GRANCHER (12 février 2018),Désiré Mérien,Insuffisance cardiaque
,15.47,,,,,,Insuffisance cardiaque
L&#39alimentation pour les cardiopathes,5.93,"C&#39est à table que l&#39on défend sa santé. C&#39est en respectant un certain nombre de règles d&#39alimentation que l&#39on maintient son bien-être physique, psychique et moral et que l&#39on prévient les problèmes cardiaques. S&#39adressant en priorité aux personnes souffrant de troubles du cœur (cardiaques obèses, diabétiques, dyslipidémiques...), cet ouvrage donnera à tous de nombreux conseils pratiques pour acquérir les règles de base de l&#39alimentation et éviter les plats à risques et les déséquilibres diététiques. Grâce à cet ouvrage complet et précis, avec de nombreux exemples de menus et de recettes adaptés, vous apprendrez à manger avec intelligence et discernement en évitant par exemple le surplus de sucre, le cholestérol (grâce aux recettes de la cuisine méditerranéenne notamment). Vous apprendrez également à remplacer le sel par des épices ou des herbes aromatiques pour relever la saveur d&#39un plat. Pour défendre votre cœur, vivre mieux et sereinement tout en conservant les plaisirs du palais, voici un guide utile, plein d&#39idées d&#39alternatives alimentaires savoureuses et saines !",978-2732815664,https://m.media-amazon.com/images/I/5123P2DN58L.jpg,De Vecchi Editions (28 juin 2003),A Moneta,Insuffisance cardiaque
bien vivre apres un infarctus,13.9,"Aujourd&#39hui le cardiaque n&#39est plus un grand malade ! Il peut retrouver son potentiel de forme et son énergie grâce aux traitements proposés par ses médecins... et grâce à ce livre. L&#39infarctus cause la mort de 40 000 Français chaque année. Il est l&#39une des premières causes de décès en France et dans les pays industrialisés. Mais l&#39infarctus du myocarde ne tue pas à tous les coups : environ 1 personne sur 2 en réchappe. Comment augmenter ses chances d&#39échapper au pire ? Quels sont les gestes qui sauvent en cas de malaise cardiaque ? Que faut-il changer dans sa vie après un infarctus ? C&#39est à ces questions et à bien d&#39autres encore que répond le Dr Michèle Serrand dans ce livre. Alimentation, activité physique, tabac, médicaments, traitements naturels... ce guide pratique aborde tous les aspects importants de la santé cardiovasculaire. Découvrez : les vertus de la diète méditerranéenne ; le rôle essentiel des oméga-3 ; les sports à privilégier après un accident.",978-2914923934,https://m.media-amazon.com/images/I/51KRheZ9K7L._SY522_.jpg,ALPEN (1 septembre 2010),SERRAND MICHELE,Insuffisance cardiaque
"Carnet de suivi de la pression artérielle: 52 semaines de suivi de pression artérielle de façon journalières, Deux Pages par Semaine pour un Suivi ... valeurs quotidiennes de tension artérielle.",6.88,"Suivez votre pression artérielle et votre santé en toute simplicité avec ce carnet de suivi complet.
Ce carnet vous permettra de suivre votre pression artérielle, vos médicaments et vos remarques pendant 52 semaines, soit un an. Il est conçu pour vous aider à surveiller votre santé et à prévenir les maladies cardiovasculaires.
Caractéristiques:
52 semaines de suivi de la pression artérielle
Suivi des médicaments
Espace pour des remarques
Format pratique de 15,24 x 22,86 cm (6 x 9 pouces)
110 pages",,https://m.media-amazon.com/images/I/71VsgPUxFGL._SY522_.jpg,Independently published (22 novembre 2023),Adda bler,Insuffisance cardiaque
L&#39hypertension et ses complications. Quelles aides complémentaires peuvent apporter les thérapies et les interventions non médicamenteuses?,11.07,"Traitement de l&#39hypertension artérielle et de ses complications, et ceci par le biais de 26 thérapies et interventions naturelles non médicamenteuses.",978-2322257584,https://m.media-amazon.com/images/I/71CsYb4POJL._SY522_.jpg,BOOKS ON DEMAND (14 novembre 2020),Sofiane Hassi,Insuffisance cardiaque
,13.95,,,,,,Insuffisance cardiaque
Carnet de Suivi Pression Artérielle: Suivi Journalier de votre Tension Artérielle et votre Fréquence Cardiaque avec 3 Mesures à Noter Matin et Soir,15.19,"L&#39automesure de la pression artérielle est utile pour aider votre médecin à reconnaître si vous êtes hypertendu ou pas et pour évaluer l’efficacité de votre traitement et vérifier si votre tension est suffisamment contrôlée.
Ce carnet vous permet de surveiller et enregistrer votre tension artérielle et votre fréquence cardiaque 6 fois par jours (3 mesures à noter matin et soir)
Veuillez consulter la section ""Description de l&#39éditeur"" pour avoir une idée du superbe intérieur.
Détails du produit:
• page pour les Informations Personnelles, contact d&#39urgence et médecins traitants
• Suivi de rendez-vous médicaux
• Suivi de médicaments
• 2 pages (Pourquoi, Quand et Comment mesurer votre tension artérielle) + Conseils
• 111 pages de suivi pression artérielle (3 jours de suivi par page), Vous pouvez y inscrire les éléments suivants:
⋅ Date
⋅ Tension artérielle (3 mesures matin / 3 mesures soir)
⋅ Pouls
⋅ Moyenne du jour
⋅ Remarque
• 120 pages
• Dimensions 15.24 x 22.86 cm",,https://m.media-amazon.com/images/I/71K7nGVN8yL._SY522_.jpg,Independently published (10 mai 2024),BADZIN EDITIONS,Insuffisance cardiaque
