Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
L&#39Impératrice Remariée T01,14.95,"Destinée depuis sa naissance à devenir l’impératrice du Grand Empire de l’Est, Naviæ n’a vécu que pour honorer son titre et son pays. Un jour, pourtant, l’arrivée d’une jeune fille dont son mari semble s’être épris va remettre sa position en question. En proie au doute et à la mélancolie, la souveraine fait alors la rencontre d&#39un grand et bel oiseau porteur d&#39un message secret. Intriguée, elle décide de se prendre au jeu. Qui peut bien se cacher derrière cette correspondance mystérieuse ?",978-2811689155,https://m.media-amazon.com/images/I/81xYMLBrFKL._SY522_.jpg,Pika (3 juillet 2024),HereLee,Josei
Et plus si affinités ? - (Coffret intégrale),7.55,"Et plus si affinités ? est une série adorable, mettant en scène deux adolescents déjà en couple. Avec humour et réalisme, Akari Hatta signe une romance aussi efficace que bienveillante.
Minami est une fille sérieuse, issue d&#39une famille aux règles strictes. Toutefois, en secret, elle fréquente depuis quelque temps le beau Tôdô, qu&#39elle a rencontré à son petit boulot. De quatre ans son aîné, Tôdô se montre très peu tactile à l&#39égard de sa petite amie... Minami a pourtant très envie que leur relation passe à la vitesse supérieure, mais elle ne sait pas comment le lui dire. Jusqu&#39au jour où, malencontreusement, elle laisse traîner au travail un des mangas coquins dont elle raffole...",978-2385690243,https://m.media-amazon.com/images/I/61ROO7TePnL._SY522_.jpg,Akata; Illustrated édition (7 mai 2024),Akari Hatta,Josei
L&#39amour est dans le thé - Tome 03,7.9,"Le projet d&#39organiser des mariages dans les champs pour promouvoir le thé d&#39Isshin est tombé à l&#39eau ! Chako, qui voulait contribuer à l&#39essor de la plantation, déprime après l&#39avoir mise dans une situation délicate. Isshin élabore donc un plan pour résoudre leur problème, mais le prix à payer sera plus grand qu&#39ils l&#39imaginent !
Confrontés à une crise majeure imminente dans leur vie de jeunes mariés, nos faux tourtereaux verront leur “amour” mis à l&#39épreuve !",978-2344058626,https://m.media-amazon.com/images/I/81gOxseb8hL._SY522_.jpg,Glénat Manga; Illustrated édition (15 mai 2024),Umebachi Yamanaka,Josei
My Love Story With Yamada-kun at LVL 999 T01,7.95,"Quand un jeu vidéo devient la meilleure appli de rencontre...
Dans un donjon comme en amour, il faut être prêt à parer les coups !

Akane vient de se faire larguer par son petit ami, qui l&#39a trompée sur un jeu en ligne. Le coeur brisé, elle décide de se connecter sur le jeu auquel ils avaient l&#39habitude de jouer ensemble et se défoule sur des ennemis de bas niveau pour évacuer sa tristesse et se changer les idées. C&#39est là qu&#39elle rencontre Yamada, un joueur de sa guilde avec un avatar pour le moins atypique. Elle se confie à lui sur sa récente rupture amoureuse, mais il se montre froid et ne semble pas vouloir discuter avec elle.

Plus tard, Akane se fait belle et se rend à une convention du jeu dans l&#39espoir d&#39y croiser son ex-petit ami et de lui faire regretter de l&#39avoir quittée. Elle tombe alors nez à nez avec un beau jeune homme qui, avec son attitude froide, lui rappelle étrangement Yamada...",979-1035505547,https://m.media-amazon.com/images/I/71+1wLDfL3L._SY522_.jpg,Mana Books (19 septembre 2024),Mashiro,Josei
Nodame Cantabile T03,16.0,"Pour le concert du festival, Stresemann dirige l’orchestre A, qui va interpréter un concerto pour piano dont le pianiste ne sera autre que Chiaki ! Conscient que ce sera probablement son dernier concert avec Stresemann, l’aspirant chef d’orchestre décide de se surpasser. Loin de se laisser démonter, les musiciens de l’orchestre S se jurent de faire en sorte que leur représentation reste dans les mémoires et décident de monter sur scène... costumés !",978-2811684389,https://m.media-amazon.com/images/I/81bIaz11KhL._SY522_.jpg,Pika (5 juin 2024),Tomoko Ninomiya,Josei
La Concubine rebelle - Chroniques du pays radieux - Tome 2,6.99,"Entre ruses et secrets, laissez-vous embarquer par les intrigues de La Concubine rebelle, une série de fantasy asiatique mettant en scène une héroïne au caractère bien trempé qui est contrainte de trouver sa place dans un palais hostile.
Alors que l&#39empereur Zhu Li semble partager les sentiments de Sarannah et qu&#39ils se sont promis de bâtir ensemble un monde plus juste, celui-ci choisit d&#39épouser Ban Liang, la fille d&#39un ministre influent. L&#39irruption de cette nouvelle venue, qui tente de se rapprocher de Sarannah pour des raisons inconnues, pourrait bien mettre en danger la place de notre héroïne au sein du palais intérieur...",978-2382126400,https://m.media-amazon.com/images/I/71XKB2kwiNL._SY522_.jpg,Akata; Illustrated édition (23 mai 2024),Hiromi Ebira,Josei
Dorohedoro T06,12.99,"L&#39univers de Q.Hayashida est aussi violent et surprenant, que novateur. Découvrez dans cette série, les bases de ce monde post-apocalyptique, où des factions de mutants et de survivants se livrent une guérilla sans merci. Ce seinen de qualité saura vous transporter dans un univers souvent immersif aux graphismes hors du commun.",978-2302004467,https://m.media-amazon.com/images/I/91UQkCsnDzL._SY522_.jpg,Soleil (17 décembre 2008),HAYASHIDA-Q,Josei
L&#39amour est dans le thé - Tome 02,7.9,"Chako ment sur sa relation avec Isshin afin de repousser son ex-fiancé. Mais ce mensonge s&#39ébruite dans le voisinage, les obligeant de continuer à jouer la comédie. Entre émissions télévisées et séjour aux sources thermales, la nouvelle vie des deux faux tourtereaux est bien mouvementée !",978-2344058367,https://m.media-amazon.com/images/I/81pdRkRtOGL._SY522_.jpg,Glénat Manga; Illustrated édition (21 février 2024),Umebachi Yamanaka,Josei
Colette: Mémoires d&#39une maison close,12.94,"Paris, début du XXe siècle. Colette travaille dans une maison close où ses journées consistent à satisfaire les moindres fantasmes de ses clients. Elle et les autres filles se soutiennent, s’entraident, connaissent des joies mais aussi des peines. Pour échapper à ce quotidien d&#39oiseau en cage, la seule source de bonheur de Colette se niche dans ses rendez-vous avec Léon, sans être sûre que cet amour soit réciproque. Alors, lorsque ce dernier ne vient plus la voir, le désespoir s’empare d’elle…",978-2811674823,https://m.media-amazon.com/images/I/81MTyGfbPML._SY522_.jpg,Pika; Illustrated édition (15 novembre 2023),Moyoco Anno,Josei
My Love Story With Yamada-kun at LVL 999 T02,7.95,"Quand un jeu vidéo devient la meilleure appli de rencontre...
Dans un donjon comme en amour, il faut être prêt à parer les coups !

Peu de temps après l&#39avoir rencontré en jeu, Akane commence à côtoyer Yamada dans la vie réelle et son intérêt pour lui ne cesse de grandir. Invitée par la cheffe Princesse Ruri, Akane décide de participer à une convention avec les autres membres de sa guilde. Lors de l&#39événement, Akane parle à une jolie fille qui ressemble à s&#39y méprendre à l&#39avatar de Ruri, mais contre toute attente... celle-ci lui réserve un accueil glacial !

Les rebondissements s&#39enchaînent dans le quotidien d&#39Akane et de Yamada, où vie réelle et vie fictive s&#39entremêlent. Leur amitié en jeu pourrait-elle prendre une tout autre tournure dans la vie réelle ?",979-1035506353,https://m.media-amazon.com/images/I/71idbwB6FHL._SY522_.jpg,Mana Books (19 septembre 2024),Mashiro,Josei
