Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
,7.36,,,,,,Litterature humouristique
Itinéraire d&#39un con,15.94,"Jacques Billon, 37 ans, a un sentiment récurent depuis sa jeunesse, le sentiment d&#39être parfois pris pour un con. Jusqu&#39au jour où il décide de sauter le pas en passant un test de Q.I pour en avoir le coeur net.
Le verdict tombe, 83, soit 2 points en dessous de la moyenne. Jacques est débile léger. Mais il ne l&#39entend pas de cette oreille et va tout faire pour se prouver à lui et aux autres qu&#39il n&#39est pas con.
Cette quête à l&#39intelligence va le forcer à sortir de sa zone de confort et lui offrir un destin extraordinaire.
À la fois comique et touchant, Itinéraire d’un con est le récit d’un homme en décalage avec son monde, qui interroge la notion d&#39intelligence, tout en dépeignant les tribulations d&#39un homme déterminé à prouver son identité au-delà des stéréotypes.",979-1041512119,https://m.media-amazon.com/images/I/51iTpqzHQGL._SY522_.jpg,afnil (23 avril 2024),Baptiste Lorber,Litterature humouristique
Le Club des Parents (presque) au Bout du Rouleau,9.57,"Bienvenue dans le merveilleux monde des parents. Celui où tout le monde en bave mais personne ne le dit. Et surtout pas Lise. Elle a tout pour être heureuse. Un mari qui l’aime, un travail qu’elle a choisi et 2 enfants qui la comblent de bonheur. Oui, enfin ça, c’est la théorie. Parce qu’en vérité, Lise est épuisée. À force de vouloir plaire à tout le monde, elle en a oublié l’essentiel : prendre soin d’elle. Et si un club un peu spécial pouvait l’aider à reprendre le contrôle de sa vie ?

*** Roman feelgood pour aider les parents à déculpabiliser ! ***

"" J&#39ai pris énormément de plaisir à lire ce livre 😍. Il est génial ! Je l&#39adore. J&#39ai envie de l&#39offrir à plusieurs de mes amies.""",978-2494446052,https://m.media-amazon.com/images/I/61OJeMKTmyL._SY522_.jpg,,Anne Bezon,Litterature humouristique
Il n&#39est jamais trop tard pour libérer les licornes,15.99,"Et si votre moi de 10 ans vous demandait où sont passés vos rêves ?
À 28 ans, Manon, directrice financière d’une agence d’événementiel habite seule à Paris dans un appartement bien ordonné. Ses rêves d’enfant ? Elle les a enfouis et oubliés depuis longtemps. Mais, lorsque sa boss l’envoie en urgence au siège à Ibiza, et qu’elle débarque dans la colocation d’Arturo le ténébreux, Jeanne la fée bohème et Mattéo le séducteur, sa vie prend une tout autre direction.

Manon osera-t-elle enfin lâcher ses dossiers professionnels pour laisser libre cours à sa fantaisie ? Et si ses colocataires l’aidaient à remonter le passé et à l’accepter enfin, cela mettrait-il en péril son avenir ? Ou le redéfinirait-il ?",979-8825087252,https://m.media-amazon.com/images/I/61P+M0pVGsL._SY522_.jpg,Independently published (6 juin 2022),Mélodie Miller,Litterature humouristique
Le coup de la tranche de jambon - Une anthologie du canular,18.0,"Pour leur offrir la postérité qu&#39ils méritent, cette petite anthologie rassemble un florilège des plus malicieux canulars élaborés au cours des deux derniers siècles.
On y croise l&#39anglais Theodor Edward Hook, auteur en 1810 à Londres du premier canular, er d&#39un embouteillage monstre dans la capital anglaise ; le français Victor Celmas, inventeur du Coup de la tranche de jambon et de celui de la ficelle, qui fut l&#39un des auteurs les plus prolixes de canulars dans la France d&#39après guerre ; ou l&#39américain Alan Abel, fondateur d&#39une association de lutte contre l&#39indécence animale qui, écumant dans les années 60 les émissions de télé pour expliquer la nécessité d&#39habiller les animaux, réalisa le plus long canular de l&#39histoire.
Ce livre nous fait aussi découvrir la face méconnue de certaines stars qui, de Hitchcock à Francis Blanche ou Alphonse Allais, se révèlent être des auteurs compulsifs de canulars.

Que la farce soit avec vous !",978-2370734921,https://m.media-amazon.com/images/I/51S2GULOoTL._SY522_.jpg,Allary (7 mai 2024),Matthias Debureaux,Litterature humouristique
"La Furia #10: Fort comme une bête, libre comme un Dieu",14.9,,978-2958693541,https://m.media-amazon.com/images/I/81uhniAf+CL._SY522_.jpg,LA FURIA (16 mai 2024),Papacito,Litterature humouristique
,7.44,,,,,,Litterature humouristique
The Female Quixote,16.49,"Beautiful and independent, Arabella has been brought up in rural seclusion by her widowed father. Devoted to reading French romances, the sheltered young woman imagines all sorts of misadventures that can befall a heroine such as herself. As she makes forays into fashionable society in Bath and London, many scrapes and mortifications ensue - all men seem like predators wishing to ravish her, she mistakes a cross-dressing prostitute for a distressed gentlewoman, and she risks her life by throwing herself into the Thames to avoid a potential seducer. Can Arabella be cured of her romantic delusions? An immediate success when it first appeared in 1752, The Female Quixote is a wonderfully high-spirited parody of the style of Cervantes, and a telling and comic depiction of eighteenth-century English society.",978-0140439878,https://m.media-amazon.com/images/I/61DNi2CoKnL._SY522_.jpg,Penguin Classics (28 septembre 2006),Charlotte Lennox,Litterature humouristique
Expérience de mort imminente,6.65,,978-2384220274,https://m.media-amazon.com/images/I/41OVkAry91L.jpg,MAGNUS; Illustrated édition (29 février 2024),Marsault,Litterature humouristique
Le guide zéro tabou de la grossesse par Elodie Arnould - Tout ce qu&#39on ne vous dit pas et plus encore: Tout ce qu&#39on ne vous dit pas et plus encore,14.95,"Humoriste, Elodie Arnould est aussi une maman qui a eu envie de dévoiler tout ce que vous (ne) voulez (pas) savoir sur les joies de la grossesse !
Enfin, le vrai visage de la grossesse révélé !

Si tu cherches un guide édulcoré, passe ton chemin ! Ici, on parle de flatulences, d&#39hémorroïdes, de nuits sans sommeil, de crises d&#39angoisse...
Un guide qui débute avec le désir de grossesse, en passant par la découverte de la (à priori) bonne nouvelle, puis des 9 mois qui s&#39ensuivent : mois par mois, Élodie n&#39enjolive rien et c&#39est hilarant. Alors si tu veux vraiment savoir ce qui t&#39attend au cours de ta grossesse et connaître les infos essentielles, dévore ce témoignage criant de vérité !

De la salivation d&#39escargot, aux culottes en filet en passant par les selles noires de femme enceinte... rien ne te sera épargné !",978-2412068373,https://m.media-amazon.com/images/I/617LwQBcBWL._SY522_.jpg,First; Illustrated édition (23 septembre 2021),Elodie Arnould,Litterature humouristique
Siècle Furieux,6.64,,978-2384220199,https://m.media-amazon.com/images/I/81akGRC9ttL._SY522_.jpg,MAGNUS (18 janvier 2024),Papacito,Litterature humouristique
The Lord of the Rings,5.34,"For the first time ever, a very special edition of the classic masterpiece, illustrated throughout in colour by the author himself and with the complete text printed in two colours.
Since it was first published in 1954, The Lord of the Rings has been a book people have treasured. Steeped in unrivalled magic and otherworldliness, its sweeping fantasy and epic adventure has touched the hearts of young and old alike. Over 150 million copies of its many editions have been sold around the world, and occasional collectors’ editions become prized and valuable items of publishing.
This one-volume hardback edition contains the complete text, fully corrected and reset, which is printed in red and black and features, for the very first time, thirty colour illustrations, maps and sketches drawn by Tolkien himself as he composed this epic work. These include the pages from the Book of Mazarbul, marvellous facsimiles created by Tolkien to accompany the famous ‘Bridge of Khazad-dum’ chapter. Also appearing are two removable fold-out maps drawn by Christopher Tolkien revealing all the detail of Middle-earth.",978-0008471286,https://m.media-amazon.com/images/I/71-k7upkQjL._SY522_.jpg,HarperCollins; Single-volume illustrated edition (14 octobre 2021),J. R. R. Tolkien,Litterature humouristique
,13.27,,,,,,Litterature humouristique
MA NOUNOU S&#39HABILLE EN PRADA,6.27,"Alix est une quadragénaire qui n&#39a jamais eu d&#39enfant et pour cause, son mari et elle ne les supportent pas.
Pour autant, le destin va l&#39entraîner vers le métier d&#39assistante maternelle.
Issue d&#39un milieu populaire, aujourd&#39hui embourgeoisée, elle ne parvient toujours pas à se débarrasser de son langage fleuri, ce qui ne facilitera pas son travail auprès des petits qu&#39elle nomme, ""les têtards"".
""La formation, les puéricultrices, l&#39agrément, les parents... c&#39est beaucoup de bordel pour décrotter de p&#39tits culs qui vous pètent au nez quand on leur retire la couche, nan ?""
Pas à pas, Alix découvre les différentes étapes de la profession, entre déboires et joies inattendues.
Attention, chers lecteurs et lectrices, c&#39est parti ! Comme elle, riez, pleurez, grincez des dents, énervez vous, avec Alix, tout est permis !",979-8866627820,https://m.media-amazon.com/images/I/614SrixQRTL._SY522_.jpg,Independently published (6 novembre 2023),Sylvie BOUGEOT,Litterature humouristique
The Last Devil To Die: The Thursday Murder Club 4,12.38,"THE FOURTH NOVEL IN THE RECORD-BREAKING, MILLION-COPY BESTSELLING THURSDAY MURDER CLUB SERIES BY RICHARD OSMAN

----------

‘The rightful king of crime’ i News
&#39Deeply moving... some of his best writing yet&#39 Telegraph

Shocking news reaches the Thursday Murder Club.

An old friend in the antiques business has been killed, and a dangerous package he was protecting has gone missing.

As the gang springs into action they encounter art forgers, online fraudsters and drug dealers, as well as heartache close to home.

With the body count rising, the package still missing and trouble firmly on their tail, has their luck finally run out? And who will be the last devil to die?

----------",978-0241992401,https://m.media-amazon.com/images/I/71KxJWnYxZL._SY522_.jpg,Penguin; Heruitgave édition (2 mai 2024),Richard Osman,Litterature humouristique
Happy Place: A shimmering new novel from #1 Sunday Times bestselling author Emily Henry,12.38,"&#39Hilarious and wise… Another knockout’ Taylor Jenkins Reid
&#39One of my favourite authors&#39 Colleen Hoover
‘A must-read book of the year’ Lauren Asher

-----

Two exes. One pact.
Could this holiday change everything?

Harriet and Wyn are the perfect couple - they go together like bread and butter, gin and tonic, Blake Lively and Ryan Reynolds.

Every year, they take a holiday from their lives to drink far too much wine with their favourite people in the world.

Except this year, they are lying through their teeth, because Harriet and Wyn broke up six months ago. And they",978-0241995365,https://m.media-amazon.com/images/I/71pRDBuStRL._SY522_.jpg,Penguin; 1er édition (1 mars 2024),Emily Henry,Litterature humouristique
The Curious Incident of the Dog in the Night-time: The classic Sunday Times bestseller,15.7,"OVER TEN MILLION COPIES SOLD

The Curious Incident of the Dog in the Night-Time is a murder mystery novel like no other.

The detective, and narrator, is Christopher Boone. Christopher is fifteen and has Asperger&#39s Syndrome. He knows a very great deal about maths and very little about human beings. He loves lists, patterns and the truth. He hates the colours yellow and brown and being touched. He has never gone further than the end of the road on his own, but when he finds a neighbour&#39s dog murdered he sets out on a terrifying journey which will turn his whole world upside down.

&#39Outstanding...a stunningly good read&#39",978-0099450252,https://m.media-amazon.com/images/I/817Hy5vKSmL._SY522_.jpg,Vintage; 1er édition (1 avril 2004),Mark Haddon,Litterature humouristique
Lessons in Chemistry: The modern classic multi-million-copy bestseller,12.4,"Discover the must-read Sunday Times and New York Times bestseller, the perfect uplifting summer read, now a major Apple TV series starring Brie Larson.

&#39The most charming, life-enhancing novel I&#39ve read in ages&#39 Sunday Times

‘A page-turning and highly satisfying tale’ – Maggie Shipstead, author of Great Circle

___________

Your ability to change everything - including yourself - starts here",978-1804990926,https://m.media-amazon.com/images/I/71sDDGFkInL._SY522_.jpg,Penguin; 1er édition (21 février 2023),Bonnie Garmus,Litterature humouristique
The Spanish Love Deception,16.39,"Catalina Martín est désespérée. Pour ne pas arriver seule au mariage de sa soeur - auquel assisteront son ex et sa fiancée -, elle a assuré à toute sa famille en Espagne qu&#39elle viendrait avec son petit ami américain. Sauf que celui-ci n&#39existe pas. Et voilà que ce qui n&#39était qu&#39un mensonge inoffensif est à présent hors de contrôle. Quatre semaines avant les festivités, elle ne voit aucune issue. C&#39est alors qu&#39Aaron Blackford, un collègue exaspérant, se propose pour le rôle. Plutôt mourir que de passer un week-end avec ce type aussi froid que l&#39hiver new-yorkais ! Pourtant, l&#39échéance se rapproche et Catalina doit se rendre à l&#39évidence : Aaron est sa seule chance de s&#39en tirer la tête haute.",978-2290404690,https://m.media-amazon.com/images/I/51sCzb38PwL._SY522_.jpg,J&#39AI LU (3 avril 2024),Elena Armas,Litterature humouristique
The Bee Sting: Shortlisted for the Booker Prize 2023,12.4,"WINNER OF THE NERO BOOK AWARD FOR FICTION 2023
WINNER OF AN POST IRISH BOOK OF THE YEAR 2023
SHORTLISTED FOR THE BOOKER PRIZE 2023
SHORTLISTED FOR THE WRITERS’ PRIZE FOR FICTION 2024
SHORTLISTED FOR THE KERRY GROUP NOVEL OF THE YEAR 2024
ONE OF SARAH JESSICA PARKER’S BEST BOOKS OF 2023

Book of the Year 2023 according to New York Times, New Yorker, The Sunday Times, The Economist, Observer, Guardian, Washington Post, Lit Hub, TIME magazine, Irish Times, The Oldie, Daily Mail, i Paper, Independent, The Standard, The Times, Kirkus, Daily Express, City A.M.",978-0241984406,https://m.media-amazon.com/images/I/81XXt5iiw+L._SY522_.jpg,Penguin; 1er édition (27 avril 2024),Paul Murray,Litterature humouristique
Le livre de cul dont vous êtes l&#39héroïne - Pleine Lune,15.38,"Si vous ne craignez pas un orgasme littéraire, ouvrez ce livre et régalez-vous !
Il existe nombre de livres dont vous êtes le héros, mais aucun dont vous êtes l&#39héroïne.
C&#39est chose réparée avec Pleine lune.
Vous voilà l&#39héroïne, drôle et libérée, au cours d&#39une nuit où tout est permis.
Au diable les trolls et l&#39heroic fantasy, bienvenue à la fête et l&#39amour libre.
Maîtresse du jeu, vos rencontres seront déterminées par les choix que vous ferez au fil des pages, pour de nombreuses possibilités coquines à explorer.
Goûtez au bonheur de sortir, suivre un homme, séduire des femmes, et esquivez les déconvenues (ex collant, MST, jouisseur précoce...)

Si vous ne craignez pas un orgasme littéraire, ouvrez ce livre et régalez-vous !",978-2364905689,https://m.media-amazon.com/images/I/61LR8Yn1zoL._SY522_.jpg,La Musardine (19 mai 2022),Aurélie Stefani,Litterature humouristique
Petit Livre de - 150 idées pour emmerder ses collègues,5.93,"Dans la veine des 150 idées pour emmerder le monde, retrouvez 150 trucs et autres inventions délirantes pour emmerder vos collègues ! Assistante trop bavarde, patron tyrannique ou collègue hypocrite… débarrassez-vous ENFIN de ces (trop présents) collègues que vous avez sur le dos TOUS LES JOURS ! 5 façons d’agacer votre collègue : - Se positionner derrière votre collègue pendant de longues minutes afin de regarder par-dessus son épaule ce qu’il fait. - Faire claquer ses ongles. - Se racler bruyamment le fond de la gorge à intervalles réguliers. - Agrafer ensemble toutes les feuilles posées sur le bureau de votre collègue. - Éteindre systématiquement la lumière en quittant le bureau d’un collègue. Petite blague pour faire Ch*** votre collègue Reconfigurez l’écriture de son clavier Azerty en choisissant un autre clavier et la langue de votre choix ! Sous PC, allez dans « Panneau de configuration », « options régionales »…",978-2754059398,https://m.media-amazon.com/images/I/61G0jfm0IIL._SY522_.jpg,First (6 mars 2014),Laurent Gaulet,Litterature humouristique
The Book of Bill,26.18,"Did you miss him? Admit it, you missed him.

The demon that terrorized Gravity Falls is back from the great beyond to finally tell his side of the story in The Book of Bill, written by none other than Bill Cipher himself.

Inside, Bill sheds light on his bizarre origins, his sinister effects on human history, the Pines family’s most embarrassing secrets, and the key to overthrowing the world (laid out in a handy step-by-step guide). This chaotic and beautifully illustrated tome contains baffling riddles, uncrackable ciphers, lost Journal 3 pages, ways to cheat death, the meaning of life, and a whole chapter on Silly Straws. But most importantly, The Book of Bill is deeply, deeply cursed.

Alex Hirsch, #1",978-1368092203,https://m.media-amazon.com/images/I/81O6JfipQhL._SY522_.jpg,Hyperion Avenue; Illustrated édition (23 juillet 2024),Alex Hirsch,Litterature humouristique
,11.45,,,,,,Litterature humouristique
One Day: Now a major Netflix series,11.13,"***Out now: David Nicholls&#39s new novel YOU ARE HERE***

THE MULTI-MILLION COPY BESTSELLER, NOW A MAJOR NETFLIX SERIES

&#39A wonderful, wonderful book&#39
THE TIMES",978-0340896983,https://m.media-amazon.com/images/I/71fz-GT-c6L._SY522_.jpg,Hodder Paperbacks (4 février 2010),David Nicholls,Litterature humouristique
