Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Proctologie pratique,16.86,,978-2225838002,https://m.media-amazon.com/images/I/51PMJMZ4SQL.jpg,Elsevier Masson; 4e éd. édition (30 avril 1999),Denis,Maladies transmissibles
Manuel d&#39infectiologie appliquée en anesthésie réanimation et médecine péri-opératoire,16.55,"Complet et pratique, le Manuel d&#39Infectiologie appliquée en anesthésie-réanimation et médecine péri-opératoire du Collège National des Enseignants d&#39Anesthésie et de Réanimation fournit aux internes et médecins anesthésistes-réanimateurs les connaissances en infectiologie indispensables pour leur pratique quotidienne. Elaboré par plus de 45 experts de l&#39infectiologie, cet outil didactique, illustré de nombreuses figures, tableaux, et algorithmes décisionnels propose 5 parties : - Physiopathologie - Outils diagnostiques - Outils thérapeutiques - Situations cliniques (orientations diagnostiques et terrains spécifiques, infection selon le site, infection selon le micro-organisme) Médecine péri-opératoire Un manuel amené à devenir une référence dans la discipline.",978-2869067820,https://m.media-amazon.com/images/I/81JiSASgbPL._SY522_.jpg,RABELAIS; Illustrated édition (9 septembre 2021),Claire Dahyot-Fizelier,Maladies transmissibles
Cold war triangle : How scientists in East and West tamed hiv,5.83,"The extraordinary story of scientists in East and West combatting HIV
A small group of scientists were doggedly working in the field of antiviral treatments when the AIDS epidemic struck. Faced with one of the grand challenges of modern biology of the twentieth century, scientists worked across the political divide of the Cold War to produce a new class of antivirals. Their molecules were developed by a Californian start-up together with teams of scientists at the Rega Institute of KU Leuven and the Institute of Organic Chemistry and Biochemistry (IOCB) of the Academy of Sciences in Prague. These molecules became the cornerstone of the blockbuster drugs now used to combat and prevent HIV. Cold War Triangle gives an insight into the human face of science as it recounts the extraordinary story of scientists in East and West who overcame ideological barriers and worked together for the benefit of humanity.",978-9462701137,https://m.media-amazon.com/images/I/61XlUNisvSL._SY522_.jpg,Leuven University Press; 1er édition (9 octobre 2017),Renilde Loeckx,Maladies transmissibles
Petit manuel pratique pour retrouver l&#39odorat et le goût: Rééduquer l&#39anosmie et l&#39agueusie,15.9,"Un manuel pratique de rééducation du goût et de l&#39odorat pour toutes les personnes qui l&#39ont perdu.

Vous avez été affecté par le Covid et avez perdu brutalement le goût et l&#39odorat ?
Ce petit guide écrit par une orthophoniste spécialisée vous aidera, grâce à ses recommandations et son protocole simples, à entraîner vos sens pour retrouver le goût et l&#39odorat.
Chapitre 1 : Ce qui s&#39est passé pour que vous ayez perdu goût et odorat
? Le goût et l&#39odorat
? Au niveau ORL",978-2807339668,https://m.media-amazon.com/images/I/71ftU5XJePL._SY522_.jpg,DE BOECK SUP; 1er édition (18 janvier 2022),Emmanuelle Albert,Maladies transmissibles
"Elegant Defense, An: The Extraordinary New Science of the Immune System: A Tale in Four Lives",19.36,"National Bestseller
""Gives you all the context you need to understand the science of immunity. ... An Elegant Defense left me with [a] sense of awe.” —Bill Gates, Gates Notes Summer Reading List
The Pulitzer Prize–winning New York Times journalist ""explicates for the lay reader the intricate biology of our immune system"" (Jerome Groopman, MD, New York Review of Books)
From New York Times science journalist Matt Richtel, An Elegant Defense is an acclaimed and definitive exploration of the immune system and the secrets of health. Interweaving cutting-edge science with the intimate stories of four individual patients, this epic, first-of-its-kind book “give[s] lay readers a means of understanding what’s known so far about the intricate biology of our immune systems” (",978-0062698490,https://m.media-amazon.com/images/I/81eb6eIeLpL._SY522_.jpg,Mariner Books; Reprint édition (24 mars 2020),Matt Richtel,Maladies transmissibles
Immune: A journey into the system that keeps you alive - the book from Kurzgesagt,30.96,"The book from the creator of the wildly popular science YouTube channel, Kurzgesagt - In a Nutshell, a gorgeously illustrated deep dive into the immune system that will change how you think about your body forever.
__________

&#39A truly brilliant introduction to the human body&#39s vast system for fighting infections and other threats&#39
JOHN GREEN, #1 New York Times bestselling author of The Fault in Our Stars

&#39Reads as if it&#39s a riveting sci-fi novel . . . a delightful treat for the curious&#39
TIM URBAN, creator of Wait But Why
__________",978-1529360684,https://m.media-amazon.com/images/I/91GTGsONnrL._SY522_.jpg,Hodder & Stoughton; 1er édition (2 novembre 2021),Philipp Dettmer,Maladies transmissibles
Les contemplées,14.52,"À l&#39issue d&#39une manifestation à Tunis, Pauline, jeune Française, est arrêtée et conduite à la Manouba, la prison pour femmes. Entre ces murs, c&#39est un nouvel ordre du monde qu&#39elle découvre, dont les règles lui sont dictées dans une langue qu&#39elle ne comprend pas. Au sein du Pavillon D, cellule qu&#39elle partage avec vingt-huit codétenues, elle n&#39a pu garder avec elle qu&#39un livre, Les Contemplations de Victor Hugo. Des poèmes pour se rattacher à quelque chose, une fenêtre pour s&#39enfuir. Mais bientôt, dans les marges de ce livre, la jeune femme commence à écrire une autre histoire. Celle des tueuses, des voleuses, des victimes d&#39erreurs judiciaires qui partagent son quotidien, lui offrent leurs regards, leurs sourires, et lui apprennent à rester digne quoi qu&#39il arrive.",978-2290394571,https://m.media-amazon.com/images/I/61WGbxCPYIL._SY522_.jpg,J&#39AI LU (7 février 2024),Pauline Hillier,Maladies transmissibles
Tant de bouches à guérir...des parasites qui les vampirisent: Vaincre la parodontite,26.38,"Cet ouvrage sur la parodontite est le fruit de l&#39expérience d&#39un homme, chercheur et dentiste, à la découverte des bactéries et des parasites qui colonisent la bouche. Mark Bonner pointe la douloureuse ignorance des personnes atteintes de cette insidieuse affection. Par une méthode révolutionnaire décrite avec passion, rigoureuse sur le plan scientifique, il nous prouve à l&#39évidence que l&#39on peut retrouver son sourire et des dents solides. Il est urgent que les chirurgiens-dentistes de ce siècle redeviennent des "" médecins de la bouche "" considérant que la perte des dents n&#39est pas une fatalité. Ce livre s&#39adresse au grand public - son bien-être en dépend - et à tous les thérapeutes dentaires désireux de guérir leurs patients. Il suscite la réflexion et emporte l&#39adhésion par sa bonne humeur contagieuse et sa rage de convaincre. Un ouvrage décapant, vif, savoureux et spontané qui se lit par tous avec jubilation.",978-2930353753,https://m.media-amazon.com/images/I/6199p8N1CWL._SY522_.jpg,Amyris (17 novembre 2023),Mark Bonner,Maladies transmissibles
Can You Catch A Cold?: Untold History & Human Experiments,11.21,"The idea that the common cold and influenza are spread via coughing, sneezing, and physical contact has been firmly implanted in our minds since childhood. However, the results of human experiments cast doubt on this theory. Researchers have failed to consistently demonstrate contagion by exposing healthy people directly to sick people or their bodily fluids. These findings suggest that our understanding of infectious disease is incomplete and challenges the long-held belief that a cold or flu can be ‘caught’.

So, what might be causing these seasonal afflictions, and why do they appear to spread from person-to-person? Can You Catch A Cold? Untold History & Human Experiments answers these questions by delving into the historical records, investigating past pandemics, exploring human psychology, and reviewing more than 200 contagion studies. With over 1,000 citations, no stone has been left unturned in the pursuit of unravelling this age-old mystery.",978-1763504400,https://m.media-amazon.com/images/I/5171mukhVqL._SY522_.jpg,Daniel Roytas (23 mars 2024),Daniel Roytas,Maladies transmissibles
Médecine tropicale (6° Éd.),6.36,"Depuis sa première parution il y a 40 ans, sous la direction de Marc Gentilini, Médecine tropicale a acquis une renommée internationale. Cette 6e édition, entièrement réactualisée et en couleurs, reste fidèle au concept original : offrir au lecteur le maximum de renseignements dans un style direct et didactique, reflet de la riche expérience des auteurs. La médecine tropicale se définit comme la prise en charge et le traitement des maladies survenant dans un environnement tropical ou subtropical. Cette pathologie, géographiquement déterminée, n&#39est pas limitée au Sud et se rencontre également au Nord du fait des migrations humaines, mais elle atteint avant tout les populations pauvres des pays en développement La première partie du livre dresse le panorama dans lequel elle s&#39inscrit à travers la géographie, la population mondiale, le développement de celle-ci, les aides internationales ou régionales. Cette vision globale est la condition indispensable pour comprendre les enjeux de santé des pays du Sud. Les parties suivantes sont consacrées à l&#39ensemble des maladies transmissibles, parasitoses, mycoses, maladies bactériennes et maladies virales rencontrées dans l&#39hémisphère austral. Mais aujourd&#39hui, les maladies non transmissibles prennent une place de plus en plus importante dans les pays en voie de développement où cancers, diabète, maladies respiratoires, affections cardiovasculaires, tendent à devenir, ensemble, les principales causes de mortalité. L&#39émergence de ces maladies s&#39ajoute aux affections traditionnelles qui diminuent en pourcentage mais guère en valeur absolue compte tenu de la poussée démographique. Elles revêtent souvent, à cause de l&#39environnement, des aspects originaux exposés pour chaque discipline (hématologie, cardiologie, pneumologie, etc.) : la symptomatologie, les traitements des maladies cosmopolites diffèrent non seulement du fait de leur localisation en zone tropicale mais aussi des difficultés d&#39accès aux traitements de qualité. Il en est de même pour la chirurgie, dont les singularités et les carences sont le reflet de la précarité en moyens matériels et humains. Une partie entière est consacrée à la pédiatrie : la population infantile, qui représente la moitié de la population des pays tropicaux, est prioritairement touchée par les conditions socio-économiques et environnementales défectueuses. La prévention des maladies tropicales est exposée à travers la vaccination, la lutte antivectorielle, l&#39assainissement, l&#39éducation sanitaire, les conseils aux voyageurs se rendant dans les pays tropicaux. L&#39ouvrage s&#39achève par une présentation de l&#39épidémiologie adaptée à la zone tropicale. Les études épidémiologiques permettent de planifier rigoureusement les actions de santé communautaire et de rentabiliser au mieux les moyens disponibles, mais elles se heurtent à des difficultés logistiques imposant des méthodes originales et tenant compte de ressources humaines insuffisantes.",978-2257203960,https://m.media-amazon.com/images/I/41UiYS01RtL.jpg,LAVOISIER MSP; 6e édition (26 septembre 2012),Martin DANIS,Maladies transmissibles
