Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Les 7 clés pour se libérer du tabac + une clé secrète: De 80 000 cigarettes à 7 marathons en 7 jours !,11.43,"Dans ce livre, je te raconte mon histoire avec la cigarette pour t&#39aider à mieux comprendre ta relation avec la cigarette. On nous dit souvent à quel point la cigarette est nocive mais on nous dit jamais pourquoi est-ce si difficile d&#39arrêter de fumer.

L&#39addiction au tabac est très complexe car sans nous en rendre compte on devient notre propre adversaire, on fait de ce qui nous tue notre plus grand réconfort, on fait de notre pire ennemie notre meilleure amie, on fait de notre dépendance notre plus belle des récompenses, on fait de notre prison notre liberté et c&#39est ce qui rend l&#39arrêt du tabac si difficile.

J&#39étais persuadé que je ne fumerai jamais et pourtant j&#39ai fumé 80 000 cigarettes. Pendant très longtemps je ne voulais même pas arrêter de fumer tant pour moi la cigarette était indispensable. Puis quand j&#39ai essayé d&#39arrêter, je me suis retrouvé impuissant, je ne tenais pas une demi-journée, j&#39étais alors persuadé que je fumerai toute ma vie car ça me paraissait impossible d&#39arrêter.

Puis la compréhension de cette addiction sera ma révélation et me permettra de m&#39en libérer très facilement. Avant je ne comprenais simplement pas les mécanismes de cette addiction alors j&#39échouais tout le temps. Plus j&#39échouais, plus je pensais être faible et plus ça me paraissait impossible de réussir. J&#39étais dans un cercle vicieux, je m&#39enfonçais chaque jour de plus en plus dans cette spirale où je ne voyais pas d&#39issue.

Tu veux battre cet adversaire qui est la cigarette? Comprend son fonctionnement et tu gagneras !

Je t&#39explique tout dans ce livre :)",979-8864382110,https://m.media-amazon.com/images/I/61-EokAZemL._SY522_.jpg,Independently published (2 novembre 2023),Vincent Pellaumail,Marathon
Mon coach running,18.95,"SE LANCER
PROGRESSER
SE CHALLENGER
Tu as envie de te lancer dans la course à pied ?
De progresser pour atteindre un objectif ?
De performer sur les plus longues courses ?

Dans ce guide, je t&#39accompagne, aux côtés de Julien pour tout savoir
sur la course à pied. Cette discipline n&#39aura plus aucun secret pour toi.
Tu sauras où et quand courir, quoi et quand manger, comment t&#39habiller et t&#39équiper, comment t&#39échauffer et prendre soin de tes muscles, même en cas de blessure.
Tu trouveras des séances de renforcement musculaire, des plans d&#39entraînement pour chaque niveau et des plans d&#39alimentation au quotidien ou en période de compétition.
Bref, tu auras tous les outils pour débuter, progresser et perfomer à ton rythme et selon tes objectifs !

Dans ce livre, je veux partager avec toi ma passion et mon enthousiasme pour la course à pied. Au-delà de la performance sportive et du bien-être qu&#39elle procure, elle est avant tout un état d&#39esprit et une philosophie de vie.",978-2412079249,https://m.media-amazon.com/images/I/51+16vh5FJL._SY522_.jpg,First; Illustrated édition (15 septembre 2022),Dorian Louvet,Marathon
"Courir: De Marathon à Athènes, les ailes aux pieds",22.0,"Ces dernières décennies, un véritable engouement s&#39est développé pour le ""running"", pratique sportive à la portée de tous. Mais pourquoi courons-nous ? Les Grecs furent les premiers à interroger le dépassement physique, cette façon de se mesurer aux autres et à soi-même, y voyant un moyen de renforcer l&#39esprit aussi bien que le corps. Après des années passées entre les livres et les grammaires à essayer de ""penser comme pensaient les Grecs"", Andrea Marcolongo a voulu apprendre à ""courir comme couraient les Grecs"". Des difficiles débuts jusqu&#39à son objectif - courir le marathon sur les traces de Philippidès, premier à accomplir cet exploit il y a deux mille cinq cents ans -, elle nous emmène dans sa découverte de cette pratique, tout en l&#39interrogeant à travers une fascinante lecture des textes anciens. Que l&#39on soit ou non un joggeur convaincu, cette méditation érudite et personnelle offre une passionnante approche de la course, au-delà du phénomène de société, en lui donnant une profondeur philosophique et poétique.",978-2073047489,https://m.media-amazon.com/images/I/81zJ7hlN7PL._SY522_.jpg,GALLIMARD (16 mai 2024),Andrea Marcolongo,Marathon
La science de l&#39endurance: 40 découvertes qui vont améliorer vos performances,18.45,"« Si vous cherchez des réponses claires et documentées scientifiquement aux questions que vous vous posez sur votre pratique des sports d’endurance, lisez ce livre ! »
– Simon Chrétien, Jogging International

Ce livre intègre, synthétise et adapte toutes les dernières découvertes en science de l’endurance et les traduit en conseils pratiques pour les marathoniens, les triathlètes, les traileurs, les cyclistes.
Grâce à lui, vous allez bénéficier dès aujourd’hui des dernières avancées scientifiques qui vous permettront d’optimiser votre entraînement, de progresser sans vous blesser, d’améliorer vos performances et de prendre encore plus de plaisir dans votre sport.",978-2365497817,https://m.media-amazon.com/images/I/616B4ZvaNIL._SY522_.jpg,THIERRY SOUCCAR; Illustrated édition (12 décembre 2023),Dr Fabrice Kuhn,Marathon
Yoga sur chaise pour Magrir: Le guide ultime pour perdre la graisse du ventre en moins de 10 minutes et une forme parfaite avec des exercices simples e pratiques. Defi et Plan alimentaire 28 jours,12.46,"💫 Plongez dans l&#39univers apaisant du ""Yoga sur chaise pour les femmes"" ! 💫

Découvrez comment ce guide révolutionnaire vous permettra d&#39atteindre votre forme et votre poids idéal en seulement 10 minutes par jour, grâce à des exercices simples et efficaces. Que vous soyez novice ou experte, ce livre vous offre une approche holistique pour transformer votre vie.

📘 À l&#39intérieur du livre, vous trouverez des explications claires et détaillées sur les différents aspects du yoga sur chaise :

• Explorez les fondements du yoga, comprenez ses bienfaits pour la santé et découvrez comment cette pratique millénaire peut transformer votre quotidien.

• Plongez dans l&#39univers du yoga sur chaise, une méthode innovante et accessible à tous, en particulier aux femme. Apprenez à tirer parti de ses avantages uniques par rapport au yoga traditionnel.

• Suivez un programme progressif, adapté à votre niveau de compétence. Du programme pour débutantes, avec des postures simples et des séances types sur 28 jours, au programme pour expertes, comprenant des exercices plus avancés et des séances approfondies.

• Explorez également un plan de nutrition sur 30 jours pour compléter votre pratique de yoga et maximiser vos résultats.
•",979-8321149027,https://m.media-amazon.com/images/I/61hqn58aqjL._SY522_.jpg,Independently published (10 avril 2024),Clotilde Morgaut,Marathon
Daniels&#39running formula: Méthode d&#39entraînement du 800 mètres au marathon,24.95,Première adaptation française de ce best-seller ayant fait ses preuves depuis longtemps aux USA (plus de 140 000 exemplaires vendus). Un système de mesure simple permettant de s&#39entraîner efficacement aux bonnes allures. : Une méthode d&#39entraînement équilibrée qui met l&#39accent sur l&#39endurance et permet de progresser sur les longues distances (aucune séance de VMA). Tous les éléments permettant aux coureurs et aux entraîneurs de créer leurs propres plans d&#39entraînement.,978-2851809339,https://m.media-amazon.com/images/I/71Z01hs9nJL._SY522_.jpg,AMPHORA; 3e édition (7 mars 2016),JACK DANIELS,Marathon
"Le Manuel pour Courir Plus Vite : Explose tes Chronos avec la Méthode BSR: Réinvente tes Entraînements, Brise tes Limites, Pulvérise tes Records",9.76,"Dans l&#39univers de la course à pied, chaque seconde gagnée est une victoire. Chaque foulée plus rapide est un pas vers la gloire personnelle. Ce guide n&#39est pas juste une collection de conseils; c&#39est un voyage vers la redécouverte de soi en tant que coureur.

Le Manuel pour Courir Plus Vite avec la Méthode BSR dévoilée dans ces pages n&#39est pas un simple livre sur l’entraînement course à pied, c&#39est une transformation plus complète de l&#39approche envers le running, pour renouer avec une vitesse oubliée par de nombreux runners et traileurs.

La course est une discipline qui demande plus que de l&#39endurance physique; elle nécessite une force mentale pour surmonter la douleur et la fatigue. Ce guide offre les clés pour non seulement booster sa VMA, mais aussi fortifier la résilience mentale, permettant de briser ses limites individuelles, de pulvériser les records personnels, et de profiter enfin d’une vitesse retrouvée en course à pied.

Le Manuel pour Courir Plus Vite, minutieusement détaillé dans ce guide, est un système d&#39entraînement éprouvé, conçu pour maximiser l&#39efficacité de chaque session, pour faire de chaque course un pas vers la maîtrise du rythme. Il ne s&#39agit pas seulement de courir plus rapidement, il s&#39agit de courir intelligemment, d&#39optimiser chaque effort pour obtenir les résultats souhaités.

En explorant des stratégies d&#39entraînement avancées, ce manuel apporte une compréhension profonde de la physiologie de l&#39accélération, démontrant comment intégrer des techniques d&#39entraînement spécifiques pour exploiter la puissance des fibres musculaires, améliorer la VMA et décoder le mystérieux rapport entre VO2max et l&#39accélération. Les plans d&#39entraînement inclus sont conçus pour des coureurs de tous niveaux.

Que l’on cherche à progresser sur un 5 km ou un marathon, ce guide offre un chemin clair vers l&#39amélioration des performances. Les séances combinées, le travail en côte, l&#39intégration des sprints courts et les stratégies de résistance pour l&#39accélération sont quelques-uns des nombreux sujets traités qui conduiront à une rapidité supérieure.

Ce manuel est plus qu&#39un livre, c&#39est un compagnon pour le voyage vers l&#39excellence en course à pied. Chaque chapitre est une étape vers la compréhension de ce qui est possible avec le bon entraînement, la bonne information, et la passion de courir. Fini les jours de frustration avec des chronos stagnants.

L&#39heure est venue de réinventer les entraînements, de briser les limites personnelles, et de commencer le voyage vers un rythme qui était une fois pensé comme inatteignable. Dans ces pages, le chemin vers l&#39excellence en course est dévoilé, promettant une aventure de running enrichissante et transformante.

Pour ceux ou celles qui cherchent des conseils sur comment courir plus vite, des plans d&#39entraînement Running structurés, et des stratégies pour augmenter sa VMA, ce guide est le compagnon idéal.",979-8864156346,https://m.media-amazon.com/images/I/71a4EVAsrrL._SY522_.jpg,Independently published (12 octobre 2023),Jean-Marc Enguiale,Marathon
GUIDE JEUX OLYMPIQUES PARIS 2024.: Programme complet de toutes les épreuves des JO de Paris 2024.,12.7,"GUIDE JEUX OLYMPIQUES PARIS 2024.

Guide Officiel des Jeux Olympiques de Paris 2024 : Vivez l&#39Émotion au Cœur de l&#39Action !
Préparez-vous à vivre un moment inoubliable ! Les Jeux Olympiques de Paris 2024 approchent à grands pas, et ce guide officiel est votre sésame pour une expérience olympique inoubliable.
Programme complet jour par jour : Retrouvez tous les détails des 306 épreuves sportives, réparties sur 32 sports, du 26 juillet au 11 août 2024.
Ce guide officiel est l&#39outil indispensable pour tous ceux qui souhaitent vivre intensément les Jeux Olympiques de Paris 2024. Commandez le vôtre dès aujourd&#39hui et préparez-vous à vibrer au rythme des émotions !",979-8325353017,https://m.media-amazon.com/images/I/612KM28DPxL._SY522_.jpg,Independently published (10 mai 2024),Boris KERTY,Marathon
Can&#39t Hurt Me: Master Your Mind and Defy the Odds - Clean Edition,7.89,"New York Times Best Seller

Over 5 million copies sold

For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a U.S. Armed Forces icon and one of the world&#39s top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America.",978-1544507859,https://m.media-amazon.com/images/I/61g9+Wvoz-L._SY522_.jpg,Lioncrest Publishing (10 mars 2020),David Goggins,Marathon
Sonia Sieff: Rendez-vous!: Male Nudes,7.83,"On the heels of Les Françaises, Sonia Sieff’s critically acclaimed book on the beauty of the female form, comes her unprecedented and sublime exploration of the male nude.

Following her much lauded and decidedly feminist take on the female nude, Sieff now trains her lens on the men from all walks of life who are photographed in a wide range of locales in Sieff’s native France, throughout neighboring countries in Europe, and as far reaching as Africa in this second volume of her nude portraiture. Celebrating diversity and body-positivity, the fifty men in Sieff’s narrative create a body of work that is as sexy as it is intimate.

Beautifully staged with a knowing eye, over 100 photographs describe the interior lives of men at rest and at play; Sieff captures the distinct personality of each while also depicting a unique sense of place. Shot in incomparable landscapes from the sun-kissed Mediterranean to the quiet of Parisian bedrooms, this is a fresh take on the male nude.",978-0847899678,https://m.media-amazon.com/images/I/815gNtawHeL._SY522_.jpg,Rizzoli; Bilingual édition (13 mars 2024),Sonia Sieff,Marathon
