Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
,8.8,,,,,,Marche
Tour du Mont-Blanc,7.52,"10 jours d&#39itinérance pour faire le Tour du Mont-Blanc. C&#39est le topo incontournable pour les randonneurs amateurs d&#39exploration glaciaire, pour les sportifs en quête de panoramas à couper le souffle, mais aussi pour les amoureux de paysages pastoraux et de traditions montagnardes. Une partie de l&#39itinéraire passe par la Suisse et l&#39Italie, offrant une approche multiculturelle à l&#39expérience de randonnée.",978-2751412868,https://m.media-amazon.com/images/I/813o6ZQa1aL._SY522_.jpg,FFRP; 23e édition (4 avril 2024),COLLECTIF,Marche
A travers la Montagne corse: Parc naturel régional de Corse,5.11,"Le GR® 20 traverse la Corse en suivant la crête montagneuse avec la plupart du temps une altitude de 2 000 mètres. L&#39itinéraire permet au randonneur averti une expérience exceptionnelle au coeur d&#39une île à la beauté sauvage. Ce territoire où se côtoient mer et montagne offre une diversité de paysages allant des formations rocheuses, gorges étroites et vastes vallées en passant par des lacs de montagne et rivières jalonnées de piscines naturelles.",978-2751411670,https://m.media-amazon.com/images/I/814-TiFuQHL._SY522_.jpg,FFRP; 23e édition (17 mars 2022),COLLECTIF,Marche
Le Chemin de Stevenson: réf. 700,18.26,"270 kilomètres d&#39itinérance sur le GR® 70 du Puy-en-Velay à Alès dans les pas de Stevenson. Cet itinéraire emblématique relie le sud du Massif Central aux Cévennes profondes. Le territoire offre une panoplie de paysages colorés regroupant reliefs volcaniques, hauts plateaux agricoles, vallées et forêts sauvages... Prisé des randonneurs, le chemin de Stevenson propose une véritable expérience de voyage qui plaira à tous.",978-2751412417,https://m.media-amazon.com/images/I/71UiMizdw6L._SY522_.jpg,FFRP; Illustrated édition (16 mars 2023),COLLECTIF,Marche
,6.94,,,,,,Marche
Mon Agenda Minceur 365 Jours: Joli Cahier de Rééquilibrage Alimentaire et de Suivi de Régime Journalier et d’activités Sportives- Meilleure Idée De Cadeau Pour Femme,15.56,"Nous savons tous combien c’est frustrant d’avoir essayé un régime particulier afin de perdre du poids mais l’avoir abandonné rapidement du moment que les résultats obtenus ne se lèvent pas à nos attentes et à nos espérances.
Pour atteindre votre objectif d’un corps idéal vous devez savoir que la perte de poids ne se résume pas au suivi d’un régime alimentaire particulier mais elle consiste surtout sur le changement et l’amélioration de votre mode de vie en sa totalité.
Vous devez adopter une approche globale visant à améliorer plusieurs aspects de votre vie quotidienne : votre besoin en sommeil, nourriture, activités physiques, hydratation, suppression de mauvaises habitudes, motivations, spiritualité ……etc.",,https://m.media-amazon.com/images/I/61vFlhOjQ6L._SY522_.jpg,Independently published (27 mars 2023),Livres Sanitaires Editions,Marche
Tour de l&#39Oisans et des Ecrins: Parc national des Ecrins,15.58,"Une itinérance sportive sur le GR® 54 à travers le parc national des Ecrins pour contempler la faune et la flore montagnarde dans toute sa splendeur. Il permet d&#39atteindre des hameaux accrochés à flanc de montagne, des alpages reculés, des lacs et torrents sauvages, des glaciers... Plusieurs variantes moins sportives peuvent être effectuées sur 2 à 3 jours, tout en profitant du parc et de ses paysages naturels remarquables.",978-2751412394,https://m.media-amazon.com/images/I/81QvX6bcJIL._SY522_.jpg,FFRP; 17e édition (6 avril 2023),COLLECTIF,Marche
Rando-refuge dans les Alpes du Sud – Belles balades et refuges de caractère,5.03,"Besoin de déconnecter ? Envie d&#39une aventure, d&#39une évasion en pleine nature ? Alors pourquoi ne pas enfiler vos chaussures de marche et partir passer la nuit dans un refuge de montagne ? Laissez-vous guider vers les refuges des Alpes du Sud que nous avons spécialement sélectionnés pour vous et partez à la rencontre de gardiens et gardiennes passionnés et de paysages à couper le souffle. Du contenu de votre sac à la description précise des itinéraires, nous avons tout prévu pour que vous puissiez profiter pleinement de votre expérience. Pour tous les niveaux et tous les goûts, ce guide vous propose de découvrir des refuges chaleureux avec 30 itinéraires de deux jours et des variantes familiales. Arpentez les Ecrins, le Verdon, l&#39Ubaye, le Mercantour et le Queyras et profitez ensuite en toute quiétude d&#39un repos bien mérité.",979-1095743576,https://m.media-amazon.com/images/I/91StAKnJn1L._SY522_.jpg,Editions du Chemin des Crêtes; Illustrated édition (10 avril 2024),Bérangère Paternostre,Marche
Bretagne Nord - Le sentier des douaniers GR34 (89028),15.37,,978-2758551270,https://m.media-amazon.com/images/I/813+c98RF0L._SY522_.jpg,Institut Geographique National (15 avril 2021),,Marche
Tour du Queyras: Parc naturel régional du Queyras,6.8,"Situé dans le département des Hautes-Alpes, le Queyras est limitrophe du briançonnais au nord, de l&#39Italie à l&#39est, des Alpes-de-Haute-Provence au sud et de la Durance à l&#39ouest. Ce topoguide permet de faire le tour complet du Queyras par le GR® 58. C&#39est un itinéraire sportif avec des dénivelés allant jusqu&#39à 3 000 mètres offrant des panoramas exceptionnels sur les Alpes.",978-2751412943,https://m.media-amazon.com/images/I/81YQM8EFR3L._SY522_.jpg,FFRP; 16e édition (16 mai 2024),COLLECTIF,Marche
