Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
,10.94,,,,,,Massage et reflexologie
Les points de pression pour toutes les situations - 63 fiches pour soulager vos douleurs en stimulan,15.57,"Des gestes simples, à pratiquer de manière ludique et en famille, pour soulager les maux de tête, stopper les nausées, retrouver le sommeil, calmer l&#39angoisse, développer la mémoire et la concentration...
Imaginez sur votre corps des "" boutons "" extraordinaires sur lesquels appuyer dans les moments difficiles, pour soulager immédiatement vos douleurs ou retrouver de l&#39énergie. La bonne nouvelle, c&#39est qu&#39ils existent !

Il s&#39agit des points d&#39acupression qui, comme les touches d&#39un ordinateur, activent les réserves de l&#39organisme et lui permettent de mobiliser ses forces pour prévenir les maladies et apaiser les maux.

Grâce aux indications détaillées et aux magnifiques illustrations des fiches de ce coffret, tout le monde, enfants comme adultes, saura identifier et stimuler ces points de pression.


Ce coffret contient :

• Un livre de 48 pages en couleurs.
• 63 fiches illustrées et détaillées.",978-2813231154,https://m.media-amazon.com/images/I/61MZxYj74TL._SY522_.jpg,Les éditions Trédaniel; Illustrated édition (25 avril 2024),Nadia Volf,Massage et reflexologie
Les Auto-massages de monsieur Réflexo: La réflexologie pour soulager facilement 50 maux de la vie quotidienne,8.8,"Explorez les capacités de guérison et de relaxation qui se cachent au creux de vos mains grâce à la réflexologie palmaire !
Rapides et faciles, les automassages de Monsieur Réflexo vous soulageront de nombreux maux de la vie quotidienne, n&#39importe où et n&#39importe quand (dans le bus, dans une file d&#39attente, sur votre canapé...) ! Pratique manuelle basée sur la stimulation des zones réflexes des mains, la réflexologie permet un rétablissement naturel de l&#39équilibre énergétique du corps qui favorise la guérison.
Dans cet ouvrage simple et complet, découvrez :
Les bases de la réflexologie palmaire : son fonctionnement, ses effets sur le corps, les gestes techniques de massage...",978-2226486387,https://m.media-amazon.com/images/I/71RCTaQYWtL._SY522_.jpg,Albin Michel; Illustrated édition (24 janvier 2024),Emeric Persillet (Monsieur Réflexo),Massage et reflexologie
Apprendre le Trajet des Méridiens en 12 jours et en s&#39amusant !: Cahier d&#39activités - 100p. méridiens de médecine chinoise,9.34,"Cahier d&#39activités et de dessin - 100 pages ludiques

12 jours pour apprendre facilement le trajet des méridiens principaux du corps humain ! Les activités de ce cahier sont progressives et découpées en étapes simples : dessins, intégration visuelle, auditive, kinesthésique et mnémotechnique.
Munissez-vous de vos plus belles couleurs, et démarrons en douceur la MTC ludique ! Vous saurez bientôt repérer et dessiner sur le corps les méridiens énergétiques. Le cahier présente les différentes vues ""poster"" des 14 méridiens principaux du corps humain.
12 Méridiens Principaux : Yin et Yang, de la main et du pied - Poumon, Coeur, Péricarde, Gros Intestin, Intestin Grêle, Triple Réchauffeur, Rate, Rein, Foie, Estomac, Vessie, Vésicule Biliaire.",979-8370200557,https://m.media-amazon.com/images/I/61fz3LjXRAL._SY522_.jpg,Independently published (17 décembre 2022),Cécile Jeanne Fraeye,Massage et reflexologie
Les mains du miracle,9.4,"À la veille de la Seconde Guerre mondiale, Felix Kersten est spécialisé dans les massages thérapeutiques. Parmi sa clientèle huppée figurent les grands d&#39Europe. Pris entre les principes qui constituent les fondements de sa profession et ses convictions, le docteur Kersten consent à examiner Himmler, le puissant chef de la Gestapo. Affligé d&#39intolérables douleurs d&#39estomac, celui-ci en fait bientôt son médecin personnel. C&#39est le début d&#39une étonnante lutte, Felix Kersten utilisant la confiance du fanatique bourreau pour arracher des milliers de victimes à l&#39enfer. Joseph Kessel nous raconte l&#39incroyable histoire du docteur Kersten et lève le voile sur un épisode méconnu du XXe siècle.",978-2070306459,https://m.media-amazon.com/images/I/81aB+ueHgGL._SY522_.jpg,FOLIO (31 décembre 1999),Joseph Kessel,Massage et reflexologie
Manuel de réflexologie auriculaire - Apprendre à stimuler les points du pavillon de l&#39oreille,17.89,"Après des années de pratique, le Dr Nadia Volf, médecinacupuncteur et docteur ès sciences, partage ici ses connaissances en réflexologie auriculaire. Avec ce livre, vous pourrez soulager vos maux quotidiens et acquérir un nouveau bien-être.

Comment ? Grâce à vos oreilles ! Leur fonction première est bien sûr d&#39entendre, mais elles possèdent aussi ce qu&#39on appelle des "" zones auriculaires "", chacune correspondant à une partie du corps, à un organe ou à une fonction spécifique. En appuyant simplement sur ces zones réflexes avec vos doigts, vous pourrez apaiser divers troubles et douleurs (maux de tête, insomnies, stress...) de manière efficace et instantanée.

À l&#39aide des conseils détaillés et des nombreuses illustrations de cet ouvrage, vous apprendrez à localiser ces points pour les activer dès que vous en ressentirez le besoin.

Le remède est entre vos mains !",978-2813230430,https://m.media-amazon.com/images/I/71s2RVrUlVL._SY522_.jpg,Les éditions Trédaniel; Illustrated édition (11 janvier 2024),Nadia Volf,Massage et reflexologie
Stimuler la circulation de la lymphe: La guérison et le renforcement grâce à l’autotraitement holistique,18.06,"Le système lymphatique - la station d’épuration de notre corps
En tant que service de ramassage des déchets de l’organisme, le système lymphatique détruit les substances nocives et inutiles telles que les agents pathogènes, les déchets métaboliques, les toxines et les débris cellulaires.
Le système lymphatique est donc une partie très importante de la
défense immunitaire et de la désintoxication du corps.

La lymphe doit rester dans le flux
Le système lymphatique doit être nettoyé et détoxifié régulièrement pour rester dans son flux naturel. Cependant, si le système lymphatique est continuellement surchargé par trop de déchets, le flux s’arrête. La lymphe ne circule plus que très lentement et difficilement, jusqu’à ce qu’une congestion lymphatique finisse par s’installer. Par conséquent, toutes les substances problématiques ne peuvent plus être éliminées, ce qui peut entraîner le développement de nombreuses maladies chroniques.",979-8393631260,https://m.media-amazon.com/images/I/61a9JuwdKBL._SY522_.jpg,Independently published (5 mai 2023),Dr. Angela Fetzner,Massage et reflexologie
MASSAGES MAGIQUES,5.29,"24 massages représentant des animaux ou des situations ludiques simples à réaliser. Certains massages peuvent être réalisés par l&#39enfant lui-même tandis que d&#39autres nécessitent l&#39aide d&#39un autre enfant ou d&#39un adulte. Les petits auront plaisir à effectuer les mouvements tout en s&#39aidant des petits pictogrammes et pourront reproduire les massages, autant de fois qu&#39ils en ont envie. Les massages magiques sont conçus pour s&#39amuser et offrir à l&#39enfant un moment de détente sans contrainte ni injonction, car ils doivent avant tout rester simples et amusants !",978-2383070320,https://m.media-amazon.com/images/I/71ejV1lzofL._SY522_.jpg,MARCEL JOACHIM; Illustrated édition (9 septembre 2022),Ingela P. Arrhenius,Massage et reflexologie
Les points qui guérissent - édition 2023,6.18,"Classés par ordre alphabétique, la plupart des symptômes et maladies trouvent leur solution grâce à l’acupression et à la réflexologie des pieds, des mains et du visage.
Dans cet ouvrage, Murielle Toussaint indique précisément, pour chaque pathologie, les zones-réflexes ou les points à solliciter par la pression ou le massage. Chaque geste est illustré de photographies, afin que la manipulation soit aussi simple que rapidement efficace.
Dans ce livre :
• Pour les problèmes chroniques, tels que la mauvaise circulation, les rhumatismes, la faiblesse du système immunitaire, l’infertilité, la déprime…, elle recommande de mettre ses conseils en pratique chaque jour.",979-1028527396,https://m.media-amazon.com/images/I/719-SAo0TzL._SY522_.jpg,LEDUC; 1er édition (29 août 2023),Murielle Toussaint,Massage et reflexologie
Mon cahier de réflexologie plantaire: se soigner par les pieds,14.84,"Sur et sous nos pieds, orteils y compris, se reflète chacun de nos organes. Basée sur les principes de l&#39énergétique chinoise, la réflexologie plantaire agit sur les méridiens et sur la circulation d&#39énergie dans l&#39organisme par la stimulation des zones réflexes situées sur les pieds. br/ br/ Dans ce cahier accessible à tous, Murielle Toussaint nous explique, grâce à des schémas simples, comment trouver sur nos pieds les zones efficaces et comment les masser pour résoudre la plupart des petits ennuis de santé : maux de tête, nausées, rhume, maux de dos, coup de fatigue... br/ Chaque trouble est aussi abordé sous l&#39angle des cinq éléments de la tradition chinoise, de leur relation à chaque organe et de leurs affinités avec les huiles essentielles que l&#39on peut associer pour renforcer l&#39effet du massage réflexe.",978-2849391334,https://m.media-amazon.com/images/I/71mc4ZWWtsL._SY522_.jpg,MOSAIQUE SANTE (22 septembre 2017),Murielle Toussaint,Massage et reflexologie
