Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Procedural 3D Modeling Using Geometry Nodes in Blender: Discover the professional usage of geometry nodes and develop a creative approach to a node-based workflow,9.53,"An easy-to-follow, illustrated guide to learning the geometry nodes editor and various other facets of geometry nodes through simple exercises that progress to more challenging projects
Purchase of the print or Kindle book includes a free PDF eBook
Key Features
Develop a creative mathematical thinking of the modeling workflow
Understand how Blender and geometry nodes store and manage the data that you are handling
Learn different scatter methods and how to use them
Book Description",978-1804612552,https://m.media-amazon.com/images/I/71iNuIyQn7L._SY522_.jpg,Packt Publishing (17 mars 2023),Siemen Lens,Medias et communication
Procedural 3D Modeling Using Geometry Nodes in Blender: Discover the professional usage of geometry nodes and develop a creative approach to a node-based workflow,7.55,"An easy-to-follow, illustrated guide to learning the geometry nodes editor and various other facets of geometry nodes through simple exercises that progress to more challenging projects
Purchase of the print or Kindle book includes a free PDF eBook
Key Features
Develop a creative mathematical thinking of the modeling workflow
Understand how Blender and geometry nodes store and manage the data that you are handling
Learn different scatter methods and how to use them
Book Description",978-1804612552,https://m.media-amazon.com/images/I/71iNuIyQn7L._SY522_.jpg,Packt Publishing (17 mars 2023),Siemen Lens,Medias et communication
La face cachée des JO,12.99,"Une cérémonie d’ouverture alarmante.
Un budget d’organisation explosé.
Un vote, la nuit, à l’Assemblée nationale, pour augmenter la garantie de l’État – en clair, pour que le citoyen paye le dépassement du budget.
Des aberrations écologiques : destruction des coraux pour l’épreuve de surf, climatisation de la taille d’un immeuble pour celle de basket-ball…
Des perquisitions financières au sein du Comité d’organisation alors que les Jeux n’ont pas commencé, une première dans l’histoire olympique.
Le licenciement d’un membre de ce Comité d’organisation, Sébastien Chesbeuf, pour avoir dénoncé les abus.
L’inertie des pouvoirs publics, qui savaient.
Et cette enquête inédite, qui révèle les coulisses du plus grand événement sportif mondial.",978-2709674409,https://m.media-amazon.com/images/I/71OiaWSsibL._SY522_.jpg,JC Lattès (5 juin 2024),Sébastien Chesbeuf,Medias et communication
"Le code pénal en argot, Joey Starr",23.9,"Michel Audiard, San-Antonio, Antoine Blondin, monuments de la gouaille populaire, ont disparu avec le xxe siècle. Le moule est-il cassé, le style perdu à jamais ? C’est sans compter sur JoeyStarr et Polo Labraise, issus de la culture rap pour l’un et du journalisme sportif pour l’autre, qui ressuscitent ici un argot irrévérencieux avec ses formules hilarantes autour de la vie d’un détenu-écrivain et de son curieux avocat…

Préface de Me Jean-Yves Le Borgne, avocat au Barreau de Paris
Ce livre est publié sans l’approbation de l’implacable Anastasie Faucheux, sensitivity reader aux Éditions Fayard",978-2213727325,https://m.media-amazon.com/images/I/813dgUHdACL._SY522_.jpg,Fayard (15 mai 2024),JoeyStarr,Medias et communication
Mes guerres: Confidences d&#39une grand reporter,23.0,"Voilà une femme que l&#39on a regardée derrière nos écrans de télévision en nous disant : elle a du cran. Son visage, sa voix si familière, ses reportages en zone de guerre (Afghanistan, Golfe, Tchétchénie, Rwanda...), son style bien à elle ont marqué nos esprits. Aujourd&#39hui, elle lève le voile pour nous faire découvrir les coulisses d&#39un monde aussi passionnant qu&#39impitoyable dans lequel elle a su se frayer un chemin. L&#39amour du métier de grand reporter chevillé au corps, elle a dû endurer la misogynie et les stéréotypes dont on l&#39affublait, mais elle a tenu bon au nom d&#39un idéal : porter la parole des femmes et des hommes victimes de l&#39horreur de la guerre. Ce récit n&#39élude pas non plus ses guerres intimes : endométriose, cancer, harcèlement. Celle qui n&#39a jamais pu être mère a aussi soulevé des montagnes pour construire, il y a vingt ans, un hôpital pour enfants à Kaboul, dans un Afghanistan occupé par les talibans. Il est toujours debout. C&#39est ce parcours d&#39aventurière moderne que res-titue pour nous Marine Jacquemin. Ce livre est à la fois un témoignage humain bouleversant et l&#39introspection d&#39une femme dans un monde d&#39hommes, décidée à s&#39accomplir en tant que journaliste, amie, amoureuse...",979-1032930267,https://m.media-amazon.com/images/I/51Xlf1zFFpL._SY522_.jpg,L&#39OBSERVATOIRE; Illustrated édition (17 avril 2024),Marine Jacquemin,Medias et communication
Procedural 3D Modeling Using Geometry Nodes in Blender: Discover the professional usage of geometry nodes and develop a creative approach to a node-based workflow,7.65,"An easy-to-follow, illustrated guide to learning the geometry nodes editor and various other facets of geometry nodes through simple exercises that progress to more challenging projects
Purchase of the print or Kindle book includes a free PDF eBook
Key Features
Develop a creative mathematical thinking of the modeling workflow
Understand how Blender and geometry nodes store and manage the data that you are handling
Learn different scatter methods and how to use them
Book Description",978-1804612552,https://m.media-amazon.com/images/I/71iNuIyQn7L._SY522_.jpg,Packt Publishing (17 mars 2023),Siemen Lens,Medias et communication
Journal de guerre: C&#39est l&#39Occident qu&#39on assassine,19.5,"Samedi 7 octobre 2023, 6 h 30

Il ne s’agit ni d’un journal intime ni d’un journal officiel. Mais d’un journal de guerre.
Guerre contre le désarroi personnel né un 7 octobre au réveil.
Guerre contre la détestation des Juifs et de leur État.
Guerre au jour le jour contre la nuit qui vient.
Guerre contre la désinformation médiatique pour causes idéologiques, à commencer par celle de l’audiovisuel public. Cette idéologie anti-occidentale du double standard, cette préférence pour l’Autre, qui traite différemment l’immigré et le Français, le Palestinien et l’Israélien.
Guerre contre une extrême gauche ayant sombré dans l’antisémitisme après son alliance avec l’islamisme.
Guerre contre la folie qui s’est emparée de l’Occident en perdition à cause de la disgrâce d’un wokisme détestant les Français, en tant que Blancs.
Une guerre totale. Argumentée, documentée, avec les armes de l’ironie mortelle et de l’humour létal.
Une guerre sans concessions menée par un avocat qui, parce qu’il aime tant la vie, a condamné cette haine qui nous menace à la peine de mort.",978-2213727219,https://m.media-amazon.com/images/I/71OmJ9AvK8L._SY522_.jpg,Fayard (17 janvier 2024),Gilles-William Goldnadel,Medias et communication
Libre,19.0,"« Adriana se crispa en voyant son père, son regard empli de fureur. Puis, le silence éclata sous le coup de sa main qui s’abattit sur son visage, laissant derrière lui une douleur lancinante et des souvenirs indélébiles. »
L’histoire bouleversante d’Adriana Karembeu est une source d’inspiration, un récit captivant qui dépasse les frontières. De son enfance en pays communiste, où la violence paternelle était monnaie courante, à ses succès remarquables sur les podiums de la mode, Adriana incarne une détermination et une résilience sans limite.
Des coulisses glamours du mannequinat aux plateaux télévisés, elle excelle en tant qu’animatrice charismatique, comédienne talentueuse et femme d’affaires redoutable. Maman dévouée de la petite Nina, elle partage pour la première fois dans cet ouvrage les hauts et les bas de ses deux mariages et séparations, ainsi que les obstacles qu’elle a courageusement surmontés pour devenir mère à l’âge de 46 ans. Chaque étape de son parcours, marquée par des défis, nous offre un précieux témoignage de la force de l’esprit humain. En nous incitant à explorer notre puissance intérieure, Adriana nous invite à transcender nos barrières et à forger notre propre liberté.

Mannequin de renommée internationale parmi les plus emblématiques de sa génération, animatrice de télévision et comédienne, businesswoman, citoyenne active et engagée, mais surtout maman de Nina, son « miracle »,",979-1028531171,https://m.media-amazon.com/images/I/61K+yqC72ZL._SY522_.jpg,LEDUC; 1er édition (2 mai 2024),Adriana Karembeu,Medias et communication
La Vérité vous rendra libre: L&#39histoire des quarante dernières années revue et corrigée par Charles Gave,6.67,"Le 9 novembre 1989, le mur de Berlin s’écroule. Peu de temps après l’Union Soviétique est dissoute. La guerre froide est finie, l’économie de marché et la démocratie l’emportent sur la technocratie et le totalitarisme. L’avenir s’annonce tout à la fois paisible et prospère.
Trente-quatre ans plus tard, où en sommes-nous ?
La guerre a ravagé la Serbie, l’Iraq, la Syrie, le Yémen, la Lybie, le Soudan et fait rage en Ukraine. Les situations financières de bien des pays (dont les États-Unis, la France, la Grande-Bretagne) sont désespérés, partout en Occident les peuples grondent, le système monétaire international basé sur le dollar est remis en question, l’écart des revenus s’est creusé comme jamais entre les plus riches et les plus pauvres…",978-2364452657,https://m.media-amazon.com/images/I/513JpwgqAwL._SY522_.jpg,DE TAILLAC (27 octobre 2023),Charles Gave,Medias et communication
Le monde entre les mains,9.25,"Ce livre est une autobiographie, l’exposé sans fard du destin d’exception d’un sportif singulier.
Recordman des sélections en équipe de France (145), du nombre de capitanats, champion du monde 2018, Hugo Lloris est depuis plus de dix ans l&#39une des personnalités préférées des Français. Distingué des autres footballeurs par son armure de gardien, un maillot différent, des gants, d&#39autres règles, il
est un champion profondément populaire.
Il a connu toutes les années décisives de l&#39équipe de France : le temps du scandale, en 2010, avec la fameuse grève de Knysna pendant la Coupe du monde en Afrique du Sud, une affaire d&#39État qui avait failli faire exploser le football français, et les jours de gloire, avec deux finales de Coupe du monde, une gagnée, en 2018, l&#39autre perdue, en 2022. En 2018, l&#39équipe de France est devenue championne du monde grâce à ses arrêts, face à l&#39Argentine, l&#39Uruguay et la Belgique. Il a porté le maillot bleu pendant plus de quatorze ans, et en tant que capitaine, a été le témoin de tout ce que l&#39on sait, un peu, et de ce que l&#39on ignore, beaucoup.
En club, il a débuté à Nice, sa ville natale, où il a joué le lendemain de la mort de sa mère, alors qu&#39il avait 20 ans, puis il a grandi à Lyon, avant de rejoindre l&#39Angleterre et Tottenham, pendant onze ans. S’il a une image lisse et mesurée, la réalité est bouillonnante. C&#39est un homme de contrastes, sage… Et fou à la fois, comme le sont un peu tous les gardiens. C&#39est aussi un homme qui connaît son rôle, et son pouvoir : pendant la Coupe du monde 2022, il se branchait deux fois par semaine avec les enfants malades de l&#39hôpital de Lenval, à Nice, pour parler du match qui venait de se jouer, ou qui arrivait. Celui que l’on considère comme l’un des meilleurs gardiens de sa génération est un joueur rare et atypique, façonné par une histoire personnelle qu’il partage sans détour ni compromis.

Livre écrit avec la collaboration de",978-2234097100,https://m.media-amazon.com/images/I/71O4b2ZnUJL._SY522_.jpg,Stock (5 juin 2024),Hugo Lloris,Medias et communication
Procedural 3D Modeling Using Geometry Nodes in Blender: Discover the professional usage of geometry nodes and develop a creative approach to a node-based workflow,12.95,"An easy-to-follow, illustrated guide to learning the geometry nodes editor and various other facets of geometry nodes through simple exercises that progress to more challenging projects
Purchase of the print or Kindle book includes a free PDF eBook
Key Features
Develop a creative mathematical thinking of the modeling workflow
Understand how Blender and geometry nodes store and manage the data that you are handling
Learn different scatter methods and how to use them
Book Description",978-1804612552,https://m.media-amazon.com/images/I/71iNuIyQn7L._SY522_.jpg,Packt Publishing (17 mars 2023),Siemen Lens,Medias et communication
Technopolitique: Comment la technologie fait de nous des soldats,19.9,"Intelligence artificielle, réseaux sociaux, implants cérébraux, satellites, métavers… Le choc technologique sera l’un des enjeux clés du xxie siècle et les géants américains, les « BigTech », sont à l’avant-garde. Entités hybrides, ils remodèlent la morphologie des États, redéfinissent les jeux de pouvoir et de puissance entre nations, interviennent dans la guerre, tracent les nouvelles frontières de la souveraineté. S’ils sont au cœur de la fabrique de la puissance étatsunienne face à la Chine, ils sont également des agents perturbateurs de la démocratie. De ces liens ambivalents entre BigTech et « BigState » est né un nouveau Léviathan à deux têtes, animé par un désir de puissance hors limites. Mais qui gouverne ces nouveaux acteurs privés de la prolifération technologique ? A cette vertigineuse question, nous n’avons d’autre choix que d’opposer l’innovation politique !",978-2021548549,https://m.media-amazon.com/images/I/816tPE3UJ6L._SY522_.jpg,SEUIL (10 février 2024),Asma Mhalla,Medias et communication
Parents à perpétuité,8.96,"""Nous sommes les parents d&#39un tueur et d&#39un violeur. Nous sommes pétris de honte, de chagrin, de culpabilité. Pourtant, nous aimons notre fils. Nous restons ses parents. A perpétuité.Le 16 novembre 2011, Matthieu a violé puis assassiné Agnès Marin. Elle avait treize ans, lui dix-sept. Seize mois plus tôt, il avait violé une camarade de classe puis avait été remis en liberté dans l&#39attente de son jugement. Nous voulons, ici, essayer de comprendre. En remontant le fil de notre histoire, de nos décisions, bonnes ou mauvaises, sans rien omettre ni cacher. En parlant du système judiciaire et des ratés des expertises psychiatriques. En parlant de notre fils. Car avant de devenir un criminel, il était un enfant malade.""Sophie et Dominique Moulinas.",978-2290137901,https://m.media-amazon.com/images/I/61phDj-N+uL._SY522_.jpg,J&#39ai lu (14 juin 2017),Sophie et Dominique Moulinas,Medias et communication
,10.2,,,,,,Medias et communication
