Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Habemus Bastard - Tome 1 - L être nécessaire,15.76,"Un homme de main n&#39a pas droit à l&#39erreur. Lucien le sait, son patron ne lui pardonnera pas. Il aurait pu faire n&#39importe quoi pour sauver sa peau : prendre un avion pour l&#39étranger et tenter de se faire oublier, s&#39engager dans la Légion ou même changer de tête. Mais il a trouvé mieux : une soutane. Sylvain Vallée (Il était une fois en France, Katanga, Tananarive) et Jacky Schwartzmann (Demain c&#39est loin, Kasso, Shit !) associent leurs talents pour ce polar décapant, drôle et délicieusement iconoclaste.",978-2205089943,https://m.media-amazon.com/images/I/811v-K2dz+L._SY522_.jpg,DARGAUD; Illustrated édition (3 mai 2024),Vallée Sylvain,Mystère et suspense
XIII Trilogy : Jones - Tome 2 - Rouge Alcatraz,13.0,"Le lieutenant Jones poursuit sa formation de pilote à l&#39école de la Navy de Patuxent River, où elle continue à prouver son expertise des techniques de close-combat et plus encore du maniement de divers appareils volants. Si certains sont nés avec une cuillère en argent dans la bouche, c&#39est sûr qu&#39elle est née avec des petites ailes dorées dans le dos. Pendant ce temps-là, les deux dangereux activistes amérindiens Karkajou et Crow Dog, qui se sont emparés de l&#39îlot d&#39Alcatraz, défient le gouvernement américain afin d&#39obtenir l&#39application des nombreux traités signés et l&#39obtention de droits civiques. Après son évasion, Marcus, le frère aîné de Jones, a rejoint leurs rangs. Le président Dixon charge le général Ben Carrington de régler par tous les moyens la crise à Alcatraz : les Red Warriors retiennent une centaine d&#39otages, dont une douzaine de femmes et enfants. Le général a besoin d&#39un officier pour le seconder, et qui d&#39autre que Jones pourrait s&#39acquitter de cette tâche ? Les Red Warriors acceptent de recevoir la délégation du général Carrington. La maire de San Francisco et le président ont été bien clairs : tout doit être réglé sans bain de sang. C&#39est donc sans armes qu&#39ils accosteront à l&#39îlot... Mais si tout ceci n&#39était qu&#39un piège ? Et surtout, Marcus pardonnera-t-il à sa soeur de l&#39avoir dénoncé et envoyé au pénitencier, même si c&#39était pour lui sauver la vie ? Ce deuxième volet de la trilogie signée Yann et TaDuc qui paraît l&#39année où l&#39on fête les 40 ans de la série mère XIII, continue à explorer le passé et la jeunesse de Jones. Un passé qui réserve décidément bien des surprises...",978-2505124771,https://m.media-amazon.com/images/I/71Z+8xWUozL._SY522_.jpg,DARGAUD; Illustrated édition (7 juin 2024),Yann,Mystère et suspense
I.R.$ - Tome 24 - Les prédateurs climatiques,12.95,"En présentant un projet trans-partisan d&#39action contre le réchauffement climatique, Larry Max espère encore faire bouger les choses par la voie démocratique. Mais n&#39est-ce pas peine perdue au sein d&#39une Amérique où les extrémistes pèsent sur le débat à coups d&#39explosifs et autres rafales de balles ? Pourtant, il n&#39est pas seul à mener le combat écologique. L&#39ancien vice-président Shore semble décidé à revenir en politique. Et lui a très bien compris la façon dont fonctionne ce pays...",978-2808210843,https://m.media-amazon.com/images/I/81pUKlT6z+L._SY522_.jpg,LOMBARD; Illustrated édition (26 avril 2024),Desberg Stephen,Mystère et suspense
My Favorite Thing Is Monsters 2,45.22,"The most anticipated graphic novel of 2024, concluding the story of young Karen Reyes, the most inspiring “monster” in contemporary fiction.

Set against the tumultuous political backdrop of late ’60s Chicago, My Favorite Thing Is Monsters Book Two is the eagerly awaited conclusion to one of the most acclaimed graphic novels of the past decade. Presented as the fictional graphic diary of 10-year-old Karen Reyes as she tries to solve the murder of her beloved and enigmatic upstairs neighbor, Anka Silverberg, a holocaust survivor, while the interconnected stories of those around her unfold.
In Book Two, dark mysteries past and present continue to abound in the tumultuous and violent Chicago summer of 1968. Young Karen attends a protest in Grant Park and finds herself swept up in a police stomping. Privately, she continues to investigate Anka’s recent death and discovers one last cassette tape that sheds light upon Anka&#39s heroic activities in Nazi Germany. She wrestles with her own sexual identity, the death of her mother, and the secrets she suspects her brother Deez of hiding. Ferris’s exhilarating cast of characters experience revelations and epiphanies that both resolve and deepen the mysteries visited upon them earlier. Visually, the story is told in Ferris&#39s inimitable style that breathtakingly and seamlessly combines panel-to-panel storytelling and cartoon montages filled with B-movie horror and pulp monster mag iconography.",978-1683969273,https://m.media-amazon.com/images/I/81EvvUCeHcL._SY522_.jpg,Fantagraphics; 1er édition (28 mai 2024),Emil Ferris,Mystère et suspense
Wayne Shelton - Tome 14 - L&#39or de Saïgon,13.95,"Le 30 avril 1975, les Vietcongs envahissent Saïgon dans une pagaille affolée. Pour les Américains, c&#39est la fin de la guerre du Vietnam, qui leur a coûté 58 000 morts et plus de 300 000 mille blessés. Tout ça pour rien. Mais pas aux yeux d&#39un colonel U.S. qui, au lieu de fuir comme les autres, charge un jeune lieutenant des bérets verts de s&#39emparer d&#39un fourgon blindé qui quitte précipitamment la Banque nationale du Sud-Vietnam avec, à son bord, 20 000 kilos d&#39or de 24 carats. Le coup réussi, les deux hommes franchissent la frontière du Cambodge, où les attend un lourd C-130. Mais avant d&#39y embarquer le fourgon, le colonel tente évidemment de liquider le jeune béret vert, sans savoir que celui-ci a conservé la clé de la porte blindée protégeant les lingots. Le colonel manque heureusement son coup et s&#39envole avec le fourgon. Peu soucieux de se faire massacrer par les Khmers rouges de Pol Pot qui viennent d&#39envahir le Cambodge, le jeune lieutenant repasse la frontière en sachant qu&#39il va se faire arrêter par les Vietcongs. Qui l&#39expédient au nord avec des centaines d&#39autres Américains dans le fameux camp de Hoa Lo, ironiquement surnommé « le Hanoi Hilton ». Là, bien sûr, on lui vide les poches et on l&#39interroge rudement. Mais quelques semaines plus tard, il s&#39évade à la Belmondo en s&#39accrochant à un hélicoptère de la Croix-Rouge internationale, et parvient finalement à rejoindre les États-Unis. Etats-Unis où notre histoire commence 50 ans plus tard, quand Wayne Shelton reçoit du Vietnam une mystérieuse lettre avec une photo de lui prisonnier en uniforme de lieutenant des bérets verts, ainsi qu&#39une clé que le commandant du camp de Hoa Lo lui avait confisquée en même temps que ses armes. Plus, en post-scriptum, un rendez-vous dans la baie de Ha Long avec un certain Lee Kwan Yun. Là, le vieux baroudeur Wayne Shelton se dit qu&#39une partie de l&#39or de Saïgon lui ferait une agréable retraite pour ses dernières années. La suite à l&#39écran.",978-2505116851,https://m.media-amazon.com/images/I/71gGDHWAxiL._SY522_.jpg,DARGAUD; Illustrated édition (7 juin 2024),Van Hamme Jean,Mystère et suspense
"Blacksad - Tome 7 - Alors, tout tombe. Seconde partie",9.09,"En enquêtant sur Solomon, le maître bâtisseur de New York à l&#39origine de l&#39immense pont en construction, Blacksad découvre que l&#39empire du faucon est bâti sur un monceau de cadavres dont Iris Allen, la directrice de théâtre, n&#39est pas la première victime. Piégé par Solomon, Weekly est alors accusé du meurtre. Une véritable course contre la montre débute pour Blacksad afin de réunir les preuves innocentant son ami et permettant de faire tomber l&#39architecte tout en renouant avec son amour, Alma, dont le rôle dans cette affaire sera déterminant. Suite et fin du diptyque réalisé de mains de maîtres par Juanjo Guarnido et Juan Diaz Canales !",978-2205085334,https://m.media-amazon.com/images/I/81aIcmDqShL._SY522_.jpg,DARGAUD; Illustrated édition (3 novembre 2023),Diaz Canales Juan,Mystère et suspense
Les Nouvelles Enquêtes de Ric Hochet - Tome 7 - Crimes-sur-mer,12.95,"Le temps est venu pour Ric Hochet d&#39affronter son pire cauchemar : le mois d&#39août, période diserte en crimes s&#39il en est ! Ric en est réduit à endurer les banalités de ses voisins de plage. Alors quand la jeune Béatrice arrive et lui demande si elle peut jouer à l&#39enterrer, c&#39est presque un soulagement. Et comme l&#39innocente enfant a deux tueurs aux trousses chargés de l&#39enlever pour le compte d&#39un mystérieux « patron », les affaires de Ric ne devraient pas tarder à repartir. Ouf !",978-2808211024,https://m.media-amazon.com/images/I/713q-3mKmVL._SY522_.jpg,LOMBARD (7 juin 2024),Zidrou,Mystère et suspense
"Blacksad - Tome 6 - Alors, tout tombe. Première Partie",16.95,"Chargé de protéger le président d’un syndicat infiltré par la mafia à New York, John Blacksad va mener une enquête qui s’avèrera particulièrement délicate… et riche en surprises. Dans cette histoire pour la première fois conçue en deux albums, nous découvrons à la fois le quotidien des travailleurs chargés de la construction du métro dans les entrailles de la ville, mais également la pègre et le milieu du théâtre, contraste absolu entre l’ombre et la lumière, le monde d’en bas et celui d’en haut incarné par l’ambitieux Solomon, maître bâtisseur de New York. Le grand retour de la série star de la bande dessinée !",978-2205078046,https://m.media-amazon.com/images/I/81jJKJ5dnWL._SY522_.jpg,DARGAUD; Illustrated édition (1 octobre 2021),Diaz Canales Juan,Mystère et suspense
XIII Mystery - Tome 14 - Traquenards et Sentiments,13.95,"Sous la plume de Jean Van Hamme, ce quatorzième tome propose plusieurs courtes histoires dessinées par un panel de dessinateurs hors pair. En effet, pour cet opus, Jean Van Hamme est accompagné aux pinceaux par Philippe Xavier, Iouri Jigounov, Joël Callède, Gontran Toussaint, Mikaël et Alain Henriet. Dans quelles circonstances Eleanor Davis-Brown, l&#39agent XX, a-t-elle été démasquée ? Quelle a été la vie de Lullaby, entre le Minneapolis Hot Dance et son propre établissement au Mexique ? XIII en aura-t-il appris davantage sur son passé après une discussion avec un de ses anciens amis d&#39université ? Et ce dernier est-il réellement ce qu&#39il prétend être ? Ce tome, contrairement aux treize précédents, ne se concentre pas sur un seul personnage mais balaie un horizon bien plus vaste de la saga XIII... Un cahier supplémentaire, réalisé par de grands noms du dessin, a été ajouté à ce dernier tome. Enrico Marini, Éric Henninot, Alcante, Boucq, Richard Guérineau, Dominique Bertail, TaDuc, Olivier Grenson, Colin Wilson, Jean-Pierre Pécau, Corentin Rouge... Tous ont tenu à rendre hommage au célèbre héros amnésique, en quête de son passé depuis déjà 40 ans.",978-2505124108,https://m.media-amazon.com/images/I/8198lJHSW0L._SY522_.jpg,DARGAUD; Illustrated édition (19 janvier 2024),Van Hamme Jean,Mystère et suspense
Un autre regard sur Blake & Mortimer - L&#39Art de la guerre,23.0,"À New York, le capitaine Francis Blake doit prononcer à l&#39ONU un discours en faveur de la paix devant huit cents délégués venus du monde entier. Au même moment, dans la section des antiquités égyptiennes du Metropolitan Museum, un homme vandalise la stèle d&#39Horus avant d&#39être arrêté par la police. Francis Blake et Philip Mortimer, informés de l&#39incident par le FBI, connaissent bien cet homme. Il s&#39agit d&#39un certain Olrik. Mais celui-ci, plongé dans un état catatonique, a perdu la mémoire. Alors que nous sommes à la veille de l&#39ouverture de la conférence pour la paix, Blake et Mortimer mènent l&#39enquête. Le temps presse, car tout incite à penser qu&#39une grave menace pèse sur l&#39ONU... Admirateur de l&#39univers de Jacobs, Floc&#39h allie sa passion de la « ligne claire » à sa maîtrise de la couleur pour s&#39approprier avec maestria ces personnages mythiques, qui visitent New York pour la première fois. José-Louis Bocquet et Jean-Luc Fromental signent pour lui un scénario sur-mesure.",978-2870973011,https://m.media-amazon.com/images/I/81TuaNrRwWL._SY522_.jpg,BLAKE MORTIMER; Illustrated édition (27 octobre 2023),Fromental Jean-Luc,Mystère et suspense
