Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Mon rendez-vous avec moi-même – Découvre ta vraie nature: le livre de remplissage ultime avec des exercices passionnants et des découvertes étonnantes sur toi-même,11.95,"Ce livre veut t&#39inviter à un rendez-vous.

Cependant, le rendez-vous ne doit pas être un rendez-vous ordinaire entre deux personnes. Ce rendez-vous doit être un rendez-vous avec toi-même. Tu vas découvrir des aspects de toi qui sont restés cachés pendant longtemps. Tu vas prendre conscience de tes souhaits et de tes rêves. Tu pourras mieux te comprendre et mieux comprendre ta vie.

Tu commences le voyage le plus important de ta vie : Le voyage à la découverte de soi. Tu vas redécouvrir la personne qui est en toi et t&#39amuser beaucoup en même temps.

Celui qui ne se connaît pas lui-même est perdu. Celui qui ne s&#39aime pas lui-même ne peut pas vraiment aimer les autres. Il n&#39est pas égoïste de passer du temps avec soi-même. Oublie un instant le stress de la vie quotidienne.",979-8353510628,https://m.media-amazon.com/images/I/51u9ZDJdVfL._SY522_.jpg,Independently published (18 septembre 2022),Sofia Rouxel,Métaphysique
ABBÉ JULIO - PRIÈRES MERVEILLEUSES - NOUVELLE ÉDITION: Prières Merveilleuses : Pour la Guérison de toutes les Maladies Physiques et Morales - par ... / prières / prieres / guérison / guerison ),8.18,"LA NOUVELLE ÉDITION EST MAINTENANT DISPONIBLE !
-30% OFFRE SPÉCIALE LANCEMENT (7,70€ au lieu de 11,00€)

Dans cette nouvelle édition, vous retrouverez toutes les prières merveilleuses de L’Abbé Julio dans un format plus adapté à leur mise en pratique. De plus, la fin de ce nouvel ouvrage intègre les 7 premiers pentacles de l’Abbé Julio avec leurs significations ainsi que leur mode d’application.

L&#39Abbé Julio tenait ces prières du guérisseur Jean Sempé, homme de grande vertu, mort en 1892. Cet homme de bien avait des centaines de guérisons miraculeuses à son actif, obtenues au moyen de ces prières. Elles ont de multiples applications, aussi bien pour les maladies physiques que &#39&#39morales&#39&#39.

Le pouvoir de ces prières n’étant plus à démontrer, il vous suffit de les utiliser selon vos besoins et vos envies.",979-8372689008,https://m.media-amazon.com/images/I/61LvI7LJcgL._SY522_.jpg,Independently published (5 janvier 2023),L&#39Abbé Julio,Métaphysique
Neville Goddard - LA LOI - L&#39oeuvre intégrale,36.71,"Découvrez le secret derrière la loi de l&#39attraction, une des lois fondamentales de l&#39univers.

""Neville Goddard - LA LOI - L&#39oeuvre intégrale"" est une compilation unique d’une toute nouvelle traduction regroupant l&#39ensemble des 12 publications majeures de Neville Goddard, un des pionniers de la Loi de l’Attraction, la Loi de l’Assomption et de la manifestation créatrice. Cet ouvrage exceptionnel rassemble les enseignements fondamentaux de cet auteur renommé, offrant aux lecteurs un guide complet pour transformer leur vie et atteindre leurs désirs les plus profonds.
Dans ce livre, vous découvrirez les écrits emblématiques de Neville Goddard, qui ont captivé des milliers de personnes à travers le monde. Vous explorerez les concepts clés tels que",979-8375330686,https://m.media-amazon.com/images/I/615-yj2ljTL._SY522_.jpg,Independently published (28 janvier 2023),Neville Goddard,Métaphysique
Le Sage Irrationnel,14.19,"La raison est sérieuse, morose, ennuyeuse. Elle a une explication à tout. Nous sommes piégés dans une prison macabre. On nous répète que si tout va mal c’est pour de bonnes raisons. C’est peut-être vrai. Et si c’était justement la raison le véritable problème ?
Nous concevons le monde comme une gigantesque machine. C’est ce qu’il devient, de plus en plus et de plus en plus vite. Nous concevons la vie et l’être humain comme des machines organiques. En tant que telles, il ne leur reste comme place que celle d’un rouage quelconque. Il leur est de moins en moins possible de s’exprimer et d’agir librement. C’est jugé inutile. Si nous laissons la raison et ses grands principes vides gouverner, nous tomberons inéluctablement vers un monde totalement mort, parfaitement efficace pour ne servir à rien. L’enfer, littéralement.",979-8324652333,https://m.media-amazon.com/images/I/81yfezKXCLL._SY522_.jpg,Independently published (5 juin 2024),"de Besançon, Everard,",Métaphysique
ABBÉ JULIO : PENTACLES ET PRIÈRES: NOUVELLE ÉDITION - Retrouvez les 44 pentacles et les 7 prières de l&#39Abbé Julio en format plus adapté (livre plus grand et pentacles tous colorisés),8.05,"LA NOUVELLE ÉDITION 2022 EST MAINTENANT DISPONIBLE!
-30% OFFRE SPÉCIALE LANCEMENT (19,18€ au lieu de 27,40€)

Dans cette nouvelle édition, vous retrouverez dans un format plus adapté les 44 Pentacles tous colorisés et les 7 prières de l’Abbé Julio, avec leurs significations ainsi que leur mise en pratique.
Leurs pouvoirs n’étant plus à démontrer, il suffit, selon vos besoins et vos envies, de les utiliser en suivant les instructions données par l’Abbé Julio.
À la fin de l’ouvrage, vous retrouverez les pentacles ainsi que les prières prêts à être découpés.",979-8783562525,https://m.media-amazon.com/images/I/61fXQSNM+2L._SY522_.jpg,Independently published (4 janvier 2022),Abbé Julio,Métaphysique
,10.59,,,,,,Métaphysique
"Aphorismes sur la Sagesse dans la Vie - Épanouissement personnel, sagesse philosophique et éveil spirituel pour changer sa vie: Édition Intégrale et Collector",18.37,"Plongez dans l&#39univers profondément réfléchi d&#39Arthur Schopenhauer avec ""Aphorismes sur la Sagesse dans la Vie"".

Dans ce recueil, Schopenhauer nous offre une vision inégalée de l&#39existence humaine. À travers une division fondamentale en six chapitres éclairants, il nous invite à nous interroger sur l&#39essence même de notre être, sur ce que nous possédons réellement, sur le rôle que nous jouons dans ce vaste théâtre qu&#39est la vie.
Découvrez les parénèses et maximes qui ponctuent ces pages, chacune résonnant comme une leçon précieuse pour quiconque aspire à une compréhension plus profonde du monde qui l&#39entoure. En plongeant dans",979-8867255695,https://m.media-amazon.com/images/I/716GgVDcyBL._SY522_.jpg,Independently published (10 novembre 2023),Arthur Schopenhauer,Métaphysique
Métaphysique,13.0,"Il n&#39y avait à ce jour que deux traductions disponibles de la Métaphysique d&#39Aristote en français. Celle de Jules Barthélémy Saint-Hilaire date de 1878. Il est évident que depuis sa parution beaucoup de travaux en codicologie, en paléographie et en philosophie ont amélioré notre connaissance du texte et notre compréhension de son contenu. La seconde traduction, celle de Jules Tricot, a paru en 1933, puis a été plusieurs fois rééditée, en particulier en 1964. Le traducteur déclare lui-même avoir voulu ""rendre la pensée d&#39Aristote"" plutôt que de s&#39astreindre à ""une exactitude littérale"" . La présente traduction suit une méthode exactement opposée : elle se conforme rigoureusement au texte grec, tel qu&#39il est transmis par les manuscrits les plus anciens, pour tenter de saisir la pensée d&#39Aristote. Il est clair que la tâche n&#39en est pas simplifiée. Cependant l&#39évolution des connaissances philologiques et philosophiques autant que les exigences actuelles en matière de traduction montrent l&#39utilité de proposer une nouvelle version d&#39un texte rarement traduit.",978-2080705631,https://m.media-amazon.com/images/I/71nMpGG+VZL._SY522_.jpg,FLAMMARION (20 février 2008),Aristote,Métaphysique
Florence Scovel Shinn - L&#39oeuvre intégrale - 4 Livres en 1: Le jeu de la vie et comment le jouer / Votre Parole est votre baguette magique / La porte secrète du succès / Le pouvoir de la Parole,8.5,"Toute l’oeuvre de Florence Scovel Shinn - auteure métaphysique du début du 20ème siècle - en UN SEUL LIVRE:
Le Jeu de la vie et comment le jouer (1925)
Votre Parole est votre baguette magique (1928)
La porte secrète du succès (1940)
Le pouvoir de la Parole (1945)
Dans ses livres, Florence Scovel Shinn enseigne que la pensée positive, la confiance en soi et la foi en un pouvoir supérieur peuvent influencer positivement notre réalité et conduire à la réalisation de nos désirs les plus profonds. Elle encourageait les gens à se défaire des pensées négatives et des croyances limitantes pour attirer le succès, la prospérité et le bonheur dans leur vie.",979-8854125208,https://m.media-amazon.com/images/I/7174eK9KpRL._SY522_.jpg,Independently published (29 juillet 2023),Florence Scovel Shinn,Métaphysique
Frequency Wave Theory: Expands on Terrence Howard’s Theories,8.26,"Frequency Wave Theory: Expands on Terrence Howard’s Theories
By Drew Ponder
Unlock the mysteries of the universe with ""Frequency Wave Theory: Expands on Terrence Howard’s Theories"" by Drew Ponder. This groundbreaking book delves into a revolutionary framework that redefines our understanding of reality, bridging the gap between science, philosophy, and everyday life.
Discover the Power of Frequencies
In this comprehensive exploration, Drew Ponder takes you on a journey through the foundational principles of Frequency Wave Theory, revealing how all matter and energy are manifestations of underlying waveforms. From subatomic particles to cosmic structures, this theory offers a unified perspective that explains the complex dynamics of the natural world.",979-8326603807,https://m.media-amazon.com/images/I/61e2YQgm+8L._SY522_.jpg,Independently published (25 mai 2024),Drew Ponder,Métaphysique
Méditations métaphysiques,17.73,"L&#39expérience d&#39une pensée rigoureuse ne peut se faire par procuration. Il faut se ménager du temps, du loisir et de l&#39attention pour enfin penser par soi-même, sans maître, sans approximation, sans préjugé, sans précipitation. Ainsi l&#39expérience de pensée que nous présente Descartes dans les Méditations métaphysiques n&#39est-elle pas simplement un témoignage exemplaire. Elle décrit et met en scène les exercices de l&#39esprit nécessaires pour entamer un parcours philosophique.Comme l&#39écrit Husserl, ""ces méditations dessinent le prototype du genre de méditations nécessaires à tout philosophe qui commence son oeuvre, méditations qui seules peuvent donner naissance à une philosophie"".",978-2080256775,https://m.media-amazon.com/images/I/61Ki6GUxRAL._SY522_.jpg,FLAMMARION (8 septembre 2021),René Descartes,Métaphysique
Être et temps,5.63,"Une nouvelle traduction en 2024 de l&#39œuvre majeure de Martin Heidegger ""L&#39être et le temps"" ou ""être et temps"" (Sein und Zeit en allemand), publiée à l&#39origine en 1927 dans de multiples publications. Cette édition contient une nouvelle postface du traducteur, une chronologie de la vie et de l&#39œuvre de Heidegger, un index philosophique des principaux concepts heideggériens et un guide terminologique des existentialistes des XIXe et XXe siècles. Cette traduction est conçue pour être lisible et accessible à la philosophie énigmatique et dense de Heidegger. Les termes philosophiques complexes et spécifiques sont traduits aussi littéralement que possible et les notes de bas de page académiques ont été supprimées pour faciliter la lecture.

Être et Temps présente un discours philosophique complexe sur la nature de l&#39être (Sein) et du temps (Zeit), en se concentrant en particulier sur le concept temporel-existentialiste de Dasein, un terme qui combine les mots allemands pour ""être"" (sein) et ""là"" (da). Cet ouvrage philosophique classique examine la compréhension métaphysique traditionnelle de l&#39être, arguant que cette compréhension, typiquement basée sur l&#39idée d&#39une présence constante, ne rend pas compte des dimensions temporelles et existentielles de l&#39être. Heidegger propose que la compréhension de l&#39être nécessite une analyse du Dasein, qui se caractérise non seulement par son existence, mais aussi par son être dans le monde et son existence temporelle. Le concept de Dasein est au cœur de son argumentation, soulignant que le Dasein est toujours déjà situé dans un monde et que sa compréhension de l&#39être est façonnée par son existence temporelle. Cette perspective remet en question les notions métaphysiques traditionnelles de l&#39être comme statique et immuable, proposant au contraire que l&#39être est fondamentalement temporel et lié à l&#39existence et à la compréhension humaines.

Comme le suggère le titre, Heidegger considère que la question de l&#39être est indissociable du temps, arguant que les conceptions newtoniennes du temps comme une série de points actuels sont inadéquates pour comprendre l&#39être du Dasein. Son Ontochronologie soutient que l&#39analyse existentielle et ontologique du Dasein révèle un concept plus fondamental du temps, qui fait partie intégrante de la structure de l&#39Être lui-même. Le texte développe plus avant l&#39idée de ""jeté"" et plusieurs autres thèmes existentialistes. Le fait d&#39être jeté est l&#39une des trois conditions qui signifient l&#39immersion du Dasein dans le monde, où il se trouve déjà empêtré dans un réseau de relations et de significations. Ce ""jeté"", combiné à l&#39être vers la mort inhérent au Dasein, souligne la condition existentielle des êtres humains, encadrant leur existence comme un engagement continuel avec leur propre finitude et les possibilités de leur être. Heidegger affirme que la compréhension de la nature de l&#39être requiert une refonte fondamentale de l&#39être et du temps, déclarant dogmatiquement que la véritable nature de l&#39être ne peut être saisie qu&#39à travers une compréhension de la temporalité qui caractérise l&#39existence de l&#39être.",979-8879668773,https://m.media-amazon.com/images/I/714ispFxNQL._SY522_.jpg,Independently published (16 février 2024),Martin Heidegger,Métaphysique
The Principles of History: And Other Writings in Philosophy of History,16.7,"Published here for the first time is much of a final and long-anticipated work on philosophy of history by the great Oxford philosopher and historian R. G. Collingwood (1889-1943). The original text of this uncompleted work has only recently been discovered. It is accompanied by further, shorter writings by Collingwood on historical knowledge and inquiry, selected from previously unpublished manuscripts held at the Bodleian Library, Oxford. All these writings, besides containing entirely new ideas, discuss further many of the issues which Collingwood famously raised in The Idea of History and in his Autobiography. The volume includes also two conclusions written by Collingwood for lectures which were eventually revised and published as The Idea of Nature, but which have relevance also to his philosophy of history.

A lengthy editorial introduction sets these writings in their context, and discusses philosophical questions to which they give rise. The editors also consider why Collingwood left",978-0198237037,https://m.media-amazon.com/images/I/61565T7LI-L._SY522_.jpg,Clarendon Press (18 mars 1999),R. G. Collingwood,Métaphysique
Classical Indian Philosophy: A History of Philosophy Without Any Gaps (5),14.62,"Peter Adamson and Jonardon Ganeri present a lively introduction to one of the world&#39s richest intellectual traditions: the philosophy of classical India. They begin with the earliest extant literature, the Vedas, and the explanatory works that these inspired, known as Upanisads. They also discuss other famous texts of classical Vedic culture, especially the Mahabharata and its most notable section, the Bhagavad-Gita, alongside the rise of Buddhism and Jainism. In this opening section, Adamson and Ganeri emphasize the way that philosophy was practiced as a form of life in search of liberation from suffering. Next, the pair move on to the explosion of philosophical speculation devoted to foundational texts called &#39sutras,&#39 discussing such traditions as the logical and epistemological Nyaya school, the monism of Advaita Vedanta, and the spiritual discipline of Yoga. In the final section of the book, they chart further developments within Buddhism, highlighting Nagarjuna&#39s radical critique of &#39non-dependent&#39 concepts and the no-self philosophy of mind found in authors like Dignaga, and within Jainism, focusing especially on its &#39standpoint&#39 epistemology. Unlike other introductions that cover the main schools and positions in classical Indian philosophy, Adamson and Ganeri&#39s lively guide also pays attention to philosophical themes such as non-violence, political authority, and the status of women, while considering textual traditions typically left out of overviews of Indian thought, like the Carvaka school, Tantra, and aesthetic theory as well. Adamson and Ganeri conclude by focusing on the much-debated question of whether Indian philosophy may have influenced ancient Greek philosophy and, from there, evaluate the impact that this area of philosophy had on later Western thought.",978-0192856746,https://m.media-amazon.com/images/I/61NJdfL88pL._SY522_.jpg,Oxford University Press (27 janvier 2022),Peter Adamson,Métaphysique
Les Débuts: Par où recommencer ?,7.7,"Qu’est-ce qu’un début dans la vie ? C’est une ressource infatigable de nos récits familiaux, qui se réinvente chaque fois, et signe la marque du romanesque dans nos existences. Pourquoi recommence-t-on, et jusqu’à quand ? Qu’estce qui nous fait rechercher l’intensité du sentiment de vivre, l’impatience et l’innocence des commencements ? Et comment conserver cette ardeur au fil des épreuves ? Pour approfondir ce sujet, Claire Marin déploie toutes les nuances de son extraordinaire art de comprendre, en lectrice accomplie de nos tourments et de nos joies.

L’autrice explore avec finesse les incertitudes qui s’entrelacent autour des premiers instants. Pour les scruter, elle combine avec bonheur références philosophiques et romanesques. Roger Pol-Droit,",978-2253908685,https://m.media-amazon.com/images/I/61-64V49uNL._SY522_.jpg,Le Livre de Poche (2 mai 2024),Claire Marin,Métaphysique
Metafísica 4 en 1. Volumen I,17.27,"Este libro incluye los textos Metafisica al alcance de todos, Te regalo lo que se te antoje, El maravillos numero 7 y Quien es y Quien fue el Conde de Saint-Germain.",978-9806329478,https://m.media-amazon.com/images/I/81Gk9BC1DSL._SY522_.jpg,Ediciones Giluz (1 janvier 1900),CONNY MENDEZ,Métaphysique
Métaphysique du sexe,12.87,"Après avoir traduit en italien Sexe et Caractère d’Otto Weininger, Julius Evola projeta d’en écrire une introduction qui devint, en 1958, un ouvrage à part entière : Métaphysique du sexe. Métaphysique qui s’entend selon deux acceptions : elle est « l’étude de ce que signifient, d’un point de vue absolu, soit les sexes, soit les relations entre les sexes », mais aussi « dans un deuxième sens, en relation avec son étymologie, […] la science de ce qui va au-delà du plan physique ».« Chacun sait quel rôle joue le sexe à notre époque, au point qu’on pourrait parler, aujourd’hui, d’une espèce d’obsession sexuelle […]. Sous mille formes, la femme et le sexe dominent dans la littérature, le théâtre, le cinéma, la publicité, dans toute la vie pratique contemporaine. Sous mille formes, la femme est exhibée pour attirer et intoxiquer sexuellement, sans cesse, l’homme. » Régression d’une sexualité devenue animale qui a fait disparaître le sens profond de l’eros, dont les modalités subtiles permettent de transcender la conscience humaine. L’expérience amoureuse, fondée sur la polarité des sexes, nous lie ainsi aux énergies premières de l’univers ; expérience du sacré, pulsion reflétant le « mystère de l’Un », elle est une tentative, par un déconditionnement du Moi, d’échapper à notre propre finitude en retrouvant l’unité originelle perdue. Julius Evola (1898-1974) est un philosophe italien, issu de la petite noblesse sicilienne, qui s’adonna également à la peinture et la poésie. Grand lecteur de la Bhagavad-Gîtâ, mais aussi des textes bouddhiques, il s’intéresse aux écrits de René Guénon, devient l’ami de Mircea Eliade, se rapproche du fascisme et œuvre au rétablissement d’un empire romain germanique dans l’esprit gibelin.",978-2367251554,https://m.media-amazon.com/images/I/41DVqcuVBYL.jpg,Kontre kulture (28 septembre 2020),Julius EVOLA,Métaphysique
Essai sur la preuve de l&#39existence de Dieu par une méthode transcendantale-critique et quelques implication,12.44,Essai ayant pour objectif de compléter le chapitre III du livre : Les Principes du Mal afin de développer la preuve de l&#39existence de Dieu qui y est proposée d&#39une manière intégrale.,979-8327470583,https://m.media-amazon.com/images/I/61gDMVpNLYL._SY522_.jpg,Independently published (3 juin 2024),M Kévin ORONOS,Métaphysique
La conscience est la seule réalité: Le travail d&#39une vie,11.62,"""La conscience est la seule réalité""
Cette traduction de l&#39œuvre complète de Neville Goddard comprend les dix livres écrits et publiés par le mystique sur une période de 22 ans;
Sous votre commandement (1939)
Votre foi est votre destin (1941)
La liberté pour tous (1942)
La prière : L&#39art de la foi (1945)
Pas de ce monde (1948)
Le sentiment est le secret (1951)
Le pouvoir de la conscience (1952)
Imagination éveillée (1954) & La Quête (1946)
Temps des semailles et de la récolte (1956)
La loi et la promesse (1961)",979-8700101882,https://m.media-amazon.com/images/I/61o7JRlb5nL._SY522_.jpg,Independently published (25 janvier 2021),Neville Goddard,Métaphysique
Le Règne de la quantité et les Signes des temps,19.21,"Une dénonciation magistrale de la civilisation occidentale.
Il s&#39agit du troisième volet d&#39un triptyque inauguré par Orient et Occident et poursuivi par La Crise du monde moderne – consacré à la dénonciation de la civilisation occidentale moderne dont les erreurs et les mensonges sont magistralement analysés, à la lumière de principes métaphysiques d&#39une rigueur quasi mathématique, et qui transcendent ipso facto les notions morales de bien et de mal. Le titre de l&#39ouvrage est explicite : nous sommes entrés depuis la Seconde Guerre mondiale – pendant laquelle il fut écrit – dans la phase ultime de l&#39Âge de Fer des Grecos-Latins ou de Kali-Yuga (l&#39Âge sombre) des Hindous. Mais au regard de l&#39Absolu et de l&#39Éternité, la "" fin d&#39un monde "" n&#39est jamais que la fin d&#39une illusion...",979-1024206448,https://m.media-amazon.com/images/I/61Adq62SeTL._SY522_.jpg,Dervy (6 janvier 2022),René Guénon,Métaphysique
L&#39Initiation: ou comment acquérir des connaissances des mondes supérieurs,19.5,"Un livre qui intéressera tout chercheur de vérité, loin d&#39une spiritualité qui prône une voie simple, rapide et sans effort. A travers ""L&#39Initiation"" Rudolf Steiner ouvre une porte sur un chemin où la pratique et les valeurs morales tiennent une place prépondérante. Humilité, patience, calme et esprit de service à l&#39humanité, des qualités à développer par l&#39aspirant nous font comprendre que l&#39éveil est un chemin long et périlleux sauf si l&#39on sait se mettre sous la guidance de ceux qui l&#39ont accomplis.

""Les chemins que doit parcourir l’homme pour acquérir la maturité nécessaire à ces révélations sont décrits avec précision, ils sont éternellement tracés en lettres de feu dans les temples où les initiés conservent précieusement ces augustes mystères. Dans les temps qui ont précédé notre histoire, ces temples étaient visibles aux yeux des hommes. Aujourd’hui que notre vie s’est éloignée de toute spiritualité, la plupart d’entre eux sont invisibles aux yeux. Pourtant ils existent partout, et quiconque les cherche peut les trouver."" Rudolf Steiner",979-8558096330,https://m.media-amazon.com/images/I/51OgZ1x7zjL._SY522_.jpg,Independently published (3 novembre 2020),Rudolf STEINER,Métaphysique
"L&#39hypothèse de la simulation: IA, physique quantique, mystiques... vivons-nous dans un jeu vidéo ?",14.63,"Vivons-nous dans un jeu vidéo ? L&#39auteur, diplômé de Stanford et du MIT, montre pourquoi l&#39intelligence artificielle, la physique quantique et les traditions orientales sont d&#39accord sur le fait que notre réalité est simulée. Après un rapide historique des jeux vidéos, de la réalité virtuelle et de l&#39intelligence artificielle, l&#39auteur explique le fonctionnement de notre réalité simulée : lois physiques et connaissances mystiques. Simple d&#39approche, ce livre très clair est à la portée de tous, et plus particulièrement de tous ceux ayant déjà joué aux jeux vidéos au moins une fois dans leur vie.",978-2490769308,https://m.media-amazon.com/images/I/81wP6QlCHhL._SY522_.jpg,Extraordinaire (4 novembre 2021),Rizwan Virk,Métaphysique
Basic Writings,17.33,"“One of the most profound thinkers of the 20th century.” — New York Times
The finest single-volume anthology of the great philosopher’s work, with a new introduction by leading Heidegger scholar Taylor Carman
Basic Writings is the finest single-volume anthology of the work of Martin Heidegger, widely considered one of the most important modern philosophers. Its selections offer a full range of the influential author&#39s writings—including ""The Origin of the Work of Art,"" the introduction to Being and Time, ""What Is Metaphysics?,"" ""Letter on Humanism,"" ""The Question Concerning Technology,"" ""The Way to Language,"" and ""The End of Philosophy."" This essential collection provides readers with a concise introduction to the groundbreaking philosophy of this brilliant and essential thinker.",978-0061627019,https://m.media-amazon.com/images/I/61Pb6A-DVEL._SY522_.jpg,Harper Perennial Modern Classics (4 novembre 2008),Martin Heidegger,Métaphysique
On Human Nature,33.07,"In his new preface E. O. Wilson reflects on how he came to write this book: how The Insect Societies led him to write Sociobiology, and how the political and religious uproar that engulfed that book persuaded him to write another book that would better explain the relevance of biology to the understanding of human behavior.",978-0674016385,https://m.media-amazon.com/images/I/61pFa-Mz18L._SY522_.jpg,Harvard University Press; 2e édition (18 octobre 2004),Edward O. Wilson,Métaphysique
