Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
L&#39imagerie mentale en sport: Une technique de préparation mentale pour améliorer ses performances sportives,19.0,"Imaginez pouvoir améliorer vos performances sportives simplement par le pouvoir de votre mental.

Vous aimeriez pouvoir montrer à tous l’étendue de votre potentiel.

Vous avez l’impression de ne pas jouer à 100% de vos capacités et ne demandez qu’à révéler ce potentiel.

C’est ce qu’il est possible de faire grâce à l’imagerie mentale.

Dans ce livre, vous allez découvrir un exercice méconnu qui va vous montrer comment l’imagerie mentale peut améliorer vos performances.

L’imagerie mentale est loin d’être une technique magique.

Mais avec un peu de travail, vous verrez les résultats arriver rapidement.

Ce livre est un guide pratique.

Il a été conçu pour vous apprendre à pratiquer l’imagerie mentale dans le but d’améliorer vos performances sportives. Et pourra vous être utile que vous soyez joueur, entraineur ou même préparateur mental.

Voici quelques éléments que vous pourrez trouver à l&#39intérieur:",979-8772029961,https://m.media-amazon.com/images/I/71Kty1+8htL._SY522_.jpg,Independently published (22 novembre 2021),Marc DUGENIE,Natation
Natation - Méthode d&#39entraînement pour tous,10.18,"Après le succès de Natation, Méthode d&#39entraînement pour tous, Matthieu Chadeville revient avec cette nouvelle édition. Ce livre contient des programmes entièrement nouveaux, conçus pour faciliter la progression en natation, quel que soit le niveau de départ. Si la natation est un des sports les plus pratiqués en France, elle n&#39en reste pas moins un sport technique, où un programme adapté permet de s&#39améliorer, prévenir les blessures et surtout prendre davantage de plaisir à chaque séance. Entraîneur en natation diplômé d&#39Etat, Matthieu Chadeville rend accessible à tous sa méthode, prête à être appliquée. Cet ouvrage comprend des modules de test pour évaluer son niveau en natation, 100 séances d&#39entraînement, mais aussi des exercices pour parfaire sa technique quelle que soit la nage pratiquée, et enfin des astuces. Comment nager dans une piscine bondée ? Quel programme pour mieux nager en eau libre ? Comment réaliser un crawl plus fluide ? Avec quels exercices s&#39entraîner à nager plus vite ? Toutes les réponses et bien d&#39autres se trouvent dans ce livre.",978-2757605660,https://m.media-amazon.com/images/I/81kbbXqD-HL._SY522_.jpg,AMPHORA; Illustrated édition (7 septembre 2023),MATTHIEU CHADEVILLE,Natation
Aquabuilding,16.95,"L&#39AQUABULDING est une méthode nouvelle de musculation en milieu aquatique qui met en œuvre la résistance de l&#39eau aux mouvements. La méthode de Bernard Lebaz est fondée sur des mouvements exécutés avec une force et une rapidité maximales, ce qui entraîne une résistance maximale de l&#39eau ADAPTEE a chacun. Efficaces, ces mouvements galbent rapidement le corps "" en fuseau "", sans douleurs ni courbatures. Bernard Lebaz nous livre, dans cet ouvrage, toutes ses techniques d&#39aquabuilding, adaptées à chaque âge et à des applications différentes : - sculpture du corps - grossesse - musculation post-natale - relaxation - kinébalnéothérapie Sans oublier l&#39hydrothérapie et l&#39aquabuilding chez soi, en baignoire !",978-2702703731,https://m.media-amazon.com/images/I/81yxLprHKiL._SY522_.jpg,Chiron (1 juin 1989),Bernard Lebaz,Natation
Le guide du crawl moderne - Nouvelle édition revue et augmentée,24.9,""" Ce livre est très précieux car il entre vraiment dans les détails, or ce sont les détails qui font la différence ! ""
Fabien Gilot Médaillé mondial et olympique

"" Un guide hyperdétaillé et exhaustif sur le crawl qui vous fera progresser en bassin et en eau libre. ""
Loïc Branda International français de natation en eau libre
Voici la seconde édition du best-sellerLe Guide du Crawl moderne.
Grâce à ce livre, vous allez pouvoir crawler plus longtemps, avec plus d&#39aisance et plus de plaisir.
Solarberg Séhel vous donne les clés d&#39un crawl vraiment efficace. Horizontalité, respiration, prise d&#39appui, trajet sous-marin de la main, retour aérien du bras, battement de jambes...
Toutes les phases de la nage sont décomposées, analysées et commentées, avec plus de 70 photos à l&#39appui.
Dans cette édition revue et augmentée (+ 72 pages), découvrez :
– un test pour évaluer votre niveau ;
– des check-lists pour définir vos axes de progression ;
– 50 éducatifs pour travailler les points techniques clés de manière variée ;
– des dizaines de trucs et astuces pour éviter les défauts les plus courants, ne pas fatiguer trop vite, réduire sa traînée et nager avec une grande fluidité ;
– un décryptage des différents styles de crawl ;
– une nouvelle section dédiée aux spécificités de la nage en eau libre/triathlon ;
– un nouveau chapitre consacré à la nage en pleine attention.
Ce livre sans équivalent s&#39adresse aux nageurs de tous niveaux, débutants et experts. Il intéressera également les entraîneurs et les MNS. Après l&#39avoir lu et relu, vous ne nagerez plus jamais comme avant.",978-2365493550,https://m.media-amazon.com/images/I/71LUDhHXqpL._SY522_.jpg,Thierry Souccar; Illustrated - Enlarged édition (5 septembre 2019),Solarberg Séhel,Natation
Nager une brasse efficace: Progression en 10 étapes pour tous,18.5,"Véritables outils didactiques, ces trois ouvrages abordent de façon synthétique tout ce que vous devez savoir pour progresser techniquement en crawl, en papillon et en brasse. Ils vous permettront de vous améliorer grâce à un parcours progressif d&#39une dizaine d&#39étapes et à de nombreux exercices. Tout au long de ces livres, l&#39auteur propose des solutions adaptées à tous les nageurs, quels que soient leur niveau et leur âge. Illustrées par de nombreuses photos pédagogiques qui permettent l&#39assimilation rapide des mouvements, les explications claires de l&#39auteur vous permettront d&#39optimiser votre geste, que vous pratiquiez la brasse, le crawl ou le papillon. Très pragmatiques, ces guides accompagnent le nageur pas à pas en apportant des réponses concrètes à toutes les questions que suscite une pratique régulière de la natation. Nageur débutant ou confirmé, ne laissez plus des erreurs techniques vous ralentir !",978-2851809926,https://m.media-amazon.com/images/I/71GrOx1hovL._SY522_.jpg,AMPHORA; Illustrated édition (17 novembre 2017),MATTHIEU CHADEVILLE,Natation
Natation - Préparation athlétique pour tous: De la formation au haut niveau,5.82,"Particulièrement exigeante, la pratique de la natation s&#39accompagne d&#39une préparation physique spécifique dès lors que des objectifs de performance sont définis. Dans ce manuel très complet, Patrick Lhopitalier nous fait bénéficier de son expérience de préparateur physique au sein de l&#39Equipe de France et du Cercle des Nageurs de Marseille, où il entraine quotidiennement les meilleurs nageurs français. Avec une volonté constante de relier les bénéfices du travail à sec aux mouvements réalisés dans les différentes nages, l&#39auteur nous donne ses meilleurs conseils pour optimiser ses performances. Des encadrés "" L&#39avis de l&#39expert "" et "" L&#39astuce du Pro "" viennent soutenir le propos en livrant les secrets d&#39entraînement des plus grands noms de la natation française. La théorie s&#39accompagne d&#39exercices pratiques, facilement réalisables et développés au contact de nageurs de haut niveau. Chaque exercice est décliné en trois variantes (initié, confirmé, expert) pour permettre à tous les publics de progresser rapidement. De nombreuses photos pédagogiques ont été prises spécifiquement pour l&#39occasion, dont certaines avec le vice-champion Olympique Florent Manaudou. De l&#39identification des qualités requises pour mieux nager au travail de souplesse en passant par le gainage et le renforcement musculaire spécifique, ce guide aborde tous les leviers de progression exploitables par les nageurs, quels que soient leur spécialité, leur niveau de pratique et leur catégorie (Cadets, Juniors, Seniors, Masters). Sont encore abordés l&#39entraînement des jeunes nageurs et la prévention des blessures en natation pour ancrer et entretenir des habitudes d&#39entraînement saines. Tout pour optimiser ses performances en natation.",978-2851809582,https://m.media-amazon.com/images/I/81qeaMIzlkL._SY522_.jpg,AMPHORA; Illustrated édition (17 mars 2017),PATRICK LHOPITALIER,Natation
Apprendre à nager,17.44,"JE SAIS NAGER EN 10 ETAPES

AQUANAGE.FR

Exclusivité LIVRE PAPIER ""Apprendre à nager c&#39est facile"" + 7 heures de formation vidéo.

Contacter l’auteur

Si vous ayez une question, un commentaire ou que vous souhaitiez donner un avis ou un conseil pour améliorer le contenu de ce livre, n’hésitez pas à rentrer en contact avec l’auteur à l’adresse suivante :",978-1726747448,https://m.media-amazon.com/images/I/71MMrZ-LeQL._SY522_.jpg,Independently published (5 octobre 2018),Guillaume Palmade,Natation
Nager un papillon efficace: Progression en 9 étapes pour tous,18.5,"Véritables outils didactiques, ces trois ouvrages abordent de façon synthétique tout ce que vous devez savoir pour progresser techniquement en crawl, en papillon et en brasse. Ils vous permettront de vous améliorer grâce à un parcours progressif d&#39une dizaine d&#39étapes et à de nombreux exercices. Tout au long de ces livres, l&#39auteur propose des solutions adaptées à tous les nageurs, quels que soient leur niveau et leur âge. Illustrées par de nombreuses photos pédagogiques qui permettent l&#39assimilation rapide des mouvements, les explications claires de l&#39auteur vous permettront d&#39optimiser votre geste, que vous pratiquiez la brasse, le crawl ou le papillon. Très pragmatiques, ces guides accompagnent le nageur pas à pas en apportant des réponses concrètes à toutes les questions que suscite une pratique régulière de la natation. Nageur débutant ou confirmé, ne laissez plus des erreurs techniques vous ralentir !",978-2851809940,https://m.media-amazon.com/images/I/713YENWEEwL._SY522_.jpg,AMPHORA; Illustrated édition (17 novembre 2017),MATTHIEU CHADEVILLE,Natation
The Story of Swimming,17.12,"In recent years, wild swimming - a movement that has inspired people to plunge into river, lake and sea in search of natural or challenging swimming experiences - has become extremely popular in Britain. But this phenomenon is only the latest episode in a long, fascinating and hitherto untold story. Passionate outdoor swimmer Susie Parr sets out to trace the social history of bathing in Britain, from the earliest references in Roman and Anglo Saxon literature to the decline of British seaside resorts and traditional bathing clubs in the late 20th century. &#39The Story of Swimming &#39reveals discoveries in medieval and Elizabethan literature and tells how medicinal sea-bathing flourished in the 18th century, leading to the rise of elegant watering places such as Brighton and Scarborough. The book examines the role of bathing in the Romantic Movement and in the works of a line of literary swimmers from Wordsworth to Iris Murdoch. It explores the political aspects of swimming too: when the masses descended on Victorian seaside resorts, class-based conflicts centred on bathing were played out on the beaches of Britain. Over the centuries, swimming has even reflected changing perceptions of the role of women. Each phase of this extraordinary story is captured in different swimming experiences across the British Isles, from Orkney to Tenby. Comprehensive and lavishly illustrated with woodcuts, engravings, cartoons, paintings and photographs (some by acclaimed photographer, Martin Parr), &#39The Story of Swimming&#39 is a must for everyone who enjoys bathing out of doors.",978-1905928071,https://m.media-amazon.com/images/I/51jUb05k5kL.jpg,Dewi Lewis Media Ltd; UK ed. édition (10 novembre 2011),Susie Parr,Natation
Carnet de plongée,9.84,"Une vie facile:
Ce carnet de plongée vierge est l&#39outil idéal pour tous les plongeurs qui veulent garder une trace de leurs expériences sous-marines.
Avec des pages dédiées à l&#39enregistrement des paramètres de plongée, des observations et des impressions, ce livre sera un compagnon fidèle pour vos aventures sous-marines.
Vous pourrez noter les détails de chaque plongée, y compris la profondeur, la durée, la température
Et pour les plongeurs qui aiment collectionner les tampons de différents moniteurs, ce carnet dispose également de pages vierges pour conserver une trace de chaque expérience de plongée.",,https://m.media-amazon.com/images/I/61arwsUDgEL._SY522_.jpg,Independently published (12 mars 2023),Mathis DAURIAT,Natation
