Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Le temps que la nuit tombe: Recueil de poèmes,16.44,"Ce recueil de poèmes reflète le temps qui passe pour l&#39Homme et ce qui l&#39entoure. Le temps est ponctué de toutes sortes d&#39émotions et de passages pour l&#39humain. Ces poèmes francophones vous amènerons dans des sombres méandres du ressenti humain pour vous plonger ensuite dans une nature forte et implacable ou l&#39animal a, lui, trouvé sa place. Mélant cauchemars, rêves, imagination débordante ou scènes quotidiennes, parfois haine et parfois amour, ces poèmes sauront vous questionner, transporter, vous les aimerez ou détesterez mais ils ne vous laisseront jamais indifferent. Les thèmes abordés sont parfois noirs, transgressifs et d&#39autres fois lumineux et ensoleillés comme un humain traversé par ces émotions au cours de sa vie. Tout change dans une vie, les idées, les pensées, les valeurs et c&#39est ce caractère à la fois immuable de l&#39être humain et changeant qui est abordé dans ces poésies comme une ode à l&#39existence.",979-8627542270,https://m.media-amazon.com/images/I/71yuNDPtR7L._SY522_.jpg,Independently published (18 mars 2020),Camille Gautheron,Poesie
Le temps que la nuit tombe: Recueil de poèmes,15.48,"Ce recueil de poèmes reflète le temps qui passe pour l&#39Homme et ce qui l&#39entoure. Le temps est ponctué de toutes sortes d&#39émotions et de passages pour l&#39humain. Ces poèmes francophones vous amènerons dans des sombres méandres du ressenti humain pour vous plonger ensuite dans une nature forte et implacable ou l&#39animal a, lui, trouvé sa place. Mélant cauchemars, rêves, imagination débordante ou scènes quotidiennes, parfois haine et parfois amour, ces poèmes sauront vous questionner, transporter, vous les aimerez ou détesterez mais ils ne vous laisseront jamais indifferent. Les thèmes abordés sont parfois noirs, transgressifs et d&#39autres fois lumineux et ensoleillés comme un humain traversé par ces émotions au cours de sa vie. Tout change dans une vie, les idées, les pensées, les valeurs et c&#39est ce caractère à la fois immuable de l&#39être humain et changeant qui est abordé dans ces poésies comme une ode à l&#39existence.",979-8627542270,https://m.media-amazon.com/images/I/71yuNDPtR7L._SY522_.jpg,Independently published (18 mars 2020),Camille Gautheron,Poesie
Le jour où j&#39ai appris à vivre,7.7,"Imaginez : vous vous baladez sur les quais de San Francisco un dimanche, quand soudain une bohémienne vous saisit la main pour y lire votre avenir. Amusé, vous vous laissez faire, mais son regard se fige, elle devient livide. Ce qu&#39elle va finalement vous dire, vous auriez préféré ne pas l&#39entendre. À partir de là, rien ne sera plus comme avant, et il vous sera impossible de rester sur les rails de la routine habituelle.
C&#39est ce qui va arriver à Jonathan. À la suite de cette rencontre troublante, il va se retrouver embarqué dans une aventure de découverte de soi ponctuée d&#39expériences qui vont changer radicalement sa vision de sa vie, de la vie...

"" La leçon de bonheur. "" Pierre Vavasseur – Le Parisien / Aujourd&#39hui en France",978-2266258739,https://m.media-amazon.com/images/I/61xAhN80RaL._SY522_.jpg,Pocket (7 avril 2016),Laurent Gounelle,Poesie
La Vérité sur l&#39Affaire Harry Quebert,9.9,"Qui a tué Nola Kellergan?
À la fin de l&#39été 1975, à Aurora, dans le New Hampshire, Nola Kellergan, une jeune fille de quinze ans, disparaît dans des conditions mystérieuses.
Au printemps 2008, à New York, Marcus Goldman, jeune écrivain à succès, est incapable d&#39écrire le nouveau roman qu&#39il doit remettre à son éditeur. Dans l&#39espoir de retrouver l&#39inspiration, il s&#39installe pour quelques semaines à Aurora, auprès de son ami et ancien professeur d&#39université, Harry Quebert, l&#39un des écrivains les plus respectés du pays.
Peu après son retour à New York tout bascule : le cadavre de Nola Kellergan est retrouvé dans la propriété de Harry Quebert. Celui-ci, accusé du meurtre de la jeune femme, est immédiatement arrêté par la police.
Convaincu de l&#39innocence de Harry, Marcus abandonne tout pour se rendre dans le New Hampshire et mener sa propre enquête. Il va rapidement être dépassé par les évènements.",978-2889730087,https://m.media-amazon.com/images/I/61XOfqMQoFL._SY522_.jpg,Rosie & Wolfe (10 mars 2022),Joël Dicker,Poesie
"Mes forêts: Suivi de Le paysage, l&#39intime, la poésie",11.5,"Hélène Dorion, première Québécoise vivante au programme du Baccalauréat, vit environnée de lacs et de forêts, de fleuves et de rivages, de brumes de mémoire et de vastes estuaires où la pensée s’évase. À travers cette expérience immersive dans la forêt des mots, elle nous invite à traverser les paysages pour aller vers « ce que l’on nomme humanité ».

En supplément, un dossier consacré à la poésie, la nature et l’intime, pour élargir les horizons du lecteur et lui donner envie de poursuivre le voyage.",978-2362294396,https://m.media-amazon.com/images/I/51Tk3NjQZ5L._SY522_.jpg,Editions Bruno Doucey (3 mars 2023),Hélène Dorion,Poesie
Les adorables étrangetés,11.13,"« Et puis, un matin, notre première pensée ne nous appartient plus. Et on se sait amoureux. »

Après trois ans d&#39attente et plus de 100 000 lecteurs, Lucas Clavel revient avec un nouveau livre :

LES ADORABLES ÉTRANGETÉS

Ces adorables étrangetés sont un petit livre secret, intime et poignant, dans lequel on pioche pour y cueillir au hasard quelques prières amoureuses. C’est dans l’idée d’un journal romantique, avec ses bouleversements et ses épiphanies, que l’auteur nous amène à sa manière en voyage, nous laissant feuilleter, selon nos humeurs, ces pages comme échappées d’un instant de confidence, où se réfugient d’envoûtants fragments sentimentaux, nous faisant vibrer de l’émerveillement au tragique, avec ce style élégant propre à l’auteur.",978-2492925771,https://m.media-amazon.com/images/I/61rmnJUKTSL._SY522_.jpg,La Maison des Audacieux (24 mai 2024),Lucas Clavel,Poesie
Le temps que la nuit tombe: Recueil de poèmes,17.21,"Ce recueil de poèmes reflète le temps qui passe pour l&#39Homme et ce qui l&#39entoure. Le temps est ponctué de toutes sortes d&#39émotions et de passages pour l&#39humain. Ces poèmes francophones vous amènerons dans des sombres méandres du ressenti humain pour vous plonger ensuite dans une nature forte et implacable ou l&#39animal a, lui, trouvé sa place. Mélant cauchemars, rêves, imagination débordante ou scènes quotidiennes, parfois haine et parfois amour, ces poèmes sauront vous questionner, transporter, vous les aimerez ou détesterez mais ils ne vous laisseront jamais indifferent. Les thèmes abordés sont parfois noirs, transgressifs et d&#39autres fois lumineux et ensoleillés comme un humain traversé par ces émotions au cours de sa vie. Tout change dans une vie, les idées, les pensées, les valeurs et c&#39est ce caractère à la fois immuable de l&#39être humain et changeant qui est abordé dans ces poésies comme une ode à l&#39existence.",979-8627542270,https://m.media-amazon.com/images/I/71yuNDPtR7L._SY522_.jpg,Independently published (18 mars 2020),Camille Gautheron,Poesie
Poesif: Les plus belles citations et plus beaux poèmes,15.13,"Ayant connu un succès fulgurant sur TikTok, les auteurs de POESIF ont décidé, suite à la demande de leur communauté, de rassembler les meilleurs oeuvres de leur compte dans un ouvrage. Après des mois de travail, ces deux amis passionnés de poésie et littérature sont fiers de vous présenter leur recueil dessiné en trois chapitres : citations, poèmes & créations originales ainsi qu’une formule tout à fait inédite : un chapitre bonus offrant l’opportunité à chacun de laisser parler son coeur… et sa plume.",979-8869607560,https://m.media-amazon.com/images/I/41FHD6KwK1L._SY522_.jpg,Independently published (12 décembre 2023),FEF,Poesie
J&#39ai un ange qui me tient la main,13.02,"""Ils disent que tu n&#39es pas vraiment partie,
Ils disent que tu vis à mes côtés.
Mais aujourd&#39hui, je voudrais juste te prendre les mains
Et te dire combien je me sens fragile et sans défense.""
--------------------------------------------------------
-Alya Shaini-

Nous avons tous un ange qui nous tient la main
La perte d&#39un être cher est une blessure indélébile. La douleur qui nous envahit est immense, et le sentiment de solitude et d&#39impuissance face au vide laissé par son absence peut sembler insurmontable. Cette épreuve peut ébranler notre foi en l&#39amour, la vie et l&#39avenir.",979-8879809749,https://m.media-amazon.com/images/I/61CQyPpKjYL._SY522_.jpg,Independently published (16 février 2024),Alya Shaini,Poesie
Tout ce que j&#39ai à te dire.,10.15,"Ce recueil contient les textes de « Tout ce que j’ai à te dire. » Partie 1 et Partie 2. (Disponibles à la vente séparément.)

“Tout ce que j’ai à te dire.” est un recueil captivant de plus de 150 textes originaux qui explorent les facettes les plus profondes de la vie humaine.

C’est un voyage intime à travers les méandres de l’âme humaine, où l’auteur ouvre son cœur pour partager ses pensées les plus profondes et ses émotions les plus sincères.
À travers des réflexions sur les relations amoureuses et amicales, la santé mentale et le deuil, l’auteur ouvre son cœur pour partager un voyage émotionnel poignant avec les lecteurs.",979-8884660496,https://m.media-amazon.com/images/I/31mRLw-2lGL._SY522_.jpg,Independently published (12 mars 2024),A G,Poesie
