Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"La Tentation de la vague, roman: Un thriller social et sentimental sur fond politique et financier",10.09,"Un peu playboy, un peu bobo, Werner vit à Paris, à l’écart de ses parents, de riches industriels menant grand train dans leur belle propriété sur le lac de Genève. Mais faute de répondre aux exigences sociétales actuelles, les affaires familiales se heurtent à des difficultés. Werner s&#39interroge : faut-il tout remettre en cause ?

Romain vit aussi à Paris. Militant de longue date à l’extrême-gauche, passé par les forces spéciales castristes, il a fondé son propre mouvement politique. Il s’appuie sur Julia, sa compagne, et sur Greg, un jeune militant qu’il a formé. Mais voilà que ce dernier, impétueux et séducteur, conteste son autorité et prétend mettre Julia dans son lit.

Lors d’une manifestation sur une ZAD, un homme est tué. Est-ce une bavure des forces de l’ordre ? Après des rebondissements inattendus, Werner et Romain devront affronter une destinée unique, inspirée par une femme.",978-2957807222,https://m.media-amazon.com/images/I/61FquY5QguL._SY522_.jpg,CIGAS (1 octobre 2022),Alain Schmoll,Politique
"La Tentation de la vague, roman: Un thriller social et sentimental sur fond politique et financier",15.86,"Un peu playboy, un peu bobo, Werner vit à Paris, à l’écart de ses parents, de riches industriels menant grand train dans leur belle propriété sur le lac de Genève. Mais faute de répondre aux exigences sociétales actuelles, les affaires familiales se heurtent à des difficultés. Werner s&#39interroge : faut-il tout remettre en cause ?

Romain vit aussi à Paris. Militant de longue date à l’extrême-gauche, passé par les forces spéciales castristes, il a fondé son propre mouvement politique. Il s’appuie sur Julia, sa compagne, et sur Greg, un jeune militant qu’il a formé. Mais voilà que ce dernier, impétueux et séducteur, conteste son autorité et prétend mettre Julia dans son lit.

Lors d’une manifestation sur une ZAD, un homme est tué. Est-ce une bavure des forces de l’ordre ? Après des rebondissements inattendus, Werner et Romain devront affronter une destinée unique, inspirée par une femme.",978-2957807222,https://m.media-amazon.com/images/I/61FquY5QguL._SY522_.jpg,CIGAS (1 octobre 2022),Alain Schmoll,Politique
Entre guerres,17.0,"""Le combat ne m&#39a pas forgé le coeur et l&#39âme, il m&#39a simplement rendu lucide. J&#39en sais désormais suffisamment pour ne pas me croire préservé, par ma simple qualité d&#39homme, du surgissement de l&#39animal qui gît en moi."" Dans ce récit à la première personne, le général Lecointre évoque son parcours de jeune officier - de la naissance d&#39une vocation jusqu&#39aux terrains de guerre au Rwanda, à Sarajevo ou en Irak - et donne à voir l&#39expérience d&#39homme de guerre dans ce qu&#39elle a de plus concret, unique, et parfois indicible. Jamais un grand chef militaire n&#39avait évoqué avec autant d&#39acuité et de lucidité les doutes et les réalités auxquels se confrontent les soldats : le sentiment de vivre des événements qui ne peuvent être compris que d&#39eux, la peur paralysante qui surgit à tout moment et, surtout, l&#39interrogation fondamentale sur le sens de l&#39action. Comment garder son humanité quand, au coeur du combat, la violence gagne de plus en plus les esprits ? On croyait la guerre réservée aux livres d&#39histoire, et la voici de nouveau. Cet Entre guerres l&#39appréhende de manière saisissante et profonde, tout comme il évoque avec pudeur la singulière fraternité unissant les hommes qui dédient leur vie au service de la France.",978-2072988325,https://m.media-amazon.com/images/I/71tlfFNEHVL._SY522_.jpg,GALLIMARD (11 avril 2024),François Lecointre,Politique
Israël / Palestine : anatomie d&#39un conflit,16.52,"Deux peuples pour une même terre ou l&#39histoire d&#39une cohabitation impossible ?
75 ans après la première guerre entre Israël et ses voisins arabes, la région s&#39embrase à nouveau. Thomas Snégaroff et Vincent Lemire remontent aux origines du conflit.
En 50 questions et réponses, ils nous donnent les clés pour comprendre. Un texte clair et accessible, avec des cartes, des infographies, des chronologies, des biographies et des documents de référence.",979-1037505897,https://m.media-amazon.com/images/I/61JQ-BqqMSL._SY522_.jpg,Les Arènes; Illustrated édition (4 avril 2024),Vincent Lemire,Politique
La Défaite de l&#39Occident,23.0,"L&#39implosion de l&#39URSS a remis l&#39histoire en mouvement. Elle avait plongé la Russie dans une crise violente. Elle avait surtout créé un vide planétaire qui a aspiré l&#39Amérique, pourtant elle-même en crise dès 1980. Un mouvement paradoxal s&#39est alors déclenché : l&#39expansion conquérante d&#39un Occident qui dépérissait en son coeur. La disparition du protestantisme a mené l&#39Amérique, par étapes, du néo-libéralisme au nihilisme ; et la Grande-Bretagne, de la financiarisation à la perte du sens de l&#39humour. L&#39état zéro de la religion a conduit l&#39Union européenne au suicide mais l&#39Allemagne devrait ressusciter. Entre 2016 et 2022, le nihilisme occidental a fusionné avec celui de l&#39Ukraine, né lui de la décomposition de la sphère soviétique. Ensemble, OTAN et Ukraine sont venus buter sur une Russie stabilisée, redevenue une grande puissance, désormais conservatrice, rassurante pour ce Reste du monde qui ne veut pas suivre l&#39Occident dans son aventure. Les dirigeants russes ont décidé une bataille d&#39arrêt : ils ont défié l&#39OTAN et envahi l&#39Ukraine. Mobilisant les ressources de l&#39économie critique, de la sociologie religieuse et de l&#39anthropologie des profondeurs, Emmanuel Todd nous propose un tour du monde réel, de la Russie à l&#39Ukraine, des anciennes démocraties populaires à l&#39Allemagne, de la Grande-Bretagne à la Scandinavie et aux États-Unis, sans oublier ce Reste du monde dont le choix a décidé de l&#39issue de la guerre.",978-2073041135,https://m.media-amazon.com/images/I/71aEiWhI7GL._SY522_.jpg,GALLIMARD (11 janvier 2024),Emmanuel Todd,Politique
"La Tentation de la vague, roman: Un thriller social et sentimental sur fond politique et financier",17.31,"Un peu playboy, un peu bobo, Werner vit à Paris, à l’écart de ses parents, de riches industriels menant grand train dans leur belle propriété sur le lac de Genève. Mais faute de répondre aux exigences sociétales actuelles, les affaires familiales se heurtent à des difficultés. Werner s&#39interroge : faut-il tout remettre en cause ?

Romain vit aussi à Paris. Militant de longue date à l’extrême-gauche, passé par les forces spéciales castristes, il a fondé son propre mouvement politique. Il s’appuie sur Julia, sa compagne, et sur Greg, un jeune militant qu’il a formé. Mais voilà que ce dernier, impétueux et séducteur, conteste son autorité et prétend mettre Julia dans son lit.

Lors d’une manifestation sur une ZAD, un homme est tué. Est-ce une bavure des forces de l’ordre ? Après des rebondissements inattendus, Werner et Romain devront affronter une destinée unique, inspirée par une femme.",978-2957807222,https://m.media-amazon.com/images/I/61FquY5QguL._SY522_.jpg,CIGAS (1 octobre 2022),Alain Schmoll,Politique
"Les Lois, décrets et arrêtés les plus cons de l&#39histoire. Dans la collection ""Les plus cons de l&#39histoire"", dirigée par Alain Bauer: Qui a dit que les législateurs n&#39avaient pas le sens de l&#39humour ?",19.07,"Qui a dit que les législateurs n&#39avaient pas le sens de l&#39humour ?
Le saviez-vous ? Le survol, l&#39atterrissage et le décollage d&#39ovnis sont interdits à Châteauneuf-du-Pape. Les éléphants n&#39ont pas le droit de se baigner sur la plage de Granville. Il est possible de se marier avec une personne décédée en France, mais épouser la même personne plus de trois fois dans le Kentucky est un délit. Il est interdit de danser dans les bars en Suède. Porter un t-shirt jaune en Malaisie est illégal. Il est interdit de flatuler en public au Malawi...
"" Nul n&#39est censé ignorer la loi "", dit-on, mais qu&#39en est-il lorsque la loi est absurde, stupide, dépassée ? Car si l&#39on veut tous croire que les législateurs ont toujours le bien commun à l&#39esprit, en lisant certains textes, on peut tout de même se poser la question. Après",978-2412092507,https://m.media-amazon.com/images/I/61GZC055kCL._SY522_.jpg,First (2 mai 2024),Alain Bauer,Politique
Munich 1938: La paix impossible,9.99,"Le grand livre qui manquait sur cet événement emblématique.
Munich, septembre 1938. Un mot, une date devenus les symboles de la capitulation des démocraties face au totalitarisme, précipitant le monde dans la Seconde Guerre mondiale et l&#39Europe vers sa perte. Comme souvent de nos jours, le présent a recouvert le passé et l&#39émotion remplacé l&#39indispensable contextualisation. Dans ce grand livre, Maurizio Serra rend enfin l&#39événement à l&#39histoire.
À l&#39issue d&#39une longue enquête, l&#39écrivain inspiré et historien rigoureux raconte comme jamais on ne l&#39avait fait l&#39histoire de ces deux journées qui ont changé le monde : leurs origines depuis 1918, leur déroulé riche en anecdotes et en révélations ; enfin leurs conséquences dramatiques. Il dresse aussi en ouverture de magnifiques portraits de ses quatre acteurs principaux (Hitler, Mussolini, Chamberlain, Daladier) et des trois figures de proue dans la coulisse (Beneš, Staline et Roosevelt).
La construction originale se conjugue avec un récit prenant qui comblera le lecteur et enrichit considérablement nos connaissances sur cette période charnière.
Après",978-2262099770,https://m.media-amazon.com/images/I/61zhvSQa9ML._SY522_.jpg,Perrin (27 mars 2024),Maurizio Serra,Politique
Le Grand Reset: Pour votre bien,15.75,"Le Dr Klaus Schwab, l&#39homme qui murmure dans les oreilles des dirigeants occidentaux, a annoncé son livre “La Quatrième Révolution Industrielle” en 2016. Rappelez-vous cette année-là, aux Etats-Unis la campagne électorale présidentielle battait son plein. Barack Obama avait déjà fait deux mandats et il devait sortir. Son siège était convoité principalement par 2 candidats : Donald Trump et Hillary Clinton. Pour les barons du système, cette dernière était évidemment la gagnante. Dans ce contexte, ce livre était une feuille de route doctrinale. Klaus se voit en une sorte de pape qui émet un recueil d&#39encycliques. Il explique dans quelle direction il voudrait voir le monde aller. La future présidente américaine est dans sa poche et sera au service de ces funestes desseins.",979-8871986356,https://m.media-amazon.com/images/I/71gcOzdpg9L._SY522_.jpg,Independently published (30 mai 2024),Aldo Sterone,Politique
"On marche sur la tête: La France, l&#39UE et les mensonges",13.04,"Depuis des années, les essais sur le déclin pullulent, les prédictions funestes abondent, et les Français versent dans la sinistrose. Jadis, les parents pensaient que leurs enfants s’en sortiraient mieux qu’eux. Désormais, ils prient pour que le déclassement ne les étrangle pas. En dehors de ceux qui ne regardent pas le réel en face, personne n’imagine les beaux jours revenir comme par magie. Tous les « réarmements » du monde, pour reprendre la dernière trouvaille rhétorique d’Emmanuel Macron, ne pourront endiguer la spirale infernale.
Surtout, les Français savent que la prise de décision leur échappe, confisquée par un assemblage composite et insaisissable. Marchés financiers, technocratie polyglotte, forum de Davos, comités d’experts, nébuleuse de juges : comme dans X-Files, la vérité est ailleurs, et la multiplication des strates ne fait qu’alimenter le ressentiment et les théories du complot, auxquelles réplique l’industrie médiatique du fact-checking. Tout se dilue dans un embrouillamini indéchiffrable, qui suscite, au mieux l’abstention, au pire la détestation. Un embrouillamini piloté au sommet, depuis des décennies, par l’UE.

Pourtant, cela fait 40 ans que les responsables politiques de droite et de gauche nous répètent que l’UE c’est la paix, l’UE c’est la prospérité, l’UE c’est la liberté, l’UE c’est la fraternité…

La révolte paysanne générale qui gronde et la progression très forte des partis nationalistes annoncée aux prochaines élections européennes risquent de renverser le statuquo.
Que se passe-t-il donc subitement, d’où viennent ces secousses et quelles sont les hypothèses les plus plausibles pour en sortir, telles sont les questions que traite ce petit livre en forme « d’explication colérique ».


Guillaume Bigot est éditorialiste sur Cnews et Sud Radio.
Ghislain Benhessa est avocat et enseignant à l’université de Strasbourg.",978-2810012091,https://m.media-amazon.com/images/I/71vmHOaaqbL._SY522_.jpg,L&#39artilleur (2 mai 2024),Ghislain Benhessa,Politique
