Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"Auto-thérapie de couple: améliorer la communication, retrouver le désir et casser la routine",7.14,"Nous avons tous connu des périodes compliquées en couple...
Les raisons peuvent être multiples : problème de communication, disputes à répétition, routine qui s&#39installe, jalousie, infidélité… Selon l&#39INSEE, en 15 ans, le nombre de ruptures a bondi de 63%. Les unions qui durent longtemps sont également de moins en moins nombreuses.
Quel est l’objectif de ce livre ?
Nous avons voulu à travers ce livre proposer une auto-thérapie, à faire à son rythme depuis chez soi. Imaginé et conçu en collaboration avec une psychothérapeute ayant de nombreuses années d&#39expérience dans la thérapie de couple.",979-8617534926,https://m.media-amazon.com/images/I/416CHnagJ9L.jpg,Independently published (24 février 2020),Florence Alexandre,Psychologie Clinique
"Auto-thérapie de couple: améliorer la communication, retrouver le désir et casser la routine",7.95,"Nous avons tous connu des périodes compliquées en couple...
Les raisons peuvent être multiples : problème de communication, disputes à répétition, routine qui s&#39installe, jalousie, infidélité… Selon l&#39INSEE, en 15 ans, le nombre de ruptures a bondi de 63%. Les unions qui durent longtemps sont également de moins en moins nombreuses.
Quel est l’objectif de ce livre ?
Nous avons voulu à travers ce livre proposer une auto-thérapie, à faire à son rythme depuis chez soi. Imaginé et conçu en collaboration avec une psychothérapeute ayant de nombreuses années d&#39expérience dans la thérapie de couple.",979-8617534926,https://m.media-amazon.com/images/I/416CHnagJ9L.jpg,Independently published (24 février 2020),Florence Alexandre,Psychologie Clinique
Trop intelligent pour être heureux ? L&#39adulte surdoué,23.9,"?Et si l&#39extrême intelligence créait une sensibilité exacerbée ? Et si elle pouvait aussi fragiliser et parfois faire souffrir ? Être surdoué est une richesse. Mais c&#39est aussi une différence qui peut susciter un sentiment de décalage, une impression de ne jamais être vraiment à sa place. Comment savoir si l&#39on est surdoué ? Comment alors mieux réussir sa vie ? Comment aller au bout de ses ressources ? Ce livre permet de mieux comprendre et de réapprivoiser sa personnalité. Pour se sentir mieux avec soi et avec les autres, pour se réaliser enfin. Ancienne attachée des Hôpitaux de Paris et de Marseille, Jeanne Siaud-Facchin est psychologue praticienne. Spécialiste reconnue des surdoués, elle est notamment l&#39auteur de L&#39Enfant surdoué, le livre de référence sur ce sujet. Elle a également créé Cogito&#39Z, premiers centres français de diagnostic et de prise en charge des troubles des apprentissages scolaires.",978-2738120878,https://m.media-amazon.com/images/I/81vkda1roiL._SY522_.jpg,Odile Jacob (13 mars 2008),Jeanne Siaud-Facchin,Psychologie Clinique
"Aïe, mes aïeux !",22.5,"Liens transgénérationnels, secrets de famille, syndrome d&#39anniversaire, transmissions des traumatismes et pratique du génosociogramme.
Anne Ancelin Schutzenberger livre dans cet ouvrage, à travers son analyse clinique et sa pratique professionnelle de près d&#39une vingtaine d&#39années, une «thérapie transgénérationnelle psychogénéalogique contextuelle».En langage courant, ceci signifie que nous sommes un maillon dans la chaîne des générations et que nous avons parfois, curieusement, à «payer les dettes» du passé de nos aïeux. C&#39est une sorte de «loyauté invisible» qui nous pousse à répéter, que nous le voulions ou non, que nous le sachions ou pas, des situations agréables ou des événements douloureux. Nous sommes moins libres que nous le croyons, mais nous avons la possibilité de reconquérir notre liberté et de sortir du destin répétitif de notre histoire, en comprenant les liens complexes qui se sont tissés dans notre famille.Ce livre passionnant et truffé d&#39exemples s&#39inscrit parmi les toutes récentes recherches en psychothérapie intégrative. Il met particulièrement en évidence les liens transgénérationnels, le syndrome d&#39anniversaire, le non-dit-secret et sa transformation en un «impensé dévastateur».",978-2220067100,https://m.media-amazon.com/images/I/81dnx+K6oyL._SY522_.jpg,Desclée De Brouwer; 16e édition (13 mai 2015),Anne Ancelin-Schutzenberger,Psychologie Clinique
Le grand livre des thérapies cognitives et comportementales,22.9,""" Le livre le plus important dans le domaine des thérapies cognitives et comportementales. "" Association britannique des TCC
Voici un livre phénomène : il a déjà aidé plus d&#39un million de lecteurs à surmonter leur souffrance émotionnelle. Il les a rendus plus heureux, plus sereins, plus confiants. Il est d&#39ailleurs recommandé par le ministère de la Santé britannique.
Basé sur les thérapies cognitives et comportementales (TCC), il propose une autothérapie extrêmement efficace pour vaincre dépression, anxiété, attaques de panique, colère, culpabilité, honte, faible estime de soi, mais aussi troubles du comportement alimentaire, addictions et problèmes relationnels.
Si ces troubles vous empoisonnent la vie, vous devez lire ce livre qui intègre les dernières recherches scientifiques mais surtout l&#39expérience des auteurs.",978-2365494687,https://m.media-amazon.com/images/I/61gBh05GrQL._SY522_.jpg,Thierry Souccar (18 février 2021),Dennis Greenberger,Psychologie Clinique
50 exercices de TCC: Libérez-vous de vos blocages et comportements répétitifs,15.53,"Exercice n° 00 : Ce livre est-il fait pour vous ?
Parmi les propositions ci-dessous, cochez celles qui vous correspondent.
Les mauvaises habitudes ont la peau dure.
Vous êtes doué pour les scénarios catastrophe.
Relativiser, en revanche, n&#39est pas votre fort.
Les situations à enjeu vous stressent.
On vous dit perfectionniste.
Vous ne parvenez pas à dire non.
Vous préférez ne pas vous lancer, plutôt qu&#39échouer.
Vous avez tendance à voir le verre à moitié vide.
Les émotions sont mauvaises conseillères.
Vous aspirez à plus de sérénité.",978-2416007811,https://m.media-amazon.com/images/I/616qJpdhJLL._SY522_.jpg,EYROLLES; Illustrated édition (1 septembre 2022),Juliette Marty-Groleas,Psychologie Clinique
40 séances d&#39hypnose - Scripts professionnels d&#39hypnose thérapeutique,8.78,"Le guide quotidien de l&#39apprenti hypnothérapeute. Conçu pour inspirer votre pratique de l&#39hypnothérapie, vous découvrirez dans ce livre des scripts complets : des textes d&#39inductions hypnotiques (phrases, métaphores) ; le déroulé des protocoles d&#39hypnose (25 à 60mn chaque) ; des astuces de pratique (thérapie professionnelle). En Hypnose Ericksonienne comme en Hypnose Humaniste, si vous cherchez des exemples de séances d&#39hypnose qui ont fait leurs preuves : ce livre est pour vous ! 40 textes de séances d&#39hypnose. Les scripts originaux des séances à succès de YouTube, par les pionniers de l&#39Hypnose en France, remaniés pour être utilisés avec vos patients et accompagnés de conseils de pratique, sur les thèmes principaux de la thérapie. « Connectez-vous à la magie du changement ». Avec les séances d’hypnose à télécharger.",978-2916149448,https://m.media-amazon.com/images/I/71HKlCCfeqL._SY522_.jpg,IFHE (13 novembre 2023),Olivier Lockert,Psychologie Clinique
Femmes qui courent avec les loups,10.4,"Chaque femme porte en elle une force naturelle, instinctive, riche de dons créateurs et d&#39un savoir immémorial. Mais la société et la culture ont trop souvent muselé cette « Femme sauvage », afin de la faire entrer dans le moule réducteur des rôles assignés. Psychanalyste et conteuse, fascinée par les mythes et les légendes, auteur également du Jardinier de l&#39éden, Clarissa Pinkola Estés nous propose de retrouver cette part enfouie, pleine de vitalité et de générosité, vibrante, donneuse de vie. A travers des « fouilles psycho-archéologiques » des ruines de l&#39inconscient féminin, en faisant appel aux traditions et aux représentations les plus diverses, de la Vierge Marie à Vénus, de Barbe-Bleue à la petite marchande d&#39allumettes, elle ouvre la route et démontre qu&#39il ne tient qu&#39à chacune de retrouver en elle la Femme sauvage.
Best-seller aux Etats-Unis, ce livre exceptionnel est destiné à faire date dans l&#39évolution contemporaine de l&#39identité féminine.",978-2253147855,https://m.media-amazon.com/images/I/91MAdXqhX6L._SY522_.jpg,Le Livre de Poche (17 octobre 2001),Clarissa Pinkola Estés,Psychologie Clinique
"Les thérapies comportementales, cognitives et émotionnelles en 150 fiches: + Les Boîtes à outils numériques du praticien",16.52,"Cet ouvrage a pour ambition d’être le support essentiel pour tous les professionnels qui souhaitent se former aux thérapies comportementales cognitives et émotionnelles (TCCE) et plus largement pour tous les thérapeutes en exercice soucieux de retravailler sur des concepts anciens ou récents.
La structure de l’ouvrage suit la logique historique des TCCE et guide le lecteur dans les différentes étapes de son apprentissage :
- les grands principes ;
- l’analyse fonctionnelle ;
- l’entretien motivationnel ;
- la relaxation ;
- l’exposition ;
- l’activation comportementale ;
- l’affirmation de soi ;
- la restructuration cognitive ;
- la thérapie orientée schémas ;
- les thérapies de pleine conscience et d’acceptation ;
- les thérapies sur les émotions.
Le système de fiches offre une synthèse complète et accessible des TCCE dont les indications sont de plus en plus larges. Complété par plus de",978-2294766619,https://m.media-amazon.com/images/I/41bLFZv8TAL.jpg,Elsevier Masson (8 janvier 2020),Docteur Clément Lecomte,Psychologie Clinique
Développer les compétences émotionnelles: en 8 séances,18.51,"Les émotions sont des éléments clefs de notre bien-être tout comme elles peuvent être impliquées dans des problèmes de santé mentale importants (dépression, troubles anxieux…). Les demandes de thérapie ou d’accompagnement sont presque toujours en lien avec la présence d’émotions difficiles : tristesse, impuissance, déception, anxiété, solitude, colère, culpabilité, jalousie… Cet ouvrage est une carte routière au pays des émotions qui présente un programme dont l’objectif est de favoriser un changement positif durable dans la manière de réagir aux évènements émotionnels, pour mieux vivre avec soi-même et avec les autres.
Le programme DCE (Développer les Compétences Émotionnelles) a été développé par une équipe de chercheurs en psychologie spécialisés dans le domaine des émotions. Il fournit aux praticiens une grille de lecture des compétences émotionnelles et des outils concrets pour les développer en prévention et dans l’accompagnement de personnes en difficulté.
Un programme complet sous la forme d’un parcours en 8 séances, validé scientifiquement et facile à mettre en pratique !",978-2100823260,https://m.media-amazon.com/images/I/61nEMYMwnFL._SY522_.jpg,Dunod (1 juin 2022),Ilios Kotsou,Psychologie Clinique
