Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
LE POUVOIR DE LA PSYCHOLOGIE: 2 livres en 1 - Utilisez les lois de l&#39Analyse Comportementale et du Langage Corporel pour déchiffrer correctement les gens et deviner facilement ce qu&#39ils pensent.,18.9,"Imaginez que vous ayez le pouvoir de déchiffrer tous ceux que vous regardez et de lire en eux comme dans un livre ouvert, qu’ils soient vos amis, vos collègues, votre chef ou la personne que vous voulez conquérir.",979-8759760269,https://m.media-amazon.com/images/I/61j2she1BdL._SY522_.jpg,Independently published (4 novembre 2021),Robert Mercier,Psychopathologie
LE POUVOIR DE LA PSYCHOLOGIE: 2 livres en 1 - Utilisez les lois de l&#39Analyse Comportementale et du Langage Corporel pour déchiffrer correctement les gens et deviner facilement ce qu&#39ils pensent.,18.9,"Imaginez que vous ayez le pouvoir de déchiffrer tous ceux que vous regardez et de lire en eux comme dans un livre ouvert, qu’ils soient vos amis, vos collègues, votre chef ou la personne que vous voulez conquérir.",979-8759760269,https://m.media-amazon.com/images/I/61j2she1BdL._SY522_.jpg,Independently published (4 novembre 2021),Robert Mercier,Psychopathologie
Je vais aller mieux,9.28,"L’anxiété et le mal-être sont des choses qui te pourrissent la vie.
Tu imagines le pire dans chaque situation, tu ressasses le passé, tu appréhendes le futur, tu déprimes….
Bref, tu ne te sens jamais serein(e), alors que tu rêverais d’être heureux(se) comme les autres.

“Je vais aller mieux” est ton compagnon dans cette quête d’une vie meilleure. À l’intérieur, tu retrouveras:
- Des méthodes pour structurer tes pensées et tes émotions afin d’arrêter de te torturer l’esprit pour tout et rien.
-Des explications rassurantes et motivantes pour remplacer tes idées noires par des pensées plus sereines.",979-8321185742,https://m.media-amazon.com/images/I/41j8punDZrL._SY522_.jpg,Independently published (24 mars 2024),Capucine Marc,Psychopathologie
Comment Arrêter De Trop Penser: Le Guide Ultime pour se Libérer de la Pensée Excessive. Nouvelles Techniques et Conseils Pratiques pour Améliorer sa Vie et Retrouver la Paix Intérieure,10.69,"Vous sentez-vous constamment envahi par un sentiment d&#39anxiété ?
Vos pensées sont-elles devenues une spirale sans issue qui vous frustre et vous prive de la paix intérieure ?
Si vous avez répondu ""oui"" à l&#39une de ces questions, vous pouvez enfin pousser un soupir de soulagement, car la solution à vos problèmes est enfin arrivée !",979-8883091727,https://m.media-amazon.com/images/I/71lzx+zgYEL._SY522_.jpg,Independently published (27 février 2024),Amos Lloyd,Psychopathologie
J&#39ai broyé du Noir pour voir la vie en Rose: Apaiser son anxiété pour éclairer le présent et préparer le futur,7.29,"Ce livre t&#39accompagne dans un parcours vers un mieux-être face à l&#39anxiété.

En combinant des mots sincères, des réflexions profondes, et des coloriages apaisants, il t&#39offre les outils pour explorer et comprendre tes émotions vers une vie moins anxieuse.

A travers des images fortes et des exemples parlants, tu seras guidé(e) à déchiffrer les messages cachés derrière tes angoisses, à reconnaître ses origines et à développer des stratégies pour une vie quotidienne plus sereine.

Et plus encore, ce livre t&#39encourage à examiner de près comment tes propres pensées et anticipations façonnent ton ressenti, te donnant les clés pour rebâtir une existence où l&#39anxiété ne prend plus le dessus.

C&#39est un pas vers la liberté intérieure, une invitation à cultiver la patience et l&#39acceptation de soi dans un monde qui peut souvent sembler accablant.",979-8878959872,https://m.media-amazon.com/images/I/61mp31C812L._SY522_.jpg,Independently published (8 février 2024),Célestine Leroi,Psychopathologie
"Aujourd&#39hui je vais mal, Demain j&#39irai mieux.",14.9,"Dans ce livre, tu trouveras des conseils pour t&#39emmener sur le chemin de la guérison émotionnelle et de l&#39apaisement face au stress.

L&#39anxiété peut rendre la vie quotidienne difficile, envahir nos pensées, et nous empêcher d&#39être au meilleur de nous-mêmes. À travers des citations développées, des exercices pratiques, et des questions de développement personnel, ce livre est fait pour être un véritable soutien si tu traverses des périodes de déprime ou d&#39anxiété.

Chaque page, t&#39offre l&#39opportunité de mieux comprendre tes pensées, tes émotions et tes réactions.

Tu peux l&#39emporter partout avec toi afin de te donner un coup de main pour gérer ton stress. Utilise-le comme un véritable guide !",979-8858130598,https://m.media-amazon.com/images/I/41lYE+uGp8L._SY522_.jpg,Independently published (19 août 2023),Victoire Charlie,Psychopathologie
Et Si C&#39était le TDAH?: Un cahier d&#39exercices bienveillant pour commencer ton parcours de diagnostic du TDAH,8.8,"« Et Si C&#39était le TDAH ? Un cahier d&#39exercices bienveillant pour commencer ton parcours de diagnostic du TDAH » par Alice Gendron n&#39est pas seulement un cahier d&#39exercices, c&#39est votre premier pas pour démêler les complexités du TDAH non diagnostiqué. Avec plus de 100 000 abonnés sur Instagram, le contenu d&#39Alice Gendron, devenu un véritable phénomène, résonne profondément avec ceux qui naviguent à travers les défis du TDAH. Son approche dans ce cahier d&#39exercices reflète l&#39orientation bienveillante, ludique et largement appréciée qu&#39elle partage en ligne, faisant de ce livre un outil crucial pour quiconque lutte avec les doutes du TDAH non diagnostiqué.
Ce cahier d&#39exercices éclaire le chemin souvent confus de l&#39auto-évaluation, offrant un soutien clair, déculpabilisant et compatissant pour ceux qui questionnent leurs expériences. Il s&#39agit d&#39avancer vers une auto-clarification, équipé de la connaissance et du confort de savoir que vous n&#39êtes pas seul, guidé par le propre voyage d’Alice, qui a reçu un diagnostic de TDAH à l&#39âge adulte.",979-8879691962,https://m.media-amazon.com/images/I/51vCqBPUmNL._SY522_.jpg,Independently published (6 mars 2024),Alice Gendron,Psychopathologie
Ton enfant intérieur n&#39a rien à faire: Guérir les blessures de l&#39âme et faire la paix avec soi-même,6.47,"Chaque personne a un enfant en elle qui est toujours en quête d&#39amour et de reconnaissance. Ce livre vous aide à connaître votre enfant intérieur. Chaque chapitre est une étape sur le chemin de la guérison et montre que votre enfant intérieur n&#39a rien à faire pour être aimé et reconnu.

Ce livre vous propose des exercices efficaces qui vous aideront à guérir de vieilles blessures émotionnelles et à renforcer votre relation avec vous-même. Il vous aide à comprendre que votre valeur ne dépend pas des attentes extérieures ou des performances, mais de qui vous êtes au plus profond de vous-même.

""Ton enfant intérieur n&#39a rien à faire"" est plus qu&#39un simple livre. C&#39est une clé qui ouvre la porte à une vie plus heureuse et plus épanouie. C&#39est un voyage qui vous mène à votre véritable identité,",979-8860136977,https://m.media-amazon.com/images/I/61vrwvLFmZL._SY522_.jpg,Independently published (3 septembre 2023),Simone Goldmann,Psychopathologie
Baume au Coeur | Recueil de Récits Réconfortants pour égayer ton esprit dans les Moments de Nécessité,12.32,"Ce recueil est pour ceux et celles qui ont besoin d&#39une pause réconfortante, dans un monde parfois trop rapide.
Que vous traversiez une journée difficile ou que vous recherchiez simplement un instant de répit, ouvrez ""Baume au Coeur"" à une page au hasard et laissez-vous emporter par le message qui s&#39offre à vous comme un signe. Ce recueil devient ainsi votre refuge personnel, rappelant que la vie, malgré ses vicissitudes, est une aventure riche en enseignements.
Offrez-vous le cadeau d&#39une source de réconfort bien nécessaire et plongez dans ce trésor littéraire qui saura éclairer votre chemin, page après page.",979-8877253896,https://m.media-amazon.com/images/I/41ya2gfoO1L._SY522_.jpg,Independently published (24 janvier 2024),Une Réflexion,Psychopathologie
Mon Journal Anti Anxiété et Anti Stress: Ton Guide Anti Anxiété Quotidien pour Calmer ton Stress et Guérir ton Anxiété – Exercices Anti Crises ... Pensées Positives et Cultiver ton Bien-Être,12.31,"Anxiété, Stress ou Crises d&#39Angoisse font parties de ta vie ?

Diverses études scientifiques ont prouvé que la pratique quotidienne du journaling (écrire dans un journal anti anxiété) diminue l’anxiété et le stress de 50% !

Incroyable non ? Mais pas seulement !


En complétant ""Mon Journal Anti Anxiété et Anti Stress"", chaque jour pendant 2 mois :

✅ Tu calmes ton anxiété jusqu’à la voir totalement disparaitre
✅ Tu dis ciao aux crises d’angoisse handicapantes et terrorisantes à vivre
✅ Tu",,https://m.media-amazon.com/images/I/51DTkrnYCuL._SY522_.jpg,Independently published (16 avril 2024),Marika Ciaoanxiete,Psychopathologie
