Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"Auto-thérapie de couple: améliorer la communication, retrouver le désir et casser la routine",14.82,"Nous avons tous connu des périodes compliquées en couple...
Les raisons peuvent être multiples : problème de communication, disputes à répétition, routine qui s&#39installe, jalousie, infidélité… Selon l&#39INSEE, en 15 ans, le nombre de ruptures a bondi de 63%. Les unions qui durent longtemps sont également de moins en moins nombreuses.
Quel est l’objectif de ce livre ?
Nous avons voulu à travers ce livre proposer une auto-thérapie, à faire à son rythme depuis chez soi. Imaginé et conçu en collaboration avec une psychothérapeute ayant de nombreuses années d&#39expérience dans la thérapie de couple.",979-8617534926,https://m.media-amazon.com/images/I/416CHnagJ9L.jpg,Independently published (24 février 2020),Florence Alexandre,Psychotherapie
"Auto-thérapie de couple: améliorer la communication, retrouver le désir et casser la routine",6.91,"Nous avons tous connu des périodes compliquées en couple...
Les raisons peuvent être multiples : problème de communication, disputes à répétition, routine qui s&#39installe, jalousie, infidélité… Selon l&#39INSEE, en 15 ans, le nombre de ruptures a bondi de 63%. Les unions qui durent longtemps sont également de moins en moins nombreuses.
Quel est l’objectif de ce livre ?
Nous avons voulu à travers ce livre proposer une auto-thérapie, à faire à son rythme depuis chez soi. Imaginé et conçu en collaboration avec une psychothérapeute ayant de nombreuses années d&#39expérience dans la thérapie de couple.",979-8617534926,https://m.media-amazon.com/images/I/416CHnagJ9L.jpg,Independently published (24 février 2020),Florence Alexandre,Psychotherapie
Une rupture goût framboise,11.47,"Tu as donné ton cœur à cette personne, mais elle te l’a brisé.
Résultat: tu te retrouves dans une situation insoutenable, ou tu penses être condamné à une vie de malheur et de solitude.
Tu te dis qu’une vie sans l’autre n’a pas d&#39intérêt…
Tu as du mal à manger, à respirer, à sourire…
Tu n’as pas un seul instant de répit car tout te rappelle l’autre personne…
Bref, tu as besoin d’aide.

“Une rupture goût framboise” est là pour t’aider à surmonter cette douloureuse rupture.

À l’intérieur tu retrouveras:",979-8863364568,https://m.media-amazon.com/images/I/41KWgBYtCGL._SY522_.jpg,Independently published (5 octobre 2023),Capucine Marc,Psychotherapie
101 endroits où faire l’amour pour casser la routine: Mettez des frissons et de l’aventure dans votre vie sexuelle,10.13,"Vous voulez renforcer votre amour ?
Raviver la flamme ?
Ou simplement ajouter un peu de piquant à votre vie intime ?
Ce livre est fait pour vous !

Ouvrez la porte à l&#39imprévu et laissez-vous guider par ""101 endroits où faire l&#39amour pour casser la routine"". Dans ce livre audacieux, chaque page est une escale dans un lieu loin de votre chambre à coucher !

De nouvelles aventures excitantes pour lesquelles vous et votre partenaire serez guidés pour les évaluer : de l&#39excitation au confort, en passant par les préliminaires jusqu&#39à l&#39apogée de plaisir. Partagez vos impressions, notez les avantages et les défis relevés, et décidez si vous souhaitez revivre l&#39expérience.",,https://m.media-amazon.com/images/I/51FXBXS-5jL._SY522_.jpg,Independently published (5 janvier 2024),Ines Chapman,Psychotherapie
Le créateur de souvenirs - Édition couples: 101 activités pour des moments inoubliables ensemble,13.89,"Redécouvrez la magie de l&#39amour ! ""Le créateur de souvenirs - Édition couples"" vous guide dans un voyage d&#39inoubliables souvenirs !
La routine met-elle à l&#39épreuve votre relation ? Avez-vous besoin d&#39une étincelle d&#39amour innovante ? Découvrez la solution ici!
• 101 aventures pour les couples : des soirées romantiques aux défis amusants, un monde d&#39expériences pour raviver votre lien.
• Partagez les émotions : racontez-vous et créez un précieux compte-rendu de vos aventures ensemble.
• Immortalisez l&#39amour en photos : ajoutez des photos à chaque expérience, obtenant ainsi un album de souvenirs tangibles à la fin.",,https://m.media-amazon.com/images/I/61bJbtv0r2L._SY522_.jpg,Independently published (15 janvier 2024),MMemories Editore,Psychotherapie
J&#39ai broyé du Noir pour voir la vie en Rose: Apaiser son anxiété pour éclairer le présent et préparer le futur,6.91,"Ce livre t&#39accompagne dans un parcours vers un mieux-être face à l&#39anxiété.

En combinant des mots sincères, des réflexions profondes, et des coloriages apaisants, il t&#39offre les outils pour explorer et comprendre tes émotions vers une vie moins anxieuse.

A travers des images fortes et des exemples parlants, tu seras guidé(e) à déchiffrer les messages cachés derrière tes angoisses, à reconnaître ses origines et à développer des stratégies pour une vie quotidienne plus sereine.

Et plus encore, ce livre t&#39encourage à examiner de près comment tes propres pensées et anticipations façonnent ton ressenti, te donnant les clés pour rebâtir une existence où l&#39anxiété ne prend plus le dessus.

C&#39est un pas vers la liberté intérieure, une invitation à cultiver la patience et l&#39acceptation de soi dans un monde qui peut souvent sembler accablant.",979-8878959872,https://m.media-amazon.com/images/I/61mp31C812L._SY522_.jpg,Independently published (8 février 2024),Célestine Leroi,Psychotherapie
Récupère ton ex,18.54,"Une vie sans cette personne n’a pas le moindre intérêt pour toi, et tu n’as qu’une seule chose en tête: la retrouver.

Problème: si tu te retrouves face à ces mots, c’est que tout ce que tu as tenté jusqu’ici n’a pas fonctionné.
Et c’est normal, tu n’as fait que des erreurs et des actions contre productives qui ont poussé ton ex vers la sortie plutôt que dans tes bras.

Et tu sais pourquoi tu as fait tout ça ?

Car tes émotions ont pris le dessus sur ta raison.
Tu crois que cette personne ne t’aime plus, tu crois que lui envoyer ce joli petit message va la faire craquer, tu crois qu’elle va t’oublier si tu l&#39ignores…

Bref, tu crois tout un tas de choses fausses, qui te poussent à agir de la mauvaise manière, et si ça continue, tu risques de rester célibataire.
Et c’est tout le but de ce livre: te raisonner et t’apprendre à agir de la bonne façon afin que ton ex reconsidère l’idée de se mettre avec toi.

Récupérer ton ex est un choix noble et courageux, et à travers ce livre, tu vas apprendre à faire une reconquête dans les règles de l’art, où l’issue ne pourra qu&#39être positive:

Soit tu réussiras à redonner une chance à cette histoire qui compte tant à tes yeux.
Soit tu ne réussiras pas, et ce sera la preuve qu’il n’y a pas un problème de communication, de bonheur ou d&#39épanouissement, mais un problème de compatibilité, et tu pourras tourner la page en ayant la conscience tranquille, car tu seras allé au bout des choses.

Et c’est finalement ça le plus important:",979-8872745600,https://m.media-amazon.com/images/I/41Tp0a6fRvL._SY522_.jpg,Independently published (23 décembre 2023),Marc Daxx,Psychotherapie
Nous deux c&#39est pour la vie,5.87,"Nous deux, c&#39est pour la vie et on se le prouve en remplissant ce carnet ensemble.
Parce que l&#39amour est précieux et qu&#39il faut se le prouver chaque jour.
Parce que nous deux, c&#39est pour la vie et qu&#39il faut le marquer sur le papier à l&#39encre indélébile.

Des questions pour se souvenir des bons moments.
Des quizz rigolos à partager ensemble.
Des tests pour prouver que l&#39on s&#39aime.
Des pages pleines de poésie à remplir en amoureux.

Le cadeau idéal pour des soirées romantiques.",,https://m.media-amazon.com/images/I/61+Wxqy-g2L._SY522_.jpg,Independently published (3 janvier 2024),Delphine Laffon,Psychotherapie
"Aïe, mes aïeux !",22.5,"Liens transgénérationnels, secrets de famille, syndrome d&#39anniversaire, transmissions des traumatismes et pratique du génosociogramme.
Anne Ancelin Schutzenberger livre dans cet ouvrage, à travers son analyse clinique et sa pratique professionnelle de près d&#39une vingtaine d&#39années, une «thérapie transgénérationnelle psychogénéalogique contextuelle».En langage courant, ceci signifie que nous sommes un maillon dans la chaîne des générations et que nous avons parfois, curieusement, à «payer les dettes» du passé de nos aïeux. C&#39est une sorte de «loyauté invisible» qui nous pousse à répéter, que nous le voulions ou non, que nous le sachions ou pas, des situations agréables ou des événements douloureux. Nous sommes moins libres que nous le croyons, mais nous avons la possibilité de reconquérir notre liberté et de sortir du destin répétitif de notre histoire, en comprenant les liens complexes qui se sont tissés dans notre famille.Ce livre passionnant et truffé d&#39exemples s&#39inscrit parmi les toutes récentes recherches en psychothérapie intégrative. Il met particulièrement en évidence les liens transgénérationnels, le syndrome d&#39anniversaire, le non-dit-secret et sa transformation en un «impensé dévastateur».",978-2220067100,https://m.media-amazon.com/images/I/81dnx+K6oyL._SY522_.jpg,Desclée De Brouwer; 16e édition (13 mai 2015),Anne Ancelin-Schutzenberger,Psychotherapie
Le grand livre des thérapies cognitives et comportementales,22.9,""" Le livre le plus important dans le domaine des thérapies cognitives et comportementales. "" Association britannique des TCC
Voici un livre phénomène : il a déjà aidé plus d&#39un million de lecteurs à surmonter leur souffrance émotionnelle. Il les a rendus plus heureux, plus sereins, plus confiants. Il est d&#39ailleurs recommandé par le ministère de la Santé britannique.
Basé sur les thérapies cognitives et comportementales (TCC), il propose une autothérapie extrêmement efficace pour vaincre dépression, anxiété, attaques de panique, colère, culpabilité, honte, faible estime de soi, mais aussi troubles du comportement alimentaire, addictions et problèmes relationnels.
Si ces troubles vous empoisonnent la vie, vous devez lire ce livre qui intègre les dernières recherches scientifiques mais surtout l&#39expérience des auteurs.",978-2365494687,https://m.media-amazon.com/images/I/61gBh05GrQL._SY522_.jpg,Thierry Souccar (18 février 2021),Dennis Greenberger,Psychotherapie
50 exercices de TCC: Libérez-vous de vos blocages et comportements répétitifs,17.51,"Exercice n° 00 : Ce livre est-il fait pour vous ?
Parmi les propositions ci-dessous, cochez celles qui vous correspondent.
Les mauvaises habitudes ont la peau dure.
Vous êtes doué pour les scénarios catastrophe.
Relativiser, en revanche, n&#39est pas votre fort.
Les situations à enjeu vous stressent.
On vous dit perfectionniste.
Vous ne parvenez pas à dire non.
Vous préférez ne pas vous lancer, plutôt qu&#39échouer.
Vous avez tendance à voir le verre à moitié vide.
Les émotions sont mauvaises conseillères.
Vous aspirez à plus de sérénité.",978-2416007811,https://m.media-amazon.com/images/I/616qJpdhJLL._SY522_.jpg,EYROLLES; Illustrated édition (1 septembre 2022),Juliette Marty-Groleas,Psychotherapie
40 séances d&#39hypnose - Scripts professionnels d&#39hypnose thérapeutique,19.81,"Le guide quotidien de l&#39apprenti hypnothérapeute. Conçu pour inspirer votre pratique de l&#39hypnothérapie, vous découvrirez dans ce livre des scripts complets : des textes d&#39inductions hypnotiques (phrases, métaphores) ; le déroulé des protocoles d&#39hypnose (25 à 60mn chaque) ; des astuces de pratique (thérapie professionnelle). En Hypnose Ericksonienne comme en Hypnose Humaniste, si vous cherchez des exemples de séances d&#39hypnose qui ont fait leurs preuves : ce livre est pour vous ! 40 textes de séances d&#39hypnose. Les scripts originaux des séances à succès de YouTube, par les pionniers de l&#39Hypnose en France, remaniés pour être utilisés avec vos patients et accompagnés de conseils de pratique, sur les thèmes principaux de la thérapie. « Connectez-vous à la magie du changement ». Avec les séances d’hypnose à télécharger.",978-2916149448,https://m.media-amazon.com/images/I/71HKlCCfeqL._SY522_.jpg,IFHE (13 novembre 2023),Olivier Lockert,Psychotherapie
"Tu es vraiment un garçon formidable - Livre d’histoires inspirantes pour enfant sur la confiance en soi, La bonne gestion de ses émotions, l&#39amitié, ... Adapté à un enfant hypersensible ou timide",9.9,"“Grâce aux conseils de ce livre, mon fils pourtant si réservé construit pas à pas sereinement sa confiance en lui”, Laura mère d’un petit Lucas 7 ans.
Vous savez que c’est un garçon formidable, et vous aimeriez qu’il prenne conscience de tout son potentiel ? Vous voulez le voir grandir heureux et épanoui, et vous cherchez un moyen de renforcer sa confiance en lui tout en douceur, pour l’aider à surmonter ses peurs, à affronter les changements potentiels dans sa vie et à s’aimer tel qu’il est ?
Ce livre pour enfant, cadeau idéal pour garçons de 6 à 10 ans est la solution idéale pour y parvenir.",979-8388346841,https://m.media-amazon.com/images/I/71ITvqxtmzL._SY522_.jpg,Independently published (29 mars 2023),Lucille Beauvais,Psychotherapie
