Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Les yeux tournés vers un ailleurs: Du premier pas au grand saut - récit de voyage,19.14,"Plongez au cœur d&#39un récit relatant quatre années de voyage autour du monde à travers l’Asie, l’Océanie, l’Amérique du Sud et l’Amérique du Nord. De la prise de décision à l’action, je vous propose de me suivre pas à pas dans mes aventures, mes interrogations et mes découvertes tant culturelles que personnelles. J’y expose aussi :

✅ ma démarche intellectuelle
✅ mes ressentis
✅ mes émotions
✅ mes rencontres parfois inattendues
✅ les défis aussi bien physiques que mentaux que j’ai dû affronter…

Un",978-2958284701,https://m.media-amazon.com/images/I/61MabnR3UTL._SY522_.jpg,,Flavien Brochard,Recits de voyages
Les yeux tournés vers un ailleurs: Du premier pas au grand saut - récit de voyage,10.2,"Plongez au cœur d&#39un récit relatant quatre années de voyage autour du monde à travers l’Asie, l’Océanie, l’Amérique du Sud et l’Amérique du Nord. De la prise de décision à l’action, je vous propose de me suivre pas à pas dans mes aventures, mes interrogations et mes découvertes tant culturelles que personnelles. J’y expose aussi :

✅ ma démarche intellectuelle
✅ mes ressentis
✅ mes émotions
✅ mes rencontres parfois inattendues
✅ les défis aussi bien physiques que mentaux que j’ai dû affronter…

Un",978-2958284701,https://m.media-amazon.com/images/I/61MabnR3UTL._SY522_.jpg,,Flavien Brochard,Recits de voyages
Paupières ouvertes,9.8,"Autobiographie de Georges Lemaire écrite peu avant son décès.
La vie d&#39un homme tombé amoureux de la Thaïlande, il y raconte ses aventures et péripéties.. mais aussi son combat contre sa maladie : l&#39emphysème.",979-8324819514,https://m.media-amazon.com/images/I/71dGqXhIhIL._SY522_.jpg,Independently published (2 juin 2024),Georges Lemaire,Recits de voyages
Avec les fées,21.0,"L&#39été venait de commencer quand je partis chercher les fées sur la côte atlantique. Je ne crois pas à leur existence. Aucune fille-libellule ne volette en tutu au-dessus des fontaines. C&#39est dommage : les yeux de l&#39homme moderne ne captent plus de fantasmagories. Au XIIe siècle, le moindre pâtre cheminait au milieu des fantômes. On vivait dans les visions. Un Belge pâle (et très oublié), Maeterlinck, avait dit : « C&#39est bien curieux les hommes... Depuis la mort des fées, ils n&#39y voient plus du tout et ne s&#39en doutent point. » Le mot fée signifie autre chose. C&#39est une qualité du réel révélée par une disposition du regard. Il y a une façon d&#39attraper le monde et d&#39y déceler le miracle de l&#39immémorial et de la perfection. Le reflet revenu du soleil sur la mer, le froissement du vent dans les feuilles d&#39un hêtre, le sang sur la neige et la rosée perlant sur une fourrure de mustélidé : là sont les fées. Elles apparaissent parce qu&#39on regarde la nature avec déférence. Soudain, un signal. La beauté d&#39une forme éclate. Je donne le nom de fée à ce jaillissement. Les promontoires de la Galice, de la Bretagne, de la Cornouailles, du pays de Galles, de l&#39île de Man, de l&#39Irlande et de l&#39Écosse dessinaient un arc. Par voie de mer j&#39allais relier les miettes de ce déchiquètement. En équilibre sur cette courbe, on était certain de capter le surgissement du merveilleux. Puisque la nuit était tombée sur ce monde de machines et de banquiers, je me donnais trois mois pour essayer d&#39y voir. Je partais. Avec les fées.",978-2382843710,https://m.media-amazon.com/images/I/71BbB+42YIL._SY522_.jpg,DES EQUATEURS (10 janvier 2024),Sylvain Tesson,Recits de voyages
Au coin du fjord: Les aventures d&#39une Française en Norvège,13.23,"Tout commence lorsque Lorelou, franco-québécoise, s’installe à Oslo après y avoir décroché un emploi. Ce livre pétillant et drôle raconte les facétieuses aventures de Lorelou durant sa première année en Norvège. Depuis des voyages dans le grand Nord qui la mèneront aux Lofoten et sous les aurores boréales des Samis, des aventures et mésaventures amoureuses cocasses et tendres, en passant par l’apprentissage du monde du travail norvégien et de la langue, Lorelou est déterminée à s’intégrer.

Déjà vendu à plus de 7000 exemplaires, disponible en 3 langues et best-seller en Norvège, ce récit aussi désopilant que perspicace nous amène à découvrir avec délice la Norvège encore méconnue.

Lorelou Desjardins vit en Norvège depuis 13 ans. Elle est juriste, écrivaine et journaliste. Ses textes paraissent dans la presse norvégienne ainsi que les radios et télés nationales. Elle donne des cours en entreprise pour aider les étrangers à mieux comprendre la Norvège.",978-8269285413,https://m.media-amazon.com/images/I/61Tz3nyR8JL._SY522_.jpg,North Press (19 mars 2023),Lorelou Desjardins,Recits de voyages
Il n&#39est jamais trop tard pour libérer les licornes,15.99,"Et si votre moi de 10 ans vous demandait où sont passés vos rêves ?
À 28 ans, Manon, directrice financière d’une agence d’événementiel habite seule à Paris dans un appartement bien ordonné. Ses rêves d’enfant ? Elle les a enfouis et oubliés depuis longtemps. Mais, lorsque sa boss l’envoie en urgence au siège à Ibiza, et qu’elle débarque dans la colocation d’Arturo le ténébreux, Jeanne la fée bohème et Mattéo le séducteur, sa vie prend une tout autre direction.

Manon osera-t-elle enfin lâcher ses dossiers professionnels pour laisser libre cours à sa fantaisie ? Et si ses colocataires l’aidaient à remonter le passé et à l’accepter enfin, cela mettrait-il en péril son avenir ? Ou le redéfinirait-il ?",979-8825087252,https://m.media-amazon.com/images/I/61P+M0pVGsL._SY522_.jpg,Independently published (6 juin 2022),Mélodie Miller,Recits de voyages
Les yeux tournés vers un ailleurs: Du premier pas au grand saut - récit de voyage,6.12,"Plongez au cœur d&#39un récit relatant quatre années de voyage autour du monde à travers l’Asie, l’Océanie, l’Amérique du Sud et l’Amérique du Nord. De la prise de décision à l’action, je vous propose de me suivre pas à pas dans mes aventures, mes interrogations et mes découvertes tant culturelles que personnelles. J’y expose aussi :

✅ ma démarche intellectuelle
✅ mes ressentis
✅ mes émotions
✅ mes rencontres parfois inattendues
✅ les défis aussi bien physiques que mentaux que j’ai dû affronter…

Un",978-2958284701,https://m.media-amazon.com/images/I/61MabnR3UTL._SY522_.jpg,,Flavien Brochard,Recits de voyages
Sur les chemins noirs,7.8,"""Il m&#39aura fallu courir le monde et tomber d&#39un toit pour saisir que je disposais là, sous mes yeux, dans un pays si proche dont j&#39ignorais les replis, d&#39un réseau de chemins campagnards ouverts sur le mystère, baignés de pur silence, miraculeusement vides. La vie me laissait une chance, il était donc grand temps de traverser la France à pied sur mes chemins noirs. Là, personne ne vous indique ni comment vous tenir, ni quoi penser, ni même la direction à prendre."" Sylvain Tesson.",978-2072823428,https://m.media-amazon.com/images/I/815XYnbu6gL._SY522_.jpg,Folio (7 février 2019),Sylvain Tesson,Recits de voyages
Voyager avec son chien,21.9,"Avoir un chien est pour vous un grand bonheur ! Mais il y a cette question qui revient avant chaque départ en vacances, chaque départ en week-end : « Que faire de mon fidèle compagnon ? »
Et si vous l&#39emmeniez avec vous ?
Avec ce guide pratique, plein de bons conseils et de témoignages touchants, vous aurez toutes les cartes en main pour partir facilement et n&#39importe où avec votre chien !
Que ce soit en voiture, en train, ou même à vélo, en bateau ou en avion, pour un voyage au bout du monde ou un petit week-end au vert, que vous ayez envie d&#39un city-trip ou de longues randonnées, Morgane Trussardi vous donne tous ses bons conseils, fruits de son expérience, pour un voyage dog-friendly, sans souci.",978-2226493736,https://m.media-amazon.com/images/I/71wnRPeg1GL._SY522_.jpg,Albin Michel (22 mai 2024),Little Gypsy,Recits de voyages
Vivre d&#39aventures,7.8,"""L&#39aventure fait tomber les masques. Elle révèle. Elle nous laisse à fleur de peau, sans notre carapace. Elle nous fait vivre fort."" Sept ans seulement après s&#39être mis à courir, Mathieu Blanchard est devenu l&#39une des stars mondiales des courses d&#39endurance en montagne. Tout au long de sa préparation pour l&#39Ultra-Trail du Mont-Blanc (UTMB) édition 2022, il nous raconte, avec une sensibilité aiguisée, sa délicate reconversion, ses blessures intimes et sa capacité à en faire des forces pour atteindre ses objectifs, vivre mieux et plus fort, à sa manière.",978-2290393406,https://m.media-amazon.com/images/I/718N3vIvs9L._SY522_.jpg,J&#39AI LU (10 avril 2024),Mathieu Blanchard,Recits de voyages
