Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"Méditations: Le journal de Marc Aurèle - Souvenirs, Pensées et Réflexions - La Philosophie Stoïcienne du plus grand Empereur Romain",5.21,"""La vie d&#39un homme consiste en ce que ses pensées en font.""

Voici l&#39essence de la sagesse stoïcienne à travers les yeux de l&#39un des plus grands empereurs romains, Marc Aurèle, dans ce voyage « Méditations : Le Journal de Marc Aurèle ».
Cet ouvrage vous plongera au cœur de la philosophie stoïcienne, combinant un récit historique approfondi avec l&#39introspection philosophique et la sagesse du plus grand empereur de Rome.

Marc Aurèle : l&#39empereur philosophe
Marc Aurèle, connu comme le dernier des « cinq bons empereurs », régna de 161 à 180 après JC. Sa vie, un incroyable mélange de puissance et de sagesse, était un exemple de vertu et de dévouement stoïque. En tant qu&#39empereur, il fit face à des défis à la fois internes et externes, mais fut toujours guidé par sa profonde conviction éthique et sa recherche de la vertu.",979-8876927606,https://m.media-amazon.com/images/I/71WeBCZqwtL._SY522_.jpg,Independently published (8 février 2024),Marc Aurèle,References
Désirer la violence: Ce(ux) que la pop culture nous apprend à aimer,8.82,"Qui n&#39a jamais jubilé devant la vengeance sanglante de Breatrix Kiddo dans Kill Bill ? Fondu devant la rencontre d&#39Allie et Noah dans N&#39oublie jamais ? Ri aux éclats devant Friends ? Chanté à tue-tête devant Grease ?

À travers l’archétype du bad boy, les scénarios balisés des comédies romantiques, la profusion de baisers « volés », et même les dessins animés de notre enfance, ce livre nous plonge dans les eaux troubles de la pop culture pour révéler comment la fiction influence insidieusement nos comportements et nos relations amoureuses. En analysant les rouages de la narration, l’autrice démystifie nos fascinations et idées reçues, et met à nu les dynamiques toxiques qui s’étalent sur nos écrans.

Comment les films et les séries parviennent-ils à nous faire apprécier des comportements douteux, voire illégaux, y compris dans la vie réelle ? Comment nous inculquent-ils qu’il est normal d’aimer avoir mal ou qu’on nous fasse du mal ? Comment nous apprennent-ils à désirer la violence ?

Un essai percutant, émaillé d’exemples précis et ponctué d’analyses de spécialistes (historiennes, scénaristes, linguiste, psychanalyste, sexologue…), qui invite à une réflexion profonde et audacieuse sur les violences sexistes et sexuelles qui se cachent sous le vernis de nos divertissements préférés.",978-2017255802,https://m.media-amazon.com/images/I/610nT+u8DTL._SY522_.jpg,Les Insolentes (24 avril 2024),Chloé Thibaud,References
Le Guide de l&#39Homme Stoïque: Stratégies Quotidiennes pour le Bonheur et la Résilience : Adopter le Stoïcisme dans la Vie Moderne,15.24,"Confronté aux défis incessants de la vie moderne ? Le Guide de l&#39Homme Stoïque vous ouvre la porte à des stratégies ancestrales adaptées à notre époque. Découvrez comment les enseignements millénaires des stoïciens peuvent transformer votre vie quotidienne.
Basé sur les réflexions profondes de Marc Aurèle et d&#39autres grands penseurs stoïciens, cet ouvrage vous montre comment leurs idées intemporelles peuvent être efficacement appliquées à vos défis personnels et professionnels. Apprenez à équilibrer force et sensibilité, tout en restant ancré dans la réalité tumultueuse du 21e siècle.
L&#39auteur, William T. Harrison, expert en stoïcisme et expérimenté dans l&#39art de surmonter les obstacles, partage des stratégies concrètes pour cultiver la croissance personnelle, l&#39empathie audacieuse, et une vie enrichie de sens.",979-8867984748,https://m.media-amazon.com/images/I/61nedjnazGL._SY522_.jpg,Independently published (17 novembre 2023),William T. Harrison,References
Ceci n&#39est pas un livre sur le genre,5.31,"À quoi savez-vous que vous êtes un homme, une femme ou que vous n&#39êtes ni l&#39un ni l&#39autre ?

Est-ce une croyance, une pensée, un rôle, une condition, un chromosome, un taux d&#39hormones, un M ou un F sur votre carte d&#39identité ?
Loin des injonctions et des schémas préconçus, est-ce toujours vous dans le miroir ?
Vous a-t-on seulement donné la possibilité de vous poser toutes ces questions ?

À rebours des polémiques et des débats houleux, ce livre vous offre les clés pour mieux comprendre ce qui se cache derrière le vaste sujet du genre. Des questions qui semblent compliquées trouveront des réponses simples basées sur des faits scientifiques, historiques et sociologiques. Ici, pas besoin d&#39être déjà expert-e pour découvrir, pas à pas, comment l&#39histoire de l&#39humanité a été construite et contée jusqu&#39à se confondre avec votre propre identité.",978-2017101383,https://m.media-amazon.com/images/I/71PvusN0cVL._SY522_.jpg,Les Insolentes; Illustrated édition (3 avril 2024),Morgan N. Lucas,References
Cent mots pour être éducateur: Dictionnaire pratique du quotidien,14.5,"Avec ces cent mots, pour une profession longtemps restée sans mots, Philippe Gaberan parle de pratiques éducatives, dans un langage simple, mais non simpliste. En analysant ce qui se trame entre Soi et l&#39Autre, entre l&#39éducateur et la personne accompagnée, il fait le lien entre les actes posés au quotidien et le sens que ceux-ci prennent au regard des objectifs éducatifs. Au-delà des définitions, ce dictionnaire jette un pont entre l&#39apparente banalité des gestes quotidiens et leur fondamentale répercussion sur le développement de l&#39être. Il n&#39est pas à laisser dans la bibliothèque mais à intégrer dans la trousse à outils que tout professionnel devrait avoir à porter de main, comme tout artisan qui se respecte. Car le métier d&#39éducateur relève d&#39un savoir faire dont la complexité n&#39est pas toujours bien perçue parce que souvent trop mal exprimée. Philippe Gaberan, éducateur spécialisé, formateur et chercheur en travail social à l&#39ADEA de Bourg-en-Bresse.",978-2749207100,https://m.media-amazon.com/images/I/717UnFxr8WL._SY522_.jpg,ERES (8 mars 2007),GABERAN PHILIPPE,References
"STOÏCISME - L&#39art de mieux penser: Comment développer une discipline intérieure, gérer ses émotions & traverser la vie avec une sérénité à toute épreuve grâce à la philosophie antique",15.41,"Aborder la vie avec sérénité comme un guerrier stoïque - Comment utiliser la philosophie antique pour réussir.

Votre verre est-il toujours à moitié vide au lieu d’être à moitié plein ?
Vous avez du mal à mettre de côté vos incertitudes et vos soucis ?
Souhaitez-vous être plus heureux et ne plus vous laisser déstabiliser par quoi que ce soit ?

Si votre réponse à ces questions est « oui », alors lisez la suite …

Depuis des milliers d’années, le stoïcisme change de manière positive et radicale la vie de ses adeptes – et il peut désormais faire de même pour vous.

Les stoïciens ont fait des découvertes étonnantes sur l’existence humaine, découvertes qui sont encore pertinentes aujourd’hui dans nos vies de tous les jours. L’une des idées fondamentales de leur philosophie est que nous réagissons à nos",979-8422022410,https://m.media-amazon.com/images/I/619v+c+cBYL._SY522_.jpg,Independently published (23 février 2022),Elias Theodorakis,References
Le Stoïcien et l&#39Horloge: 42 Enseignements du Stoïcisme pour la Vie Moderne | Développement Personnel et Excellence Morale,19.15,"""Le Stoïcien et l&#39Horloge: 42 Enseignements du Stoïcisme pour la Vie Moderne"" est une exploration captivante de la sagesse stoïcienne, adaptée pour répondre aux défis de notre époque trépidante. Ce livre remarquable tisse ensemble les enseignements de philosophes antiques et les questions modernes, créant un guide inestimable pour vivre une vie pleine et réfléchie.

L’auteur, s’appuyant sur les réflexions de penseurs stoïques tels qu&#39Épictète, Sénèque, et Marc Aurèle, offre aux lecteurs une méthode pour trouver la tranquillité dans le chaos, l&#39équilibre dans les incertitudes et la force dans les adversités qui jalonnent notre existence contemporaine.

Au fil des pages, ce livre révèle comment :",979-8867106812,https://m.media-amazon.com/images/I/71ExWVabTeL._SY522_.jpg,Independently published (9 novembre 2023),Lotus Zen,References
Changez votre vie! Prenez le contrôle: Les clés de la négociation pour transformer chaque défi en opportunité,17.42,"🌟 Transformez votre vie avec les secrets de la négociation et de la communication efficace ! 🌟

Vous sentez vous régulièrement bloqué, ralenti, que ce soit dans votre carrière, vos relations ou vos aspirations personnelles ? Imaginez si vous aviez les clés pour débloquer ces obstacles, franchir les barrières et les croyances limitantes, prendre votre liberté et forger votre chemin vers le succès...

Dans un monde où chaque échange peut déterminer votre avenir, savoir négocier est plus qu&#39une compétence - c&#39est une superpuissance. « Changez votre vie, prenez le contrôle » est un outil précieux qui recense les stratégies, les conseils et les astuces pour enclencher le levier qui va propulser votre vie vers de nouveaux sommets.
Envie de",979-8879815368,https://m.media-amazon.com/images/I/61PtFtk6GUL._SY522_.jpg,Independently published (16 février 2024),Anne-Sophie DUPLANTIS,References
"How to Talk to Anyone About Anything: Improve Your Social Skills, Master Small Talk, Connect Effortlessly, and Make Real Friends",13.02,"Discover the Art of Masterful Conversations With this POWERFUL Guide!
Have you always struggled with making small talk and want to stop feeling awkward?
Do you wish to be able to tell stories where your listeners hang on to your every word?
Do you wish you had the courage, the confidence, and the charisma to meet new people and make friends with them?
If you’ve answered yes, this is the book for you!
How to Talk to Anyone About Anything: Improve Your Social Skills, Master Small Talk, Connect Effortlessly, and Make Real Friends is your complete guide to help you do just that.",978-8727982489,https://m.media-amazon.com/images/I/61dz6S77OCL._SY522_.jpg,Independently published (24 mars 2021),James W Williams,References
Comment Analyser Les Gens: Apprenez les Techniques de Psychologie Comportementale et le Langage Corporel pour Comprendre le Comportement des Autres,9.07,"Imaginez que vous ayez la capacité de lire dans l&#39esprit des gens: pouvez-vous imaginer ce que vous seriez en mesure de faire et les objectifs que vous pourriez atteindre ?

Seuls 0,01 % des gens savent exactement comment déchiffrer le langage corporel secret, celui qui ne ment jamais, même si l’on cache des secrets.

Voulez-vous avoir le pouvoir de comprendre les personnes en face de vous en quelques secondes et utiliser cette capacité pour obtenir tout ce que vous voulez ?",979-8374709322,https://m.media-amazon.com/images/I/71pLAxLnGCL._SY522_.jpg,Independently published (22 janvier 2023),Jane Dorian,References
