Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"L&#39Odyssée du Templier, tome 1",19.16,"Beauvais, 1294. Barthel, capitaine des gardes de l&#39Inquisition, a toujours procédé avec méthode et sang-froid aux arrestations des hérétiques ordonnées par son bienfaiteur, l&#39inquisiteur dominicain Robert de Konrad. Pourtant, alors qu&#39il est missionné pour punir le forgeron Jehan et sa famille, Barthel est en proie au doute. Pourquoi l&#39inquisiteur tient-il tant à mener ce cruel assaut contre une forge aussi réputée ? Lorsque la fuite inattendue du fils de Jehan provoque la colère de l&#39évêque, Barthel est alors sûr d&#39une chose : cette mission recèle des enjeux qui dépassent sa tâche initiale. Tiraillé entre une lourde dette envers l&#39inquisiteur et son envie de remettre en cause l&#39autorité, le capitaine est malgré tout déterminé à faire la lumière sur les secrets de Robert de Konrad. Montségur, 1294. Hugo, ancien templier condamné pour avoir aimé une princesse sarrasine, est alerté de la disparition de son neveu. Pour le sauver, le chevalier arpente les terres de Philippe le Bel. Du pays d&#39Oc à Beauvais, en passant par les Vosges, Hugo est confronté à un royaume corrompu par les manigances politiques des inquisiteurs, des hommes d&#39Église, du roi de France et de sa cour. Déchiré entre son désir de vengeance et son devoir familial, l&#39ex-templier devra faire un choix... Prendrez-vous le parti du roi de France ou des Templiers ? Philippe IV parviendra-t-il à s&#39approprier le fabuleux trésor du Temple ? Résurrection, le premier tome d&#39une épopée passionnante !",979-1040514664,https://m.media-amazon.com/images/I/81n9MprXuSL._SY522_.jpg,Librinova (22 mars 2023),Henri Strinati,Roman Historique
"L&#39Odyssée du Templier, tome 1",19.38,"Beauvais, 1294. Barthel, capitaine des gardes de l&#39Inquisition, a toujours procédé avec méthode et sang-froid aux arrestations des hérétiques ordonnées par son bienfaiteur, l&#39inquisiteur dominicain Robert de Konrad. Pourtant, alors qu&#39il est missionné pour punir le forgeron Jehan et sa famille, Barthel est en proie au doute. Pourquoi l&#39inquisiteur tient-il tant à mener ce cruel assaut contre une forge aussi réputée ? Lorsque la fuite inattendue du fils de Jehan provoque la colère de l&#39évêque, Barthel est alors sûr d&#39une chose : cette mission recèle des enjeux qui dépassent sa tâche initiale. Tiraillé entre une lourde dette envers l&#39inquisiteur et son envie de remettre en cause l&#39autorité, le capitaine est malgré tout déterminé à faire la lumière sur les secrets de Robert de Konrad. Montségur, 1294. Hugo, ancien templier condamné pour avoir aimé une princesse sarrasine, est alerté de la disparition de son neveu. Pour le sauver, le chevalier arpente les terres de Philippe le Bel. Du pays d&#39Oc à Beauvais, en passant par les Vosges, Hugo est confronté à un royaume corrompu par les manigances politiques des inquisiteurs, des hommes d&#39Église, du roi de France et de sa cour. Déchiré entre son désir de vengeance et son devoir familial, l&#39ex-templier devra faire un choix... Prendrez-vous le parti du roi de France ou des Templiers ? Philippe IV parviendra-t-il à s&#39approprier le fabuleux trésor du Temple ? Résurrection, le premier tome d&#39une épopée passionnante !",979-1040514664,https://m.media-amazon.com/images/I/81n9MprXuSL._SY522_.jpg,Librinova (22 mars 2023),Henri Strinati,Roman Historique
La sage-femme d&#39Auschwitz,9.5,"Lorsqu&#39elle arrive à Auschwitz, sous un ciel bas et gris, Ana est persuadée qu&#39elle ne survivra pas à l&#39enfer du camp. Mais elle possède une compétence que les nazis recherchent : elle est sage-femme. Son travail sera de donner naissance aux enfants des autres prisonnières. Une mission terrible car, dès qu&#39ils ont poussé leur premier cri, les nouveau-nés sont emmenés et donnés à des familles allemandes. Malgré la détresse de ces femmes à qui on vole leurs bébés, Ana essaie d&#39apporter un peu de réconfort autour d&#39elle. Et puis un jour, elle réalise qu&#39elle peut faire plus. Secrètement, elle tatoue les petits avec les numéros de déportées de leurs mères. C&#39est une lueur d&#39espoir dans ce monde d&#39une infinie noirceur : et si, après l&#39horreur de la guerre, grâce à ce petit geste, ces enfants et leurs mères pouvaient se retrouver ?",978-2290396391,https://m.media-amazon.com/images/I/71ubMzTUUfL._SY522_.jpg,J&#39AI LU (6 mars 2024),Anna Stuart,Roman Historique
Le Barman du Ritz,21.9,""" Ce livre raconte la France occupée et c&#39est brillant."" Le Parisien
"" Dans ce premier roman, historique evidemment, P.Collin trouve le ton et mieux encore."" La Tribune du Dimanche
"" P.Collin nous embarque, avec un indeniable talent de conteur, dans le quotidien d&#39un théâtre de masques."" Le Figaro
Juin 1940. Les Allemands entrent dans Paris. Partout, le couvre-feu est de rigueur, sauf au grand hôtel Ritz. Avides de découvrir l&#39art de vivre à la française, les occupants y côtoient l&#39élite parisienne, tandis que derrière le bar oeuvre Frank Meier, le plus grand barman du monde.",978-2226479938,https://m.media-amazon.com/images/I/71mgi1nPtbL._SY522_.jpg,Albin Michel (24 avril 2024),Philippe Collin,Roman Historique
"Albane, T2 - Au nom de la liberté",23.9,"Juin 1940. L’armistice a été signé, marquant le début de l’occupation allemande. Si l’avenir semble incertain, Albane est toute à la joie de retrouver Raphaël Wendling, qui lui a redonné goût à la vie et à l’amour.
Elle chérit d’autant plus ces moments qu’elle sait qu’ils ne dureront pas, Raphaël ayant décidé de rejoindre les Forces françaises libres dirigées par le général de Gaulle.
Mais les gens de Brantôme ne voient pas d’un bon œil l’idylle naissante de la jeune institutrice, veuve de guerre de surcroît, et les jeunes amants sont contraints de s’aimer en secret.
La vie reprend dans une France divisée par la ligne de démarcation. Brantôme étant en zone libre, la résistance s’organise en Dordogne. Grâce au laissez-passer auquel lui donne droit son statut de médecin, le docteur Géraud commence à faire passer clandestinement des familles juives en zone libre.
Débutent alors pour la courageuse jeune femme des mois marqués par un engagement sans faille, mais aussi par la peur constante de perdre ceux qu’elle aime.",978-2702182352,https://m.media-amazon.com/images/I/819zEH6P8rL._SY522_.jpg,Calmann-Lévy (5 juin 2024),Marie-Bernadette Dupuy,Roman Historique
Le Code Rose (Grand Prix du Roman Historique 2023),12.08,"Des milliers de personnes ont fait leur choix ! Kate Quinn remporte le Grand Prix du Roman Historique 2023 avec Le Code rose.
«  Tour à tour bouleversant, fascinant et mystérieux, le dernier roman historique de Kate Quinn est un des best-sellers de 2021.  » Booklist
« Il y avait un traître à Bletchley Park, qui vendait des informations pendant la guerre. Vous me haïssez peut-être, mais vous avez toutes les deux prêté le même serment que moi : protéger la Grande-Bretagne. Faites-moi sortir de cet asile et aidez-moi à attraper le traître. Vous avez une dette envers moi. »
1940. Alors que l&#39Angleterre se prépare à combattre les nazis, trois femmes très différentes répondent à l&#39appel d&#39un mystérieux domaine, Bletchley Park, où les cerveaux les plus brillants de Grande-Bretagne sont formés à casser les codes de l&#39armée allemande. La pétulante et belle débutante, Osla  ; l&#39impérieuse et autodidacte Mab, et enfin, la vieille fille du village, Beth. Mais la guerre, le deuil et une sombre trahison sépareront les trois amies désormais ennemies... jusqu&#39à ce qu&#39elles soient de nouveau réunies, quelques années plus tard, par une mystérieuse lettre codée. Un traître émerge des ombres de leur passé, forçant les trois jeunes femmes à renouer leur vieille alliance pour casser un dernier code. Mais chaque pétale qu&#39elles effeuillent du Code Rose les rapproche du danger et de leur véritable ennemi...",978-2381225036,https://m.media-amazon.com/images/I/81OlzMicQLL._SY522_.jpg,Hauteville; Illustrated édition (4 octobre 2023),Kate Quinn,Roman Historique
"L&#39Odyssée du Templier, tome 1",5.78,"Beauvais, 1294. Barthel, capitaine des gardes de l&#39Inquisition, a toujours procédé avec méthode et sang-froid aux arrestations des hérétiques ordonnées par son bienfaiteur, l&#39inquisiteur dominicain Robert de Konrad. Pourtant, alors qu&#39il est missionné pour punir le forgeron Jehan et sa famille, Barthel est en proie au doute. Pourquoi l&#39inquisiteur tient-il tant à mener ce cruel assaut contre une forge aussi réputée ? Lorsque la fuite inattendue du fils de Jehan provoque la colère de l&#39évêque, Barthel est alors sûr d&#39une chose : cette mission recèle des enjeux qui dépassent sa tâche initiale. Tiraillé entre une lourde dette envers l&#39inquisiteur et son envie de remettre en cause l&#39autorité, le capitaine est malgré tout déterminé à faire la lumière sur les secrets de Robert de Konrad. Montségur, 1294. Hugo, ancien templier condamné pour avoir aimé une princesse sarrasine, est alerté de la disparition de son neveu. Pour le sauver, le chevalier arpente les terres de Philippe le Bel. Du pays d&#39Oc à Beauvais, en passant par les Vosges, Hugo est confronté à un royaume corrompu par les manigances politiques des inquisiteurs, des hommes d&#39Église, du roi de France et de sa cour. Déchiré entre son désir de vengeance et son devoir familial, l&#39ex-templier devra faire un choix... Prendrez-vous le parti du roi de France ou des Templiers ? Philippe IV parviendra-t-il à s&#39approprier le fabuleux trésor du Temple ? Résurrection, le premier tome d&#39une épopée passionnante !",979-1040514664,https://m.media-amazon.com/images/I/81n9MprXuSL._SY522_.jpg,Librinova (22 mars 2023),Henri Strinati,Roman Historique
Les adieux à la villa aux étoffes - Volume 6,18.9,"Augsbourg, 1939. La guerre est aux portes de l&#39Europe et les résidents de la villa aux étoffes savent que leur vie va radicalement changer... La conclusion tant attendue de la saga phénomène !
Augsbourg, 1939. Depuis l&#39arrivée de Hitler au pouvoir, Marie s&#39est exilée avec son fils à New York, et l&#39usine textile de Paul fait l&#39objet de convoitises nazies. Sans sa femme, qu&#39il soupçonne d&#39avoir refait sa vie aux États- Unis, Paul doit affronter seul ses inquiétudes et ses doutes, et prendre des décisions qui mettent en péril tout ce qu&#39ils ont bâti ensemble. De l&#39autre côté de l&#39Atlantique, Marie est effrayée par les récits d&#39horreur qu&#39elle découvre chaque jour dans les journaux. Quand elle rentre à Augsbourg en 1945, après avoir perdu contact avec ses proches pendant la guerre, elle ignore tout de ce qui l&#39attend. À l&#39image du conflit qui a dévasté son pays, les neuf années de séparation avec Paul ont laissé bien des traces. Alors que tout est à reconstruire dans une ville en ruines, parviendront-ils à se retrouver ?
Entre espoirs brisés et rêves de lendemains, le dénouement saisissant de destins emportés par le tourbillon de l&#39histoire.

Traduit de l&#39allemand par Corinna Gepner",978-2264083937,https://m.media-amazon.com/images/I/71l0uQm9qGL._SY522_.jpg,10 X 18 (2 mai 2024),Anne Jacobs,Roman Historique
La sage-femme de Berlin,22.0,"Dans l&#39enfer d&#39Auschwitz, Ester caresse doucement les cheveux de Pippa, son bébé. C&#39est un miracle que sa petite fille soit blonde, car grâce à ce détail l&#39enfant pourra rester en vie. Bientôt, les nazis viendront prendre son bébé pour le donner à une famille allemande. Mais Ester veut croire qu&#39un jour, après la guerre, elle retrouvera sa Pippa... Secrètement, la jeune femme a tatoué son numéro de déportée sous l&#39aisselle de sa fille. Un geste qui lui donne de l&#39espoir et la volonté de survivre malgré l&#39horreur. Des années plus tard, Ester est enfin libre. Dans chaque orphelinat et hôpital qu&#39elle visite, elle scrute les visages des enfants. Mais les mois passent et l&#39espoir de revoir Pippa s&#39amenuise. Parviendra-t-elle un jour à retrouver l&#39enfant dont le tatouage correspond au sien ? Ou bien est-il déjà trop tard ?",978-2824623320,https://m.media-amazon.com/images/I/81AV-56xyXL._SY522_.jpg,City Edition (21 février 2024),Anna Stuart,Roman Historique
L&#39enfant du train,14.79,"Au coeur de l&#39Occupation, à Paris, Sarah vient d&#39être arrêtée. Parce qu&#39elle est Juive. Juste avant de monter dans le train pour Auschwitz et les camps de la mort, la jeune femme prend une terrible décision : elle donne Samuel, son bébé, à un inconnu.. L&#39homme n&#39hésite pas une seconde et décide de tout faire pour sauver et prendre soin de cet enfant. Avec sa fiancée et le petit Samuel, ils fuient Paris pour les États-Unis, pays où l&#39on peut encore être libre et en sécurité. Ensemble, ils vont former une belle famille. Au fil du temps, ils oublient les traumatismes de la guerre. Jusqu&#39à ce que, neuf ans plus tard, une femme frappe à leur porte. Une femme qui a survécu à l&#39enfer par amour pour son fils. Mais ce retour va déclencher une tempête dont personne ne pourra sortir indemne...",978-2824620718,https://m.media-amazon.com/images/I/71pTCZAitWL._SY522_.jpg,City Edition (22 juin 2022),Ruth Druart,Roman Historique
