Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
La Différence invisible,23.95,"Marguerite a 27 ans, en apparence rien ne la distingue des autres. Elle est jolie, vive et intelligente. Elle travaille dans une grande entreprise et vit en couple. Pourtant, elle est différente.Marguerite se sent décalée et lutte chaque jour pour préserver les apparences. Ses gestes sont immuables, proches de la manie. Son environnement doit être un cocon. Elle se sent agressée par le bruit et les bavardages incessants de ses collègues. Lassée de cet état, elle va partir à la rencontre d&#39elle-même et découvrir qu&#39elle est autiste Asperger. Sa vie va s&#39en trouver profondément modifiée.",978-2756072678,https://m.media-amazon.com/images/I/71VxB3sS1lL._SY522_.jpg,Delcourt; Illustrated édition (30 août 2016),Julie Dachez,Romans graphiques
Microcosmes. L&#39histoire de France à taille humaine,25.95,"Qui n&#39a jamais rêvé d&#39explorer l&#39histoire de France auprès de celles et ceux qui l&#39ont vécue ? De l&#39arpenter "" au ras du sol "" ?
Nous l&#39observons plus souvent du sommet, à hauteur des souverains, des "" héros "" et autres "" grands personnages "". Nous la scrutons aussi de loin : c&#39est l&#39histoire des masses, soldats, femmes, ouvriers, etc.

Microcosmes privilégie l&#39immersion : explorer l&#39histoire de France du dedans, pour la rendre plus familière. Aux côtés de douze figures, anonymes ou méconnues, qui, tapies dans l&#39ombre du passé, lui donnent chair comme jamais ! Douze microcosmes, douze époques, douze mondes incarnés, comme autant d&#39allers-retours entre la "" grande "" et la "" petite "" histoire qui complètent et interrogent, loupe en main, notre vision du passé.

Entre chaque époque, treize entractes présentent le travail des historiens, leurs méthodes, leurs débats, leurs incertitudes... Car connaître l&#39histoire, c&#39est aussi savoir comment elle s&#39écrit.",978-2412076620,https://m.media-amazon.com/images/I/71qb4epmRKL._SY522_.jpg,First; Illustrated édition (28 septembre 2023),Yann Bouvier,Romans graphiques
La bombe,39.0,"L’incroyable histoire vraie de l’arme la plus effroyable jamais créée.
Le 6 août 1945, une bombe atomique ravage Hiroshima. Des dizaines de milliers de personnes sont instantanément pulvérisées. Et le monde entier découvre, horrifié, l’existence de la bombe atomique, première arme de destruction massive. Mais dans quel contexte, comment et par qui cet instrument de mort a-t-il pu être développé ?
Véritable saga de 450 pages, ce roman graphique raconte les coulisses et les personnages-clés de cet événement historique qui, en 2020, commémore son 75e anniversaire. Des mines d’uranium du Katanga jusqu’au Japon, en passant par l’Allemagne, la Norvège, l’URSS et le Nouveau-Mexique, c’est une succession de faits incroyables mais vrais qui se sont ainsi déroulés.",978-2344020630,https://m.media-amazon.com/images/I/71JDmMYvLfL._SY522_.jpg,Glénat BD; Illustrated édition (4 mars 2020),Didier Alcante,Romans graphiques
Le Journal d&#39Anne Frank - Roman graphique (Edition souple),15.0,"Ari Folman et David Polonsky,
scénariste et illustrateur de Valse avec Bachir,
ont réalisé cette adaptation en roman graphique
du Journal d’Anne Frank.

Anne Frank est née le 12 juin 1929
à Francfort. Sa famille a émigré
aux Pays-Bas en 1933. À Amsterdam,
elle connaît une enfance heureuse
jusqu’en 1942, malgré la guerre.
Le 6 juillet 1942, les Frank s’installent
clandestinement dans « l’Annexe »
de l’immeuble du 263, Prinsengracht,
où Anne écrit son journal.
Le 4 août 1944, la famille est arrêtée
vraisemblablement sur dénonciation.
Déportée à Auschwitz, puis à Bergen-Belsen,
Anne meurt du typhus en février ou mars 1945,
peu après sa soeur Margot.",978-2702166789,https://m.media-amazon.com/images/I/81NBxGD+bqL._SY522_.jpg,Calmann-Lévy; Illustrated édition (15 mai 2019),Ari Folman,Romans graphiques
L&#39Arabe du futur - volume 4 - Tome 4 (4),25.9,"L&#39Arabe du futur, une jeunesse au Moyen-Orient (1978-2011) est une série de bande dessinée en six tomes, écrite et dessinée par Riad Sattouf.
Vendue à plus de 3 millions d&#39exemplaires et traduite en 23 langues, elle raconte l&#39enfance et l&#39adolescence de l&#39auteur, fils aîné d&#39une mère française et d&#39un père syrien. L&#39histoire nous mène de la Libye du colonel Kadhafi à la Syrie d&#39Hafez Al-Assad en passant par la Bretagne, de Rennes au cap Fréhel.
Ce quatrième tome couvre les années 1987-1992.",978-2370731258,https://m.media-amazon.com/images/I/61Wm6Qzi1TL._SY522_.jpg,Allary; Illustrated édition (27 septembre 2018),Riad Sattouf,Romans graphiques
L&#39Arabe du futur - volume 5 - Tome 5 (05),22.9,"L&#39Arabe du futur, une jeunesse au Moyen-Orient (1978-2011) est une série de bande dessinée en six tomes, écrite et dessinée par Riad Sattouf.
Vendue à plus de 3 millions d&#39exemplaires et traduite en 23 langues, elle raconte l&#39enfance et l&#39adolescence de l&#39auteur, fils aîné d&#39une mère française et d&#39un père syrien. L&#39histoire nous mène de la Libye du colonel Kadhafi à la Syrie d&#39Hafez Al-Assad en passant par la Bretagne, de Rennes au cap Fréhel.
Ce cinquième tome couvre les années 1992-1994.",978-2370733528,https://m.media-amazon.com/images/I/61zwfiWHcaL._SY522_.jpg,Allary; Illustrated édition (5 novembre 2020),Riad Sattouf,Romans graphiques
L&#39Arabe du futur - volume 3 - - Tome 3 (3),22.9,"L&#39Arabe du futur, une jeunesse au Moyen-Orient (1978-2011) est une série de bande dessinée en six tomes, écrite et dessinée par Riad Sattouf.
Vendue à plus de 3 millions d&#39exemplaires et traduite en 23 langues, elle raconte l&#39enfance et l&#39adolescence de l&#39auteur, fils aîné d&#39une mère française et d&#39un père syrien. L&#39histoire nous mène de la Libye du colonel Kadhafi à la Syrie d&#39Hafez Al-Assad en passant par la Bretagne, de Rennes au cap Fréhel.
Ce troisième tome couvre les années 1985-1987.",978-2370730947,https://m.media-amazon.com/images/I/61+OJo1DFOL._SY522_.jpg,Allary; Illustrated édition (6 octobre 2016),Riad Sattouf,Romans graphiques
"Le Rapport de Brodeck, Tome 1 : L&#39Autre - Prix Landerneau 2015",22.5,"Manu Larcenet s&#39attaque pour la première fois à une adaptation, celle du chef-d&#39oeuvre de Philippe Claudel, ""Le Rapport de Brodeck"". Mais lorsque l&#39auteur de ""Blast"" et du ""Combat ordinaire"" s&#39empare du texte, c&#39est pour le faire sien et lui donner une nouvelle vie, éclatante, sombre et tragique. Des pages d&#39une beauté stupéfiante, magnifiant la nature sauvage et la confrontant à la petitesse des hommes ; une plongée dans les abîmes servie par un noir et blanc sublime et violent. Un très grand livre. Manu Larcenet adapte de façon majestueuse le best-seller de Philippe Claudel : un chef-d&#39oeuvre.",978-2205073850,https://m.media-amazon.com/images/I/71iwi44UkhL._SY522_.jpg,DARGAUD; Illustrated édition (10 avril 2015),Larcenet Manu,Romans graphiques
L&#39Arabe du futur - Tome 2,22.9,"L&#39Arabe du futur, une jeunesse au Moyen-Orient (1978-2011) est une série de bande dessinée en six tomes, écrite et dessinée par Riad Sattouf.
Vendue à plus de 3 millions d&#39exemplaires et traduite en 23 langues, elle raconte l&#39enfance et l&#39adolescence de l&#39auteur, fils aîné d&#39une mère française et d&#39un père syrien. L&#39histoire nous mène de la Libye du colonel Kadhafi à la Syrie d&#39Hafez Al-Assad en passant par la Bretagne, de Rennes au cap Fréhel.
Ce deuxième tome couvre les années 1984-1985.",978-2370730541,https://m.media-amazon.com/images/I/61S1ipIRWOL._SY522_.jpg,Allary; Illustrated édition (11 juin 2015),Riad Sattouf,Romans graphiques
Heartstopper Volume 5: INSTANT NUMBER ONE BESTSELLER - the graphic novel series now on Netflix!,16.12,"INSTANT NUMBER ONE BESTSELLER * NEW YORK TIMES AND SUNDAY TIMES BESTSELLING AUTHOR * FASTEST EVER SELLING GRAPHIC NOVEL * NOW ON NETFLIX

Boy meets boy. Boys become friends. Boys fall in love. The bestselling LGBTQ+ graphic novel about life, love, and everything that happens in between: this is the fifth volume of the beloved HEARTSTOPPER series.

&#39Absolutely delightful. Sweet, romantic, kind. Beautifully paced. I loved this book.&#39 RAINBOW ROWELL, author of Carry On

Nick and Charlie are very much in love. They&#39ve finally said those three little words, and Charlie has almost persuaded his mum to let him sleep over at Nick&#39s house ... But with Nick going off to university next year, is everything about to change?

By Alice Oseman, winner of the YA Book Prize,",978-1444957655,https://m.media-amazon.com/images/I/81fMBCnhjZL._SY522_.jpg,Hodder Children&#39s Books; 1er édition (7 décembre 2023),Alice Oseman,Romans graphiques
