Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
The History of EC Comics,11.51,"En 1947, Bill Gaines hérite d’EC Comics, une nouvelle entreprise fondée par son père, le légendaire M. C. Gaines. Ce dernier a donné naissance aux comic books tels que nous les connaissons aujourd’hui, alors qu’il oeuvrait à All-American Comics, offrant au monde des personnages comme Wonder Woman et Green Lantern. Au cours des huit années suivantes, avec le gratin de l’époque, dont Al Feldstein, Harvey Kurtzman et Wally Wood, ils vont réinventer le concept même de comic book à travers des titres comme Tales from the Crypt, Crime SuspensStories, Weird Science et MAD.

EC a une prédilection pour les comics d&#39horreur, policiers, sanglants et morbides à la conclusion ironique et cinglante, mais la maison est aussi la première à publier des comics de guerre réalistes",978-3836549769,https://m.media-amazon.com/images/I/91-oGEZETNL._SY522_.jpg,EVERGREEN; Illustrated édition (7 août 2020),Grant Geissman,Science-Fiction
Mortelle Adèle et les Reliques du Chat-Lune - Les Grandes Aventures - Tome 04,7.44,"La nouvelle Grande Aventure de Mortelle Adèle !

Connais-tu le Chat-Lune ?
Cette divinité aux dons incroyables a la capacité de conférer de puissants pouvoirs aux félins qui se présentent à elle. Mais pour avoir cette chance, il faut d&#39abord réunir les trois légendaires reliques que
le Chat-Lune a cachées aux quatre coins du monde...

Et ça tombe bien ! Car Mortelle Adèle est prête à relever le défi, l&#39occasion rêvée de réussir à enfin transformer Ajax !

Alors qu&#39un étrange ennemi se lance lui aussi à la recherche des reliques, Mortelle Adèle, aidée par Charlie et Magnus, va devoir redoubler d&#39ingéniosité pour venir à bout des énigmes et des obstacles qui la séparent de l&#39apparition du Chat-Lune ! Alors accroche ta ceinture et lance-toi avec elle dans ce tour du monde périlleux et plein de rebondissements qui te conduira aux confins de la Bizarrerie !",978-2494678101,https://m.media-amazon.com/images/I/71UvoCI9jEL._SY522_.jpg,Mr Tan & Co; Illustrated édition (2 novembre 2023),Mr Tan,Science-Fiction
Arctica T13: La Planète des cyborgs,14.95,"L&#39humanité est au bord de l&#39extinction, laissant un monde dominé par les androïdes. Dakota, Lulha, Mismy et Kambo, les derniers humains, sont prisonniers sur une île. Dakota est capturé par des militaires qui ont prévu de l&#39éliminer mais il est secouru par des androïdes vivant en marge de la société. Cependant, des policiers le traquent, retrouvent sa trace et le conduisent dans une base secrète...",978-2413080008,https://m.media-amazon.com/images/I/81EAhyT-uEL._SY522_.jpg,Delcourt (22 mai 2024),Bojan Kovacevic,Science-Fiction
"Avatar, le dernier maître de l&#39air Tome 2 - La recherche",8.42,"Zuko est déterminé à lever le voile sur les secrets qui empoisonnent sa famille. Il propose donc à sa sœur Azula de lui rendre la liberté si, en contrepartie, celle-ci accepte de l’aider à faire toute la lumière sur le mystère de la disparition d’Ursa, leur mère. Pour mener à bien cette quête il va bien évidemment faire appel à ses fidèles amis, Aang, Sokka et Katara.",978-2017168645,https://m.media-amazon.com/images/I/81jvUIgZF4L._SY522_.jpg,Hachette Comics; Illustrated édition (17 août 2022),Nickelodeon,Science-Fiction
Métal Hurlant Hors Série : Les Chats: La dixième vie du chat,13.5,"Les chats, ces créatures gracieuses et mystérieuses, sont omniprésents dans notre vie quotidienne. Leur présence, bien que familière, cache un mystère profond. Qui a vraiment choisi qui ? Leur indépendance et leur présence insaisissable nous font nous interroger sur leur véritable nature. Sont-ils simplement des animaux de compagnie ou y a-t-il autre chose… ?",978-2731689761,https://m.media-amazon.com/images/I/81ZZNEuWPOL._SY522_.jpg,Les Humanoïdes Associés (24 avril 2024),COLLECTIF,Science-Fiction
Marshal Bass T11: Putain de fric,15.5,"Les ingrédients du western selon Kordey et Macan ? Des scènes ébouriffantes pour la démesure graphique, des personnages sans foi ni loi et des dilemmes cornéliens pour marquer l&#39histoire. Le western le plus tarantinesque a pour nom Marshal Bass.",978-2413082941,https://m.media-amazon.com/images/I/71G8MAv5RWL._SY522_.jpg,Delcourt (29 mai 2024),Igor Kordey,Science-Fiction
"Capitaine Flam - L&#39Empereur Eternel / Edition spéciale, Collector",33.0,"Le Capitaine Flam, l&#39androïde Mala, le robot Crag et le professeur Simon accompagnés de l&#39agent spéciale Johann Landore, entament une course contre la montre. Sur la planète Dénef, une terrible épidémie fait des ravages dans la population. Il faut trouver le remède qui stoppera les effroyables mutations. Pour toute piste, quelques mots prononcés par un agent contaminé : ""L&#39Empereur Éternel, rétrogradation de l&#39espèce"". Le Capitaine Flam et ses compagnons parviendront-ils a? revenir sains et saufs de cette mission ? Devant aller au-delà? de ses limites pour faire face au mystérieux Empereur Eternel, Flam, hante? par son passe?, risque d&#39y perdre son a?me.",978-2505129431,https://m.media-amazon.com/images/I/01PkLIhTX3L.gif,KANA (27 septembre 2024),Runberg Sylvain,Science-Fiction
L&#39Histoire secrète T37: Atlantide,15.5,"1950. Dans un petit musée de Stalingrad, un artefact étrange, longtemps convoité par les Nazis, reprend vie. Au même moment, Reka explore les ruines de l&#39Atlantide et trouve trois crânes de cristal. La guerre avec les Brillants prend un nouveau tournant et les Archontes disposent désormais d&#39armes pouvant les détruire. C&#39était la raison du retour sur Terre de Thot. L&#39ultime combat va commencer.",978-2413042839,https://m.media-amazon.com/images/I/71eI1o2KDgL._SY522_.jpg,Delcourt (29 mai 2024),Igor Kordey,Science-Fiction
Sillage T23: Immersion,17.56,"Nävis est en mission au-delà le mur de la désolation derrière lequel Sillage n&#39a aucun pouvoir et où ses agents ne sont pas les bienvenus. Si elle y est démasquée, elle peut s&#39attendre au pire. Le voyage tourne court et, pour s&#39en sortir, elle doit s&#39associer avec une passagère à la triste réputation. Mais Nävis n&#39a que faire de ces rumeurs car elle juge les gens pour ce qu&#39ils sont.",978-2413081517,https://m.media-amazon.com/images/I/71GNNJQp1ML._SY522_.jpg,Delcourt; Illustrated édition (24 janvier 2024),Philippe Buchet,Science-Fiction
Le problème à trois corps - Tome 1: Les Frontières de la science,18.24,"Une vague de suicides inexpliqués frappe les physiciens proches des Frontières de la science, une société mystérieuse aux desseins inconnus.
Le professeur Wang Miao est chargé par les autorités d’infiltrer ce groupe. Mais d’inquiétants phénomènes ne tardent pas à se manifester.
Pour les comprendre, il va lui falloir entrer dans le jeu des Trois Corps...

L’adaptation graphique du célèbre best-seller mondial aux millions de lecteurs, Le Problème à trois corps, de Liu Cixin, supervisée par l’auteur lui-même.",978-2017885580,https://m.media-amazon.com/images/I/81RyJDqn1XL._SY522_.jpg,Hachette Heroes; Illustrated édition (20 mars 2024),Liu Cixin,Science-Fiction
