Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Horimiya T16 Edition limitée,15.3,,978-2384962587,https://m.media-amazon.com/images/I/717TKJHr-HL._SY522_.jpg,Nobi Nobi; Illustrated - Unnumbered copies édition (15 mai 2024),HERO,Shōjo
A Tender Heart T06: Comment je suis devenue la servante du Duc,7.15,"Alors qu&#39elle n&#39était qu&#39une simple lectrice, suite à un voeu, une jeune femme se retrouve transportée dans l&#39univers de l&#39un de ses romans favoris. Elle n&#39a plus qu&#39un objectif : voler au secours de son personnage préféré, Liandro, jeune duc frappé d&#39une malédiction et rejeté par sa famille. Sous les traits d&#39Evelina, sa servante et confidente, notre héroïne va tout faire pour changer à jamais l&#39histoire originale !",978-2382882856,https://m.media-amazon.com/images/I/91uJSmpE6+L._SY522_.jpg,Kbooks; Illustrated édition (15 mai 2024),Aloha,Shōjo
She Wasn&#39t a Guy T01,9.95,"Aya, une jeune lycéenne populaire, tombe sous le charme d&#39un mystérieux disquaire. Leur passion commune pour le rock les rapproche de plus en plus... Mais derrière le masque du disquaire mystérieux et charismatique se cache en réalité Mitsuki, une camarade de classe d&#39Aya, d&#39habitude très discrète.
Comment cet amour improbable va-t-il évoluer ? Aya va-t-elle accepter d&#39être tombée amoureuse... d&#39une fille ?!
Véritable phénomène sur Twitter, She Wasn&#39t a Guy est la première oeuvre de Sumiko Arai, autrice suivie par un million de followers !",978-2382817759,https://m.media-amazon.com/images/I/81MOyzxg+IL._SY522_.jpg,Mangetsu; Illustrated édition (26 juin 2024),Sumiko Arai,Shōjo
The Abandoned Empress T07,14.95,"Depuis sa naissance, Aristia a été élevée dans un seul but : devenir la compagne de l&#39empereur, l&#39aimer et l&#39assister. Mais tout s&#39effondre lorsqu&#39une jeune fille venue d&#39un autre monde apparaît et lui vole sa place. Aristia devient le souffre-douleur de l&#39empereur... jusqu&#39à être condamnée à mort. Elle se retrouve alors sept ans dans le passé ! Et si le destin lui avait donné une seconde chance ?",978-2382882986,https://m.media-amazon.com/images/I/81pljD-hDAL._SY522_.jpg,Kbooks; Illustrated édition (22 mai 2024),Ina,Shōjo
"Father, I don&#39t Want this Marriage T02",19.3,"Après sa rupture avec le seigneur Mikhail, Juvelian pensait avoir déjoué sa funeste destinée. Hélas, elle découvre avec effroi les plans de son père pour la marier ! Et il semblerait que son choix se soit porté sur le tyrannique et sanguinaire prince héritier, Maximilian...
Toujours aussi déterminée à écrire son propre destin, elle compte contrarier les plans du duc Floyen pendant que la haute société, friande de commérages, se demande qui est son amant secret.
Après tout, quoi de mieux que de s’afficher au bras d’un autre pour éviter des fiançailles ?",978-2811688851,https://m.media-amazon.com/images/I/81xJDpf3-vL._SY522_.jpg,Pika; Illustrated édition (15 mai 2024),Yuri,Shōjo
A Sign of Affection - Tome 9 (VF),19.03,"A Sign of Affection décrit avec pudeur et simplicité l&#39histoire d&#39amour entre une jeune femme sourde et un grand voyageur. À n&#39en pas douter, les personnages de ce manga ne manqueront pas de vous émouvoir !
À présent qu&#39ils ont obtenu l&#39autorisation des parents de Yuki pour vivre ensemble, le couple se lance à la recherche d&#39un logement. Alors que la fin des études d&#39Istuomi et son voyage à l&#39étranger approchent, l&#39étudiante prend conscience de la profondeur de ses sentiments pour lui. Comment va évoluer leur relation ?",978-2385313494,https://m.media-amazon.com/images/I/71d9KsxFWhL._SY522_.jpg,Akata; Illustrated édition (7 mai 2024),Suu Morishita,Shōjo
La Nouvelle Cheffe de clan - tome 1,13.61,"Une jeune femme décide de changer son destin et devient cheffe de famille.
Firentia fait partie des héritiers de la prestigieuse famille Lombardie. Après la mort de ses deux seuls soutiens, son père et son grand-père, ses cousins la persécutent et réduisent leur héritage à néant. Firentia meurt de façon tragique avant d&#39avoir pu sauver la famille de la faillite.
Mais le destin est de son côté et la jeune femme se réincarne dans son corps d&#39enfant. Firentia décide alors de changer son destin et de prendre le contrôle de la famille de Lombardie...",978-2494102361,https://m.media-amazon.com/images/I/71ghjrOl+8L._SY522_.jpg,Kotoon; Illustrated édition (16 mai 2024),Roah Kim,Shōjo
Horimiya T15,6.45,"Y aurait-il un rapprochement entre le mystérieux M. Nakamine et Yuki ?! De quoi perturber Tôru, mais aussi M. Yasuda ! La Saint-Valentin approche à grands pas, avec son lot de doutes et de questions. La bande au complet vous fera fondre dans ce tome aussi drôle qu&#39attendrissant !",978-2384960989,https://m.media-amazon.com/images/I/71-IqwyQOCL._SY522_.jpg,Nobi Nobi; Illustrated édition (20 mars 2024),HERO,Shōjo
"Sakura, Saku - Tome 6",7.1,Pensez aux autres n&#39est pas un défaut ! Surtout en amour...,978-2505126409,https://m.media-amazon.com/images/I/71tsqeedm6L._SY522_.jpg,KANA (7 juin 2024),Io Sakisaka,Shōjo
Love Mix-Up - Tome 9 (VF) Édition Collector,13.99,,978-2385690267,https://m.media-amazon.com/images/I/619B8yKVZoL._SY522_.jpg,Akata (11 juillet 2024),Wataru Hinekure,Shōjo
