Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Solo Leveling T13,14.95,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2382882559,https://m.media-amazon.com/images/I/71xz1dp2rOL._SY522_.jpg,Kbooks; Illustrated édition (29 mai 2024),DUBU(REDICE STUDIO)
Jujutsu Kaisen T25 - Édition prestige,34.9,"Un quatrième coffret prestige pour Jujutsu Kaisen !
Les éditions Ki-oon sont heureuses de vous annoncer l'arrivée d'un quatrième coffret prestige pour Jujutsu Kaisen.

Vous pourrez y trouver 2 nouvelles reliques, 2 tissus imprimés, 49 nouvelles photos, 1 porte-téléphone en acrylique ainsi qu'une jaquette alternative réversible disponible uniquement en France !

Accompagnant la sortie du tome 25 de la série, cette édition prestige offre des goodies 100 % inédits en France et made in Japan !

Il s'agit donc exactement des mêmes objets que ceux que contenait le coffret du tome 26 de Jujutsu Kaisen au Japon, la production ayant été simultanée.


Cette quatrième édition prestige sera disponible dès le 3 octobre en librairie au prix de 34,90 euros.",979-1032716281,https://m.media-amazon.com/images/I/71G+aUnQKwL._SY522_.jpg,Ki-oon (3 octobre 2024),Gege Akutami
My Hero Academia T39 - Édition collector,24.9,"Le tome 39 de My Hero Academia s'offre une édition collector !
En plus d'un exemplaire du volume 39 de la série, ce coffret contiendra : une jaquette alternative et réversible, un mini-thermos, un écusson thermocollant, une grenade anti-stress mais aussi un splendide sac banane !",979-1032716939,https://m.media-amazon.com/images/I/71eCNmYAdiL._SY522_.jpg,Ki-oon (6 juin 2024),Kohei Horikoshi
Dragon Ball - Full Color - L'enfance de Goku - Tome 01,14.95,"En 1984, commençait dans le Weekly Shonen Jump la prépublication d'une toute nouvelle série racontant les aventures d'un jeune garçon avec une queue de singe, à la poursuite des sept boules de cristal. L'univers n'avait alors pas encore réalisé que ce manga allait devenir une œuvre culte et installer les valeurs du shonen dans l'esprit des lecteurs du monde entier…
Quarante ans après, la série est toujours présente dans le cœur des fans. Et pour fêter ce bel anniversaire, vous pourrez la découvrir sous une nouvelle forme, entièrement colorisée ! De quoi compléter votre collection bien évidemment et aussi convaincre de nouveaux lecteurs d'entrer dans la confrérie !",978-2344061541,https://m.media-amazon.com/images/I/81JkZVR-x+L._SY522_.jpg,Glénat Manga; Illustrated édition (15 mai 2024),Akira Toriyama
Dragon Ball - Full Color - L'enfance de Goku - Tome 02,13.95,"Bon anniversaire !
En 1984, commençait sur le Weekly Shonen Jump la prépublication d'une toute nouvelle série racontant les aventures d'un jeune garçon avec un queue de singe, à la poursuite des sept boules de cristal. L'univers n'avait alors pas encore réalisé que cet manga allait devenir une œuvre culte et installer les valeurs du shonen dans l'esprit des lecteurs du monde entier…

Quarante ans après, la série est toujours présente dans le cœur des fans. Et pour fêter ce bel anniversaire, vous pourrez la découvrir sous une nouvelle forme, entièrement colorisée ! De quoi compléter votre collection bien évidemment et aussi convaincre de nouveaux lecteurs d'entrer dans la confrérie !",978-2344061558,https://m.media-amazon.com/images/I/81bplkTmAML._SY522_.jpg,Glénat Manga; Illustrated édition (15 mai 2024),Akira Toriyama
Solo Leveling T13 + Solo Leveling Roman T01,29.9,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2382882672,https://m.media-amazon.com/images/I/71kmSUwTHlL._SY522_.jpg,Kbooks; Illustrated édition (29 mai 2024),DUBU(REDICE STUDIO)
One Piece - Édition originale - Tome 107,12.03,"Coupable de trop en savoir sur l’Histoire, Végapunk se retrouve menacé de mort par le CP-0 ! Mais alors qu’il tente de fuir l’île avec l’aide de l’équipage de Chapeau de paille, son entité principale disparaît subitement ! Que se passe-t-il sur Egg Head ?! Les aventures de Luffy à la poursuite du One Piece continuent !",978-2344058916,https://m.media-amazon.com/images/I/91DCuAbQbhL._SY522_.jpg,Glénat Manga; Illustrated édition (3 avril 2024),Eiichiro Oda
Frieren T12 - Édition collector,8.8,"Un collector Frieren inspiré de celui réalisé pour le marché japonais !
L'édition collector du tome 12 de Frieren contient :
- une jaquette réversible alternative
- le livret Fanfare for Frieren, une nouvelle inédite inspirée de la chanson de Yoasobi en générique de début de l' animeFrieren

Que deviennent les héros une fois le mal vaincu ?

Résumé du tome 12 :
Pour faire gagner du temps à Frieren, qui doit finir d'analyser les souvenirs de Macht, Denken se charge de retenir le démon, tandis que Fern et Stark affrontent une adversaire redoutable du nom de Solitär.

Hélas, à présent que la barrière magique qui entourait Weise n'est plus, le Diagoldze se répand sur toute la région, jusqu'à figer l'elfe et ses compagnons en les transformant à leur tour en or ! Tout espoir semble perdu... mais Frieren parvient à se libérer du maléfice ! Reste à savoir si elle sera de taille pour éliminer ses ennemis...

Primé de nombreuses fois au Japon pour la beauté de son trait et la justesse de ses personnages,",979-1032718865,https://m.media-amazon.com/images/I/71A43OM6lkL._SY522_.jpg,Ki-oon; Edition spéciale (2 mai 2024),Kanehito Yamada
Spy x Family - T12,16.42,"Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !
Après le détournement des bus scolaires de l'école Éden par des terroristes, les Forger sont heureux de se retrouver en famille. L'accalmie est cependant de courte durée, Yor s'étant mis en tête de créer des problèmes dans son couple pour que celui-ci soit "" comme les autres "". Plus grave encore, un agent de Westalis s'avère être une taupe...",979-1042014025,https://m.media-amazon.com/images/I/71Y4UZ8uNgL._SY522_.jpg,Kurokawa; Illustrated édition (14 mars 2024),Tatsuya Endo
One piece - Edition originale Vol.2,6.99,"Luffy fait la connaissance de Nami, une ravissante jeune fille maîtrisant la navigation. Seulement, Nami déteste les pirates et refuse d’entrer dans son équipage. Pire, elle fait prisonnier Luffy, pour le livrer au terrible… Baggy le clown !",978-2723489898,https://m.media-amazon.com/images/I/71Hw3JAfJRL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
