Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"Le Grand Livre du DÉVELOPPEMENT PERSONNEL: | 6 LIVRES EN 1 | : Explorez Toutes les Clés du Développement Personnel, Découvrez Comment Libérer votre Potentiel et Améliorer votre Vie.",16.14,"⚠️ ATTENTION⚠️
❌Si vous recherchez un amalgame de concepts théoriques sans aucune implication pratique, ne poursuivez pas votre lecture.
✅Si, en revanche, vous recherchez un manuel contenant les stratégies les plus innovantes et les techniques pratiques de la psychologie comportementale pour le développement personnel, continuez.



★ CONTRÔLEZ VOTRE ESPRIT - CHANGEZ VOTRE VIE ★",979-8395901149,https://m.media-amazon.com/images/I/61cD7os4i6L._SY522_.jpg,Independently published (4 novembre 2023),James Path,Sociologie historique
La société de consommation,9.9,"La consommation est devenue la morale de notre monde. Elle est en train de détruire les bases de l&#39être humain, c&#39est-à-dire l&#39équilibre que la pensée européenne, depuis les Grecs, a maintenu entre les racines mythologiques et le monde du logos. L&#39auteur précise : ""Comme la société du Moyen Age s&#39équilibre sur la consommation et sur le diable, ainsi la nôtre s&#39équilibre sur la consommation et sur sa dénonciation"".",978-2070323494,https://m.media-amazon.com/images/I/91o9QS08MRL._SY522_.jpg,FOLIO ESSAIS (15 novembre 1996),Jean Baudrillard,Sociologie historique
"La Société parano: Théories du complot, menaces et incertitudes",13.19,"""Rien n’arrive par hasard"", ""Tout est lié"", ""Les choses ne sont pas ce qu’elles semblent être"" : nous voyons partout des complots - en particulier des ""mégacomplots"", dont les ambitions seraient planétaires. Ce phénomène est massif, varié, et touche à peu près tous les secteurs de la société, augmentant la confusion et l’incertitude qui caractérisent notre époque. Comment s’y retrouver ? Comment distinguer un vrai complot d’un complot fantasmé ? Que disent ceux qui y croient - les ""théoriciens du complot"" - et qu’en pensent les spécialistes ? Si l’heure est au soupçon généralisé, avons-nous de bonnes raisons d’être paranos ? Réponse dans ce livre, premier décryptage de l’une des grandes tendances de la société contemporaine.",978-2228900133,https://m.media-amazon.com/images/I/61BzKSyBMRL._SY522_.jpg,Payot; livre neuf. édition (7 octobre 2005),Veronique Campion-vincent,Sociologie historique
"LES 5 PILIERS DU DÉVELOPPEMENT PERSONNEL (3 livres en 1): Communication assertive, Langage corporel, Comment Arrêter De Trop Penser, Intelligence émotionnelle, PNL",5.57,"LES 5 PILIERS DU DÉVELOPPEMENT PERSONNEL: Un guide complet pour améliorer votre vie personnelle et professionnelle

Vous voulez vous développer personnellement et professionnellement ? Vous cherchez un guide complet pour vous aider à atteindre vos objectifs ? Ne cherchez plus ! ""LES 5 PILIERS DU DÉVELOPPEMENT PERSONNEL"" est le livre qu&#39il vous faut.
Dans ce livre de trois en un, vous découvrirez tout ce que vous devez savoir pour améliorer votre communication, votre langage corporel, cesser de trop réfléchir, développer votre intelligence émotionnelle et apprendre la programmation neuro-linguistique (PNL).",979-8378672653,https://m.media-amazon.com/images/I/61Xab3f+0JL._SY522_.jpg,Independently published (23 février 2023),Angela Rivoli,Sociologie historique
La civilisation des moeurs,10.8,"Comment se tenait-on à table au Moyen Âge ? Comment se mouchait-on à la Renaissance ? De quelle époque datent les pudeurs associées au comportement sexuel ? Norbert Elias analyse les mœurs de la civilisation occidentale et étudie leur transformation de la fin du Moyen Âge à l&#39époque contemporaine.

Des exemples amusants et inattendus, des textes peu connus et pleins de surprises émaillent ce livre savoureux. D&#39une chanson coquine à un manuel de savoir-vivre, d&#39une tirade de moraliste à un recueil de proverbes, à chaque fois brillamment commentés, Norbert Elias donne au mot "" civilisation "" un sens nouveau et original, basé sur l&#39étude concrête des mœurs. Ce livre d&#39un précurseur est devenu un classique de la réflexion sociologique.",978-2266131049,https://m.media-amazon.com/images/I/61jv5VtDQ6L._SY522_.jpg,Pocket (13 février 2003),Norbert Elias,Sociologie historique
"Le Manuel du Langage Corporel: Comment Analyser les Gens par la Communication Non Verbale dans la Vie, en Amour et au Travail",17.98,"Jouer avec une bague, se frotter le nez, jouer avec les cheveux, se gratter la nuque ou ajuster une manchette et de nombreux autres comportements similaires sont autant de signaux que nous produisons en permanence, presque entièrement automatiquement et sans aucune intention de transmettre quoi que ce soit ; en réalité, en les contextualisant au bon moment, ils ont des significations et des interprétations claires.


L&#39anthropologue Albert Mehrabian a établi que seulement 7% des informations qui nous parviennent d&#39un discours passent par les mots; le reste, qui s’identifie comme communication non verbale, se divise en: 38 % provenant du ton de la voix et 55 % provenant des signaux des mains, bras, jambes, pieds, etc.


Le",979-8430604691,https://m.media-amazon.com/images/I/61g9bPiVR-L._SY522_.jpg,Independently published (13 mars 2022),Anthony Mitchell,Sociologie historique
Le Seul et Vrai Paradis: UNE HISTOIRE DE L&#39IDEOLOGIE DU PROGRES ET DE SES CRITIQUES,13.0,"Les fractions les plus modestes des classes moyennes européennes et américaines, grâce à leur culture du sens des limites, surent un temps se prémunir contre les mirages de la surabondance illimitée. La tradition de radicalisme plébéien qui fut celle de cette petite bourgeoisie donna lieu à la seule tentative sérieuse de poser l&#39une des grandes questions politiques refoulées des XIXe et XXe siècles : l&#39abandon de ce fondement matériel de la vertu civique qu&#39était la propriété des moyens de production annonçait-il vraiment des temps meilleurs? George Orwell, Walter Benjamin ou encore Hannah Arendt ont montré qu&#39il n&#39était pas nécessaire d&#39être progressiste pour être démocrate. Christopher Lasch montre que les mouvements démocratiques des trois derniers siècles, aussi bien en Europe qu&#39outre Atlantique, se constituèrent tous en opposition à un "" mouvement de l&#39histoire "" auquel ils ne croyaient pas. "" L&#39Histoire n&#39a pas de sens unique et le progrès de la société passe parfois par le refus de certaines modernisations sociales. (...) La nostalgie politique est un désastre, mais pas la volonté de garder en mémoire certaines leçons du passé. L&#39optimisme est une sottise, mais l&#39espérance une valeur. La pensée critique a du mal à se faire entendre. En voici une voix puissamment articulée. "" Michel Schneider, Le Point.",978-2080801593,https://m.media-amazon.com/images/I/61GDD47NLoL._SY522_.jpg,FLAMMARION (1 mars 2006),Christopher Lasch,Sociologie historique
"APPRENDRE COMME EINSTEIN: Secrets et techniques pour apprendre quoi que ce soit, développer la créativité et découvrir le Génie en vous",13.99,"Albert Einstein était considéré comme un « raté » en 1895...
...Et grâce à ce livre, vous allez découvrir les mêmes stratégies qu&#39il a utilisé pour apprendre plus rapidement, mémoriser davantage et devenir un génie créatif.
Mot clé : devenir.
Vous êtes-vous déjà senti si stressé, ou simplement distrait, que vous ne pouvez même pas vous concentrer sur vos études ou votre travail ?
Dans ""Apprendre comme Einstein"", vous découvrirez comment un garçon ordinaire rejeté par l&#39université, moqué par les professeurs et les scientifiques, confiné pendant des années aux emplois de bas niveau... se soit transformé en quelques mois dans le génie fou et créatif que nous connaissons tous.",979-8652612429,https://m.media-amazon.com/images/I/71lk9Ni5ZUL._SY522_.jpg,Independently published (9 juin 2020),Robert Mercier,Sociologie historique
Effondrement: Comment les sociétés décident de leur disparition ou de leur survie,14.9,"Au rythme actuel de la croissance démographique, et particulièrement de l&#39augmentation des besoins économiques, de santé et en énergie, les sociétés contemporaines pourront-elles survivre demain ? La réponse se construit à partir d&#39un tour du monde dans l&#39espace et dans le temps - depuis les sociétés disparues du passé (les îles de Pâques, de Pitcairn et d&#39Henderson ; les Indiens mimbres et anasazis du sud-ouest des États-Unis ; les sociétés moche et inca ; les colonies vikings du Groenland) jusqu&#39aux sociétés fragilisées d&#39aujourd&#39hui (Rwanda, Haïti, Saint-Domingue, la Chine, le Montana et l&#39Australie) en passant par les sociétés qui surent, à un moment donné, enrayer leur effondrement (la Nouvelle-Guinée, Tikopia et le Japon de l&#39ère Tokugawa). De cette étude comparée, et sans pareille, Jared Diamond conclut qu&#39il n&#39existe aucun cas dans lequel l&#39effondrement d&#39une société ne serait attribuable qu&#39aux seuls dommages écologiques. Plusieurs facteurs, au nombre de cinq, entrent toujours potentiellement en jeu : des dommages environnementaux ; un changement climatique ; des voisins hostiles ; des rapports de dépendance avec des partenaires commerciaux ; les réponses apportées par une société, selon ses valeurs propres, à ces problèmes. Cette complexité des facteurs permet de croire qu&#39il n&#39y a rien d&#39inéluctable aujourd&#39hui dans la course accélérée à la dégradation globalisée de l&#39environnement.",978-2070364305,https://m.media-amazon.com/images/I/912q-s5oc-L._SY522_.jpg,FOLIO ESSAIS (26 février 2009),Jared Diamond,Sociologie historique
Introduction à la socio-histoire,11.0,"Prmière synthèse particulièrement stimulante sur cette disciple récente qui souhaite conjuger les apports de la sociologie et de la recherche historique.
La socio-histoire est un courant de recherche qui s&#39est développé depuis une quinzaine d&#39années, en combinant les principes fondateurs de l&#39histoire et de la sociologie. Ce livre retrace la genèse des relations longtemps tumultueuses entre ces deux disciplines. Il rappelle la dimension historique de l&#39œuvre des grands sociologues, d&#39Émile Durkheim à Pierre Bourdieu en passant par Max Weber et Norbert Elias, et souligne la contribution que les historiens ont apportée à la connaissance du monde social, dans le sillage des Annales. L&#39ouvrage explique ensuite en quoi consiste la démarche propre à la socio-histoire en insistant sur deux aspects essentiels : l&#39étude du passé dans le présent et l&#39analyse des relations à distance qui lient entre eux un nombre sans cesse croissant d&#39individus. Les grands problèmes actuels, comme la mondialisation du capitalisme, la bureaucratisation des États ou l&#39emprise des médias, sont placés au cœur de la réflexion. Les aspects méthodologiques sont abordés concrètement, grâce à de nombreux exemples portant sur des questions économiques, sociales, politiques et culturelles.",978-2707147233,https://m.media-amazon.com/images/I/51IXjEVgb9L._SY522_.jpg,La Découverte (26 janvier 2006),Gérard Noiriel,Sociologie historique
Livre de mes fils,11.1,"« Les peuples modernes, la France surtout, hélas ! ont aujourd’hui leurs sophistes. Ils prêchent un cosmopolitisme dissolvant qui détruirait, si l’on n’y prenait garde, et le patriotisme et la Patrie elle-même. Qu’on les écoute, et c’en est fait de nous. La décomposition intérieure ou l’invasion étrangère, l’une et l’autre peut-être, mettraient fin à notre existence nationale. La race glorieuse, dont nous serions les fils indignes, finirait dans le déshonneur. Non, non ! cela ne peut pas être ; cela ne sera pas. »
Paul Doumer, député de gauche et futur 14ème Président la République française, publie en 1906 le Livre de mes fils, ouvrage de morale pour la jeunesse. Le patriarche entend élever les cœurs et les âmes des enfants de la République, au premier rang desquels ses propres fils. Lorsqu’arrive la Grande Guerre, des fils Doumer partis défendre la France, quatre n’en reviendront pas, tombés pour la",979-1095509035,https://m.media-amazon.com/images/I/314bWZqpjqL.jpg,Contreforts (14 janvier 2016),Paul Doumer,Sociologie historique
"LE GUIDE DU LANGAGE CORPOREL: Comment analyser les autres, manier la communication non verbale et faire parler son intelligence émotionnelle",8.75,"Savez-vous que moins de 10% des informations d’un discours proviennent des mots ? Les 90% restants proviennent de la communication non verbale, autrement dit le langage corporel.

Vous vous gratter la tête quand vous réfléchissez, fermer le poing quand vous êtes énervé, toucher votre nez lorsque vous êtes stressé ou que vous mentez…
Tous ces gestes en disent long sur vous.

Vous voulez pouvoir mentir en toute sécurité ? Ne pas montrer que vous avez la pression ?
Ce livre est fait pour vous !",979-8837461873,https://m.media-amazon.com/images/I/61Qc8l5CwgL._SY522_.jpg,Independently published (23 juin 2022),Vincent Andrews,Sociologie historique
Le pain et le cirque,12.5,"« Cette folie, qui lançait les riches dans une surenchère de dons à la collectivité (chacun voulant se montrer plus magnifique que le voisin), porte un nom savant - l&#39évergétisme - et vient de trouver son historien. Paul Veyne a quelque chose de la prodigalité de ses héros, les évergètes. Il déverse sur ses lecteurs médusés les trésors de son information, les souvenirs de ses campagnes à travers l&#39érudition germanique et la sociologie anglo-saxonne, dépense en quelques pages la matière de vingt thèses et mobilise toutes les ressources d&#39un esprit follement ingénieux pour comprendre et faire comprendre ce que ces cadeaux en cascade étaient chargés d&#39entretenir. »
Mona Ozouf",978-2020254632,https://m.media-amazon.com/images/I/71HtebTPYEL._SY522_.jpg,Seuil (3 septembre 1995),Paul Veyne,Sociologie historique
