Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
La Foudre gouverne le monde: Journal hédoniste,21.9,"« Je suis toujours du côté des femmes, des homosexuels, des laïcs, des Juifs, des libres-penseurs, je n&#39ai pas changé ; je ne suis pas non plus pour le commerce des corps, la location des utérus et la vente d&#39enfants, je n&#39ai pas changé ; je suis toujours athée et j&#39estime que toutes les religions font mauvais ménage avec la démocratie et la liberté. Je n&#39ai pas changé, mais le monde a changé. (...)
Ce huitième tome du Journal hédoniste est encore et toujours la chronique d&#39un libre esprit dans un temps qui l&#39est de moins en moins, libre, parce qu&#39il s&#39effondre et que la panique saisit les rats du navire qui coule.
J&#39étais, je suis et je demeure debout sur le bateau qui coule. » Michel Onfray",978-2226490094,https://m.media-amazon.com/images/I/71mQGbZgggL._SY522_.jpg,Albin Michel (15 mai 2024),Michel Onfray,Sociologie religieuse
"Paradis perdus (La Traversée des temps, Tome 1)",9.9,"Raconter l&#39histoire de l&#39humanité sous la forme d&#39un roman : faire défiler les siècles, en embrasser les âges, en sentir les bouleversements… Depuis plus de trente ans, ce projet ambitieux occupe Éric-Emmanuel Schmitt. Accumulant connaissances et savoirs, créant des personnages forts et touchants, l’écrivain donne enfin naissance à La Traversée des temps et nous propulse de la préhistoire à nos jours, d&#39évolutions en révolutions, tandis que le passé éclaire le présent.
Paradis perdus ouvre cette aventure. Noam en est le héros, né il y a huit mille ans dans un village lacustre, au cœur d&#39une nature paradisiaque. Il affronte les drames de son clan, rencontre Noura, une femme fascinante, et se mesure à une calamité célèbre : le déluge, qui va déterminer son destin. Mais serait-il le seul à parcourir les époques ?",978-2253106746,https://m.media-amazon.com/images/I/81UIS1TFgVL._SY522_.jpg,Le Livre de Poche (31 août 2022),Éric-Emmanuel Schmitt,Sociologie religieuse
"La fabrique du crétin (vers l&#39apocalypse scolaire): "" Brighelli décrit la ""déroute&#39 du système scolaire français. "" Marianne",7.95,""" Brighelli décrit la ""déroute&#39 du système scolaire français. "" Marianne
La mort programmée de l&#39école

L&#39École de la transmission des savoirs et de la formation des citoyens est à l&#39agonie. Elle accomplit ce pour quoi on l&#39a programmée depuis cinquante ans : adaptée aux nécessités du marché, elle fabrique à la chaîne une masse de consommateurs à demi illettrés et satisfaits de l&#39être.
Soucieuse d&#39élaborer enfin l&#39égalité promise par la République en nivelant par le bas, elle a réussi à détruire ce que la France avait mis deux siècles à élaborer.
Près de vingt ans après avoir prédit sa mort programmée, Jean-Paul Brighelli revient au chevet de l&#39École et la trouve plus mal en point que jamais. Collège unique, "" pédagogisme "", méthode globale, regroupement familial, laïcité à géométrie variable... les causes sont nombreuses, et l&#39action de Pape Ndiaye n&#39empêchera pas plus la déroute que celle de Jean-Michel Blanquer.
L&#39École est au pied du mur : elle sera "" soit l&#39instrument d&#39une dissolution dans l&#39individualisme et le communautarisme, soit l&#39outil d&#39une résurrection "". Est-il trop tard pour réagir ?",979-1039203753,https://m.media-amazon.com/images/I/71EmB1hQmfL._SY522_.jpg,Archipoche (24 août 2023),Jean-Paul Brighelli,Sociologie religieuse
Etre mère,18.0,"Nous ne sommes peut-être que la moitié de l&#39humanité, mais nous l&#39avons créée tout entière.
"" Nous ne sommes peut-être que la moitié de l&#39humanité, mais nous l&#39avons créée tout entière ; donc nos peurs, nos réflexions, nos déchirures ont droit de cité au sein des livres. En nous efforçant
de faire entrer la maternité en littérature, nous lui donnons, j&#39espère, la place qu&#39elle mérite. ""
Avec leur style, leur langue, le rythme propre à chacune, sept autrices d&#39aujourd&#39hui nous plongent au coeur de la puissance et des tempêtes de la maternité.",978-2378804329,https://m.media-amazon.com/images/I/71hyrpGJX9L._SY522_.jpg,Iconoclaste (4 avril 2024),Collectif,Sociologie religieuse
Par le bout du nez: Une histoire intime des odeurs,18.5,"L’odorat est souvent perçu comme un sens mineur, qui nous ramène à une animalité oubliée.

Pourtant les odeurs sont partout, tout le temps.
Depuis notre naissance et même un peu avant, nous sentons chaque fois que nous respirons, plus de 20 000 fois par jour. Quoique largement inconscient, ce phénomène impacte toutes les strates de notre existence. Sentiment d’identité, mémoire, émotions, alimentation, sexualité, rapport à l’autre et à l’ensemble du Vivant : notre nez se mêle de tout.

Fascinée depuis toujours par cette dimension secrète et silencieuse du monde, Sarah Bouasse explore la diversité de ses enjeux dans nos vies en croisant son expérience personnelle avec son parcours de journaliste dans l’univers des odeurs, au contact de parfumeurs et de scientifiques de tous bords. Dévoilant la richesse insoupçonnée de ce qui se joue au milieu de nos figures, elle nous invite à lever le nez pour redonner à l’odorat sa juste place dans notre expérience du monde.

À la fois émouvant et instructif, ce livre intime à la portée universelle éclaire la part de l’invisible dans nos vies à tous.",978-2702191620,https://m.media-amazon.com/images/I/61YwLYESy6L._SY522_.jpg,Calmann-Lévy (2 mai 2024),Sarah Bouasse,Sociologie religieuse
"Français, ouvrez les yeux !: Une radiographie de la France par un immigré",18.0,"Driss Ghali est marocain et musulman. Il a fait ses études en France et y a commencé sa vie professionnelle. Aujourd’hui, à chaque fois qu’il revient dans l’hexagone, il est effaré et ne comprend pas ce qu’il voit. Comment le Peuple français accepte-t-il l’américanisation aussi massive de sa culture, l’ensauvagement de ses manières et une présence de l’Islam toujours plus affirmée ? Il ne s’agit pas ici d’un énième livre sur le déclin de la France, vieille névrose qui resurgit régulièrement. Non, ici l’auteur cherche à savoir comment l’abaissement du pays peut être à ce point accepté par les Français. Pourquoi reconduisent-ils scrutin après scrutin des responsables politiques qui organisent leur sortie de l’Histoire par l’immigration de peuplement et l’abdication de la souveraineté au profit de l’Union Européenne ? Pour Driss Ghali, il y a quelques explications. Elles sont douloureuses à accepter mais peut-être pourront-elles en aider certains à ouvrir enfin les yeux.

Diplômé des grandes écoles (Centrale Paris, EDHEC), Driss Ghali est spécialiste des relations internationales et intervient au Maroc, au Brésil et en France.",978-2810011469,https://m.media-amazon.com/images/I/61ehwXvKi-L._SY522_.jpg,L&#39artilleur (18 janvier 2023),Driss Ghali,Sociologie religieuse
Le Coût de la virilité,6.36,"En France, les hommes représentent 84 % des auteurs d’accidents de la route mortels, 90 % des personnes condamnées par la justice, 86 % des mis en cause pour meurtre, 97 % des auteurs de violences sexuelles, etc.
Cette liste a un coût : direct pour l’État, qui dépense chaque année des dizaines de milliards d’euros en services de police, judiciaires, médicaux et éducatifs pour y faire face ; indirect pour la société, qui doit répondre aux souffrances des victimes.
Lucile Peytavin s’interroge sur les raisons de cette surreprésentation des hommes parmi les auteurs de violences et de comportements à risque, et tente d’estimer les conséquences financières de l’ensemble de ces préjudices. Quel est le coût des conséquences de la virilité érigée en idéologie dominante ? N’aurions-nous pas tous intérêt à nous comporter… comme les femmes ?!",978-2253195702,https://m.media-amazon.com/images/I/813WqLFNplL._SY522_.jpg,Le Livre de Poche (8 mars 2023),Lucile Peytavin,Sociologie religieuse
Féminicène,11.89,"Ce livre part d’un constat simple, qui se présente comme une énigme : bien que parfaitement justifiées et nécessaires, les luttes pour l’émancipation des femmes sont pour la plupart restées sans conséquences. À l’inverse de conquêtes sociales résultant clairement de mobilisations diverses, l’évolution du statut des femmes dans la société n’a fait suite à aucune grève, aucune manifestation d’ampleur, aucun blocage. Et cependant nul ne peut nier que, même s’il leur en reste à parcourir, les femmes ont fait du chemin depuis un siècle et demi.
À la croisée de deux thématiques, le féminisme et la crise environnementale, Véra Nikolski pose l’hypothèse « matérialiste » que c’est l’enrichissement général de la société, le progrès technique et plus spécifiquement médical qui ont permis aux femmes de faire évoluer leur statut social et politique. Volontairement polémique, le titre lie donc sciemment l’amélioration du sort des femmes avec le vaste processus historique enclenché à la révolution industrielle et dont on sait aujourd’hui qu’il fait peser des risques immenses sur notre environnement. Et ce afin de mettre les femmes en garde : la déstabilisation du climat et la crise des ressources ne menacent-elles pas de fragiliser voire d’inverser le mouvement d’égalisation ? Et dans ce cas ne faudrait-il pas abandonner la logique de réclamation qui caractérise le féminisme actuel pour mener le combat sur d’autres terrains ?

Issue d’une famille de scientifiques, Véra Nikolski est normalienne, titulaire d’un DEA de sciences sociales et d’un doctorat en science politique. Mère de trois filles et ancienne pratiquante d’arts martiaux, elle travaille dans la fonction publique.",978-2213726052,https://m.media-amazon.com/images/I/61EPait8ghL._SY522_.jpg,Fayard (3 mai 2023),Véra Nikolski,Sociologie religieuse
Trahir et venger: Paradoxes des récits de transfuges de classe,19.5,"Les récits de transfuges de classe – c&#39est-à-dire des personnes ayant connu une forte mobilité sociale, souvent ascendante – se sont multipliés ces dernières années, dans des domaines divers (littéraire, sociologique, politique, médiatique) et sur des supports variés (livres, journaux, réseaux sociaux). Comment expliquer un tel succès ? C&#39est que le récit de transfuge traite aussi bien d&#39enjeux collectifs (la place des classes populaires, les injustices et les possibilités de réparations sociales) que d&#39enjeux personnels (le parcours de vie singulier, l&#39identité fractionnée, l&#39acceptation de soi), dans une perspective souvent présentée comme politique.
Peut-on à la fois trahir les siens, en changeant de classe, en adoptant d&#39autres valeurs, voire une autre identité, tout en prétendant les venger, en leur offrant un espace de représentation, en leur rendant une parole publique dont ils et elles sont privées ? Tel est le principal paradoxe du discours de transfuge qui prétend porter une parole populaire mais qui peut être accusé de la confisquer.
En adoptant les outils de l&#39analyse du discours, ce livre interroge les ambitions du récit de transfuge de classe. Est-il un contre-récit, qui s&#39oppose aux récits dominants, ou bien est-il devenu, malgré lui, un",978-2348082610,https://m.media-amazon.com/images/I/51aDvn3eMOL._SY522_.jpg,La Découverte (4 avril 2024),Laélia Véron,Sociologie religieuse
Allumeuse: Genèse d&#39un mythe,20.0,"Salomé, l’allumeuse par excellence, tant décrite et tant peinte, toujours représentée en femme lascive et cruelle, enflammant son beau-père en jouant de ses sept voiles : qui sait qu’elle n’a pas treize ans quand sa propre mère exige d’elle cette danse provocante ?
Christine van Geen déconstruit l&#39archétype de l&#39allumeuse, de l’Antiquité à l’époque contemporaine : Ève, Cassandre, Galatée, Lolita, débusquant ses avatars dans les romans de Huysmans, les chansons de variété, le rap et les controverses de l’ère #MeToo. À ces grandes figures répondent des femmes anonymes, témoignant de cette expérience banale : se voir prêter un désir de séduction qui impliquerait leur consentement.",978-2021544053,https://m.media-amazon.com/images/I/41o8NwZ19lL.jpg,SEUIL (10 mai 2024),Christine van Geen,Sociologie religieuse
