Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"Jeux Mémoire Seniors En Gros Caractères 60 Activités Pour Muscler Le Cerveau Vol.1: Pour Personnes Alzheimer (ou Atteintes de Démence, Amnésie, Parkinson) et Leurs Aidants",7.41,"Ce cahier d’activités de jeux de mémoire est conçu les personnes fragiles, atteintes de troubles cognitifs tels que Alzheimer, la démence, l’amnésie, Parkinson ou AVC.

Les exercices mémoires proposés stimuleront un large éventail de fonctions cognitives : mémoire, langage, logique, calcul, concentration…

Le niveau facile des jeux en fait aussi un cahier de jeux parfaitement adaptés aux seniors qui débutent les jeux de mémoire",979-8836751722,https://m.media-amazon.com/images/I/61IPJXU2OJL._SY522_.jpg,Independently published (18 juin 2022),MOKHAPPY,Systeme nerveux
60 EXERCICES ET JEUX ADULTES ET SENIORS: vol.1 | cahier d&#39activités seniors pour booster la mémoire et prévenir les troubles | jeux de mémoire et de logique pour adulte et senior,17.61,"Nouvelle édition 2024.

Ce livre a été réalisé avec notre équipe pluridisciplinaire dans le plus grand soin.
Il est avant tout destiné aux personnes âgées nécessitant de la stimulation cognitive par des exercices et jeux ludiques mais peut également entrer dans un programme de rééducation cognitive suite à un AVSC, un choc cérébral, traumatisme à la tête, amnésie, maladie de Parkinson et d&#39Alzheimer ou maladies dégénératives.

Destiné aux seniors et adultes, ce livre sera parfait pour entretenir votre mémoire, favoriser et développer votre concentration en sollicitant vos méninges, gage d&#39un cerveau en bonne santé en complément d&#39une bonne hygiène de vie.",979-8726764825,https://m.media-amazon.com/images/I/61pSk6EsDyL._SY522_.jpg,Independently published (22 mars 2021),Ciel Bleu,Systeme nerveux
Stimuler la circulation de la lymphe: La guérison et le renforcement grâce à l’autotraitement holistique,9.5,"Le système lymphatique - la station d’épuration de notre corps
En tant que service de ramassage des déchets de l’organisme, le système lymphatique détruit les substances nocives et inutiles telles que les agents pathogènes, les déchets métaboliques, les toxines et les débris cellulaires.
Le système lymphatique est donc une partie très importante de la
défense immunitaire et de la désintoxication du corps.

La lymphe doit rester dans le flux
Le système lymphatique doit être nettoyé et détoxifié régulièrement pour rester dans son flux naturel. Cependant, si le système lymphatique est continuellement surchargé par trop de déchets, le flux s’arrête. La lymphe ne circule plus que très lentement et difficilement, jusqu’à ce qu’une congestion lymphatique finisse par s’installer. Par conséquent, toutes les substances problématiques ne peuvent plus être éliminées, ce qui peut entraîner le développement de nombreuses maladies chroniques.",979-8393631260,https://m.media-amazon.com/images/I/61a9JuwdKBL._SY522_.jpg,Independently published (5 mai 2023),Dr. Angela Fetzner,Systeme nerveux
"50 Histoires Courtes pour Seniors: Histoires avec Questions pour Stimuler La Mémoire par la Lecture et l&#39Écriture, en Gros Caractères",9.48,"Aidez vos parents ou grands-parents à stimuler leur mémoire grâce à des petites histoires qui parlent à leurs souvenirs, leur enfance en France, leurs voyages, des étapes marquantes de leur vie…
La lecture est une activité qui présente de nombreux bienfaits pour les seniors. Beaucoup d’entre eux aiment se divertir à travers la lecture. Mais certaines personnes âgées finissent par délaisser cette activité suite à des troubles liés à la mémoire souvent accompagnés d’une baisse de la vue.
Ce livre a pour vocation de :
✧Stimuler la mémoire à court terme
✧Faciliter la lecture
✧Aider à la concentration
✧Favoriser la réminiscence de souvenirs lointains
✧Encourager la communication avec son entourage
✧Proposer une activité distrayante et stimulante",979-8358610842,https://m.media-amazon.com/images/I/61ieezTYDAL._SY522_.jpg,Independently published (18 octobre 2022),Editions Layke,Systeme nerveux
"Aphasie - 75 exercices de stimulation du langage: Jeux et Exercices de Rééducation de l&#39Aphasie suite à un AVC, un Traumatisme Crânien, une Maladie Dégénérative - Gros Caractères",13.44,"Vous recherchez un moyen efficace d&#39aider une personne souffrant d&#39aphasie à améliorer ses compétences linguistiques et communicatives ?
Notre cahier d&#39exercices est conçu spécialement pour répondre à ce besoin. Imprimé en gros caractères pour une meilleure lisibilité, cet ouvrage propose une variété d&#39exercices soigneusement sélectionnés pour stimuler la mémoire lexicale, renforcer la capacité à exprimer des idées, et améliorer la fluidité verbale.
Il est adapté aux personnes atteintes d’aphasie, que ce soit suite à un accident vasculaire cérébral (AVC) ou suite à d&#39autres troubles neurologiques (traumatisme crânien, tumeur, maladies neurodégénératives telles que la maladie",979-8873276936,https://m.media-amazon.com/images/I/615nb1a8gwL._SY522_.jpg,Independently published (29 décembre 2023),Editions Layke,Systeme nerveux
60 Pages d’Activités et Jeux Spécial Seniors: Cahier d’exercices multi-jeux en gros caractères pour seniors et personnes âgées - Stimuler la mémoire et les fonctions cognitives,13.86,"Ce cahier d&#39activités multi-jeux est idéal pour les seniors qui veulent entretenir leur mémoire et booster leurs fonctions cognitives : perception, attention, concentration, mémorisation. 🔎 Pour le confort visuel, les polices d&#39écriture sont en gros caractères et les exercices en couleurs.
✅ Un cahier recommandé pour les personnes souffrant de troubles des fonctions cognitifs comme la maladie d’Alzheimer ou la démence ou pour une rééducation de ces fonctions suite à un AVC.
✅ Un support pratique pouvant faciliter le travail de proche-aidant",979-8839396142,https://m.media-amazon.com/images/I/61U2wLNxi7L._SY522_.jpg,Independently published (3 juillet 2022),Editions Layke,Systeme nerveux
Cahier D&#39Activités Mémoire 60 Jeux Stimulants Et Amusants Adultes Tome 1: Livre Pour Seniors Cadeau Super Mamie Papy Personnes Agées Exercices Faciles Pour Stimuler Le Cerveau,5.46,"🤩 Cahier d’Activités Mémoire 60 Jeux Amusants Et Stimulants Adulte/ Séniors En Gros Caractères Tome 1 🤩
des jeux faciles parfaitement adaptés aux seniors et adultes débutant les jeux de mémoire.🎲
des jeux stimulants pour la mémoire pour garder un cerveau actif. Un large éventail de fonctions cognitives seront stimulées : mémoire, logique, calcul, concentration...🧠
des jeux relaxants pour des moments de détente pour les seniors seuls 💁
des jeux amusants et très variés ! 20 sortes différentes de jeux pour plaire à tous et éviter la monotonie des cahiers n’offrant que des grilles répétitives de mots mêlés, de sudoku etc.😉",979-8372652804,https://m.media-amazon.com/images/I/71tmXeElfnL._SY522_.jpg,Independently published (5 janvier 2023),Mokhappy,Systeme nerveux
Jeux Mémoire Seniors Vol.2 Gros Caractères 60 Activités Pour Muscler Le Cerveau: Cahier d&#39Activités Pour Malades Alzheimer Et Leurs Aidants. Exercices ... De Stimulation Cognitive De La Personnes Agée,9.01,"Ce volume 2 de JEUX MÉMOIRE SENIOR est la suite du volume 1 avec des jeux différents et nouveaux, et toujours ludiques et plein de bonne humeur !

Ce volume 2, tout comme le volume 1, est un cahier d’activités conçu pour ralentir la progression des troubles cognitifs. Les jeux de JEUX MEMOIRE SENIOR stimuleront un large éventail de fonctions cognitives : mémoire, langage, logique, calcul, concentration...

Il est conseillé pour :
Les personnes âgées souffrant de pertes de mémoire ou peu stimulées au quotidien",979-8849414744,https://m.media-amazon.com/images/I/61ITLJ3ZEjL._SY522_.jpg,Independently published (1 septembre 2022),MOKHAPPY,Systeme nerveux
75 Exercices et Jeux de Mémoire pour les Seniors: Cahier d&#39activités en gros caractères ludique et adapté pour maintenir un cerveau actif,14.42,"75 Exercices et Jeux Ludiques Adaptés aux Séniors
Ce cahier propose une grande variété d&#39exercices dédiés aux séniors qui souhaitent maintenir un cerveau actif. Son objectif principal est de stimuler la cognition à travers des activités soigneusement élaborées et des jeux qui permettent de travailler différentes facettes de la mémoire, à savoir: des jeux de mémorisation, de mémoire visuelle, de logique, d&#39observation et de réflexion.
Un moyen pratique et amusant de prendre soin de la santé mentale au quotidien !
Ce cahier est conçu de manière conviviale, avec des instructions claires pour répondre aux besoins spécifiques des personnes âgées, et peut également entrer dans un programme de rééducation cognitive suite à un AVSC, un choc cérébral, traumatisme à la tête, amnésie, maladie de Parkinson et d&#39Alzheimer ou maladies dégénératives. C’est le compagnon idéal pour améliorer leur agilité cérébrale et leur qualité de vie.",979-8867141127,https://m.media-amazon.com/images/I/71UxwAbUnYL._SY522_.jpg,Independently published (9 novembre 2023),Cogni Pass,Systeme nerveux
ALZHEIMER STADE 1 - 85 JEUX ET EXERCICES EN COULEURS INSPIRES DE LA METHODE MONTESSORI: Activités variées pour stimuler les 4 mémoires et freiner les premiers symptômes. Pour séniors.,7.93,"Vous ou l&#39un de vos proches avez récemment été confrontés au diagnostic de la maladie d&#39Alzheimer ou une maladie apparentée ?
Quels sont les outils dont nous disposons pour ralentir la progression de la maladie ?

Plusieurs études indiquent que la pratique d&#39activités intellectuelles peut aider à ralentir les symptômes.
Ce cahier d&#39exercices sera un outil précieux pour stimuler son esprit afin de freiner les premiers symptômes.
Pour éviter la monotonie et garantir une diversité d&#39activités, nous avons structuré ce cahier en une trentaine de sessions",979-8390496909,https://m.media-amazon.com/images/I/71iw016L1KL._SY522_.jpg,Independently published (24 avril 2023),Stéphane Baurand,Systeme nerveux
Alzheimer | Cahier d&#39activités: Niveau facile adapté à un stade sévère de la maladie d&#39Alzheimer | Travail sur les 4 mémoires | Exercices variés,6.83,"Vous êtes un proche ou un aidant d&#39une personne atteinte de la maladie d&#39Alzheimer ou d&#39une autre maladie apparentée? Vous cherchez des moyens efficaces pour aider la personne à maintenir ses fonctions cognitives malgré sa maladie?

Notre livre d&#39exercices est spécialement conçu pour répondre à vos besoins. Grâce à des exercices simples et pratiques, vous pourrez aider votre proche à stimuler ses fonctions cognitives pour en prévenir le déclin. Les types d&#39exercices que vous trouverez dans ce livre ont été élaborés par des spécialistes de la mémoire. Ils ont fait l&#39objet de nombreux tests et ont prouvé leur efficacité sur de larges panels de personnes atteintes de ces troubles.",979-8376656020,https://m.media-amazon.com/images/I/61ydw8OgHTL._SY522_.jpg,Independently published (19 février 2023),Bernard Gendoré,Systeme nerveux
60 Pages d’Activités et Jeux Spécial Seniors Volume 2: Jeux de Mémoire pour Seniors en Gros Caractères | Stimulation des Fonctions Cognitives de la Personne Âgée,12.28,"Découvrez notre tout nouveau cahier d&#39activités conçu spécialement pour les seniors, en complément du volume 1 du cahier ""60 Pages d’Activités et Jeux Spécial Seniors"".

Nous avons sélectionné de nouvelles activités et de nouveaux exercices pour aider les seniors à faire travailler leur mémoire au quotidien, de manière ludique. 🔎 Les exercices sont présentés en gros caractères et en couleurs pour un confort visuel optimal.
➡️ Bénéfices de ces exercices : stimuler les principales",979-8368052571,https://m.media-amazon.com/images/I/61cwJg2jdML._SY522_.jpg,Independently published (12 décembre 2022),Editions Layke,Systeme nerveux
Petit manuel pratique pour retrouver l&#39odorat et le goût: Rééduquer l&#39anosmie et l&#39agueusie,15.9,"Un manuel pratique de rééducation du goût et de l&#39odorat pour toutes les personnes qui l&#39ont perdu.

Vous avez été affecté par le Covid et avez perdu brutalement le goût et l&#39odorat ?
Ce petit guide écrit par une orthophoniste spécialisée vous aidera, grâce à ses recommandations et son protocole simples, à entraîner vos sens pour retrouver le goût et l&#39odorat.
Chapitre 1 : Ce qui s&#39est passé pour que vous ayez perdu goût et odorat
? Le goût et l&#39odorat
? Au niveau ORL",978-2807339668,https://m.media-amazon.com/images/I/71ftU5XJePL._SY522_.jpg,DE BOECK SUP; 1er édition (18 janvier 2022),Emmanuelle Albert,Systeme nerveux
The Menopause Brain: The New Science Empowering Women to Navigate Midlife with Knowledge and Confidence,14.1,"Menopause and perimenopause are still baffling to most doctors, leaving patients exasperated as they grapple with symptoms ranging from hot flashes to insomnia to brain fog. As a leading neuroscientist and women&#39s brain health specialist, Dr Mosconi unravels these mysteries by revealing how menopause doesn&#39t just impact the ovaries - it&#39s a hormonal show in which the brain takes centre stage.

The decline of the hormone estrogen during menopause influences everything from body temperature to mood to mem",978-1838957490,https://m.media-amazon.com/images/I/71rhqJ3RVPL._SY522_.jpg,Atlantic Books; Main édition (21 mars 2024),Dr. Lisa Mosconi,Systeme nerveux
Heal Your Nervous System: The 5-stage Plan to Reverse Nervous System Dysregulation,27.15,"Relieve anxiety, burnout, feelings of overwhelm, and chronic physical symptoms by healing your dysregulated nervous system with this 5-stage roadmap based on the latest science.
 
Dr. Linnea Passaler has helped thousands globally in her digital health program address a wide range of symptoms associated with nervous system dysregulation—from mental symptoms, including anxiety, burnout, and brain fog, to physical symptoms, such as digestive issues, chronic inflammation, and fatigue. In Heal Your Nervous System, Dr. Passaler presents her 5-stage plan, developed over the last decade, to equip you with the knowledge to understand and regulate your unique nervous system.
 
Despite its advances, conventional medicine has often overlooked the importance of nervous system regulation in our health and quality of life. This is especially true for highly sensitive individuals, who may be more susceptible to a dysregulated nervous system. Instead of merely treating the symptoms, Dr. Passaler shows you how to make a profound shift from reactive treatment to proactive healing.
 
Grounded in recent scientific advances in neurobiology, chronic stress, trauma, and sensitivity, this is not a short-term or one-size-fits-all solution, but a comprehensive strategy to tackle the source of your symptoms, and restore your physical, cognitive, and emotional health.
 
In",978-0760385654,https://m.media-amazon.com/images/I/81ar6FuvK8L._SY522_.jpg,Fair Winds Press; 1er édition (25 janvier 2024),Dr. Linnea Passaler,Systeme nerveux
When Breath Becomes Air: The ultimate moving life-and-death story,10.99,"**THE MILLION COPY BESTSELLER**

&#39Rattling. Heartbreaking. Beautiful.&#39 Atul Gawande, bestselling author of Being Mortal

What makes life worth living in the face of death?

At the age of thirty-six, on the verge of completing a decade&#39s training as a neurosurgeon, Paul Kalanithi was diagnosed with inoperable lung cancer. One day he was a doctor treating the dying, the next he was a patient struggling to live.

When Breath Becomes Air chronicles Kalanithi&#39s transformation from a medical student asking what makes a virtuous and meaningful life into a neurosurgeon working in the core of human identity - the brain - and finally into a patient and a new father.

Paul Kalanithi died while working on this profoundly moving book, yet his words live on as a guide to us all.",978-1784701994,https://m.media-amazon.com/images/I/91iZ2ZQduBL._SY522_.jpg,Vintage; 1er édition (5 janvier 2017),Paul Kalanithi,Systeme nerveux
Gériatrie R2C : 240 QCM d&#39entrainement pour les EDN: QCM avec réponses détaillées pour les examens des ÉPREUVES DÉMATÉRIALISÉES NATIONALES de l&#39internat de médecine,6.98,"Vous cherchez des QCM pour vos EDN en Gériatrie?

Vous êtes au bon endroit et vous allez pouvoir vous exercer grâce à ce livre proposant :
240 QCM d&#39entraînement !
Conforme à la R2C
Un format pratique et transportable
Les réponses détaillées sont fournies en fin de livre

N&#39attendez plus et préparez au mieux votre examen en commandant maintenant !

ITEM 70 (QCM 1-20) : Troubles psychiques du sujet âgé
ITEM 81 (QCM 21-40) : Altération chronique de la vision",979-8853315280,https://m.media-amazon.com/images/I/61cROKgDB4L._SY522_.jpg,Independently published (23 juillet 2023),QCM Factory,Systeme nerveux
"Track Multiple Sclerosis: A Detailed One Year Journal to Record MS Symptoms, Triggers, Medications and More.",18.2,"Keeping a record of your symptoms can be an important part of multiple sclerosis management. Whether you are newly diagnosed, or have been managing your condition for many years, this tracker will help you monitor your condition.

Monthly Symptom Calendar - Makes it easy to look for patterns and note changes over time.
Detailed Weekly Pages - Track your sleep, activity, energy, symptoms, potential triggers and more.
Medication History - Track your medications, dose changes, improvements and side effects.
Daily notes – Space for notes every day of the week

The symptoms of MS can be different for everyone, and with this in mind, there are sections within the tracker you can personalise to help keep track of what is important to you. You can also discuss with your doctor exactly what information they would like you to record.",978-1914297090,https://m.media-amazon.com/images/I/51I7hHzsGrL._SY522_.jpg,Greatwood Books (12 novembre 2021),M.G. Fields,Systeme nerveux
