Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"Manuel du LANGAGE CORPOREL: Comment analyser les gens, lire leur communication non verbale et se défendre facilement contre les techniques de manipulation",16.1,"Avez-vous déjà essayé de dire un mensonge ?


Eh bien, c’est une certitude !

Pendant que vous mentez, les mouvements de votre corps et les micro-expressions de votre visage laissent deviner ce que vous avez réellement en tête.

Mais ne vous inquiétez pas : TOUT LE MONDE fait la même chose, CHAQUE jour.",979-8477223466,https://m.media-amazon.com/images/I/61kRqCh4h9L._SY522_.jpg,Independently published (14 septembre 2021),Robert Mercier,Travail
Au coin du fjord: Les aventures d&#39une Française en Norvège,15.21,"Tout commence lorsque Lorelou, franco-québécoise, s’installe à Oslo après y avoir décroché un emploi. Ce livre pétillant et drôle raconte les facétieuses aventures de Lorelou durant sa première année en Norvège. Depuis des voyages dans le grand Nord qui la mèneront aux Lofoten et sous les aurores boréales des Samis, des aventures et mésaventures amoureuses cocasses et tendres, en passant par l’apprentissage du monde du travail norvégien et de la langue, Lorelou est déterminée à s’intégrer.

Déjà vendu à plus de 7000 exemplaires, disponible en 3 langues et best-seller en Norvège, ce récit aussi désopilant que perspicace nous amène à découvrir avec délice la Norvège encore méconnue.

Lorelou Desjardins vit en Norvège depuis 13 ans. Elle est juriste, écrivaine et journaliste. Ses textes paraissent dans la presse norvégienne ainsi que les radios et télés nationales. Elle donne des cours en entreprise pour aider les étrangers à mieux comprendre la Norvège.",978-8269285413,https://m.media-amazon.com/images/I/61Tz3nyR8JL._SY522_.jpg,North Press (19 mars 2023),Lorelou Desjardins,Travail
"LA RHÉTORIQUE – L’art du discours: Comment devenir un bon orateur, savoir parler avec éloquence et persuasion et améliorer son style grâce à une communication réussie",15.56,"Le livre sur la rhétorique !
Qui veut réussir de nos jours doit maîtriser l’art de la communication ! Seuls ceux qui sont authentiques et qui argumentent intelligemment peuvent atteindre leurs objectifs, que ce soit dans leur vie professionnelle ou privée.

Le livre RHÉTORIQUE – L’art du discours vous montre comment vous pouvez améliorer vos compétences en matière de discours et de persuasion, à l’aide de stratégies simples, afin d’obtenir ce que vous voulez dans la vie. Ce livre offre aux débutants les bases pour maîtriser l’art de la communication. Mais les experts dans ce domaine y trouveront également un aperçu du monde de la rhétorique, ce qui fait de cet ouvrage une référence pour tous.",979-8828494729,https://m.media-amazon.com/images/I/61-kY0zsRJL._SY522_.jpg,Independently published (16 mai 2022),Julius Loewenstein,Travail
C&#39est quoi demain ?: Journal d&#39une éducatrice burn-outée,14.65,"4ème de couverture
Ce livre est un concept littéraire qui mêle les genres, emmêle les mots et entremêle le temps pour démêler un burn-out pourtant bien ancré.
Plongez dans les méandres du burn-out au travers de l&#39histoire de cette éducatrice spécialisée confrontée aux tumultes de l&#39institution. Teintée de poésie incisive, retrouvez des histoires de quotidien éducatif qui cotoient la réalité professionnelle.
De regain en rechute, le temps joue sa partie.
Subir ou actionner, le jeu s’est tout permis.
Rester ou partir, comment évoluer dans une situation inextricable ?
Donner un après à un présent insoutenable, comment rebondir à sa propre chute ?",978-2959299704,https://m.media-amazon.com/images/I/61qw5EiqcnL._SY522_.jpg,Maison grendi (30 mai 2024),Ingrid Romane,Travail
PAUSE: Pour une vie alignée,19.0,"« Ce que tu vois sur Instagram est un leurre. La vraie vie, tu le sais, est bien plus complexe. Tu cherches ta voie vers l&#39épanouissement, le bonheur ?
Ce livre est fait pour toi.
Ma méthode est simple : elle s’appuie sur mon expérience et sur celle de toutes ces personnes ordinaires au destin extraordinaire avec lesquelles j’ai échangé dans le podcast PAUSE. Mon fil conducteur est clair, il tient en un mot : l’alignement. C’est la possibilité que nous avons tous de vivre en adéquation avec notre vérité, avec ce que nous pensons, ce que nous espérons, ce pour quoi nous avons envie de nous battre.
Prenons une pause ensemble. Je vais te confier ce que j’ai appris pour te permettre, à ton tour, de mieux trouver ta voie.
Tu le verras, chacune de tes failles, mais aussi chacun de tes atouts, t’aidera à tracer ton chemin pour une vie alignée... »


Entrepreneur engagé à succès en Europe et aux États-Unis, Alexandre Mars est le président et fondateur d&#39",978-2213727028,https://m.media-amazon.com/images/I/71ZmMNPGKnL._SY522_.jpg,Fayard (13 mars 2024),Alexandre Mars,Travail
Devenir badass au travail - Le guide ultime pour en finir avec le syndrome de l&#39impostrice,9.34,"Même quand elles en font deux fois plus au travail, les femmes sont deux fois moins reconnues. Pourquoi ?
Nous avons été éduquées à rester sages et à ne pas prendre trop de place, ce qui nous pénalise dans la vie professionnelle. Nous nous mettons une pression immense : nous voulons être parfaites ( syndrome de la bonne élève), être appréciées de tous ( syndrome de la miss), nous nous responsabilisons à la place des autres ( syndrome de la boule de cristal). Et surtout, nous doutons trop souvent de notre légitimité ( syndrome de l&#39impostrice).

Être BADASS, c&#39est tordre le cou à tous ces biais. Ne plus s&#39excuser ni attendre l&#39autorisation et la validation d&#39autrui, mais prendre la place que l&#39on mérite. Être un peu plus égoïste et un peu plus prétentieuse. Défendre ses intérêts, quitte à ne pas plaire à tout le monde. Assumer son ambition, poser ses limites. Préférer être estimée plutôt qu&#39aimée. Prendre la lumière, rayonner, négocier, sans honte ni culpabilité, tout en restant authentique.

Ce guide d&#39auto-coaching vous donnera des conseils et des exercices concrets pour déconstruire vos blocages, valoriser votre travail, rebooster votre ego, négocier votre salaire ou vos tarifs, réseauter de façon décomplexée, faire votre auto-promotion et votre storytelling, activer les bons leviers pour obtenir ce que vous voulez... et avoir la carrière que vous méritez vraiment.",978-2354566999,https://m.media-amazon.com/images/I/61Ew2624B0L._SY522_.jpg,Diateino (7 septembre 2023),Lucile Quillet,Travail
"Maîtrisez votre productivité: 50+ astuces simples pour organiser vos tâches, surmonter la procrastination et gagner en efficacité pour exceller dans votre travail",13.07,"Vous avez souvent l&#39impression que tout s’arrangerait si seulement une journée comptait plus de 24 heures ?

Nous vivons dans un monde effréné et stressant. Il est difficile de maintenir nos niveaux de productivité lorsque l&#39on se sent épuisé et découragé. Vous avez probablement entendu dire que tout est possible si l&#39on est bien organisé.

Cette affirmation est à la fois vraie et fausse. Organiser correctement votre temps vous aidera à devenir plus efficace au quotidien. Cependant, nous devons aussi creuser à l&#39intérieur de nous-mêmes, changer nos habitudes, comprendre pourquoi nous nous imposons tant de stress et entraîner notre cerveau à travailler plus intelligemment.",978-1958166505,https://m.media-amazon.com/images/I/61fazanEG2L._SY522_.jpg,High Performance Media (13 juin 2023),John R. Torrance,Travail
Secrets d&#39expert - E-commerce : comment convertir vos visiteurs en clients,19.9,"Si vous ne connaissez rien au marketing, lisez ce livre.
Et si vous pensez être un expert du marketing, lisez ce livre.
Un entonnoir de vente est la série d&#39étapes qui transforme le visiteur d&#39un
site e-commerce en acheteur. Dans cet ouvrage, le serial entrepreneur Russell Brunson démontre que le message du vendeur est la clé pour faire passer le prospect d&#39une étape à une autre.

Votre expertise, vos talents, votre parcours, les raisons pour lesquelles vous avez créé votre offre sont les éléments qui attirent les clients et les incitent à vous rester fidèles. Découvrez dans ce guide comment :
• transformer votre histoire en un message soigné grâce aux pouvoirs du",978-2354566364,https://m.media-amazon.com/images/I/61VDJSI-JaL._SY522_.jpg,Diateino; Illustrated édition (9 mars 2023),Russell Brunson,Travail
ChatGPT en entreprise - Le guide complet pour maximiser votre productivité,18.0,"Tu es un assistant efficace et force de proposition. Liste 10 actions que tu peux entreprendre pour me simplifier la vie au travail.
L&#39intelligence artificielle ouvre une nouvelle ère pour les entreprises. En automatisant des tâches répétitives ou chronophages, les professionnels peuvent gagner un temps précieux et se concentrer sur les missions les plus stratégiques.

Matthieu Corthésy, le formateur n°1 à ChatGPT, vous apprend dans cet ouvrage à exploiter le plein potentiel de l&#39intelligence artificielle. Pas à pas, il vous guide dans le choix des tâches à déléguer et dans la maîtrise du prompt engineering – l&#39art de donner les bonnes consignes pour obtenir un travail qualitatif. Grâce aux 200 prompts proposés, vous pourrez immédiatement passer à l&#39action et demander à ChatGPT de :
• rédiger des contenus engageants, des balises SEO, du code informatique, des scripts de podcast....
• traiter des e-mails, des données financières, des retours produits, des plaintes clients...
• analyser la concurrence, le parcours client, la performance des réseaux sociaux, l&#39expérience utilisateur...
• élaborer des plans de financement, de vente, de campagne marketing, de community management...

Libérez-vous des tâches ennuyeuses et atteignez un niveau de productivité inégalé !",978-2354567262,https://m.media-amazon.com/images/I/51vqFLnqLvL._SY522_.jpg,Diateino; Illustrated édition (9 novembre 2023),Matthieu Corthésy,Travail
"Bon manager, mode d&#39emploi - Devenez le leader dont vos équipes ont besoin",19.9,"Auriez-vous aimé vous avoir comme manager ?
Si vous n&#39êtes pas sûr de la réponse, c&#39est que vous êtes prêt à remettre en question vos pratiques. Et vous avez raison, car le métier de manager est l&#39un des plus complexes en entreprise ! En tant que garant des résultats d&#39autrui, vous devez devenir un expert du fonctionnement de l&#39esprit humain.

Pour vous y aider, le coach et formateur Clément Bergon partage dans cet ouvrage le fruit de ses recherches sur la communication et la performance. À l&#39aide de l&#39approche visuelle de Jérôme Hoarau, champion du monde de mind-mapping, il modélise la pratique managériale d&#39excellence afin de la rendre applicable par tous et dans toutes les entreprises.

Comme dans un mode d&#39emploi, vous retrouverez les outils et les étapes à suivre pour :
mieux communiquer avec vos équipes ;
mener des entretiens efficaces ;
animer des réunions constructives ;
apaiser les désaccords et les conflits ;
s&#39organiser pour réduire sa charge mentale.
Suivez le guide pour devenir le leader dont vos équipes ont besoin !",978-2354566333,https://m.media-amazon.com/images/I/615GAfI-ceL._SY522_.jpg,Diateino (12 janvier 2023),Clément Bergon,Travail
