Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Dis-lui au revoir: Un drame psychologique inspiré d&#39une histoire vraie,5.54,"""Percutant, ne prenant pas la peine de ménager son lecteur, le roman se suit presque comme un thriller sous haute tension alors qu&#39il s&#39agit avant tout d&#39un drame humain.""

Il croyait connaître son épouse. Mais comment pouvait-il soupçonner ce qu&#39elle-même ignorait ?

À la suite d&#39un accident de la route, la vie de Julie et de sa famille vole en éclats. Le choc de l&#39accident en réveille un autre, cadenassé dans les tréfonds de sa mémoire pendant plusieurs décennies. Entre oubli et vérité cachée, elle découvre qu&#39elle a sombré dans l&#39amnésie traumatique pour se préserver de l&#39innommable. Aidée de Franck, son mari, elle va remonter le fil de son passé.
Parviendront-ils à rassembler tous les morceaux du puzzle de son histoire ? Pourra-t-elle se libérer de ses démons pour, enfin, vivre ?",978-2956747017,https://m.media-amazon.com/images/I/61A0qWuL8HL._SY522_.jpg,,Jeanne Yliss,Trouble de stress post-traumatique
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",15.5,"THE INTERNATIONAL BESTSELLER - OVER 3 MILLION COPIES SOLD

&#39Dr. van der Kolk&#39s masterpiece combines the boundless curiosity of the scientist, the erudition of the scholar, and the passion of the truth teller&#39 Judith Herman, author of Trauma and Recovery

The effects of trauma can be devastating for sufferers, their families and future generations. Here one of the world&#39s experts on traumatic stress offers a bold new paradigm for treatment, moving away from standard talking and drug therapies and towards an alternative approach that heals mind, brain and body.",978-0141978611,https://m.media-amazon.com/images/I/71BCCd79xgL._SY522_.jpg,Penguin; 1er édition (24 septembre 2015),Bessel van der Kolk,Trouble de stress post-traumatique
Le corps n&#39oublie rien,19.91,"Bessel van der Kolk, psychiatre américain d&#39origine néerlandaise, spécialiste du syndrome de stress post-traumatique, professeur de psychiatrie à la Boston University, a fondé le Trauma Center de Boston.

Ce livre de référence présente pour la première fois, de façon scientifique, les conséquences des traumatismes.
Vous comprendrez enfin ce qui se passe dans le cerveau de quiconque subit des violences et pourquoi il est si difficile de les surmonter. Vous saurez ce qu&#39est ce fameux Stress Post Traumatique et quelles techniques simples, efficaces et scientifiquement prouvées, peuvent aider les victimes à guérir.

Ce livre a été traduit dans plus de 15 langues et a guidé des millions de personnes.

Traduit de l&#39anglais par Aline Weill",978-2266300728,https://m.media-amazon.com/images/I/61tm1hyuGAL._SY522_.jpg,Pocket (14 octobre 2021),Bessel A. Van der kolk,Trouble de stress post-traumatique
Nous avons tous des Parties: Un guide illustré pour la guérison des traumatismes avec la thérapie INTERNAL FAMILY SYSTEMS,8.84,"Nous avons tous des Parties est un petit guide illustré destiné aux survivants à des traumatismes et à des négligences pendant l&#39enfance, pour les aider à commencer dès maintenant à travailler sur leurs traumatismes. Il vous orientera vers votre système intérieur de sous-personnalités ou de parties, dans un langage simple et avec de nombreuses illustrations. Ce guide parle notamment de : la fenêtre de tolérance, les défenses autonomes, les flashbacks, la dissociation, la cartographie des parties, et plus encore. Conçu pour les personnes pratiquant la thérapie Internal Family Systems (IFS), la dissociation structurelle, l&#39expérience somatique, la sensori-motricité, l&#39EMDR et la thérapie de l&#39état du moi.
40 pages, couleur, beaucoup d&#39images
Psychoéducation pour les symptômes de trouble de stress post-traumatique complexe",979-8767415427,https://m.media-amazon.com/images/I/61hc316VPpL._SY522_.jpg,Independently published (9 mai 2022),Colleen West,Trouble de stress post-traumatique
"Guérir Son Corps, Soigner Son Esprit: ALIMENTATION, NUTRITION, HERBES, MÉDECINE NATURELLE ET PENSÉES POSITIVES POUR L&#39INTESTIN IRRITABLE, DÉTOX DU FOIE, HORMONES, ACNÉ, ANXIÉTÉ, DÉPRESSION ET STRESS",19.12,"Élu l’un des 43 meilleurs thérapeutes du monde, auteur de 5 best-sellers, naturopathe et psychothérapeute, le Dr Ameet vous aide à régler facilement vos problèmes de santé concernant vos intestins, votre foie, vos glandes surrénales, votre dépression, votre anxiété, votre humeur, votre poids, votre peau, vos hormones, vos inflammations ainsi que vos problèmes sexuels à l’aide de votre nutrition, d’une alimentation saine, d’une médecine naturelle, de thérapie holistiques et d’une guérison émotionnelle.
Votre santé est l’un des cadeaux les plus précieux que l’on puisse vous faire. Ce livre au pouvoir holistique intense vous permettra d’améliorer rapidement votre santé, votre bonheur et votre humeur en vous aidant à traiter l’origine des maladies de votre esprit et votre corps, lesquelles sont liées à :",979-8644439393,https://m.media-amazon.com/images/I/71JeSHlGXDL._SY522_.jpg,Independently published (9 mai 2020),Dr. Ameet Aggarwal ND,Trouble de stress post-traumatique
Le Trauma et Moi,5.52,"On nous parle beaucoup de trauma et de résilience mais les termes perdent de leur substance pour le grand public tout en privant les victimes de leur expérience singulière et de leurs ressentis personnels.
Nous allons tenter de cheminer ensemble dans cet ouvrage qui est le premier opus pour adultes de la collection des P’tits cahiers du PHARE, en utilisant la médiation artistique relationnelle ainsi que d’autres outils complémentaires.
Avec le trauma, on ne refait pas l’histoire, on tente de vivre avec elle et d’en construire la suite.
Cela va advenir avec nos mots, nos émotions, nos crayons, nos ressentis et tout cela reste un travail d’équipe, avec les textes d’Armelle (chercheuse et thérapeute spécialisée en trauma et en neurodiversité) et avec les illustrations expressives et poétiques de Cécile.
Que ce chemin, au fil des pages, vous soit le plus doux possible !",979-8324913618,https://m.media-amazon.com/images/I/61WHGQ4uJwL._SY522_.jpg,Independently published (8 mai 2024),Armelle VAUTROT,Trouble de stress post-traumatique
,10.42,,,,,,Trouble de stress post-traumatique
Heal Your Nervous System: The 5-stage Plan to Reverse Nervous System Dysregulation,27.15,"Relieve anxiety, burnout, feelings of overwhelm, and chronic physical symptoms by healing your dysregulated nervous system with this 5-stage roadmap based on the latest science.
 
Dr. Linnea Passaler has helped thousands globally in her digital health program address a wide range of symptoms associated with nervous system dysregulation—from mental symptoms, including anxiety, burnout, and brain fog, to physical symptoms, such as digestive issues, chronic inflammation, and fatigue. In Heal Your Nervous System, Dr. Passaler presents her 5-stage plan, developed over the last decade, to equip you with the knowledge to understand and regulate your unique nervous system.
 
Despite its advances, conventional medicine has often overlooked the importance of nervous system regulation in our health and quality of life. This is especially true for highly sensitive individuals, who may be more susceptible to a dysregulated nervous system. Instead of merely treating the symptoms, Dr. Passaler shows you how to make a profound shift from reactive treatment to proactive healing.
 
Grounded in recent scientific advances in neurobiology, chronic stress, trauma, and sensitivity, this is not a short-term or one-size-fits-all solution, but a comprehensive strategy to tackle the source of your symptoms, and restore your physical, cognitive, and emotional health.
 
In",978-0760385654,https://m.media-amazon.com/images/I/81ar6FuvK8L._SY522_.jpg,Fair Winds Press; 1er édition (25 janvier 2024),Dr. Linnea Passaler,Trouble de stress post-traumatique
Et j&#39ai choisi de vivre,9.49,"Ce livre est un récit, associant l&#39 histoire de son auteure et l&#39analyse de tout l&#39engrenage qui en découle, pour les enfants-victimes de viol. Il est destiné à tous ceux, qui, de près ou de loin, ont été précipité, dans l&#39horreur de la pédophilie ; victimes, anciennes victimes, enfants, adultes, famille, amis, chacun pourra y trouver des réponses, des explications sur tous ces mécanismes. Mais aussi, celles des fonctionnements qui se mettent en place, des engrenages subis, durant toute une vie parfois. Corine a sillonné une route pavée d&#39enfer, y a rencontré peu de personnes capables de tendre la main.
Elle tente tout au long de cet ouvrage par ses mots, de déposer des clés qu&#39elle a découvertes, au fil de son propre parcours qu&#39elle a dû arpenté seule. Elle ne prétend pas sauver quiconque, mais espère aider toutes les victimes à se sauver elles-mêmes.
Tout au long de son ouvrage, elle s&#39est employée à jalonner à travers son vécu, l&#39explication de l&#39irréparable, en allant replonger, dans son parcours de petite fille meurtrie et violée, avant l&#39âge de dix ans. Ce livre se veut à la fois sincère, difficile, émouvant, drôle parfois, mais surtout un chemin possible à parcourir pour chaque victime.",979-1069985117,https://m.media-amazon.com/images/I/51M+Pe0RYeL._SY522_.jpg,FNIL (10 décembre 2021),Corine AUROY,Trouble de stress post-traumatique
Les besoins fondamentaux de l’enfant: Les connaître pour prévenir les traumatismes,15.3,"La loi de 2016 sur la protection de l’enfant rend impératif de rassembler les données existantes pour construire un savoir commun concernant les besoins fondamentaux de l’enfant. D’autant plus qu&#39ils sont souvent source de controverse, et fréquemment infiltrés de principes idéologiques délétères (résidence alternée systématique, idéologies familialistes, dénis des maltraitances, mythe de l&#39enfant menteur, « Syndrome d’Aliénation Parentale »…). Le développement psychoaffectif de l&#39enfant est intimement lié à la façon dont les adultes y répondent, particulièrement en ce qui concerne les besoins d&#39attachement, de sécurité et de protection. Leur non satisfaction étant source de multiples traumatismes susceptibles d&#39induire des troubles graves dans la construction de la personnalité, il est indispensable que les institutions, les professionnels, les responsables décisionnels, les parents, puissent accéder à ces connaissances, pour mieux répondre aux besoins des enfants y compris ceux déjà traumatisés et se donnent ainsi les moyens de résister aux postures insidieuses visant à les dénier.",979-8638616199,https://m.media-amazon.com/images/I/518+9WLVJlL.jpg,Independently published (29 avril 2020),Dir. Maurice BERGER,Trouble de stress post-traumatique
