Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
GÉRER SON ANXIÉTÉ : Apprenez à Lâcher Prise grâce à la Méthode CDM: Livre Anxiété | Stress Anxiété Angoisse | Troubles Anxieux,19.01,"GÉRER SON ANXIÉTÉ : Apprenez à lâcher prise grâce à la méthode CDM

1️⃣ Éprouvez-vous fréquemment une sensation d&#39oppression due à l&#39anxiété dans votre vie quotidienne ?
2️⃣ Êtes-vous en quête d&#39un guide pratique pour vous aider à surmonter l&#39anxiété et retrouver la paix intérieure ?
3️⃣ Êtes-vous prêt à embarquer dans un voyage vers une existence plus sereine et équilibrée ?
Et si la méthode CDM se révélait être la clé pour appréhender l&#39anxiété de manière constructive et vivre pleinement en cultivant la sérénité ?
Adieu les journées entachées d&#39anxiété et les nuits agitées ! À travers ce livre perspicace, je vous présente la ""Méthode CDM"", une approche innovante basée sur trois piliers fondamentaux pour comprendre et transcender l&#39anxiété, vous permettant ainsi de la laisser derrière",979-8883824677,https://m.media-amazon.com/images/I/61lhsc2vnHL._SY522_.jpg,Independently published (31 mars 2024),Marie Russo,Troubles anxieux
GÉRER SON ANXIÉTÉ : Apprenez à Lâcher Prise grâce à la Méthode CDM: Livre Anxiété | Stress Anxiété Angoisse | Troubles Anxieux,5.22,"GÉRER SON ANXIÉTÉ : Apprenez à lâcher prise grâce à la méthode CDM

1️⃣ Éprouvez-vous fréquemment une sensation d&#39oppression due à l&#39anxiété dans votre vie quotidienne ?
2️⃣ Êtes-vous en quête d&#39un guide pratique pour vous aider à surmonter l&#39anxiété et retrouver la paix intérieure ?
3️⃣ Êtes-vous prêt à embarquer dans un voyage vers une existence plus sereine et équilibrée ?
Et si la méthode CDM se révélait être la clé pour appréhender l&#39anxiété de manière constructive et vivre pleinement en cultivant la sérénité ?
Adieu les journées entachées d&#39anxiété et les nuits agitées ! À travers ce livre perspicace, je vous présente la ""Méthode CDM"", une approche innovante basée sur trois piliers fondamentaux pour comprendre et transcender l&#39anxiété, vous permettant ainsi de la laisser derrière",979-8883824677,https://m.media-amazon.com/images/I/61lhsc2vnHL._SY522_.jpg,Independently published (31 mars 2024),Marie Russo,Troubles anxieux
Je vais aller mieux,13.52,"L’anxiété et le mal-être sont des choses qui te pourrissent la vie.
Tu imagines le pire dans chaque situation, tu ressasses le passé, tu appréhendes le futur, tu déprimes….
Bref, tu ne te sens jamais serein(e), alors que tu rêverais d’être heureux(se) comme les autres.

“Je vais aller mieux” est ton compagnon dans cette quête d’une vie meilleure. À l’intérieur, tu retrouveras:
- Des méthodes pour structurer tes pensées et tes émotions afin d’arrêter de te torturer l’esprit pour tout et rien.
-Des explications rassurantes et motivantes pour remplacer tes idées noires par des pensées plus sereines.",979-8321185742,https://m.media-amazon.com/images/I/41j8punDZrL._SY522_.jpg,Independently published (24 mars 2024),Capucine Marc,Troubles anxieux
"Aujourd&#39hui je vais mal, Demain j&#39irai mieux.",14.9,"Dans ce livre, tu trouveras des conseils pour t&#39emmener sur le chemin de la guérison émotionnelle et de l&#39apaisement face au stress.

L&#39anxiété peut rendre la vie quotidienne difficile, envahir nos pensées, et nous empêcher d&#39être au meilleur de nous-mêmes. À travers des citations développées, des exercices pratiques, et des questions de développement personnel, ce livre est fait pour être un véritable soutien si tu traverses des périodes de déprime ou d&#39anxiété.

Chaque page, t&#39offre l&#39opportunité de mieux comprendre tes pensées, tes émotions et tes réactions.

Tu peux l&#39emporter partout avec toi afin de te donner un coup de main pour gérer ton stress. Utilise-le comme un véritable guide !",979-8858130598,https://m.media-amazon.com/images/I/41lYE+uGp8L._SY522_.jpg,Independently published (19 août 2023),Victoire Charlie,Troubles anxieux
Baume au Coeur | Recueil de Récits Réconfortants pour égayer ton esprit dans les Moments de Nécessité,19.16,"Ce recueil est pour ceux et celles qui ont besoin d&#39une pause réconfortante, dans un monde parfois trop rapide.
Que vous traversiez une journée difficile ou que vous recherchiez simplement un instant de répit, ouvrez ""Baume au Coeur"" à une page au hasard et laissez-vous emporter par le message qui s&#39offre à vous comme un signe. Ce recueil devient ainsi votre refuge personnel, rappelant que la vie, malgré ses vicissitudes, est une aventure riche en enseignements.
Offrez-vous le cadeau d&#39une source de réconfort bien nécessaire et plongez dans ce trésor littéraire qui saura éclairer votre chemin, page après page.",979-8877253896,https://m.media-amazon.com/images/I/41ya2gfoO1L._SY522_.jpg,Independently published (24 janvier 2024),Une Réflexion,Troubles anxieux
Mon Journal Anti Anxiété et Anti Stress: Ton Guide Anti Anxiété Quotidien pour Calmer ton Stress et Guérir ton Anxiété – Exercices Anti Crises ... Pensées Positives et Cultiver ton Bien-Être,11.1,"Anxiété, Stress ou Crises d&#39Angoisse font parties de ta vie ?

Diverses études scientifiques ont prouvé que la pratique quotidienne du journaling (écrire dans un journal anti anxiété) diminue l’anxiété et le stress de 50% !

Incroyable non ? Mais pas seulement !


En complétant ""Mon Journal Anti Anxiété et Anti Stress"", chaque jour pendant 2 mois :

✅ Tu calmes ton anxiété jusqu’à la voir totalement disparaitre
✅ Tu dis ciao aux crises d’angoisse handicapantes et terrorisantes à vivre
✅ Tu",,https://m.media-amazon.com/images/I/51DTkrnYCuL._SY522_.jpg,Independently published (16 avril 2024),Marika Ciaoanxiete,Troubles anxieux
GÉRER SON ANXIÉTÉ : Apprenez à Lâcher Prise grâce à la Méthode CDM: Livre Anxiété | Stress Anxiété Angoisse | Troubles Anxieux,19.81,"GÉRER SON ANXIÉTÉ : Apprenez à lâcher prise grâce à la méthode CDM

1️⃣ Éprouvez-vous fréquemment une sensation d&#39oppression due à l&#39anxiété dans votre vie quotidienne ?
2️⃣ Êtes-vous en quête d&#39un guide pratique pour vous aider à surmonter l&#39anxiété et retrouver la paix intérieure ?
3️⃣ Êtes-vous prêt à embarquer dans un voyage vers une existence plus sereine et équilibrée ?
Et si la méthode CDM se révélait être la clé pour appréhender l&#39anxiété de manière constructive et vivre pleinement en cultivant la sérénité ?
Adieu les journées entachées d&#39anxiété et les nuits agitées ! À travers ce livre perspicace, je vous présente la ""Méthode CDM"", une approche innovante basée sur trois piliers fondamentaux pour comprendre et transcender l&#39anxiété, vous permettant ainsi de la laisser derrière",979-8883824677,https://m.media-amazon.com/images/I/61lhsc2vnHL._SY522_.jpg,Independently published (31 mars 2024),Marie Russo,Troubles anxieux
Demain sera meilleur,12.32,"Dans un monde fait de défis et d’incertitudes, les personnes souffrant d’anxiété peuvent avoir beaucoup de mal à trouver un peu de calme et à profiter de leur vie.

Tu ne te fais pas confiance, tu as des pensées négatives qui reviennent en boucle dans ton esprit et tu as toujours le sentiment de ne pas être et de ne pas faire assez.... Résultat: tu es épuisé.

Dans le livre ""Demain sera meilleur"", tu retrouveras:

- Des explications pour comprendre les causes de ton anxiété et de ton mal-être.
- Des méthodes pour apprendre a mieux gérer tes émotions.
- Des questions d&#39introspection afin de pouvoir te confier, et faire un véritable travail sur toi.",979-8322624004,https://m.media-amazon.com/images/I/41BDDrB90xL._SY522_.jpg,Independently published (11 avril 2024),Lucie Vie,Troubles anxieux
"CHANGER SA VIE EN 21 JOURS: La méthode pour booster votre confiance et devenir la meilleure version de vous même ! Conseils, exercices, tests, témoignages...",14.95,"Rêvez-vous d’une vie meilleure ?
Votre vie est-elle à la hauteur de vos attentes ?
Êtes-vous pleinement épanoui dans votre sphère personnelle et professionnelle ?

Vous subissez chaque jour, le cercle infernal métro-boulot-dodo, sans voir d&#39issue possible.
Vous ne vous sentez pas à votre place dans votre job et vous ressentez un mal-être général. Vous vous levez chaque matin avec la boule au ventre, mais vous ne savez pas comment réenchanter votre quotidien.

Rassurez-vous, vous n&#39êtes pas seul. Des millions de personnes sont dans votre situation.
Si vous ressentez aujourd&#39hui, ce désir profond de tout changer, c&#39est parce que",979-8708916518,https://m.media-amazon.com/images/I/71wLwfz8E4L._SY522_.jpg,Independently published (5 mai 2021),Chantal Labeste,Troubles anxieux
Résilience - Les 7 piliers de la force mentale: Gérer le stress et cultiver le bien-être émotionnel. Découvrir la sérénité et canaliser son potentiel dans sa vie personnelle et professionnelle,5.02,"Comment surmonter les défis de la vie avec résilience !
Avez-vous déjà souhaité pouvoir...
Relever les défis sans effort, comme s&#39ils n&#39étaient rien ?
Gérer tous les problèmes avec aisance et sang-froid ?
Rester impassible face à toute crise, quelle qu&#39en soit la gravité ?
Les personnes qui font preuve de résilience ne se laissent pas facilement déstabiliser.
Elles font face aux crises avec une facilité remarquable et relèvent même les défis avec enthousiasme.
En d&#39autres termes, ces personnes ont un niveau de résilience psychologique incroyablement élevé.",978-1964617015,https://m.media-amazon.com/images/I/61NsfkfbyZL._SY522_.jpg,HeartWisdom Publishing (14 mai 2024),Sophie Evrard,Troubles anxieux
