Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Dangerous Convenience Store T03,14.95,"Eui-joon travaille de nuit dans une supérette pour payer ses études et les frais d&#39hospitalisation de son frère. Dans ce quartier de gangsters, le garçon tient bon comme il peut, jusqu&#39au jour où Gunwoo pousse la porte de la boutique. L&#39homme est aussi bourru que les autres mais semble se soucier de l&#39étudiant. Résistera-t-il au charme de ce géant charismatique ?",978-2382882658,https://m.media-amazon.com/images/I/717E80upFkL._SY522_.jpg,Kbooks; Illustrated édition (22 mai 2024),945,Yaoi
Roses et Champagne T03,14.95,"A Moscou, l&#39avocat Jeong Iwon lutte dans un procès sans merci. Son seul espoir, un allié inattendu : César Alexandrovitch Sergueiev, héritier d&#39un groupe de la mafia. Entre les deux hommes, un jeu tortueux se met rapidement en place. Entre violence, complots et désir, lequel sera le premier à céder à son attirance brûlante ?",978-2382882030,https://m.media-amazon.com/images/I/81+3VCjF25L._SY522_.jpg,Kbooks; Illustrated édition (22 mai 2024),Ttung Gae,Yaoi
Crimson Spell T07 (Fin),7.99,"Vald a été scindé en deux et face aux versions céleste et démoniaque du prince, le moment est venu de passer aux aveux. Halvir devra donner de sa personne pour calmer les esprits et les corps... De son côté, Astador retrouve la totalité de ses pouvoirs et ouvre la porte des enfers, relâchant sur terre le démon. Le monde est en danger ! À l&#39issue du combat final, Vald redeviendra-t-il comme avant et parviendra-t-il à lever la malédiction pourpre de l&#39épée ? Quel sera l&#39avenir des amants Suivez la fin du périple de Vald et d&#39Halvir !!",978-2820343758,https://m.media-amazon.com/images/I/81cU8LvW7UL._SY522_.jpg,Crunchyroll; Illustrated édition (5 juin 2024),Ayano Yamane,Yaoi
Here u are T01,12.9,,978-2375064238,https://m.media-amazon.com/images/I/71evfGfqmBL._SY522_.jpg,TAIFU COMICS; Illustrated édition (31 mai 2024),DJUN,Yaoi
Zombie Hide Sex - Tome 5,9.84,"À l&#39aide de son petit ami, Chigasaki, Haruomi est parti à la recherche de son meilleur ami, Kôta, mordu et infecté, et l&#39a ramené au centre afin qu&#39il soit guéri. Après avoir reçu une injection du vaccin, Kôta semble se remettre petit à petit, mais il réagit tout de même violemment en présence de Chigasaki... Serait-ce en rapport avec le virus, ou plutôt à cause de la rancune qu&#39il ressent à l&#39idée que Chigasaki lui ait volé celui qu&#39il aimait ? Quant à Iwadate, il observe toute la situation avec attention... Ce n&#39est plus un triangle, mais un véritable carré amoureux !
Des zombies, du sang et du sexe ! Découvrez sans tarder la suite des aventures de Haruomi et de ses camarades !",978-2382762721,https://m.media-amazon.com/images/I/71pktQ0XtyL._SY522_.jpg,Boy&#39s Love; Hana Collection édition (16 mai 2024),Yuo Yodogawa,Yaoi
Mon voisin flippant est un oméga,7.48,"Kôta Enatsu, étudiant en première année d&#39université, est un alpha qui n&#39arrive pas à sentir les phéromones des omégas. Habitant en appartement, il croise souvent son effrayant voisin, Miyanaga. Avec son regard noir et ses tatouages, Kôta est persuadé qu&#39il est lui aussi alpha... jusqu&#39au jour où il tombe sur Miyanaga en pleine période de chaleurs et se rend compte qu&#39il s&#39agit en fait d&#39un oméga ! Lorsque Miyanaga lui demande de coucher avec lui, il accepte... mais par la suite, il ne peut s&#39empêcher de tomber amoureux de lui, alors que pour Miyanaga, il ne s&#39agit clairement que d&#39un plan cul !",978-2382764596,https://m.media-amazon.com/images/I/61pmNPqrAfL._SY522_.jpg,Boy&#39s Love; Hana Book édition (18 avril 2024),Inui Nikuya,Yaoi
Je te love dans les plumes T02,9.35,,978-2375063651,https://m.media-amazon.com/images/I/71mxhPDd4xL._SY522_.jpg,TAIFU COMICS; Illustrated édition (31 mai 2024),Kotetsuko YAMAMOTO,Yaoi
Dangerous Convenience Store T01,14.95,"Eui-joon travaille de nuit dans une supérette pour payer ses études et les frais d&#39hospitalisation de son frère. Dans ce quartier de gangsters, le garçon tient bon comme il peut, jusqu&#39au jour où Gunwoo pousse la porte de la boutique. L&#39homme est aussi bourru que les autres mais semble se soucier de l&#39étudiant. Résistera-t-il au charme de ce géant charismatique ?",978-2382882566,https://m.media-amazon.com/images/I/71umB30f-PL._SY522_.jpg,Kbooks; Illustrated édition (2 novembre 2023),945,Yaoi
Viewfinder T13,7.99,,978-2820348432,https://m.media-amazon.com/images/I/71p7HOIrxHL._SY522_.jpg,Crunchyroll (3 juillet 2024),Ayano Yamane,Yaoi
Barbarities T03,9.35,,978-2375063286,https://m.media-amazon.com/images/I/81GUyIDfYlL._SY522_.jpg,TAIFU COMICS; Illustrated édition (31 mai 2024),Tsuta SUZUKI,Yaoi
