Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
She Wasn&#39t a Guy T01,9.95,"Aya, une jeune lycéenne populaire, tombe sous le charme d&#39un mystérieux disquaire. Leur passion commune pour le rock les rapproche de plus en plus... Mais derrière le masque du disquaire mystérieux et charismatique se cache en réalité Mitsuki, une camarade de classe d&#39Aya, d&#39habitude très discrète.
Comment cet amour improbable va-t-il évoluer ? Aya va-t-elle accepter d&#39être tombée amoureuse... d&#39une fille ?!
Véritable phénomène sur Twitter, She Wasn&#39t a Guy est la première oeuvre de Sumiko Arai, autrice suivie par un million de followers !",978-2382817759,https://m.media-amazon.com/images/I/81MOyzxg+IL._SY522_.jpg,Mangetsu; Illustrated édition (26 juin 2024),Sumiko Arai,Yuri
Nos différences enlacées - Tome 07,6.95,"De belles histoires de romance entre jeunes femmes !

Je n&#39arrive plus à la lâcher des yeux...

J’ignore tout de son passé et elle ne veut pas m&#39en parler...
Tu sortais avec une autre fille, avant ? Et alors, qu&#39est-ce que ça peut me faire ? Je le vois bien, que tu as parfois l&#39air triste... mais je finirai par te montrer, moi, que tu n&#39es pas seule !

Tout les sépare... mais leurs sentiments seront plus forts !",978-2385030711,https://m.media-amazon.com/images/I/81hesvi-Y5L._SY522_.jpg,Meian; Meian (Collection Yuri) édition (22 mai 2024),Mikanuji,Yuri
The Moon on a Rainy Night - Tome 03,7.95,"Quand des obstacles invisibles laissent place à des sentiments inestimables…

Saki est attirée par Kanon, une camarade de classe sourde. Cette dernière se retrouve chez elle et lui parle de ses plans d&#39avenir. Elle avoue à Saki qu&#39elle aimerait habiter seule, tout en pouvant compter sur quelqu&#39un.
Après avoir exprimé ces deux pensées contradictoires, elle s&#39endort. En la regardant, Saki est animée par des sentiments qu&#39elle aimerait ne pas éprouver, mais qu&#39elle ne peut réprimer.

Un sentiment qu’elle désire garder secret, mais qu’elle ne peut réprimer...",978-2385032111,https://m.media-amazon.com/images/I/81PCF9MeKiL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (22 mai 2024),Kuzushiro,Yuri
The Moon on a Rainy Night - Tome 1,18.88,"Quand des obstacles invisibles laissent place à des sentiments inestimables...

Un soir, juste avant sa rentrée au lycée et alors qu&#39elle se rendait à son cours de piano, Saki Kindaichi bouscule une fille et s&#39écorche la main en tombant par terre. L&#39inconnue la regarde fixement sans dire un mot, ramasse soigneusement ses partitions tombées et lui donne même un pansement. Il s&#39avère que celle-ci est l&#39une de ses nouvelles camarades de classe, Kanon Oikawa, devenue sourde. Alors que Kanon prend ses distances avec les autres élèves à cause de son handicap, Saki essaie tant bien que mal de la comprendre pour l&#39approcher. Petit à petit, Kanon s&#39ouvre un peu plus à elle...",978-2385032098,https://m.media-amazon.com/images/I/81b8FuisYBL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (14 décembre 2023),Kuzushiro,Yuri
"Today, She is not here... - Tome 02",19.85,"Un double jeu dangereux.

La relation entre Yuni et Nanase est toujours secrète. Yuni aime voir Nanase s&#39entraîner de toutes ses forces, mais elle a du mal à s&#39intéresser au volley ball. Quand le sujet vient sur le tapis, la conversation devient forcée. C&#39est là que Nanase se blesse au coude et qu&#39elle va à l&#39infirmerie se faire soigner. Et qui rencontre-t-elle là-bas ? Fûko.",978-2385034238,https://m.media-amazon.com/images/I/71YnqR+ioYL._SY522_.jpg,Meian; Yuri édition (19 avril 2024),Kiyoko Iwami,Yuri
Anémone flamboyante - Tome 1,19.47,"Je veux réussir à t&#39aimer…
Je ne comprends pas ce sentiment.

Parce qu&#39elle la déteste, elle va commencer à l&#39aimer.

Ayant échoué à l&#39examen d&#39entrée du lycée qu&#39elle visait, Nagisa rejoint un lycée public. Quelle n&#39est pas sa surprise de découvrir que Mashiro, la jeune fille responsable de cet échec, compte parmi ses camarades ! Déterminée à dépasser son traumatisme, Nagisa décide de tout faire pour « aimer » Mashiro…

Un yuri sensuel dans lequel les sentiments maladroits s’entremêlent.",978-2385031213,https://m.media-amazon.com/images/I/81gvnqPBm5L._SY522_.jpg,Meian; Meian (Collection Yuri) édition (7 décembre 2023),Ren Sakuragi,Yuri
"Today, She is not here... - Tome 01",6.58,"Pour vivre heureuses, vivons cachées.

Yuni et Nanase vivent une relation secrète. Alors que Yuni comprend que sa petite amie soit accaparée par son club de volley ball, elle ne peut s&#39empêcher de se sentir frustrée de se retrouver seule après les cours.
C&#39est pourquoi elle a décidé de parler de sa relation secrète sur un compte confidentiel. Elle y partage des selfies ou sa frustration avec d&#39autres, peu importe qui ils sont, ce sont des inconnus, après tout. Elle n&#39envoie que des messages innocents.
Alors quand une camarade découvre son secret, elle ne peut plus se contenter de sortir avec Nanase. Elle se met à mener une double vie, à l&#39insu de sa copine...",978-2385034221,https://m.media-amazon.com/images/I/71RdXwnHH2L._SY522_.jpg,Meian; Yuri édition (19 avril 2024),Kiyoko Iwami,Yuri
I&#39m in Love with the Villainess - Tome 05,7.95,"Rei Ohashi est une employée de bureau surmenée qui se voit réincarnée dans son jeu de drague préféré "" Révolution "", sous le nom de l&#39héroïne Rae Taylor. Pourtant, ce ne sont pas les princes du jeu qui l&#39intéressent... mais la méchante noble Claire François !
Depuis le départ en exil de Lene pour avoir pris part au mouvement populaire, Rae essaie désespérément de remonter le moral de dame Claire. Mais un jour, la personne que Claire appelle affectueusement "" grande soeur "", c&#39est-à-dire Manaria Sousse, princesse du royaume voisin, débarque au sein de l&#39académie.
Quelle attitude va bien prendre Rae devant cette adversaire redoutable...?",978-2385034085,https://m.media-amazon.com/images/I/81ip4BFRH7L._SY522_.jpg,Meian; Yuri édition (12 juin 2024),Aono Sumio,Yuri
Anémone flamboyante - Tome 2,16.51,"Elle l&#39aime, mais n&#39en a pas conscience.
Quand la haine se transforme en amour...

La haine de Nagisa envers Mashiro s&#39est transformée en amour. Néanmoins, elle ne parvient toujours pas à croiser son regard…

Premiers émois dans le second tome de ce yuri sensuel et intense.",978-2385031220,https://m.media-amazon.com/images/I/51SGEW0Mc3L._SY445_SX342_.jpg,Meian; Meian (Collection Yuri) édition (7 décembre 2023),Ren Sakuragi,Yuri
I&#39m in Love with the Villainess - Tome 06,7.95,"Après la confrontation avec Manaria lors du rituel d&#39amour, la relation entre Claire et Rae prend une nouvelle dimension.
Pendant que les élèves de l&#39académie programment leurs vacances d&#39été, Claire décide de suivre Rae dans sa famille qui habite la ville portuaire d&#39Euclid.",978-2385034092,https://m.media-amazon.com/images/I/81NNmp-lV2L._SY522_.jpg,Meian; Yuri édition (12 juin 2024),Aono Sumio,Yuri
