Nom,Description,Photo
Noémie XUEREF,,https://m.media-amazon.com/images/S/amzn-author-media-prod/qo578lc6kr5so15abtosc33m28._SY600_.jpg
Noémie XUEREF,,https://m.media-amazon.com/images/S/amzn-author-media-prod/qo578lc6kr5so15abtosc33m28._SY600_.jpg
Danièle Festy,"Danièle Festy a longtemps été pharmacien d’officine. Elle a vendu 2 millions de livres dans le monde.
Anne Dufour est journaliste et présidente de l’Association Danièle Festy. Elle est certifiée maître-praticien avancé en aromathérapie traditionnelle, praticien en aromathérapie cosmétique et en aromacologie par la Fédération française d’aromathérapie et certifiée en aromathérapie par l’Ecole lyonnaise de plantes médicinales. Les éditions Leduc ont fait appel à elle pour cette nouvelle mise à jour, essentielle dans le cadre de cette nouvelle édition.",
Danièle Festy,"Anne Dufour, journaliste spécialisée en nutrition, est l’auteure de nombreux best-sellers sur la santé et la forme aux éditions Leduc.

Danièle Festy a longtemps été pharmacien d’officine. Spécialiste mondiale de l’aromathérapie, elle est l’auteure de nombreux best-sellers dont Ma Bible des huiles essentielles vendue à plus de 1,5 million d’exemplaires et devenue le livre de référence absolue sur l’aromathérapie. Elle a vendu 2 millions de livres dans le monde.",https://m.media-amazon.com/images/I/81TGxPI60lL._SY600_.jpg
Morgane Peyrot,Morgane Peyrot est passionnée d'entomologie. Elle oeuvre pour la protection des espaces naturels et organise des formations pour découvrir le monde des insectes et des plantes sauvages comestibles.,https://m.media-amazon.com/images/S/amzn-author-media-prod/6bs2kjs1uofkkvn3vs8tk2d5l._SY600_.jpg
Anne-Laure Jaffrelo,"(www.aroma-massage.fr) naturopathe aromatologue (Ecole Usha Veda, Clinical aromatherapy de la Price academy en cours) et formatrice : ateliers pour tout public, formations professionnelles et formations en milieu hospitaliers. Elle est l’auteur chez Alternatives de L'aromathérapie des petits : huiles essentielles, huiles végétales et hydrolats pour les enfants de 3 mois à 10 ans (2015) et de 25 huiles essentielles pour (presque) tout faire : plus de 80 recettes santé, bien-être, équilibre émotionnel (2014) ainsi que chez Rustica de Naturopathie : 70 fiches pour me guider toute l'année (2019).",https://m.media-amazon.com/images/I/51zYuQEofLL._SY600_.jpg
Noémie XUEREF,,https://m.media-amazon.com/images/S/amzn-author-media-prod/qo578lc6kr5so15abtosc33m28._SY600_.jpg
Dr D MUL,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Françoise Dr Couic Marinier,"Docteur en pharmacie et enseignante en université. Françoise Couic a cofondé le Diplôme Universitaire d’aromathérapie clinique en France (Strasbourg) et forme chaque année plusieurs centaines de professionnels de santé et hospitaliers, contribuant au développement de l’aromathérapie à l’hôpital. Reconnue internationalement, elle reste au plus près des besoins des patients grâce son activité de pharmacien d’officine et à ses ouvrages grand public.",
Matthew Wood,"Né aux États-Unis, Matthew Wood est herbaliste depuis 1981 ; il est l'auteur de plus de dix livres à ce sujet. Cet enseignant de réputation mondiale a donné des cours en Australie, en Turquie, au Mexique, au Canada et en Israël, entre autres. Il a obtenu un Master en médecine herbaliste.",
Éric Lorrain,"Le Figaro Magazine - ‘ En raison de son efficacité et de sa bonne tolérance, la phytothérapie médicale est, selon lui, une aide précieuse pour garder et restaurer la forme pendant cette saison à risque’.
Dr Good ! - ""Cette thérapie, basée sur l’utilisation des plantes ou de leurs extraits, peut aider à calmer les angoisses. Le Dr Éric Lorrain, médecin généraliste et phytothérapeute*, précise ses bienfaits et la manière d’agir en fonction de la source de notre stress"".
Prima - ""un ouvrage très complet"".
femmeactuelle.fr "" Merci au Dr Eric Lorrain, spécialiste en phytothérapie et en pharmacologie, (..), un ouvrage très complet """,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Bosson Lydia,"Lydia Bosson, auteure et enseignante en aromathérapie et en ayurvéda, a fondé avec son mari l’école holistique suisse Usha Véda. Depuis plus de 20 ans, elle partage et transmet ses connaissances afin de créer des ponts entre la compréhension intellectuelle et énergétique, entre les connaissances contemporaines et le savoir ancestral des thérapies naturelles. Elle est l’auteur de plusieurs ouvrages de référence : « L’aromathérapie énergétique », « Grandir avec les huiles essentielles » et « L’ayurvéda, métamorphoser sa vie » aux Editions Amyris.",https://m.media-amazon.com/images/S/amzn-author-media-prod/mvno51lhphoc2kpmtn49cl7mlf._SY600_.jpg
Aude Maillard,"Fruit de l'expertise réunie d'Aroma-Zone et d'Aude Maillard, ce livre illustré très complet vous permettra de connaître et d'utiliser en toute sécurité huiles essentielles et extraits naturels. Vous y découvrirez des fiches pratiques détaillées sur chaque extrait de plante, de nombreux conseils d'utilisation, des formules d'aromathérapie simples et faciles pour vous soigner et rester en bonne santé, ainsi que des recettes de beauté 100 % naturelles. Véritable guide pratique, cet ouvrage vous accompagnera au quotidien et vous apportera toutes les clés pour prendre soin de votre santé, de votre beauté et de votre bien-être au naturel.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
