Nom,Description,Photo
Le Prince desETF,,
Nicolas DECAUDAIN,,
Jason Zweig,"Un grand classique, annoté et commenté, de l'expérience boursière de Graham
Benjamin Graham, le plus grand financier du XXème siècle, a inspiré nombre d'investisseurs individuels et professionnels. Sa stratégie - l'investissement dans la valeur - permet de bâtir des stratégies de long terme et d'éviter des erreurs coûteuses. Ce livre est une bible depuis sa première édition en 1949.
Année après année, les soubresauts des marchés financiers ont démontré la sagesse et la pertinence des stratégies d'investissement de Graham. Tout en préservant l'intégralité du texte original, cette édition révisée inclut des commentaires du journaliste financier Jason Zweig, mettant en perspective le texte avec l'actualité financière et des annotations de Didier Coutton, professeur de finance, pour éclairer le lecteur sur la façon d'appliquer les principes de Graham.
Ouvrage vital et indispensable, L'Investisseur Intelligent est le livre qui restera dans la mémoire des lecteurs et les accompagnera pour atteindre leurs objectifs financiers.
""Exprime pleinement les principes de base de l'approche de l'investissement de Graham tant prisée et qui marche si bien."" - Money
Plus d'un million d'exemplaires vendus dans le monde",
Daniel VU,,https://m.media-amazon.com/images/S/amzn-author-media-prod/h40c7554p3u16vhjqnca42iplg._SY600_.jpg
Julien Delagrandanne,,https://m.media-amazon.com/images/S/amzn-author-media-prod/9mm9dsoelmf0enoc0oqma5fic9._SY600_.jpg
Robert T. Kiyosaki,"Robert Kiyosaki a remis en question et changé la perception que des dizaines de millions d'individus partout dans le monde ont de l'argent. Avec des opinions qui vont souvent à l'encontre de la sagesse traditionnelle, Robert s'est forgé une réputation pour son franc-parler, son irrévérence et son courage. Il est considéré à l'échelle planétaire comme un défenseur passionné de l'éducation financière.",https://m.media-amazon.com/images/I/31H4fUBky1L._SY600_.jpg
Pierre Vernimmen,"Pascal Quiry: Professeur au Groupe HEC, titulaire de la chaire BNP Paribas, investisseur et administrateur de sociétés
Yann Le Fur: Banquier d'affaires à Natixis CIB America, business angel
Pierre Vernimmen: Pierre Vernimmen était Professeur à HEC et directeur du département conseil de la banque de finance Paribas",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Editions Compta Pro,,https://m.media-amazon.com/images/S/amzn-author-media-prod/8gsvtl559pbrrmbovhh90gnhrp._SY600_.jpg
John Bax,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u37m9hsc21d66g9bcp51ncp16k._SY600_.jpg
Stéphane LALUT,,https://m.media-amazon.com/images/S/amzn-author-media-prod/vtrekmlhu5cueaddcrcs3r863c._SY600_.jpg
Arnaud Thauvron,"Docteur en sciences de gestion, spécialisé en finance, Arnaud Thauvron est maître de conférences à l’université Paris-Est Créteil, au sein de l’Institut d’administration des entreprises (IAE Paris-Est, ex-Gustave Eiffel). Il y est responsable du master Gestion de patrimoine. Son domaine de spécialité est l’évaluation d’entreprise, thème sur lequel il a publié un ouvrage : Évaluation d’entreprise (5e éd., Economica, 2020).",
Mawa McQueen,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oas60n914d2sn9al211aekupsa._SY600_.jpg
Francesco Pastrone,,
Joël B.,,https://m.media-amazon.com/images/S/amzn-author-media-prod/1hcudh09f53ker2m465obi8es6._SY600_.jpg
Heikin Ashi Trader,"Heikin Ashi Trader est le pseudonyme d’un trader ayant plus de 15 ans d’expérience dans le Day Trading sur les Futures et le marché des changes. Il se spécialise dans le Scalping et le Day Trading rapide. Il a également publié de nombreux livres éducatifs sur ses activités de trading. Les sujets les plus populaires sont : le Scalping, le Swing Trading, la gestion de l’argent et des risques.",
Heikin Ashi Trader,"Heikin Ashi Trader est le pseudonyme d’un trader ayant plus de 15 ans d’expérience dans le Day Trading sur les Futures et le marché des changes. Il se spécialise dans le Scalping et le Day Trading rapide. Il a également publié de nombreux livres éducatifs sur ses activités de trading. Les sujets les plus populaires sont : le Scalping, le Swing Trading, la gestion de l’argent et des risques.",
Gerard Shaw,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Raphaël CARTENI,,https://m.media-amazon.com/images/S/amzn-author-media-prod/kq4pqvgfkha0137kcrl4h0fmv7._SY600_.jpg
David Heimbacher,,https://m.media-amazon.com/images/S/amzn-author-media-prod/h0r77te5gjmbl1ef8imfqkvd43._SY600_.jpg
Mark Douglas,"Même les traders les plus intelligents, les plus motivés et qui dominent leur sujet peuvent être paralysés par des pensées contre-productives qui les incitent à prendre de mauvaises décisions et à commettre des erreurs de trading. Ils souffrent de leur incapacité à rester objectivement concentrés ou bien ils manquent de la confiance nécessaire pour exécuter leurs opérations correctement. Ou encore, ils tolèrent que des contradictions profondément enracinées et des idées erronées sur le trading ou la nature du marché influencent la sélection de leurs actions.
Aux yeux de Mark Douglas, la clé de la réussite réside dans l'optimisation de l'état d'esprit du trader. Non pas dans l'analyse du marché exhaustive ou dans le tout dernier ""système"" à la mode. Il apprend au trader à penser en termes de probabilités et à adopter les certitudes fondamentales nécessaires pour acquérir une ""mentalité de gagnant"". Les traders qui sont dans ""la zone"" n'ont pas besoin de savoir - et ils s'en moquent - ce que le marché va faire par la suite. Eux savent ce qu'ils vont faire. Et c'est ce qui fait toute la différence.",https://m.media-amazon.com/images/S/amzn-author-media-prod/dj823eeiooh01ug57ln6cue8e6._SY600_.jpg
Christopher B,,
Vincent Launay,,https://m.media-amazon.com/images/S/amzn-author-media-prod/huf5m79s2dknq48dfhumelbcoh._SY600_.jpg
Allison Jungling,""" Allison nous livre en 216 pages et 68 chapitres, agrémentés de QR-codes, une leçon de vie efficace pour acquérir la liberté financière (...) grâce à l'immobilier"" Kisscitymag.com",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tarik Hamiche,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Heikin Ashi Trader,"Heikin Ashi Trader est le pseudonyme d’un trader ayant plus de 15 ans d’expérience dans le Day Trading sur les Futures et le marché des changes. Il se spécialise dans le Scalping et le Day Trading rapide. Il a également publié de nombreux livres éducatifs sur ses activités de trading. Les sujets les plus populaires sont : le Scalping, le Swing Trading, la gestion de l’argent et des risques.",
Heikin Ashi Trader,"Heikin Ashi Trader est le pseudonyme d’un trader ayant plus de 15 ans d’expérience dans le Day Trading sur les Futures et le marché des changes. Il se spécialise dans le Scalping et le Day Trading rapide. Il a également publié de nombreux livres éducatifs sur ses activités de trading. Les sujets les plus populaires sont : le Scalping, le Swing Trading, la gestion de l’argent et des risques.",
Hamza Merabet,,
Karen Peloille,Karen Peloille est analyste technique et formatrice Ichimoku. Elle est également trader pour son compte propre depuis plusieurs années.,
Anne DELABY,,https://m.media-amazon.com/images/S/amzn-author-media-prod/mqgv49cfmo91ulqmko76n61f3d._SY600_.jpg
Gerard Shaw,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aldo Sterone,,https://m.media-amazon.com/images/I/71VfJKVcBNL._SY600_.jpg
Anne DELABY,,https://m.media-amazon.com/images/S/amzn-author-media-prod/mqgv49cfmo91ulqmko76n61f3d._SY600_.jpg
Heikin Ashi Trader,"Heikin Ashi Trader est le pseudonyme d’un trader ayant plus de 15 ans d’expérience dans le Day Trading sur les Futures et le marché des changes. Il se spécialise dans le Scalping et le Day Trading rapide. Il a également publié de nombreux livres éducatifs sur ses activités de trading. Les sujets les plus populaires sont : le Scalping, le Swing Trading, la gestion de l’argent et des risques.",
Heikin Ashi Trader,"Heikin Ashi Trader est le pseudonyme d’un trader ayant plus de 15 ans d’expérience dans le Day Trading sur les Futures et le marché des changes. Il se spécialise dans le Scalping et le Day Trading rapide. Il a également publié de nombreux livres éducatifs sur ses activités de trading. Les sujets les plus populaires sont : le Scalping, le Swing Trading, la gestion de l’argent et des risques.",
Julien Delagrandanne,,https://m.media-amazon.com/images/S/amzn-author-media-prod/9mm9dsoelmf0enoc0oqma5fic9._SY600_.jpg
Julien Delagrandanne,,https://m.media-amazon.com/images/S/amzn-author-media-prod/9mm9dsoelmf0enoc0oqma5fic9._SY600_.jpg
Charles Serfaty,"Né en 1992, ancien élève de l'École Normale Supérieure de la rue d'Ulm, diplômé de l'ENSAE, docteur (Phd) en économie du MIT (Massachusetts Institute of Technology), Charles Serfaty est économiste à la Banque de France et enseigne à l'École d'économie de Paris. Histoire économique de la France est son premier livre.",
