Nom,Description,Photo
Olivier Lafay,,
DIDIER REISS,"Pascal PRÉVOST est docteur en neurophysiologie et biomécanique de la performance motrice. Il a été parmi les premiers diplômés en 1992 en France en préparation physique (Master 2 créé par Georges Cazorla). Sur le terrain depuis plus de 30 ans, il partage son temps entre formation, préparation physique et conférences, en France et à l'international, dans les secteurs public, privé et universitaire. • Son objectif : lutter contre les idées reçues en sport, santé, nutrition et proposer des méthodes ou outils efficients pour optimiser le suivi de tout•e pratiquant•e. • Sa motivation première : respecter l'intégrité physique, neurophysiologique et cognitive de la personne dans tous ses accompagnements individualisés. • Sa quête : faire évoluer les pratiques en proposant (souvent) des méthodes et outils avant-gardistes, la plupart du temps confirmés plusieurs années après leur utilisation sur le terrain par les sportif(ve)s les plus curieux(euses).

Didier REISS est diplômé d'État et ingénieur dans le domaine de l'entraînement. Pratiquant actif de sports de combat dès l'âge de 14 ans, ceinture noire et compétiteur de niveau national, l'encadrement a pris le pas sur sa pratique. De l'empirisme à la connaissance scientifique, se former est devenu une priorité. Formateur international dans plusieurs diplômes et intervenant universitaire (DEUST et MASTER 2), il évolue toujours dans la préparation physique de haut niveau ainsi qu'auprès de personnalités. Il possède également ses propres écoles de formation en collaboration avec Pascal Prévost. Chroniqueur ponctuel pour des magazines et coauteur d'ouvrages, il est un véritable passionné de la préparation physique.",
OLIVIER LAFAY,"Philosophe de formation, Olivier Lafay a été enseignant, chef d'entreprise et responsable de la salle de musculation de l'Université Lyon III où il a côtoyé de nombreux sportifs. Constatant que les résultats dépendaient souvent moins des techniques employées que de questions motivationnelles, il a approfondi ses études en sciences humaines (psychologie, sociologie) afin de comprendre ce qui pouvait fonder un entraînement réussi.",https://m.media-amazon.com/images/I/713cXupAYAL._SY600_.jpg
Frédéric Delavier,"Collaborateur de journaux de sport et de musculation en France, États-Unis et Allemagne (en 2007)",
Frédéric Delavier,"Frédéric Delavier est un artiste de talent possédant une connaissance exceptionnelle de l'anatomie humaine. Il a étudié la morphologie et l'anatomie pendant cinq ans à l'Ecole des Beaux-Arts de Paris et la dissection pendant trois ans à la Faculté de Médecine de Paris. Ancien rédacteur en chef du magazine PowerMag, Frédéric Delavier a écrit pour plusieurs publications sur le conditionnement physique, comme Le Monde du Muscle, Men's Health en Allemagne, et Iron Man. Il est l'auteur de best-sellers, dont Le Guide des mouvements de musculation, Exercices pour une belle ligne et La Méthode Delavier de musculation, volumes 1, 2 et 3. Frédéric Delavier a remporté le titre de champion de France de powerlifting en 1988 ; il donne des conférences dans le monde entier concernant les applications sportives de la biomécanique. Ses efforts d'enseignement lui ont valu le Grand Prix de Techniques et de Pédagogie Sportive. Michael Gundill a écrit de nombreux livres sur la force, la musculation, la nutrition sportive et la santé. Il est notamment le coauteur de La Méthode Delavier de musculation, volumes 1, 2 et 3. Ses livres ont été traduits dans de nombreuses langues, et il a écrit plus de 500 articles de musculation et de fitness pour des magazines tels que Iron Man et Dirty Dieting. En 1998, il a remporté le prix de l'article de l'année lors du quatrième Academy of Bodybuilding Fitness & Sports Awards en Californie. Michael Gundill a commencé la musculation en 1983 afin d'améliorer ses performances en aviron. La plupart de ses années de musculation ont été consacrées à l'établissement de programmes spécifiques de musculation à domicile. Pour gagner en muscle et pour améliorer ses programmes, il a commencé à étudier la physiologie, l'anatomie et la biomécanique grâce à la lecture des périodiques médicaux spécialisés. Depuis 1995, il partage ses découvertes dans divers magazines de musculation et de conditionnement physique dans le monde entier.",
DELAVIER FREDERIC/GUNDILL MICHAEL,"Frédéric Delavier est l'auteur du best-seller international Guide des mouvements de musculation (paru aux Etats-Unis sous le titre Strength Training Anatomy), le livre de musculation numéro 1 au monde, vendu à plus de 2 millions d'exemplaires et traduit dans plus de 25 langues. Un livre qui s'est rapidement imposé comme la référence dans les universités et les écoles de formation pour coachs sportifs, entraîneurs, kinésithérapeutes,... Cet ouvrage dévoile enfin La Méthode D'entraînement Delavier, la plus efficace pour gagner rapidement en force, puissance et masse musculaire.",
Christophe Geoffroy,Kinésithérapeute dans le sport de haut niveau Chargé d'enseignement universitaire Spécialisé en formation et conseils,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Collectif,,
Aide BPJEPS Officiel,,
FitForce Publishing,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Frédéric Delavier,"Collaborateur de journaux de sport et de musculation en France, États-Unis et Allemagne (en 2007)",
Marie-Caroline Savelieff,"Diététicienne nutritionniste diplômée d'Etat et spécialisée en nutrition du sportif, Marie-Caroline Savelieff accompagne les sportifs débutants et confirmées qui souhaitent réaliser l'objectif de leurs rêves (remise en forme, marathon, raid, trails, triathlon, ironman,...). Elle-même sportive de haut-niveau, elle participe aux championnats de France de 10 km, semi-marathon, course en montagne et crosscountry, pratique le trail court et long, le VTT et le duathlon. Elle habite à Montrouge (92). Préface de Christelle du Daunnay, une sportive de haut niveau. Actuelle recordwoman de France du Marathon à Paris, du semimarathon à Reims, du 10000 mètres à Bilbao, multiple Championne de France d'athlétisme sur 10 000m et cross-country, championne d'Europe du marathon en 2014 à Zurich, 9 participations aux Championnats du Monde cross-country, semi-marathon, marathon. Elle a participé aux Jeux Olympiques de Pékin (2008) et de Rio (2016).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Frédéric Delavier,,
