Nom,Description,Photo
Jason Zweig,"Un grand classique, annoté et commenté, de l'expérience boursière de Graham
Benjamin Graham, le plus grand financier du XXème siècle, a inspiré nombre d'investisseurs individuels et professionnels. Sa stratégie - l'investissement dans la valeur - permet de bâtir des stratégies de long terme et d'éviter des erreurs coûteuses. Ce livre est une bible depuis sa première édition en 1949.
Année après année, les soubresauts des marchés financiers ont démontré la sagesse et la pertinence des stratégies d'investissement de Graham. Tout en préservant l'intégralité du texte original, cette édition révisée inclut des commentaires du journaliste financier Jason Zweig, mettant en perspective le texte avec l'actualité financière et des annotations de Didier Coutton, professeur de finance, pour éclairer le lecteur sur la façon d'appliquer les principes de Graham.
Ouvrage vital et indispensable, L'Investisseur Intelligent est le livre qui restera dans la mémoire des lecteurs et les accompagnera pour atteindre leurs objectifs financiers.
""Exprime pleinement les principes de base de l'approche de l'investissement de Graham tant prisée et qui marche si bien."" - Money
Plus d'un million d'exemplaires vendus dans le monde",
Mark Douglas,"Même les traders les plus intelligents, les plus motivés et qui dominent leur sujet peuvent être paralysés par des pensées contre-productives qui les incitent à prendre de mauvaises décisions et à commettre des erreurs de trading. Ils souffrent de leur incapacité à rester objectivement concentrés ou bien ils manquent de la confiance nécessaire pour exécuter leurs opérations correctement. Ou encore, ils tolèrent que des contradictions profondément enracinées et des idées erronées sur le trading ou la nature du marché influencent la sélection de leurs actions.
Aux yeux de Mark Douglas, la clé de la réussite réside dans l'optimisation de l'état d'esprit du trader. Non pas dans l'analyse du marché exhaustive ou dans le tout dernier ""système"" à la mode. Il apprend au trader à penser en termes de probabilités et à adopter les certitudes fondamentales nécessaires pour acquérir une ""mentalité de gagnant"". Les traders qui sont dans ""la zone"" n'ont pas besoin de savoir - et ils s'en moquent - ce que le marché va faire par la suite. Eux savent ce qu'ils vont faire. Et c'est ce qui fait toute la différence.",https://m.media-amazon.com/images/S/amzn-author-media-prod/dj823eeiooh01ug57ln6cue8e6._SY600_.jpg
Benoist Rousseau,"Benoist Rousseau is a historian, blogger and french independent trader. After being a teacher for 10 years, he resigned to become self-employed trader and opened Andlil.com website where he shares his visions on trading, his economic analyses and his thoughts on the evolution of society. Andlil.com forum, which has more than a million posts, lets traders, both amateur and professional, exchange ideas about their passion in a respectful environment",https://m.media-amazon.com/images/S/amzn-author-media-prod/o83c5bdbtlj3hh828f9s5vv10i._SY600_.jpg
Chris Miller,,
Christophe Nijdam,"Christophe Nijdam a été banquier aux États-Unis dans les années quatre-vingt, analyste financier pendant la crise des subprimes et dirigeant d'une ONG européenne dont la mission est de remettre la finance au service de la société. Également impliqué dans le monde universitaire, il a enseigné à Sciences Po pendant dix-huit ans. Il est l'auteur de Calculatrix : 85 astuces pour jongler de tête avec les chiffres.",https://m.media-amazon.com/images/S/amzn-author-media-prod/tnt9lka1sb8dt66f5jeh9omhu1._SY600_.jpg
Thami Kabbaj,"En 10 leçons très illustrées, Thami Kabbaj donne les principes clés de l'analyse technique, et met ainsi à portée de tous les secrets de cette technique ancestrale d'analyse des cours.
De l'étude des différentes figures à leur interprétation pour bâtir une stratégie de trading, Thami Kabbaj apporte toute son expérience de professionnel pour vous permettre d'anticiper efficacement l'évolution des marchés, et de générer des gains explosifs.
Leçon n°1 : Faites comme les pros : utilisez l'analyse technique
Leçon n°2 : Apprenez à lire un graphique boursier
Leçon n°3 : Positionnez-vous avant tout dans le sens de la tendance dominante
Leçon n°4 : Optimisez votre timing avec l'analyse graphique
Leçon n°5 : Apprenez à décrypter la rythmique des indicateurs techniques
Leçon n°6 : Anticipez les retournements majeurs comme un gourou
Leçon n°7 : Misez sur les probabilités : privilégiez les signaux convergents
Leçon n°8 : Les techniques avancées
Leçon n°9 : La gestion du risque est la clé de la survie !
Leçon n°10 : Variez la taille de vos positions pour réaliser des gains spectaculaires !",https://m.media-amazon.com/images/S/amzn-author-media-prod/lh0gdh1nuc14h90k10i3sfo817._SY600_.jpg
Gérard Horny,"Gérard Horny, journaliste spécialisé, a effectué l'essentiel de sa carrière à l'hebdomadaire financier Investir, où il a été successivement rédacteur au service Economie, chef de service, rédacteur en chef adjoint et rédacteur en chef.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
John C. Bogle,"Présentation des astuces pour avoir un portefeuille d'actions et en tirer profit.
""Un fonds indiciel à bas coût est le placement en actions le plus raisonnable pour la grande majorité des investisseurs. Mon mentor, Ben Graham, a choisi cette position il a déjà plusieurs années de cela et tout ce que j'ai vu depuis m'a convaincu de cette vérité. Dans ce livre, John Bogie vous explique pourquoi.""
Warren E. Buffett, président de Berkshire Hathaway
""L'ouvrage de John Bogie apporte une précieuse contribution aux investisseurs. Le danger pour ces derniers est de croire en toutes sortes d'absurdités. Ceux qui combattent ces absurdités sont particulièrement utiles lorsque, comme Bogie, ils ne baissent jamais les bras face à la sottise.""
Charles T. Munger, Vice-président de Berkshire Hathaway
""Que vous en soyez conscient ou pas, Wall Street veut vous voler votre avenir. Si vous voulez l'arrêter, laissez tout tomber, lisez ce merveilleux petit livre et faites-en votre référence ; vos enfants et vos petits-enfants vous remercieront.""
William Bernstein, Conseiller en investissement et auteur de
The Four Pillars of lnvesting",
John J. Murphy,"L'analyse technique des marchés financiers présente et met à jour les connaissances contenues dans le classique de Murphy Technical Analysis of the Futures Markets.
Complété de 400 graphiques qui clarifient tous les points abordés, le livre couvre :
Les fondements de l'analyse graphique et de la construction de graphiques
Tout ce que vous devez savoir sur les tendances et les pierres d'angle de l'analyse technique
Les configurations de prix, y compris les principales configurations de renversement et de continuation
Les différentes méthodes d'analyse moyennes mobiles, oscillateurs, opinion contraire et autres
Les cycles temporels, les relations inter-marchés, le money management, et les tactiques de trading.
Tant les débutants que les traders expérimentés trouveront une mine d'informations utiles dans ce guide faisant autorité et néanmoins accessible au plus grand nombre.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gérard Horny,"Gérard Horny, journaliste spécialisé, a effectué l'essentiel de sa carrière à l'hebdomadaire financier Investir, où il a été successivement rédacteur au service Economie, chef de service, rédacteur en chef adjoint et rédacteur en chef.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mario Trapp,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tbjqrrlf6bd2uht0tq09tqutl7._SY600_.jpg
Gérard Horny,"Gérard Horny, journaliste spécialisé, a effectué l'essentiel de sa carrière à l'hebdomadaire financier Investir, où il a été successivement rédacteur au service Economie, chef de service, rédacteur en chef adjoint et rédacteur en chef.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
