Nom,Description,Photo
Matthieu Lartot,"Matthieu Lartot est journaliste sportif. Il est notamment le commentateur des matchs du XV de France, et présentateur de Stade 2.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anaïs Maquiné Denecker,"Anais Maquiné est journaliste et productrice et vit entre Los Angeles et Paris. Elle a été rédactrice en chef des émissions E=M6, confessions intimes, 10H le mag, MIAM et de nombreux primes unitaires pour TF1 et M6. Elle a aussi créé, écrit et produit plusieurs concepts audiovisuels pour M6: les chefs contre-attaquent et l'histoire au quotidien. Travaillant entre les USA et la France, elle a récemment collaboré à la réalisation de l'émission Love trip Paris"" pour Fox Entertainment diffusé sur Disney + et Hulu./ Voix off de nombreux programmes tv, elle est aussi auteure. Son dernier roman ""la clé"" paru aux éditions des falaises a reçu le prix coup de cœur polar des libraires 2020.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Edward Bernays,"Edward Bernays (1891-1995), neveu de Sigmund Freud émigré aux États-Unis, fut l'un des pères fondateurs des "" relations publiques "". Conseiller pour de grandes compagnies américaines, Bernays a mis au point les techniques publicitaires modernes. Au début des années 1950, il orchestra des campagnes de déstabilisation politique en Amérique latine, qui accompagnèrent notamment le renversement du gouvernement du Guatemala, main dans la main avec la CIA.


Normand Baillargeon, philosophe libertaire, professeur à l'Université du Québec à Montréal, est notamment l'auteur d'un Petit cours d'autodéfense intellectuelle paru chez Lux en 2007.",
Stefan Merckelbach,"Stefan Merckelbach est philosophe manager et ""source"" de l'entreprise Ordinata en Suisse. Peter John Koenig est le père des ""principes source"" et postfacier de ce livre. Vincent Delfosse est biologiste d'entreprise chez Ordinata et ""source"" des illustrations.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Adeline Toniutti,"Adeline Toniutti est chanteuse et pédagogue de renom, entourée de médecins spécialistes, elle anime des colloques internationaux pour faire avancer l'expertise sur la voix. Femme de télévision et artiste engagée, parmi ses combats, elle lutte tout particulièrement contre les violences conjugales.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Bruno Hourcade,"Diplômé d'une école de commerce, originaire du Sud-Ouest, Bruno Hourcade a raflé, à 29 ans, tous les records des jeux télés.

Cyrille Legendre, journaliste et écrivain, auteur de plusieurs romans policiers publiés au Masque, est lui aussi l'un des grands champions des "" 12 Coups de Midi "".",
FABIEN B,,
Ethan Mollick,"Extrait
INTRODUCTION: Three Sleepless Nights

I believe the cost of getting to know AI—really getting to know AI—is at least three sleepless nights.

After a few hours of using generative AI systems, there will come a moment when you realize that Large Language Models (LLMs), the new form of AI that powers services like ChatGPT, don’t act like you expect a computer to act. Instead, they act more like a person. It dawns on you that you are interacting with something new, something alien, and that things are about to change. You stay up, equal parts excited and nervous, wondering: What will my job be like? What job will my kids be able to do? Is this thing thinking? You go back to your computer in the middle of the night and make seemingly impossible requests, only to see the AI fulfill them. You realize the world has changed in fundamental ways and that nobody can really tell you what the future will look like.

Though I am not a computer scientist, I am an academic studying innovation who has long been involved in work on the applications of AI, especially for learning. Over the years, AI has promised much more than it has delivered. For decades, AI research has always seemed to be on the edge of a massive breakthrough, but most practical uses, from self-driving cars to personalized tutoring, always advanced grindingly slowly. During this time, I kept experimenting with AI tools, including OpenAI’s GPT models, figuring out ways to incorporate them into my work, and assigning my students to use AI in class. So my sleepless nights came early, just after the release of ChatGPT in November 2022.

After only a couple of hours, it was clear that something huge had shifted between previous iterations of GPT and this new one. Four days after the AI was launched, I decided to demonstrate this new tool to my undergraduate entrepreneurship class. Barely anyone had heard of it. In front of my students, I put on a show, demonstrating how AI can help generate ideas, write business plans, turn those business plans into poems (not that there is a lot of demand for that), and generally fill the role of company cofounder. By the end of the class, one of my students, Kirill Naumov, had created a working demo for his entrepreneurship project—a Harry Potter–inspired moving picture frame that reacted to people walking near it—using a code library he had never used before, in less than half the time it would otherwise have taken. He had venture capital scouts reaching out to him by the end of the next day.

Within two days of introducing students to AI, several told me they used ChatGPT to explain confusing concepts to them “like they were ten years old.” They stopped raising their hands as much—why expose themselves in class when they could just ask the AI later? And every essay was suddenly written with perfect grammar (though references were often wrong and the final paragraph tended to start with “In conclusion”—a telltale sign of early ChatGPT writing, since fixed). But the students weren’t just excited, they were nervous. They wanted to know the future.

Some of them asked me what it means for their preferred careers (“Should I become a radiologist if AI can do a lot of the work?” “Will writing marketing copy still be a good job five years from now?”). Others asked when this technological development would stop, or if it would stop. Someone even asked if Artificial General Intelligence (AGI), the hypothetical machine that would be smarter than a human, might arrive before graduation.

I didn’t have any answers then (though I have a few more now), yet I recognized that I wasn’t immune to these changes. So I decided to get hands- on and put the AI through its paces. Much of my work over the past five years has been building simulations that teach business skills. It has taken tremendous investment from my university, and the efforts of a dozen talented people, to build these elaborate digital experiences. After thousands of hours, the games were great: using thousands of lines of code, we could do elaborate learning simulations that helped teach skills like negotiation.

But I decided to type something into ChatGPT: You will be my negotiation teacher. You will simulate a detailed scenario in which I have to engage in a negotiation. You will fill the role of one party, I will fill the role of the other. You will ask for my response in each step of the scenario and wait until you receive it. After getting my response, you will give me details of what the other party does and says. You will grade my response and give me detailed feedback about what to do better using the science of negotiation. You will give me a harder scenario if I do well, and an easier one if I fail.

ChatGPT wrote back: Sure, I’d be happy to help you practice negotiations through a simulation exercise! Let’s start with a simple scenario. You are a salesperson trying to sell 100 pens to a customer. The pens are usually $1, but the customer is trying to negotiate the price down. The customer starts by offering to buy the pens for $0.50 each. How do you respond?

And it proceeded to take me through an entire simulation that, while not perfect, did 80 percent of what took our team months to do. Based on just a paragraph-long prompt from me!

My sleepless nights began.

And to be honest, they haven’t ended. Every week, it seems like AI serves up a new miracle—or a new concerning development. I soon found myself arguing with a chatbot that accused me of being unethical when I asked it to help me write computer code. I discovered that I could create beautiful images by giving the right words to a machine. I could code in Python, a language I never learned. I discovered that a machine could do large amounts of my job . . . and maybe lots of other people’s jobs. I discovered something remarkably close to an alien cointelligence, one that can interact well with humans, without being human or, indeed, sentient. I think we will all have our three sleepless nights soon.

And sleep-deprived as I now am, I keep going back to my students’ questions: What does this technology mean for the future of work and education? Things are happening so quickly that it is hard to be sure, but we can begin to see its outlines. AI is what those of us who study technology call a General Purpose Technology (ironically, also abbreviated GPT). These advances are once- in- a- generation technologies, like steam power or the internet, that touch every industry and every aspect of life. And, in some ways, generative AI might even be bigger... Where previous technological revolutions often targeted more mechanical and repetitive work, AI works, in many ways, as a co- intelligence. It augments, or potentially replaces, human thinking to dramatic results.... And all of this ignores the larger issue, the alien in the room. We have created something that has convinced many smart people that it is, in some way, the spark of a new form of intelligence. An AI that has blown through both the Turing Test (Can a computer fool a human into thinking it is human?) and the Lovelace Test (Can a computer fool a human on creative tasks?) within a month of its invention, an AI that aces our hardest exams, from the bar exam to the neurosurgery qualifying test. An AI that maxes out our best measures for human creativity and our best tests for sentience. Even weirder, it is not entirely clear why the AI can do all these things, even though we built the system and understand how it technically works.

No one really knows where this is all heading, including me. Yet, despite not having definitive answers, I think I can be a useful guide. I have found myself to be an influential voice on the implications of AI, particularly through my newsletter, One Useful Thing, even though I am not a computer scientist myself. Indeed, I think that one of my advantages in understanding AI is that, as a professor at Wharton, I have long studied and written about how technologies are used. As a result, my coauthors and I have published some of the first research on AI in education and in business, and we have been experimenting with practical uses of AI in ways that major AI companies have cited as examples. I regularly speak with organizations, companies, and government agencies, as well as with many AI experts, to understand the world we are making. I also attempt to keep up with the flood of research in the field, much of it in the form of scientific working papers that have not yet gone through the long process of peer review but still offer valuable data about this new phenomenon (I will be citing a lot of this early work in the book to help fill in the picture of where we are headed, but it is important to realize that the field is evolving rapidly). Based on all these conversations and papers, I can assure you that there is nobody who has the complete picture of what AI means, and even the people making and using these systems do not understand their full implications.

So I want to try to take you on a tour of AI as a new thing in the world, a co-intelligence, with all the ambiguity that the term implies. We have invented technologies, from axes to helicopters, that boost our physical capabilities; and others, like spreadsheets, that automate complex tasks; but we have never built a generally applicable technology that can boost our intelligence. Now humans have access to a tool that can emulate how we think and write, acting as a co-intelligence to improve (or replace) our work. But many of the companies developing AI are going further, hoping to create a sentient machine, a truly new form of co- intelligence that would coexist with us on Earth. To get a handle on what this means, we need to start from the beginning, with a very basic question: What is AI?

So we are going to start there, discussing the technology of Large Language Models. That will give us a basis for thinking about how we, as humans, can best work with these systems. After that, we can dive into how AI can change our lives by acting as a coworker, a teacher, an expert, and even a companion. Finally, we can turn to what this might mean for us, and what it means to think together with an alien mind.
Revue de presse
""[Co-Intelligence] is a solid explainer. Convincing…a blueprint…smart and well informed…""
— The Wall Street Journal

""Generative AI has an oracle, and his name is Ethan Mollick. Lucky you: our oracle has written a lucid, succinct, and eminently practical guide to navigating the revolution that is right now unfolding at an astonishing pace. Co-Intelligence is the very best book I know about the ins, outs, and ethics of generative AI. Drop everything and read it cover to cover NOW."" 
— Angela Duckworth, New York Times bestselling author of Grit 

""Ethan Mollick has been a leader with the hands-on exploration of AI's evolving capabilities. In Co-Intelligence, he masterfully navigates the landscape of AI advancements with insightful and informative commmentary, presented with remarkable clarity and precision. This book is an invaluable resource, offering a comprehensive gide to current trends and future expectations in AI. I wholeheartedly recommend it to anyone looking to deepen their understanding of this rapidly evolving technology.""
— Eric Horvitz, Chief Scientific Officer, Microsoft

“In today’s cacophony of ‘AI hot takes’, Mollick has distinguished himself as the leading voice of reason on the implications of AI for work and education.  Anyone seeking a basis of practical knowledge to understand the coming massive changes should read this insightful book right now."" 
— Reid Hoffman, Co-Founder of LinkedIn and Inflection AI 

""Co-Intelligence brilliantly captures the essence of our evolving relationship with AI. With lucid explanations and useful examples, Mollick shows how we can enlist this technology's astonishing power to build a more intelligent and humane future.""
— Daniel H. Pink, New York Times bestselling author of The Power of Regret, Drive, and A Whole New Mind

“Embark on a transformative journey with Co-Intelligence, Ethan Mollick’s page-turning must-read for those at the helm. Mollick’s work will help CEOs and leaders harness AI’s enormous potential as a catalyst for elevating the capabilities of any team and any organization. Brilliant, authoritative, and educational.” 
— Jim M. Citrin, Leader, Spencer Stuart CEO & Board Practice, author of You’re in Charge, Now What? and The 5 Patterns of Extraordinary Careers
En lire plus",https://m.media-amazon.com/images/I/A16iIkVR+ML._SY600_.jpg
Philippe Meyer,"Sociologue et essayiste, journaliste culturel, animateur de télévision, chroniqueur matutinal, portraitiste politique, producteur de radio, auteur de livres de reportages, de one-man-show, créateur de podcasts, Philippe Meyer est l'auteur de nombreux best-sellers, dont Dans mon pays lui-même... (Flammarion), Pointes sèches (Le Seuil) et Paris la Grande (Flammarion).",
Vincent Lagaf,"Né en 1959, Vincent Lagaf' est un humoriste, acteur, chanteur, imitateur, comédien et animateur de télévision. Je m'appelais Franck est son premier livre et a paru aux éditions XO en 2023.

Retrouvez toute l'actualité de l'auteur sur :
www.instagram.com/vincelagaf/
www.tiktok.com/@vincent_lagaf
www.facebook.com/VincentLagafOfficiel/",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
