Nom,Description,Photo
Alexandra Monot,"Alexandra Monot est professeure agrégée et docteur en géographie à l'université de Strasbourg. Elle dirige la collection Amphi Capes Agrégation Géographie et les manuels de géographie publiés en partenariat avec l'APHG.

 Frank Paris est professeur agrégé en géographie et enseigne en classes préparatoires. Il travaille sur la notion d’habiter et sur les îles tropicales.


Matthieu Schorung est docteur en géographie et aménagement, chercheur post-doctorant au sein de la Chaire Logistics City, laboratoire SPLOTT à l’université Gustave Eiffel.


Paul-André Havé est agrégé d'histoire-géographie. Après des études d'histoire à Strasbourg, il enseigne l'histoire -géographie en lycée.


Clémence Cattaneo, ancienne élève de l'ENS et professeure de chaire supérieure en géographie, enseigne la géopolitique en CPGE économiques et commerciales au lycée Thiers à Marseille depuis dix ans.",
Christian Grataloup,Christian Grataloup est géohistorien. Professeur émérite à l'université Paris Diderot. Il a publié de nombreux ouvrages et dirige la collection d'atlas historiques aux éditions Les Arènes.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Laurent BIHL,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Frank Paris," Frank Paris est professeur agrégé en géographie et enseigne en classes préparatoires. Il travaille sur la notion d’habiter et sur les îles tropicales.


Marie Crépin-Leblond et professeure d'histoire-géographie.


Alexandra Monot est professeure agrégée et docteur en géographie à l'université de Strasbourg. Elle dirige la collection Amphi Capes Agrégation Géographie et les manuels de géographie publiés en partenariat avec l'APHG.",
111 FunFacts,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hee1tslcti9j7bvbqe8gcmvq2a._SY600_.jpg
David Blanchon,"David Blanchon est géographe. Il enseigne à l'université Paris-Ouest Nanterre après avoir passé deux ans au sein de l'IRL iGlobes (CNRS-université d'Arizona) à Tucson, Arizona. Aurélie Boissière est cartographe indépendante.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
,,
Stéphane Rican,,
,,
Frank Paris," Frank Paris est professeur agrégé en géographie et enseigne en classes préparatoires. Il travaille sur la notion d’habiter et sur les îles tropicales.


Laurent Courdrier est agrégé de géographie, professeur en classes préparatoires au lycée Gambetta-Carnot à Arras et chargé de cours aux universités de Lille et de Valenciennes.",
Arlette Bravo-Prudent,"Arlette Bravo-Prudent, originaire de la Martinique, participa très tôt au mouvement des jeunes contre les injustices et les discriminations. Elle choisit Paris pour ses études universitaires où elle fréquenta le Cercle Frant Fanon des intellectuels. Lors de séjours en Angleterre, elle se prit d'intérêt pour la Caraïbe anglophone. En 1983, de retour au pays, elle créa le ""Carribean Contact"" et mit la culture anglophone au coeur de son enseignement. Puis elle intégra les collectivités territoriales, participa à la création de l'Association des Etats de la Caraïbe et multiplia les rencontres à la découverte de l'archipel Enseignante et chercheuse, elle a soutenu en 2003 un doctorat sur la civilisation caribéenne anglophone (Paris Sorbonne). Elle travaille actuellement à l'organisation d'une coopération régionale et internationale de la santé.",
Jean-René Genty,"Jean-René Genty, haut fonctionnaire, travaille sur l'histoire des différentes immigrations dans la région du Nord. Il a notamment publié aux éditions de l'Harmattan trois ouvrages : L'immigration algérienne dans le Nord-Pas-de-Calais, 1909-1962, en 1999 ; dans la collection CREAC-Histoire, Des Algériens dans la région du Nord. De la catastrophe de Courrières à l'indépendance, en 2005 et Les nationalistes algériens dans le département du Nord (1947-1957). Fidaou al Djazaïr, en 2008.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Collectif,"Le Collectif : Pierre Alary, Jean-Baptiste, Andreae, Virginie Augustin, Dimitri Avramoglou, Dominique Bertail, Frédéric Bézian, Jim Bishop, Bluebirdy, Matthieu Bonhomme, Didier Cassegrain, Francesco Cattani, Christophe Chabouté, Yannick Corboz, Édouard Cour, Manuele Fior, Nicolas Gaignard, Bertrand Gatignol, Armel Gaulme, Benoît Hamet, Grazia La Padula, Stéphane Levallois, Liberatore, Julien Loïs, Milo Manara, Laureline Mattiussi, Rita Mercedes, Merwan, Mezzo, Thimothée Montaigne, Marino Neri, Sylvain Repos, Lionel Richerand, Valentin Sécher, Benoît Springer, Tommy Gun Morretti, Ronan Toulhoat, Alberto Varanda, Gaspard Yvan.",
Pierre Blanc,,
