Nom,Description,Photo
Friedrich A. Hayek,"Friedrich A. Hayek (1899-1992) a été professeur à la London School of Economics de l'université de Cambridge, aux universités de Londres, Salzbourg et de Fribourg. Il a reçu le Prix Nobel de sciences économiques en 1974.",
Stéphane LALUT,,https://m.media-amazon.com/images/S/amzn-author-media-prod/vtrekmlhu5cueaddcrcs3r863c._SY600_.jpg
Daniel Cohen,"Daniel Cohen, Directeur du département d'économie de l'École Normale Supérieure et membre fondateur de l'Ecole d'Economie de Paris, a publié de nombreux livres à succès dont, entre autres, La prospérité du vice et Homo economicus, prophète (égaré) des temps nouveaux. Il a également reçu le Prix du livre d'économie en 2000 et 2012.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Charles Serfaty,"Né en 1992, ancien élève de l'École Normale Supérieure de la rue d'Ulm, diplômé de l'ENSAE, docteur (Phd) en économie du MIT (Massachusetts Institute of Technology), Charles Serfaty est économiste à la Banque de France et enseigne à l'École d'économie de Paris. Histoire économique de la France est son premier livre.",
Michael Goodwin,,
,,
Collectif,,
Félix Torres,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ray Dalio,"From the international bestselling author of Principles and legendary investor Ray Dalio, who has spent half a century studying global markets, The Changing World Order examines history’s most turbulent economic and political periods to reveal why the times ahead will likely be radically different from those we’ve experienced in our lifetimes.

A few years ago, renowned investor Ray Dalio began noticing a confluence of political and economic conditions he hadn’t encountered before in his fifty-year career. They included large debts and zero or near-zero interest rates in the world’s three major reserve currencies; significant wealth, political and values divisions within countries; and emerging conflict between a rising world power (China) and the existing one (US).

Seeking to explain the cause-effect relationships behind these conditions, he began a study of analogous historical times and discovered that such combinations of conditions were characteristic of periods of transition, such as the years between 1930 and 1945, in which wealth and power shifted in ways that reshaped the world order. Looking back across five hundred years of history and nine major empires - including the Dutch, the British and the American - The Changing World Order puts into perspective the cycles and forces that have driven the successes and failures of all the world’s major countries throughout history.

Dalioreveals the timeless and universal dynamics that were behind these shifts, while also offering practical principles for policymakers, business leaders, investors and others operating in this environment.",https://m.media-amazon.com/images/S/amzn-author-media-prod/fp68pggfjoku3k5iq1ndhm39hg._SY600_.jpg
Franklin M. Fisher,,
Jean Baudrillard,"La consommation est devenue la morale de notre monde. Elle est en train de détruire les bases de l'être humain, c'est-à-dire l'équilibre que la pensée européenne, depuis les Grecs, a maintenu entre les racines mythologiques et le monde du logos.L'auteur précise : ""Comme la société du Moyen Âge s'équilibre sur la consommation et sur le diable, ainsi la nôtre s'équilibre sur la consommation et sur sa dénonciation.""",https://m.media-amazon.com/images/I/61u5hFI35pL._SY600_.jpg
Cristina Alaimo,"Cristina Alaimo is Assistant Professor (Research) of Digital Economy and Society at LUISS University, Rome.

Jannis Kallinikos is Full Professor of Organization Studies and the CISCO Chair in Digital Transformation and Data Driven Innovation at LUISS University, Rome.",
David Graeber,"Un essai essentiel et foisonnant qui, remettant en perspective l’histoire de la dette depuis 5 000 ans, renverse magistralement les théories admises. Il démontre en particulier que l’endettement a toujours été une construction sociale fondatrice du pouvoir. Aujourd’hui encore, les économistes entretiennent une vieille illusion : celle que l’opprobre est forcément à jeter sur les débiteurs, jamais sur les créanciers. Et si l’unique moyen d'éviter l’explosion sociale était justement… d’effacer les dettes?",
