Nom,Description,Photo
Collectif,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j75f5asf0ir4jlof2m5fnui6j8._SY600_.jpg
Renaud Camus,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5b7biqv80913laigj1f49q00nm._SY600_.jpg
Paul Harmann,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ttj7tg97268vjqb3h6hdpg7lv4._SY600_.jpg
Arthur Rimbaud,Arthur Rimbaud (1854-1891) Dossier pédagogique d'Elsa Rouvière.,
Fanny Vella,"En 2017, Fanny Vella met de côté sa carrière dans l’accompagnement d’enfants porteurs de handicap pour devenir maman et lancer sa carrière d’illustratrice. Suite à l’engouement que ses dessins suscitent sur les réseaux, elle en profite pour sensibiliser sa communauté avec humour et bienveillance aux thématiques qui lui tiennent à coeur (violences éducatives et conjugales, sexisme ordinaire), et contribuer à faire bouger les lignes. Aux éditions Leduc, elle est déjà l’auteure de On l’appelait Vermicelle. Retrouvez aussi son univers sur @fannyvella.",
Ilan Pappe,"'A major intervention in an argument that will, and must, continue. There's no hope of lasting Middle East peace while the ghosts of 1948 still walk.' ― Independent

'Along with the late Edward Said, Ilan Pappe is the most eloquent writer of Palestinian history.' ― New Statesman

'Pappe has opened up an important new line of inquiry into the vast and fateful subject of the Palestinian refugees. His book is rewarding in other ways. It has at times an elegiac, even sentimental, character, recalling the lost, obliterated life of the Palestinian Arabs and imagining or regretting what Pappe believes could have been a better land of Palestine.' ― Times Literary Supplement

'Ilan Pappe is Israel's bravest, most principled, most incisive historian.' ― John Pilger - director of The War on Democracy and author of Freedom Next Time

'Superb account of how, and why, Palestinians were driven out of their homes.' ― Socialist Review

'Pappe’s book is an essential read for anyone trying to understand the politics and history of the Middle East.' ― Frontline Magazine (an Independent Marxist review from Scotland)

'Leading Israeli historian Ilan Pappe delves into his country's bloodied past in search of answers in the present.' ― Morning Star

'Pappe is one of the brave few voices to stand up and be counted in the oppressive atmosphere of Israeli society. Pappe's book is a searing account of the horrific brutality perpetrated during the birth of the state of Israel.' ― Morning Star

'Pappe is well positioned to lob a grenade such as this one into the twin worlds of Middle Eastern studies and politics. Pappe's book should shock and shame the academic world' ― Arab Banker

'Pappe's ethical clarity and humane vision permeate The Ethnic Cleansing of Palestine... Given the meticulous research and compelling moral imperative embodied in The Ethnic Cleansing of Palestine, Zionism itself may be in trouble.' ― Race and Class

'Pappe offers a scorching indictment of Israel's treatment of the Palestinian people in The Ethnic Cleansing of Palestine.' ― Metro

'A bold expose of Israel's purge of its Arab population in the early years of its existence. It should be read by anyone wanting to grasp the seemingly unfathomable background to the Israel-Palestine conflict. Pappe himself should be supported and applauded.' ― Morning Star

'Ilan Pappe's The Ethnic Cleansing of Palestine is a vital contribution to the scholarship from these new historians… Pappe forever puts to rest any doubt that Palestinians were systematically and brutally expelled from their homeland.' ― Against the Current (An independent socialist organisation)

'Pappe’s book will command attention.' ― Washington Report on Middle East Affairs

'Superb account of how, and why, Palestinians were driven out of their homes. Pappe explains why there can be no peace until this crime has been acknowledged and redressed.' ― Scottish Review

'The organization of the material in this book leaves almost nothing to be desired. The twelve sections substantially challenge and considerably undermine the ostensibly convincing Israeli discourse on the refugees question and the 1984 events.' ― Arab Studies Quarterly

'Shocking, telling and illuminating.' ― Emel

'Groundbreaking research into a well-kept Israeli secret. A classic of historical scholarship on a taboo subject by one of Israel's foremost New Historians.' ― Ghada Karmi - Institute of Arab and Islamic Studies, University of Exeter, England, UK",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Driss Ghali,Diplomé en sciences politique et spécialiste des relations internationales.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Bill Maher,"""For fans, the book is a welcome reminder of Maher’s funniness, his intelligence, his sanity....Maher’s observations are often as cutting as they’re well-written [and] come from a place of wit and education and work well bundled together as a book.""—New York Post

""Maher’s style...is funny but not hyperbolic, challenging but not confrontational, and urgent but not in your face. That formula has served Maher well throughout his career, and it serves him well in this book.""—Booklist

""His wittiest and most incisive book yet...he writes sharp critiques on American life, politics, and culture. From covering free speech and cancel culture to race and religion, Maher manages to dissect the most controversial of topics in a way that is both funny and digestible.""—Air Mail

“The least boring book I’ve ever read.”—John Cleese

“This book is so funny you may not notice how smart it is. The only thing that will make you want to put it down is to take a moment to tell someone else about it.”—Donna Brazile

“I love Bill Maher. He’s often brilliant, occasionally maddening but unfailingly original. He’s the unfiltered, hilarious voice we desperately need during these batshit-crazy times.”—Katie Couric

“Whether you agree or disagree with him—and I do both—Bill Maher had proven himself to be an illuminating force in a world that values heat over light. His is a vital voice, keeping the left honest and calling the right to account for itself before the bar of reason and of decency. I’d say ‘thank God for Bill,’ but he doesn’t believe in God. So I’ll just say thanks.”—Jon Meacham",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Harper Lee,"Revue de presse
'No one ever forgets this book' ― Independent

'Someone rare has written this very fine novel, a writer with the liveliest sense of life and the warmest, most authentic humor. A touching book; and so funny, so likeable' - Truman Capote

'Her book is lifted...into the rare company of those that linger in the mind long after dramas, sagas and sophisticated frolics have coalesced into a blur of half-forgotten fiction' ― Bookman

'There is humour as well as tragedy in this book, besides its faint note of hope for human nature; and it is delightfully written in the now familiar Southern tradition' ― Sunday Times

Someone rare has written this very fine novel, a writer with the liveliest sense of life and the warmest, most authentic humour. A touching book; and so funny, so likeable ― Truman Capote Published On: 2003-10-22
Quatrième de couverture
A moving coming-of-age story, which explores attitudes to race and class in the Deep South of the 1930s. This Pulitzer-Prize winning classic has sold over 30 million copies worldwide and been translated into more than 40 languages.
En lire plus",https://m.media-amazon.com/images/I/51gzmhkPBxL._SY600_.jpg
Michel Abitbol,"Michel Abitbol, orientaliste de réputation internationale, a notamment publié chez Perrin Le Passé d'une discorde, couronné par le prix Thiers de l'Académie française, Les Deux Terres promises, une Histoire du Maroc et une Histoire des juifs.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
