Nom,Description,Photo
Jonas Salzgeber,,https://m.media-amazon.com/images/S/amzn-author-media-prod/320ua484avv798bfshv7sk1p7u._SY600_.jpg
Jonas Salzgeber,,https://m.media-amazon.com/images/S/amzn-author-media-prod/320ua484avv798bfshv7sk1p7u._SY600_.jpg
Sofia Rouxel,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Valentin Auwercx,,https://m.media-amazon.com/images/S/amzn-author-media-prod/i670vqg6bclubcr4q11ddm7je5._SY600_.jpg
Delphine Auclair,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Jonas Salzgeber,,https://m.media-amazon.com/images/S/amzn-author-media-prod/320ua484avv798bfshv7sk1p7u._SY600_.jpg
Clément Rosset,"Rien de plus fragile que la faculté humaine d'admettre la réalité, d'accepter sans réserves l'impérieuse prérogative du réel. Cette faculté se trouve si souvent prise en défaut qu'il semble raisonnable d'imaginer qu'elle n'implique pas la reconnaissance d'un droit imprescriptible - celui du réel à être perçu - mais figure plutôt une sorte de tolérance, conditionnelle et provisoire. Le réel n'est généralement admis que sous certaines conditions et seulement jusqu'à un certain point : s'il abuse et se montre déplaisant, la tolérance est suspendue. Un arrêt de perception met alors la conscience à l'abri de tout spectacle indésirable. Quant au réel, s'il insiste et tient absolument à être perçu, il pourra toujours aller se faire voir ailleurs.Cet essai vise à illustrer le lien entre l'illusion et le double, à montrer que la structure fondamentale de l'illusion n'est autre que la structure paradoxale du double. Paradoxale, car la notion de double implique en elle-même un paradoxe : d'être à la fois elle-même et l'autre.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Günther Anders,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
André Comte-Sponville,"Normalien, agrégé et docteur de troisième cycle, André Comte-Sponville a longtemps enseigné la philosophie à l’université Paris I Panthéon-Sorbonne. Il est l’auteur d’une trentaine d’ouvrages traduits dans le monde entier.",https://m.media-amazon.com/images/S/amzn-author-media-prod/jkrdij5bpga2vuih47ug5foll4._SY600_.jpg
Sofia Briffaut,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Louis-Arthur Girard,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jun'ichiro Tanizaki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Claire Marin,"Philosophe, Claire Marin est professeure en classes préparatoires aux grandes écoles et membre associé de l’ENS-Ulm. Ses recherches portent sur les épreuves de la vie.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Pierre Zaoui,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marina van Zuylen,"Franco-américaine, Marina van Zuylen est professeure de littérature comparée à Bard College (État de New York). Elle trouve dans l'ennui, l'oisiveté, le manque d'ambition, des qualités philosophiques à exploiter. Elle a publié Éloge des vertus minuscules en 2023, livre coup de coeur des libraires, qui a reçu un excellent accueil critique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Michael Pollan,"Le LSD et les champignons magiques, des reliques des années hippies ? Détrompez-vous. Ces substances psychédéliques font aujourd'hui leur grand retour en recherche clinique et les perspectives qu'elles ouvrent sont extraordinaires. Elles révèlent les mécanismes de notre conscience grâce auxquels nous donnons du sens à notre vie et appréhendons les autres et le monde. Elles permettent le traitement de la dépression, des addictions (tabac, alcool) ou de notre anxiété à l'approche de la mort, dans des temps très courts et avec un taux de réussite remarquable.
Afin de comprendre la réalité de cette révolution en cours, ce qu'elle peut nous apprendre sur nous-mêmes et la nature des expériences dont il est question, le journaliste et écrivain Michael Pollan a mené l'enquête, à la première personne. Au fil de ses rencontres avec des patients, des chamans modernes, des guides spirituels et la nouvelle génération de scientifiques qui cartographient notre cerveau, nous le suivons dans des lieux où il ne s'était jamais aventuré, parfois même jusqu'au plus profond de lui-même.
Voyage aux confins de l'esprit est un succès mondial traduit en 16 langues. Il est le témoignage fascinant de ce que nous sommes et de ce à quoi pourrait ressembler l'avenir de la conscience.
Préface du Dr. Bertrand Lebeau-Leibovici et de Vincent Verroust",https://m.media-amazon.com/images/I/318Vdn-minL._SY600_.jpg
,,
Jonas Salzgeber,,https://m.media-amazon.com/images/S/amzn-author-media-prod/320ua484avv798bfshv7sk1p7u._SY600_.jpg
Jonas Salzgeber,,https://m.media-amazon.com/images/S/amzn-author-media-prod/320ua484avv798bfshv7sk1p7u._SY600_.jpg
Don Miguel Ruiz,"“This book by don Miguel Ruiz, simple yet so powerful, has made a tremendous difference in how I think and act in every encounter.” — Oprah Winfrey

“Don Miguel Ruiz’s book is a roadmap to enlightenment and freedom.” — Deepak Chopra, Author, The Seven Spiritual Laws of Success

“An inspiring book with many great lessons.” — Wayne Dyer, Author, Real Magic

“In the tradition of Castaneda, Ruiz distills essential Toltec wisdom, expressing with clarity and impeccability what it means for men and women to live as peaceful warriors in the modern world.” — Dan Millman, Author, Way of the Peaceful Warrior",
Oliver Burkeman,"Revue de presse
This book is wonderful. Instead of offering new tips on how to cram more into your day, it questions why we feel the need to ... My favourite kind of book is this one ... it examines the human struggle with intelligence, wisdom, humour and humility. -- Marianne Power ― The Times

Perfectly pitched somewhere between practical self-help book and philosophical quest ... as with all the best quests, its many pleasures don't require a fast-forward button, but happen along the way -- Tim Adams ― Observer

Life is finite. You don't have to fit everything in. Enjoy your life. Breathe out. Read this book and wake up to a new way of thinking and living ― Emma Gannon, author of The Multi-Hyphen Method

A wonderfully honest book, Four Thousand Weeks is a much-needed reality check on our culture's crazy assumptions around work, productivity and living a meaningful life -- Mark Manson, bestselling author of Everything is F*cked and The Subtle Art of Not Giving a F*ck

His book will challenge and amuse you. And it may even spur you on to change your life. At the very least reading it would be a good use of one of your four thousand weeks -- Robbie Smith ― Evening Standard
Quatrième de couverture
Rejecting the futile modern obsession with 'getting everything done,' Four Thousand Weeks introduces readers to tools for constructing a meaningful life by embracing rather than denying their limitations.

Drawing on the insights of both ancient and contemporary philosophers, psychologists, and spiritual teachers, Oliver Burkeman sets out to realign our relationship with time - and in doing so, to liberate us from its tyranny.




En lire plus",https://m.media-amazon.com/images/I/51Yf1-0sbCL._SY600_.jpg
Geoff Dyer,,
Anne Dufourmantelle,"Ce livre fait l'éloge de la prise de risque à une époque où la sécurité nous est donnée comme valeur principale. Il traite, dans de courts chapitres des divers registres où l'on rencontre le risque : la vie amoureuse, la séparation, la dépendance mais aussi la vie sociale, le langage ou les biotechnologies. Autour de cette question centrale : qu'est-ce que risquer sa vie, à savoir prendre le risque de vivre vraiment?",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gatsu Sensei,,
