Nom,Description,Photo
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Angela Rivoli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/gv1d91te3rd2r02pd4iabdnl4o._SY600_.jpg
Nicolas Machiavel,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Yves Dormagen,"Jean-Yves Dormagen est professeur de science politique à l'Université de Montpellier.

Daniel Mouchard est professeur de science politique à l'Université Sorbonne Nouvelle - Paris 3.

Alexandre Dézé est maître de conférences en science politique à l’Université de Montpellier, chercheur au CEPEL et enseignant à Sciences Po Paris.

Yohann Aucante est maître de conférences à l’EHESS, chercheur au Centre d'études sociologiques et politiques Raymond Aron (CESPRA).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Franck Thilliez,"Né en 1973 à Annecy, Franck Thilliez, ancien ingénieur en nouvelles technologies, vit actuellement dans le Pas-de-Calais. Il est l'auteur d'une vingtaine de romans dont La Chambre des morts, adapté au cinéma en 2007, prix des lecteurs Quais du Polar 2006 et prix SNCF du polar français 2007, Puzzle (2013), Rêver (2016), Le Manuscrit inachevé (2018) ou bien encore Il était deux fois (2020). Il est également connu pour avoir donné vie à deux personnages emblématiques, Franck Sharko et Lucie Henebelle. Ces derniers sont réunis pour la première fois dans Le Syndrome [E] (2010), qui a été adapté en BD et est actuellement en cours d'adaptation pour une mini-série qui sera diffusée sur TF1. De plus, ces deux personnages sont présents dans les récents Sharko (2017) et Luca (2019) chez Fleuve Éditions. Son recueil de nouvelles, Au-delà de l'horizon et autres nouvelles, a paru en 2020 chez Pocket. Franck Thilliez a publié 1991 chez Fleuve Éditions en 2021, ainsi que Labyrinthes chez le même éditeur, en 2022.
Ses titres ont été salués par la critique, traduits dans le monde entier et se sont classés à leur sortie en tête des meilleures ventes. Franck Thilliez est aujourd'hui le 3e auteur de fiction moderne le plus lu en France.

Retrouvez l'auteur sur sa page Facebook :
https://fr-fr.facebook.com/Franck.Thilliez.Officiel",https://m.media-amazon.com/images/I/61ZcENeXggL._SY600_.jpg
Aurèle Martin,,
James Path,,https://m.media-amazon.com/images/S/amzn-author-media-prod/n9hpvaaiu9fa7bv9cq89mr9fmq._SY600_.jpg
Marcel Mauss,"Marcel Mauss (1872-1950) fut l'un des fondateurs de l'anthropologie sociale. Son oeuvre s'inscrit dans l'aventure collective de L'Année sociologique, revue dont il devient le pilier après la mort de Durkheim en 1917. Elle a durablement influencé la philosophie et les sciences sociales, notamment l'anthropologie, la sociologie des sciences, la psychologie sociale, l'histoire des techniques et l'archéologie.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marie-Claude Pietragalla,"Marie-Claude Pietragalla est une danseuse étoile de l'Opéra de Paris, chorégraphe française et fondatrice du Théâtre du Corps Pietragalla-Derouault. Dans sa première série, Étoile, inspirée de son enfance, elle partage les valeurs de toute grande danseuse : audace, persévérance et entraide.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gérard Noiriel,"Gérard Noiriel est historien, directeur d'études à l'EHESS, et auteur de nombreux livres sur l'histoire sur l'histoire de l'immigration en France, sur le racisme, sur l'histoire de la classe ouvrière et sur les questions interdisciplinaires et épistémologiques en histoire. Il tient un blog dans lequel il approfondit, explicite et discute les questions développées dans ces livres et s'exprime sur les grands problèmes d'actualité en mobilisant les outils des sciences sociales : .",
Jean-Marc Leveratto,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Christophe Buisson,"Jean-Christophe Buisson est directeur adjoint du Figaro Magazine et présentateur de "" Historiquement show "" sur la chaîne Histoire. Il est l'auteur de plusieurs ouvrages chez Perrin, dont Mihailovic,Assassinés et Le noir et le brun. Il a également codirigé Les grands duels qui ont fait la France (avec Alexis Brézet) et Les Derniers Jours des reines (avec Jean Sévillia).
En 2023, il reçoit le Prix de l'Institut de France pour l'ensemble de son œuvre.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Philippe Mocellin,"Philippe Mocellin, docteur en Science politique, est maître de conférences associé à l'Université de Poitiers de 2013 à 2019. Attestant d'une longue expérience dans la fonction publique territoriale, il a exercé diverses missions de direction au sein de collectivités locales. Chez Ellipses, il a publié, avec Philippe Mottet, Introduction à la géopolitique en 50 fiches (défis, enjeux et conflits contemporains), en 2019.",
