Nom,Description,Photo
Michel de Lorgeril,"Michel de LORGERIL, médecin et chercheur au CNRS, est internationalement reconnu pour son expertise en cardiologie préventive et en nutrition. Il est à l'origine de concepts majeurs, notamment la diète méditerranéenne et l'innocence du cholestérol. Il est l'auteur de plusieurs best-sellers, dont Cholestérol, mensonges et propagande et Le Nouveau régime méditerranéen.",https://m.media-amazon.com/images/I/71KoozcwC+L._SY600_.jpg
,,
Michel de Lorgeril,"Michel de Lorgeril est cardiologue et chercheur au CNRS et à la Faculté de médecine de Grenoble. Internationalement reconnu pour ces travaux sur l'infarctus et les acides gras oméga-3, il est le promoteur du French paradox et de la diète méditerranéenne qui ont révélé l'importance de l'alimentation pour la santé. Il est l'auteur des best-sellers Cholestérol, mensonges et propagande et Dites à votre médecin que le cholestérol est innocent. Patricia Salen est diététicienne nutritionniste. Elle a été responsable des aspects nutritionnels de la célèbre Etude de Lyon.",
Désiré Mérien,"Désiré Mérien est professeur honoraire de biologie, ancien intervenant en Faculté de médecine et au Centre de naturopathie et clinique de jeûne au Québec. Auteur, conférencier, il a rédigé plus d’une trentaine d’ouvrages sur l’hygiène de vie et dirige depuis plus de 30 ans un centre de cure de détoxication en Bretagne.",
SERRAND MICHELE,Michèle Serrand est médecin hospitalier et écrivain. Elle pratique l'homéopathie et l'acupuncture depuis une quinzaine d'années.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
A Moneta,"A. Moneta, médecin, spécialiste en diététique, s'occupe en particulier de la prévention de l'obésité et des maladies qui y sont associées. Elle travaille dans le domaine de l'éducation alimentaire dans les écoles et collabore à de nombreuses revues spécialisées. M. Zugnoni, diplômée en diétologie et diététique appliquée, travaille dans le cadre d'un service de diététique dans un grand hôpital. Elle est l'auteur aux Editions De Vecchi de Comment abaisser son taux de cholestérol en 2 mois.",
Sofiane Hassi,"Docteur en médecine, spécialisé en médecine interne, option cardio-vasculaire",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
BADZIN EDITIONS,,
,,
BADZIN EDITIONS,,
Dr. HSN carnets de Santé édition,,
,,
Dr. HSN carnets de Santé édition,,
BADZIN EDITIONS,,
Adda bler,,
