Nom,Description,Photo
HereLee,,
Umebachi Yamanaka,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Akari Hatta,,
Mashiro,,
HAYASHIDA-Q,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Umebachi Yamanaka,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Hiromi Ebira,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
KYOKO OKAZAKI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mashiro,,
Takako Shimura,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
AKIKO HIGASHIMURA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
HIBIKI,,
Myeongmi Kim,"Scénariste de manhwa (bandes dessinées coréennes).

Dessinateur scénariste de manhwa (bandes dessinées coréennes).",
OKADA+EMOTO,,
Toth-M,,
Toth-M,Les monstres aussi ont un coeur,
Kujira,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Natsumi Hoshino,Mangaka.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Myeongmi Kim,"Scénariste de manhwa (bandes dessinées coréennes).

Dessinateur scénariste de manhwa (bandes dessinées coréennes).",
An Ogura,,
Umebachi Yamanaka,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tomoko Yamashita,Ce que tu éprouves n'appartient qu'à toi et personne n'a le droit de te faire des reproches.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Touya Mikanagi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
An Ogura,,
Hiromi Ebira,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tamiki Wakaki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Fumiya Hayashi,,
Ko Hiratori,,
Gyeong Yun Jeong,"Scénariste de manhwa (bandes dessinées coréennes).

Dessinateur scénariste de manhwa (bandes dessinées coréennes).",
Ai Hibiki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Isuna HASEKURA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ko Hiratori,,
Mai Nishikata,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
OKADA+EMOTO,,
Yuka Murayama,,
Touya Mikanagi,,
Rie Aruga,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tamiki Wakaki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nujima,,
Miyuki Tonogaya,Mangaka.,
Gaku Kuze,,
Miyuki Tonogaya,Mangaka.,
Gyeong Yun Jeong,"Scénariste de manhwa (bandes dessinées coréennes).

Dessinateur scénariste de manhwa (bandes dessinées coréennes).",
Kabi Nagata,"Kabi Nagata est née à Osaka. A la fin du lycée, elle intègre la section Arts de l'université Seika, mais commence à souffrir de dépression et de troubles alimentaires et arrête rapidement. Elle se cherche et passe par différents petits boulots, mais là encore, elle lutte contre son mal-être. Elle réalise plus tard ce qu'elle a réellement envie de faire : dessiner des mangas. A la même époque, elle entame un nouveau combat : la recherche désespérée dans son entourage et sa famille de chaleur humaine et de contact. La surprenante issue qui se présentera à elle ne sera autre que de rencontrer une prostituée lesbienne. L'autrice fait alors de sa démarche un sujet de réflexion qu'elle met en dessin. Elle publie sa bande dessinée autobiographique sur le site Pixiv en 2015, et celle-ci fait rapidement parler d'elle avec plus de cinq millions de vues. C'est ce récit qui donnera par la suite Solitude d'un autre genre, sorti en juin 2016 au Japon et vendu à des centaines de milliers d'exemplaires. Cet ouvrage se hissera à la troisième place du prix ""Kono Manga ga Sugoi ! "" dans la catégorie féminine, un des prix les plus prestigieux au Japon. Solitude d'un autre genre, publié avec succès aux Etats-Unis, renforce l'aura de la nouvelle autrice qui a pris le parti de puiser dans sa vie privée pour nourrir son oeuvre. A sa suite, elle publiera chez un éditeur majeur Hitori Kökan Nikki (littéralement Journal d'échange avec moi-même) en décembre de la même année.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ai Hibiki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
TSURATA KENJI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Takako Shimura,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yuki Kodama,"Née un 26 septembre dans le département de Nagasaki, Yuki Kodama débute sa carrière de mangaka en 2000. Elle est prépubliée dans le magazine mensuel Flowers à partir de 2005 et est notamment connue pour Tsukikage Baby (inédit en France) et Kids on the Slope, qui a remporté la 57e édition des Shogakukan Manga Awards et a eu droit une adaptation cinématographique en 2018.
À ce jour, elle est toujours prépubliée dans le magazine Flowers.",
Mai Nishikata,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tomoko Ninomiya,"Elle a reçu en 2004 le 28e Prix du manga Kôdansha, catégorie shôjo, pour Nodame Cantabile. Sa popularité est devenue nationale puis internationale avec l'adaptation de la série en drama, en anime et en films. Tomoko Ninomiya est également l’autrice de bien d’autres séries dont Green, Tensai Family Company ou encore Nanatsuya Shinobu no Hôseki-bako, un jôsei actuellement en cours dans le magazine Kiss de Kôdansha et encore inédit en France.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Chihiro Yuzuki,,
Touya Mikanagi,,
Touya Mikanagi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Kanemoto,,
Haru Haruno,L'amour sans sexe...est-ce possible ?,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Rie Aruga,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Touya Mikanagi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Touya Mikanagi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Touya Mikanagi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yuki Kodama,"Née un 26 septembre dans le département de Nagasaki, Yuki Kodama débute sa carrière de mangaka en 2000. Elle est prépubliée dans le magazine mensuel Flowers à partir de 2005 et est notamment connue pour Tsukikage Baby (inédit en France) et Kids on the Slope, qui a remporté la 57e édition des Shogakukan Manga Awards et a eu droit une adaptation cinématographique en 2018.
À ce jour, elle est toujours prépubliée dans le magazine Flowers.",
Tamekou,,
Touya Mikanagi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Touya Mikanagi,,
