Nom,Description,Photo
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
HAMAN MANA,,
Willy Ronis,,
Christophe Bigot,"Christophe Bigot: Christophe Bigot est avocat au Barreau de Paris. Il pratique le droit des médias depuis 1990. Il est membres du comité éditorial de Légipresse, et auteur de nombreux articles consacrés au droit de la presse dans des revues de référence. Il a reçu le prix Saintour de l'Académie des sciences morales et politiques en 2014 pour ce présent ouvrage.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Fabienne Desseux,"En 26 lettres et autant de notions, voici une présentation du dessin de presse français des 50 dernières années, dans une perspective historique (caricatures antisémites pendant l'affaire Dreyfus, dessin de propagande durant la Première Guerre...).
Dans cet abécédaire, Fabienne Desseux aborde le sujet avec verve et rigueur. Des chapitres pointent les nombreux ennemis du dessin de presse, d'autres les défauts ou les ambivalences du milieu. Aussi, la précarité du secteur et la difficulté de ce métier. Chaque article est illustré par Cami et Urbs, qui signent ici 52 dessins originaux. Adoptant un angle critique, ce livre vient nourrir de façon constructive le débat public sur la liberté d'expression et les valeurs républicaines.",
Reporters sans frontières (RSF),,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
REPORTERS SANS FRONTIERES,,
Collectif,,
Abbas,,
Bruno Gaccio,"Bruno Gaccio est un scénariste, auteur, acteur, producteur
de télévision français, connu notamment comme co-créateur
et co-auteur de l'émission satirique "" Les Guignols de l'info ""
de Canal+ de 1992 à 2007. Il est l'auteur de dix livres, dont
C'est quoi ce bordel ? aux Éditions Massot.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Patrick Chauvel,,
Bridget Benitez,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
John Milton,,
Bernard Stirn,"Plus que jamais, les libertés sont en questions. À l'état d'urgence appliqué entre 2015 et 2017 afin de lutter contre le terrorisme a succédé, de 2020 à 2022, l'état d'urgence sanitaire pour faire face à l'épidémie de Covid-19. Après le vent d'optimisme qu'avaient fait souffler, à la fin du xxe siècle, la chute du mur de Berlin, la perestroïka en Russie, la consolidation de l'espace juridique européen, est venu le temps des inquiétudes, marqué par la crise de la représentation, les dérives autoritaires et la montée des populismes. Le droit et les juges montrent leurs limites face à la force des armes et la fureur des hommes.
De nombreux débats d'actualité témoignent aussi de fortes interrogations sur les libertés : rôle et indépendance des juges, laïcité et signes religieux dans la vie publique, incertitudes bioéthiques devant les progrès de la médecine et les évolutions des moeurs, respect de la vie privée dans le monde de l'internet. Des questions nouvelles se posent sur des sujets aussi variés que le mariage pour tous, l'assistance médicale à la procréation, la fin de vie, l'afflux des migrants ou les exigences du développement durable.
Les libertés en questions éclairent la réflexion sur ces sujets à partir des liens entre le droit et les libertés, présentés selon une approche ouverte sur l'espace européen et les comparaisons internationales. Après avoir tracé le cadre juridique, qui repose sur les règles de droit et les interventions des juges, ce livre traite des grands débats de société, groupés autour de deux axes, vivre sa vie et vivre ensemble. Utile pour la préparation de concours et d'examens, notamment le grand oral de l'examen d'accès à la profession d'avocat (CRFPA), cet ouvrage est aussi destiné aux citoyens désireux de s'informer sur les enjeux juridiques des questions de société et soucieux de réfléchir à l'avenir de la démocratie.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Steve Mccurry,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Collectif,,
CARTIER-BRESSON Henri,,
Rebecca Shouse,,
Évariste Lefèvre,,
Reporters sans front,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Yves Le Gallou,"Jean-Yves Le Gallou est énarque et essayiste, président de Polémia et co-fondateur de l’Institut Iliade. Il est notamment l’auteur, chez Via Romana, de La Tyrannie médiatique, du Dictionnaire de Novlangue (avec Michel Geoffroy) et d’Européen d’abord, Essai sur la préférence de civilisation.",
William Kergroach,,https://m.media-amazon.com/images/S/amzn-author-media-prod/p51dg1kti5vtfl1cj2p5h8usd7._SY600_.jpg
Francis Kamouh,,
René Goscinny,,
Reporters sans frontières (RSF),,
David Bailey,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Collectif,,
Colloque Presse-Liberté,,
RONIS (Willy),,
Yann Arthus-Bertrand,,
[collectif],,
Reporters sans front,,
Les Trésors d Emmanuelle,,
Reporters sans frontières (RSF),,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Noël Copin,,https://m.media-amazon.com/images/I/71RioYFboVL._SY600_.jpg
Reporters sans frontières (RSF),,
COLLECTIF,,
Les Trésors d Emmanuelle,,
"Moutouh Hugues Rivero, Jean",,
John Milton,,
Jean Montaldo,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Augustin Petrovitch Golitsyn,,
Mohammad Hashim Kamali,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Maximilien de Robespierre,,
Malesherbes,,
,,
Reporters sans frontières (RSF),,
Moshe Zuckermann,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
,,
John Milton,,
