Nom,Description,Photo
François Lecointre,"Ancien chez d'état-major des armées, le général d'armée François Lecointre est grand chancelier de la Légion d'honneur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Vincent Lemire,"Agrégé d'histoire, Thomas Snégaroff a longtemps enseigné l'histoire et la géopolitique au lycée, en classes préparatoires et à Sciences-Po avant de devenir journaliste. Il présente "" Le Grand Face-à-face "" le samedi sur France Inter et "" C Politique "" le dimanche sur France 5.

Ancien élève de l'ENS Fontenay/Saint-Cloud, Vincent Lemire est agrégé d'histoire et docteur en histoire. Il a été directeur du Centre de recherche français de Jérusalem (CNRS-MAE) entre 2019 et 2023. Il est actuellement professeur à l'université Paris-Est/Gustave-Eiffel et directeur du projet européen Open Jerusalem (www.openjerusalem.org).",https://m.media-amazon.com/images/S/amzn-author-media-prod/4rpunqlek8r4um20ph2lu0nld0._SY600_.jpg
Alain Bauer,"Alain Bauer est professeur de criminologie au Conservatoire National des Arts et Métiers, New York et Shanghai. Il est responsable du pôle sécurité défense - renseignement criminologie cybermenaces et crises. Il a publié une soixantaine d'ouvrages sur les questions de sécurité, criminelles et de terrorisme.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Emmanuel Todd,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Maurizio Serra,"Diplomate et écrivain italien, Maurizio Serra est actuellement ambassadeur d'Italie à l'Unesco. Il est l'auteur de brillantes biographies, en particulier celle de Curzio Madaparte (prix Goncourt 2011). En 2018, il est récompensé d'un prix Prince Pierre de Monaco pour l'ensemble de son oeuvre et en 2020, il est élu à l'Académie française.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aldo Sterone,,https://m.media-amazon.com/images/I/71VfJKVcBNL._SY600_.jpg
Ghislain Benhessa,,
Christophe Clavel,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marine Jacquemin,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Loup Bonnamy,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
François Reynaert,"Sous la direction de François Reynaert, journaliste à L'Obs, auteur entre autres de Nos ancêtres les Gaulois et autres fadaises, La Grande histoire du monde ou dernièrement La Grande Histoire de la Russie, avec une équipe d'une dizaine de journalistes de L'Obs.

Après des études à l'École nationale d'art de Cergy-Pontoise, Stéphane Trapier devient illustrateur pour la presse (Télérama, le un, XXI, Le Monde) et le monde de l'édition (Milan, La Table Ronde). Depuis 2004, il réalise les affiches du Théâtre du Rond-Point, omniprésentes dans le métro parisien. Il est aussi auteur de bandes dessinées pour Fluide Glacial et La Revue dessinée. En 2014, il a publié Tarzan contre la vie chère aux Éditions Matière, dans lequel il revisite des scènes cultes du cinéma en les affublant de dialogues modernes. En 2020 paraît chez Casterman Mes plus grands succès, un recueil mêlant détournements, bandes dessinées, strips et dessins humoristiques.",
Michel Onfray,"Michel Onfray est docteur en philosophie. Il a construit son oeuvre autour des thèmes de l'hédonisme, de l'athéisme et de la construction de soi. Auteur, il a publié plus de cent livres, traduits dans de nombreux pays. Fondateur de l'Université populaire de Caen en 2002, il a plus récemment lancé deux médias indépendants : le site michelonfray.com et la revue Front populaire.
Chez Albin Michel, il a notamment publié Sagesse (2019) et le beau livre Les raisons de l'art (2021).",
Gilles-William Goldnadel,"Gilles-William Goldnadel est avocat, essayiste, contributeur et intervenant dans de nombreux médias.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Florence BERGEAUD-BLACKLER,"Florence Bergeaud-Blackler est anthropologue, chargée de recherche CNRS (HDR) au groupe Sociétés, religions, laïcité à l’École pratique des hautes études.",https://m.media-amazon.com/images/S/amzn-author-media-prod/5hp9rgbp1kr4qtrif71qi1audq._SY600_.jpg
Alexandra Saviana,"Alexandra Saviana est journaliste société à L'Express. Elle a auparavant travaillé à Marianne. Elle est l'auteure de l'enquête L'or de la Montagne Noire, un scandale sanitaire français, chez JC Lattès (2021).",
Alain Schmoll,"Dirigeant et repreneur d’entreprises, Alain Schmoll est un passionné de littérature. Il crée un blog de lecture, puis se met à l’écriture de fictions. Mêlant suspense et romance dans des intrigues inspirées de l’actualité, ses cinq romans embarquent leurs personnages vers des dénouements inattendus.",https://m.media-amazon.com/images/S/amzn-author-media-prod/q8n5m10jp8ir2s3c8v8acrrvg9._SY600_.jpg
Alain Schmoll,"Dirigeant et repreneur d’entreprises, Alain Schmoll est un passionné de littérature. Il crée un blog de lecture, puis se met à l’écriture de fictions. Mêlant suspense et romance dans des intrigues inspirées de l’actualité, ses cinq romans embarquent leurs personnages vers des dénouements inattendus.",https://m.media-amazon.com/images/S/amzn-author-media-prod/q8n5m10jp8ir2s3c8v8acrrvg9._SY600_.jpg
Nathalie Schuck,"Nathalie Schuck, grand reporter et rédactrice en chef adjointe du Point, a suivi les mandats de Nicolas Sarkozy, François Hollande et Emmanuel Macron. Elle est l'auteure de Madame la Présidente (Plon, 2019) avec Ava Djamshidi, et de Ça reste entre nous, hein ? Deux ans de confidences de Nicolas Sarkozy (Flammarion, 2014) avec Frédéric Gerschel.",
Renaud Camus,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5b7biqv80913laigj1f49q00nm._SY600_.jpg
Valérie Benaïm,"Valérie Benaïm est une journaliste et animatrice de télévision très populaire.
Elle est une chroniqueuse régulière de l’émission Touche pas à mon poste ! sur C8.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gérard Araud,"Gérard Araud a été ambassadeur en Israël (2003-2006), représentant permanent de la France auprès des Nations unies à New York (2009-2014) puis ambassadeur de France aux États-Unis (2014-2019). Il est l’auteur chez Tallandier d’une biographie d’Henry Kissinger (« Texto », 2023), de Nous étions seuls (prix Ernest Lémonon et Historia 2023), et tient une chronique internationale dans Le Point.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gilles Kepel,"Gilles Kepel est Professeur des universités, politiste et arabisant. Il a notamment publié Terreur dans l'Hexagone. Genèse du djihad français (2015), Sortir du chaos. Les crises en Méditerranée et au Moyen-Orient (2018) et Prophète en son pays (2023). Ses livres sont traduits dans une vingtaine de langues.

Cartes inédites de Fabrice Balanche, maître de conférences à
l'université Lyon II.",
Marc Rousset,"Marc Roussel, H.E.C, Docteur ès Sciences Economiques, diplômé des universités Columbia et Harvard, Prix de l'Académie des Sciences Morales et Politiques, est un ancien haut dirigeant d'entreprise. Chroniqueur, économiste, écrivain, auteur de la Nouvelle Europe de Charlemagne préfacée par Alain Peyrefitte, il en appelle à un sursaut salvateur et démontre dans ce livre que l'Avenir de la France et de l'Europe est i l'Est, avec la Russie, et non pas avec l'Amérique !",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Éric Branca,"Historien et journaliste, Éric Branca a publié une quinzaine d'ouvrages, dont, chez Perrin, le best-seller L 'Ami américain, Washington contre de Gaulle, 1940-1969 (2017), "" On m'insulte en répétant que je veux faire la guerre. "" Les entretiens oubliés d'Hitler, 1923-1940 (2019), De Gaulle et les Grands (2020, prix Michel Anfrol), Le Roman des damnés. Ces nazis au service des vainqueurs après 1945 (2021) et L'Aigle et le Léopard. Les liaisons dangereuses entre l'Angleterre et le IIIe Reich (2023).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Giuliano da Empoli,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alain Schmoll,"Dirigeant et repreneur d’entreprises, Alain Schmoll est un passionné de littérature. Il crée un blog de lecture, puis se met à l’écriture de fictions. Mêlant suspense et romance dans des intrigues inspirées de l’actualité, ses cinq romans embarquent leurs personnages vers des dénouements inattendus.",https://m.media-amazon.com/images/S/amzn-author-media-prod/q8n5m10jp8ir2s3c8v8acrrvg9._SY600_.jpg
Alain Schmoll,"Dirigeant et repreneur d’entreprises, Alain Schmoll est un passionné de littérature. Il crée un blog de lecture, puis se met à l’écriture de fictions. Mêlant suspense et romance dans des intrigues inspirées de l’actualité, ses cinq romans embarquent leurs personnages vers des dénouements inattendus.",https://m.media-amazon.com/images/S/amzn-author-media-prod/q8n5m10jp8ir2s3c8v8acrrvg9._SY600_.jpg
Pascal Boniface,"Le Monde Diplomatique : « Les grandes questions […] sont présentées de manière simple, mais juste et précise. »

L’Elephant.fr : ""une bande dessinée de géopolitique complète et visuellement très séduisante""

dBD : ""Chaque séquence est présentée de manière claire et concise, avec une touche d'humour ""

Darius Rochebin - LCI : ""Je la recommande""

Politis : ""Vaste entreprise qui concilie la rigueur historique et l'humour""
Emmanuel Ostian - LCI : ""Géostratégix fera plaisir aux amateurs de BD et de géopolitique. C’est délicieux""

Michel-Edouard Leclerc : ""C'est une véritable somme qu'il faut avoir lue pour pouvoir déchiffrer les récents épisodes de la géopolitique mondiale. Je conseille, top !""

Bulles d'Encre : ""Un très bon ouvrage de vulgarisation de la géopolitique, indispensable""

Blast-info.fr : « ce petit ouvrage dessiné sera précieux »",https://m.media-amazon.com/images/S/amzn-author-media-prod/6sjmjqknaate5s9ll9jq3k397g._SY600_.jpg
,,
Jean-François Colosimo,"Essayiste, documentariste et éditeur, Jean-François Colosimo est l'auteur d'une oeuvre remarquée sur la relation entre religions et géopolitique dont La Crucifixion de l'Ukraine. Mille ans de guerres de religion en Europe (Albin Michel, 2022 ; réédition dans la collection « espaces libres », 2024). Il a également publié Turquie, nation impossible (Arte, 2019) et Le sabre et le turban (Cerf, 2020) ainsi que L'Apocalypse russe (Fayard 2008, Lexio-poche 2021).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Stéphane LALUT,,https://m.media-amazon.com/images/S/amzn-author-media-prod/vtrekmlhu5cueaddcrcs3r863c._SY600_.jpg
Collectif,,
Robert Greene,"Robert Greene, author of bestselling books including Mastery, The 48 Laws of Power and The Art of Seduction (both from Profile), has a degree in Classical Studies and has been an editor at Esquire and other magazines. He is also a playwright and lives in Los Angeles.",
