Nom,Description,Photo
Alice Gendron,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j91ru6enhveuncqea6ip3cm0e3._SY600_.jpg
Michèle Mazeau,"est Médecin de rééducation, spécialisée dans le diagnostic, la prise en charge et l'aide à la scolarisation des enfants avec troubles neurodéveloppementaux spécifiques, (' dys ').",https://m.media-amazon.com/images/S/amzn-author-media-prod/5eh5erfosae9911iq6qn3503dp._SY600_.jpg
Annick Vincent,"Médecin psychiatre Annick Vincent a développé une expertise auprès d'adultes atteints de maladies de l'humeur ou de trouble du déficit de l'attention avec ou sans hyperactivité. Elle est très impliquée dans la transmission des connaissances relatives aux troubles de l'attention auprès de ses collègues médecins, des intervenants en santé et du public en général.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Martin Desseilles,"Des diﬃcultés à se concentrer et à s’organiser… De l’impulsivité et des émotions non contrôlables… Une tendance à couper la parole et à multiplier les oublis… Le TDAH (trouble du déﬁcit de l’attention avec ou sans hyperactivité), s’il est souvent diagnostiqué chez les enfants, est pourtant fréquent chez les adultes. Les personnes TDAH, fâchées avec les contraintes et la routine, dépassées voire épuisées à force de compenser les diﬃcultés, en souﬀrent autant au travail que dans leur vie personnelle.

Ce livre présente les particularités du TDAH chez les adultes, ses symptômes, les diﬃcultés qu’il génère et les troubles fréquemment associés, ainsi que ses liens avec le haut potentiel et la bipolarité notamment. Il fait un point sur le diagnostic et présente de nombreuses stratégies à mettre en place pour faciliter le quotidien et les relations sociales. Riche d’outils et de témoignages, ce manuel pratique sera aussi utile aux personnes TDAH qu’à leurs proches.",https://m.media-amazon.com/images/S/amzn-author-media-prod/epff15d7v8m5ak7ls4p6h0o5qb._SY600_.jpg
Annick Vincent,"Médecin psychiatre Annick Vincent a développé une expertise auprès d'adultes atteints de maladies de l'humeur ou de trouble du déficit de l'attention avec ou sans hyperactivité. Elle est très impliquée dans la transmission des connaissances relatives aux troubles de l'attention auprès de ses collègues médecins, des intervenants en santé et du public en général.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
LEH Edition,,
Albert Bigot,,https://m.media-amazon.com/images/S/amzn-author-media-prod/r08bllop6m8umrjujk2le1r0nt._SY600_.jpg
Docteur Deborah Ducasse,"Déborah Ducasse est médecin, psychiatre-psychothérapeute.


Véronique Brand-Arpon est docteur en biologie de la santé, infirmière-psychothérapeute.",
Bessel van der Kolk,"Revue de presse
An astonishing and important book. The trauma Bible. I cannot recommend it enough for anyone struggling with...well...anything -- Tara Westover

Fascinating, hard to put down, and filled with powerful case histories. . . . the most important series of breakthroughs in mental health in the last thirty years -- Norman Doidge, author of The Brain That Changes Itself

A gripping bestseller about where trauma goes, and its disastrous effects on both individuals and societies. Deeply interesting. ― The Times

Nobody can stop talking about this book right now . . . you might want to listen -- Maddie Bender ― Men's Health

Dr. van der Kolk's masterpiece combines the boundless curiosity of the scientist, the erudition of the scholar, and the passion of the truth teller -- Judith Herman, M.D., author of Trauma and Recovery

Everyone should read this book -- Nigella Lawson

A seminal book that outlines the author's pioneering work -- Thea Jane May ― Vogue

Draws on 30 years of experience to argue powerfully that trauma is one of the West's most urgent public health issues... Packed with science and human stories ... van der Kolk has a lot to say, and the struggle and resilience of his patients is very moving ― New Scientist

Fundamental in understanding how our physical self is connected to all the things we go through and beyond -- Gemma Cairney

A masterpiece of powerful understanding and brave heartedness, one of the most intelligent and helpful works on trauma I have ever read. . . a brilliant synthesis of clinical cases, neuroscience, powerful tools and caring humanity, offering a whole new level of healing -- Jack Kornfied, author of A Path With Heart

Incredible -- William Leith, 'Books of the Year' ― Evening Standard
Quatrième de couverture
The effects of trauma can be devastating for sufferers, their families and future generations. Here one of the world's experts on traumatic stress offers a bold new paradigm for treatment, moving away from standard talking and drug therapies and towards an alternative approach that heals mind, brain and body.
En lire plus",
Pascale De Coster,"Pascale de Coster est une spécialiste du TDA/H. Touchée directement par ce trouble et fondatrice de l’association TDA/H en Belgique, Chez Mardaga, elle a également publié Le TDA/H chez l’adulte et TDA/H chez l’enfant",
