Nom,Description,Photo
Kale James,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Kale James,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Maïtena Biraben,Maïtena Biraben a 56 ans. Elle a longtemps travaillé dans l’audiovisuel. On lui doit notamment « Les Maternelles » sur France 5. Elle a aussi présenté « La Matinale » et « Le Supplément » sur Canal Plus. Elle est aujourd’hui co-fondatrice de Mesdames Productions. La femme invisible est son premier livre chez Grasset.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Huginn & Muninn,,
Véronika Loubry,"Veronika Loubry est une animatrice de télévision et de radio. Elle reçoit le 7 d'or en 2000. Elle arrête alors sa carrière pour s'occuper de ses enfants. Par la suite, elle devient créatrice de mode, se reconvertit dans le monde de l'influence pour devenir la personnalité la plus influente auprès des femmes de 50 ans et + d'après Forbes en 2023.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Guillaume Meurice,Guillaume Meurice est humoriste.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Famille Kretz,"Olivier et Sandrine Kretz ont créé en 2007 une agencfe spécialisée dans l'immobilier de luxe, dans laquelle ils collaborent avec leurs enfants Martin, Valentin, Louis et Raphaël, sous le regard de Majo, la grand-mère.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anaïs Maquiné Denecker,"Anais Maquiné est journaliste et productrice et vit entre Los Angeles et Paris. Elle a été rédactrice en chef des émissions E=M6, confessions intimes, 10H le mag, MIAM et de nombreux primes unitaires pour TF1 et M6. Elle a aussi créé, écrit et produit plusieurs concepts audiovisuels pour M6: les chefs contre-attaquent et l'histoire au quotidien. Travaillant entre les USA et la France, elle a récemment collaboré à la réalisation de l'émission Love trip Paris"" pour Fox Entertainment diffusé sur Disney + et Hulu./ Voix off de nombreux programmes tv, elle est aussi auteure. Son dernier roman ""la clé"" paru aux éditions des falaises a reçu le prix coup de cœur polar des libraires 2020.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Golden Stephy,,
Adeline Toniutti,"Adeline Toniutti est chanteuse et pédagogue de renom, entourée de médecins spécialistes, elle anime des colloques internationaux pour faire avancer l'expertise sur la voix. Femme de télévision et artiste engagée, parmi ses combats, elle lutte tout particulièrement contre les violences conjugales.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Bruno Hourcade,"Diplômé d'une école de commerce, originaire du Sud-Ouest, Bruno Hourcade a raflé, à 29 ans, tous les records des jeux télés.

Cyrille Legendre, journaliste et écrivain, auteur de plusieurs romans policiers publiés au Masque, est lui aussi l'un des grands champions des "" 12 Coups de Midi "".",
Philippe Meyer,"Sociologue et essayiste, journaliste culturel, animateur de télévision, chroniqueur matutinal, portraitiste politique, producteur de radio, auteur de livres de reportages, de one-man-show, créateur de podcasts, Philippe Meyer est l'auteur de nombreux best-sellers, dont Dans mon pays lui-même... (Flammarion), Pointes sèches (Le Seuil) et Paris la Grande (Flammarion).",
Vincent Lagaf,"Né en 1959, Vincent Lagaf' est un humoriste, acteur, chanteur, imitateur, comédien et animateur de télévision. Je m'appelais Franck est son premier livre et a paru aux éditions XO en 2023.

Retrouvez toute l'actualité de l'auteur sur :
www.instagram.com/vincelagaf/
www.tiktok.com/@vincent_lagaf
www.facebook.com/VincentLagafOfficiel/",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Patrick Mahé,"Patrick Mahé a été le directeur général de la rédaction de Paris Match. Formé par Roger Thérond dès son arrivée en 1980, il est, 20 ans durant, un pilier de la rédaction en chef du titre.
Postface par Jérôme Béglé, directeur général de la rédaction de Paris Match.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christophe Dechavanne,"Christophe Dechavanne est né en 1958 à Paris. D'abord animateur de radio sur Radio 7 et France Inter, il se fait connaître du grand public durant les années 1980 en présentant C'est encore mieux l'après-midi sur Antenne 2. Depuis septembre 2022, on le retrouve tous les samedis avec Léa Salamé dans Quelle époque ! sur France 2.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Emily Grayhill,,
Sylvain Augier,"Sylvain Augier vit aujourd'hui avec sa famille près de Sommières dans le Gard. Il y anime régulièrement des rencontres avec des écrivains renommés, Éric-Emmanuel Schmitt, Laurent Gounelle, Boris Cyrulnik, Bernard Werber...",
Matthew Perry,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Pierre Verger,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Olivier Pilloud,"En cinquante ans de vie professionnelle, Olivier Pilloud, ingénieur en électronique, a acquis une solide expérience dans les domaines de la transmission radio et de l'électronique. Il a assumé diverses fonctions, entre autres, ingénieur de conception de circuits intégrés analogiques, de circuits de haute fréquence et ingénieur de recherche dans la modélisation de semi-conducteurs. Il enseigne la matière de cet ouvrage depuis 1980 à des classes de candidats à l’examen de radioamateur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mark Sanderson,"MARK SANDERSON started his journalistic career reviewing films for Time Out. He is now a literary critic for the London Evening Standard and the Sunday Telegraph. He is the author of several books: Wrong Rooms (2002), a memoir, and the novels Snow Hill (2010) and The Whispering Gallery (2011).",
Jeff Kurtti,"A lighthearted twist on Rapunzel, the beloved fairy tale from the Brothers Grimm, Tangled brims with thrilling adventure, a distinctive cast of characters, a daring heroine, and, of course, seventy feet of golden hair. Featuring the stunning concept art behind the newest Disney masterpiece, The Art of Tangled also includes a preface by John Lasseter, a foreword by Directors Nathan Greno and Byron Howard, and interviews with the artists, animators, and production team-including Art Director David Goetz-that shed light on the history and artistry of this landmark film.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Olivier de Kersauson,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
