Nom,Description,Photo
Sylvain Tesson,"Sylvain Tesson est notamment l'auteur du Petit traité sur l'immensité du monde (Equateurs), Dans les forêts de Sibérie (Gallimard, Prix Médicis Essai), La Panthère des neiges (Gallimard, Prix Renaudot).",https://m.media-amazon.com/images/S/amzn-author-media-prod/1mhf94e3m4i9806f6o9oj1uavf._SY600_.jpg
Lorelou Desjardins,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jafun731v5mbi0292adghfv4cr._SY600_.jpg
Sylvain Tesson,"""Il m'aura fallu courir le monde et tomber d'un toit pour saisir que je disposais là, sous mes yeux, dans un pays si proche dont j'ignorais les replis, d'un réseau de chemins campagnards ouverts sur le mystère, baignés de pur silence, miraculeusement vides. La vie me laissait une chance, il était donc grand temps de traverser la France à pied sur mes chemins noirs. Là, personne ne vous indique ni comment vous tenir, ni quoi penser, ni même la direction à prendre."" Sylvain Tesson.",https://m.media-amazon.com/images/S/amzn-author-media-prod/1mhf94e3m4i9806f6o9oj1uavf._SY600_.jpg
Mélodie Miller,,https://m.media-amazon.com/images/S/amzn-author-media-prod/72jikqi0nadpolufhn60fbbfr1._SY600_.jpg
Sylvain Tesson,"""- Tesson ! Je poursuis une bête depuis six ans, dit Munier. Elle se cache sur les plateaux du Tibet. J'y retourne cet hiver, je t'emmène. - Qui est-ce ? - La panthère des neiges. Une ombre magique ! - Je pensais qu'elle avait disparu, dis-je. - C'est ce qu'elle fait croire.""",https://m.media-amazon.com/images/S/amzn-author-media-prod/1mhf94e3m4i9806f6o9oj1uavf._SY600_.jpg
Sylvain Tesson,"Né en 1972, il est membre de la Société des explorateurs français. Son recueil, Une vie à coucher dehors, a été récompensé du Goncourt de la nouvelle 2009. Il a également reçu pour son essai, Dans les forêts de Sibérie, le prix Médicis 2011.",https://m.media-amazon.com/images/S/amzn-author-media-prod/1mhf94e3m4i9806f6o9oj1uavf._SY600_.jpg
Mathieu Blanchard,"Mathieu Blanchard, 35 ans, est aventurier et ultra traileur. Ancien candidat de l'émission de téléréalité ""Koh Lanta"", il a quitté sa carrière d'ingénieur pour se consacrer à son sport et en devenir l'une de ses icônes.

Kilian Jornet, né en 1987, est un sportif professionnel espagnol, spécialiste de ski-alpinisme, d'ultra-trail et de course en montagne. Auteur de plusieurs records d'ascension, il est aussi triple champion du monde de skyrunning et vainqueur des ultra-trails les plus prestigieux. Kilian Jornet est également l'écrivain de Courir ou mourir (Arthaud, 2015) et La Frontière invisible (Arthaud, 2017).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Julien Esclause,,
Antoine,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mme Céline Fuentès,,https://m.media-amazon.com/images/S/amzn-author-media-prod/l717qomsas3pbea3pg3ucd7e27._SY600_.jpg
Lonely planet fr,"David Eimer : Moluques (Maluku) David est journaliste et écrivain depuis qu'il a renoncé à faire carrière dans le droit en 1990. Ayant travaillé quelque temps à Londres, sa ville natale, et à Los Angeles, il a emménagé en 2005 à Pékin, d'où il prête sa plume pour divers journaux et magazines britanniques. Depuis, il a voyagé et vécu dans plusieurs régions de Chine et du Sud-Est asiatique, dont Bangkok, Phnom Penh et Rangoun. Il se rend en Chine, au Myanmar et en Thaïlande pour Lonely Planet depuis 2006. Pour la présente édition, il a également contribué aux sections Préparer son voyage, Comprendre et Guide pratique. Paul Harding : Kalimantan. Ecrivain et photographe, Paul a passé le plus clair de ces deux dernières décennies à parcourir le globe, attiré par les contrées, îles et cultures reculées et souvent méconnues. Il a ainsi été auteur et contribué à la mise à jour de plus de 50 guides Lonely Planet sur des pays aussi variés que l'Inde, le Belize, le Vanuatu, l'Iran, l'Indonésie, la Nouvelle-Zélande, l'Islande, la Finlande, les Philippines et l'Australie, son pays natal. Ashley Harrell : Papouasie. Après avoir fait du porte-à-porte pour vendre des forfaits de spa dans le sud de la Floride, Ashley a préféré devenir auteure. Elle a obtenu un diplôme de journalisme, a convaincu un journal de l'embaucher et a commencé à écrire des articles sur des thèmes aussi divers que la vie sauvage, la criminalité ou le tourisme. Nourrissant son appétit pour la narration et l'inconnu, elle a beaucoup voyagé et déménagé, passant d'un minuscule appartement new-yorkais à un grand ranch californien puis à une cabane dans la jungle costaricaine, où elle a débuté son travail d'auteure pour Lonely Planet. Depuis, elle voyage vers des destinations encore plus exotiques et lointaines... et toujours avec le même bonheur.",https://m.media-amazon.com/images/I/41wavvV5lpL._SY600_.jpg
Patrick Baud,"Sud Ouest : « On se régale. »

Petitfute.com : « Une belle idée cadeau à l'approche des fêtes de fin d'année, pour tranquillement voyager depuis le confort de son canapé. »

La Vie : « Une invitation à un tourisme culturel hors des sentiers battus... ni vu ni connu. Magique. »

Nice Matin : « on en a plein la vue car ce livre est franchement magnifique et, surtout, il donne envie de voyager »

Lemonde.fr : « Une invitation au voyage qui donne envie de redécouvrir la France. »

Télé Z : « Un régal pour les yeux »

A/R Magazine Voyageur : « Il faut se rendre à l’évidence : Patrick Baud en sait beaucoup plus que nous. Toujours, il nous surprend. »

Le Courrier Picard : « Un tour de France étonnant »

Nous Deux : « Une exploration des trésors de France »",https://m.media-amazon.com/images/I/B1wru3uRv+S._SY600_.jpg
Jake The Korean Dream,"Jake est un auteur, entrepreneur et vidéaste spécialisé sur la Corée du Sud, sa culture et sa langue. Depuis son plus jeune âge, il a nourri une passion pour la Corée qui l'a poussé à vivre son ""Korean Dream"" en s'installant dans ce pays en 2015.

Pour aider d’autres passionnés de la Corée, il a créé le site The Korean Dream, qui est aujourd'hui le premier site francophone classé sur Google pour les conseils aux voyageurs en Corée.



Il partage également sa passion à travers sa chaîne YouTube avec des vidéos aux thèmes variés, suivie par plus de 130 000 abonnés, tous également passionnés par le pays du matin calme. En tant qu'auteur, il a écrit plusieurs livres sur la langue et la culture coréenne, tels que ""Coréen pour tous"" et ""Un français en Corée"", dans lesquels il propose des méthodes d'apprentissage ludiques du coréen, ainsi que ""Les histoires de grand-père Moon"", qui partage la culture coréenne aux francophones.



Jake est un vrai passionné de la Corée, et son travail reflète son engagement et son amour pour ce pays. Ses contenus sont uniques et ludiques et sont une ressource précieuse pour tous ceux qui cherchent à découvrir la Corée, sa langue et sa culture.


Après une année préparatoire aux Ateliers de Sèvres, Inès rejoint la section illustration au sein de l’école de Condé Paris. Elle y a exploré diverses techniques et méthodes de travail caractérisées par l’élégance d’un trait fin et de l’utilisation du noir et blanc. Le dessin à la main et le sens du détail sont aussi des points majeurs de sa pratique artistique, car la marge d’erreur qui en découle, apporte toute la sensibilité au trait.

Magali est une vraie passionnée du dessin. Autodidacte, elle a fait de son rêve une réalité en devenant illustratrice et graphiste. Spécialisée dans le dessin coréen, elle a également illustré et mis en page, plusieurs ouvrages sur le coréen et la culture coréenne.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
EDOUARD MAITRE,,
