Nom,Description,Photo
Marc Aurèle,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Chloé Thibaud,"Chloé Thibaud est journaliste indépendante, spécialiste des sujets culture et société. Diplômée du CELSA, elle débute sa carrière chez France 3 en tant que reporter, rejoint ensuite le Groupe Marie Claire, avant d'être réalisatrice pour l'émission culturelle “Entrée Libre“ sur France 5 puis rédactrice en chef de la newsletter féministe “Les Petites Glo“. Depuis septembre 2022, elle écrit une newsletter hebdomadaire en collaboration avec Simone Média, “La Pause Simone“, qui compte plus de 500.000 abonnés.

Elle est l'autrice de plusieurs ouvrages : “En relisant Gainsbourg“ (2021, Bleu nuit éditeur), “Hum Hum, et si on parlait vraiment de sexe ?“ (2022, Webedia Books), “Toutes pour la musique“ (2022, Hugo Image) et “Pécho Canards - Décryptage d'une vie amoureuse tumultueuse“ (2023, Mango Society).",
William T. Harrison,,https://m.media-amazon.com/images/S/amzn-author-media-prod/pnipm0cgpivg2o172ecla26car._SY600_.jpg
Morgan N. Lucas,"Morgan est thérapeute et formateur sur les questions de diversités de genres, de sexualités et de relations. Sur les réseaux sociaux, il vulgarise des concepts liés à l’identité, à l’intimité et à la santé mentale.",
GABERAN PHILIPPE,"L’essentiel du travail de l’éducateur réside dans le caractère anecdotique de sa présence à l’Autre. Ce n’est pas pour autant que tout le monde peut se dire éducateur ! L’apparente simplicité d’un « être avec » masque la réelle complexité du « faire avec ». Et ce serait maintenir une illusion que de penser trouver les ressorts du métier d’éducateur en quelques savoirs disciplinaires : ceux-ci ne peuvent l’expliquer que dans l’après-coup.

Le sens du métier d’éducateur est à puiser dans une lecture appliquée des actes posés au jour le jour ; encore faut-il pour cela disposer d’un langage approprié. D’où le choix de cent mots simples et pourtant illustratifs de la difficulté de ce métier. Cent mots pour une profession longtemps restée sans mots ! Tel est le pari de ce dictionnaire qui, par le biais de chacune des notions explorées, tisse des liens entre l’apparente banalité des gestes quotidiens de l’éducateur et leur fondamentale répercussion sur le développement de la personne accompagnée dans une relation d’aide éducative ou de soin.

Au final, ce dictionnaire ne conceptualise pas une pratique professionnelle ; il la rend visible et lisible par tous ceux qui sont appelés à l’exercer. Il est une trousse à outils que tout éducateur devra savoir garder à portée de main, tant pour l’aider dans ses écrits que pour penser sa pratique.",https://m.media-amazon.com/images/I/71vcqjwBtWL._SY600_.jpg
Elias Theodorakis,,https://m.media-amazon.com/images/S/amzn-author-media-prod/28vql8rq1d02d1rrg97ikgi4hd._SY600_.jpg
Philippe Roger,"Philippe Roger, chercheur au CNRS, il enseigne à l'École des hautes études en sciences sociales. Il est l'auteur de plusieurs ouvrages, portant notamment sur le XVIIIe siècle et d'un essai sur Barthes (Roland Barthes, roman, Grasset, 1986). Directeur de la revue Critique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Lotus Zen,,
James W Williams,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jm7mc7aeh6ogdmb5lsc4edodvb._SY600_.jpg
Anne-Sophie DUPLANTIS,,
