Nom,Description,Photo
NSA Mediprint,,https://m.media-amazon.com/images/S/amzn-author-media-prod/roan6hirrd90ae0mq29kh2gctg._SY600_.jpg
Rita Badraoui,,https://m.media-amazon.com/images/S/amzn-author-media-prod/755ld05r4qdvj6cfqm74sib69m._SY600_.jpg
Mike Tavernello,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christophe de Jaeger,"Christophe de JAEGER est médecin et chercheur. Il développe depuis plus de trente-cinq ans une vision axée sur la santé et la prévention. Son travail s'appuie sur la physiologie et la meilleure gestion possible de notre capital santé dans une perspective de longévité en bonne santé. Conférencier international, il est chargé d'enseignement à la faculté de médecine et préside la société française de médecine et physiologie de la longévité. Il est l'auteur de nombreux articles et ouvrages sur cette thématique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christophe Serresseque,,
Claude Davis,,
Dr. Casey Means,"""Get ready for the best deep dive and needed explanations into the diseases that plague us all today, along with what to do to heal."" Jessie Inchauspe, #1 Sunday Times bestselling author of The Glucose Goddess Method and Glucose Revolution
""Good Energy is a powerful vision for a brighter future – for both people and the planet."" Jay Shetty, Sunday Times bestselling author and podcaster
“Good Energy is a life-changing book full of accessible science and practical strategies for metabolically healthy living and blood sugar control."" Dr Sara Gottfried, author of New York Times bestselling The Hormone Cure
“A tour de force on how metabolism underpins most major diseases and what we can do to feel better and live longer. Everyone will benefit from reading Good Energy.” Dr Mark Hyman, 15x New York Times bestselling author
“An empowering book which argues we have much more control over our health than we’re led to believe.” Max Lugavere, author of New York Times bestselling Genius Foods
“Good Energy provides readers with tactical tips to take their power back."" Jillian Michaels, fitness and nutrition expert
“Good Energy is an actionable guide to optimize your metabolism, energy, and take your health back.” Tim Gray
""Full of actionable steps to be mentally and physically strong, and revitalize your life.” Dr Gabrielle Lyon New York Times bestselling author of Forever Strong
“Here are the keys to the kingdom for regaining and maintaining optimal health.” Dr David Perlmutter, #1 New York Times bestselling author of Grain Brain
""Good Energy provides an empowering and accessible roadmap for how we can all work towards living a healthier and happier life."" Poppy Jamie, bestselling author and podcaster",
Robin Sharma,"Robin Sharma, LL.B., LL.M., is one of the world's top experts on leadership and personal development, having helped millions of people to live their best lives. He is the author of 11 major international bestsellers, including The Monk Who Sold His Ferrari and The Greatness Guide. His work has been published in over 60 countries and in nearly 70 languages, making him one of the most widely read authors in the world.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ddl6isug919ukj2r4bla21gm4q._SY600_.jpg
Rodolphe Zunzarren,"Docteur en chirurgie dentaire pratique libérale ancien assistant hospitalo-universitaire en odontologie conservatrice-endodontie à l'université de Bordeaux.

Dirige l'organisme de formation Restore (odontologie conservatrice).",https://m.media-amazon.com/images/I/91BXVt3AefL._SY600_.jpg
Sara Di Pietro,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c6adid4gsl0nd1pfg7k0ecue6e._SY600_.jpg
James SPY,,
Michel Lambert,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mridula Goswami,,
Jean-Paul Louisot,"Dans un monde de plus en plus complexe, interconnecté et volatile, l'ERM (Enterprise Risk management) est devenu une composante indispensable de la stratégie tant lors de son développement que dans le suivi de son exécution. Cet ouvrage rassemble le travail précieux de Jean-Paul Louisot, l'expert international sur ce sujet majeur. Il s'attache à traiter sous forme de grands thèmes, les problématiques d'aujourd'hui et de demain, les défis et les grands chantiers que le risk management et les Hommes qui le gère, auront à mener. Des problématiques émergentes, aux nouvelles approches en passant par les nouvelles responsabilités (en particulier le rôle des administrateurs et des dirigeants ainsi que de l'ensemble des opérationnels), l'auteur offre sa réflexion, et propose des pistes à suivre. Un grand livre qui traite des grandes problématiques de demain et déjà d'aujourd'hui. A s'approprier sans tarder !",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Laurent Dussarps,Docteur en chirurgie dentaire diplômé de la faculté de Bordeaux ###Attaché hospitalier au CHU de Bordeaux ###Expert de justice près la Cour d'Appel de Bordeaux,https://m.media-amazon.com/images/S/amzn-author-media-prod/nict0k67qckqrjvleo9sc0mq0n._SY600_.jpg
NSA Mediprint,,https://m.media-amazon.com/images/S/amzn-author-media-prod/roan6hirrd90ae0mq29kh2gctg._SY600_.jpg
Michèle Muller-Bolla,"L’odontologie pédiatrique est une discipline particulière ! Parmi les différentes disciplines d’enseignement reconnues en odontologie, elle est la seule à ne pas être centrée sur un domaine de compétences techniques spécifiques mais sur un type de patients en cours de croissance : le nouveau-né, l’enfant et l’adolescent.
Présenté de manière résolument pratique, ce livre traite en 114 chapitres et plus de 1 100 illustrations de nombreux aspects de l’odontologie pédiatrique. Rédigé de façon synthétique, ces chapitres se réfèrent en priorité aux revues systématiques d’essais cliniques randomisés, essais contrôlés randomisés et recommandations basées sur les niveaux de preuve selon le principe de la dentisterie factuelle. Ainsi, il propose une succession d’informations et de recommandations cliniques utiles à la prise en charge de nos jeunes patients à besoins spécifiques ou non.
Ce livre est le fruit du travail de nombreux membres du Collège des Enseignants en Odontologie
Pédiatrique. Il a été soumis à l’analyse critique d’autres membres de ce même collège ainsi qu’à des membres d’autres collèges afin de parvenir, si nécessaire, à un consensus.
Ce Guide clinique, unique dans sa forme mais aussi quant au nombre de ses auteurs, constitue à la fois un référentiel pour les étudiants en formation initiale ou les internes, et un outil pratique pour les omnipraticiens dans leur exercice clinique quotidien.",
"Victoria Leto""",,
Kazutoyo Yasukawa,,
Vanessa Ernst,,
Julie Zhao,,
BLOW PARK,,
GEORGIA KNAP,,
Elisabeth Dursun,,
