Nom,Description,Photo
James Path,,https://m.media-amazon.com/images/S/amzn-author-media-prod/n9hpvaaiu9fa7bv9cq89mr9fmq._SY600_.jpg
Jean Baudrillard,"La consommation est devenue la morale de notre monde. Elle est en train de détruire les bases de l'être humain, c'est-à-dire l'équilibre que la pensée européenne, depuis les Grecs, a maintenu entre les racines mythologiques et le monde du logos.L'auteur précise : ""Comme la société du Moyen Âge s'équilibre sur la consommation et sur le diable, ainsi la nôtre s'équilibre sur la consommation et sur sa dénonciation.""",https://m.media-amazon.com/images/I/61u5hFI35pL._SY600_.jpg
Veronique Campion-vincent,"""Rien n’arrive par hasard"", ""Tout est lié"", ""Les choses ne sont pas ce qu’elles semblent être"" : nous voyons partout des complots - en particulier des ""mégacomplots"", dont les ambitions seraient planétaires. Ce phénomène est massif, varié, et touche à peu près tous les secteurs de la société, augmentant la confusion et l’incertitude qui caractérisent notre époque. Comment s’y retrouver ? Comment distinguer un vrai complot d’un complot fantasmé ? Que disent ceux qui y croient - les ""théoriciens du complot"" - et qu’en pensent les spécialistes ? Si l’heure est au soupçon généralisé, avons-nous de bonnes raisons d’être paranos ? Réponse dans ce livre, premier décryptage de l’une des grandes tendances de la société contemporaine.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Angela Rivoli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/gv1d91te3rd2r02pd4iabdnl4o._SY600_.jpg
Norbert Elias,"Allemand, né à Breslau en 1897 et mort à Amsterdam en 1990, Norbert Elias est issu d'une famille de commerçants juifs. De formation philosophique, disciple puis assistant de Mannheim, il émigre en Suisse puis à Paris après l'arrivée des nazis au pouvoir. Il finit par s'établir à Londres où il se consacre à la rédaction du Procès de la civilisation. Dans ce livre publié en 1939 (et qui paraîtra dans sa traduction française en deux volumes : La civilisation des mœurs, 1973, et La dynamique de l'Occident, 1977), il présente la civilisation occidentale comme le résultat d'un lent processus de domestication des pulsions, et montre le rôle capital joué par la société de cour aux diverses étapes de cette évolution. Il commence alors une longue carrière d'enseignant en Angleterre où il demeure – exception faite d'un séjour au Ghana (1962-1964) – jusqu'à la retraite ; à la même période il publie La société de cour (1969). À partir de 1975, il se partage entre Amsterdam et Bielefeld en Allemagne, et poursuit ses travaux qui aboutissent à la publication de La dynamique de l'Occident (1977) et de La société des individus (1987). Sous la forme de synthèses vivantes où l'analyse, en dépit d'une perspective historique et globale, ne perd rien de son concret et de sa précision, Norbert Elias a apporté une brillante contribution à la sociologie contemporaine.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anthony Mitchell,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christopher Lasch,"Le seul et vrai paradis Les fractions les plus modestes des classes moyennes européennes et américaines, grâce à leur culture du sens des limites, surent un temps se prémunir contre les mirages de la surabondance illimitée. La tradition de radicalisme plébéien qui fut celle de cette petite bourgeoisie donna lieu à la seule tentative sérieuse de poser l'une des grandes questions politiques refoulées des XIXe et XXe siècles : l'abandon de ce fondement matériel de la vertu civique qu'était la propriété des moyens de production annonçait-il vraiment des temps meilleurs ? George Orwell, Walter Benjamin ou encore Hannah Arendt ont montré qu'il n'était pas nécessaire d'être progressiste pour être démocrate. Christopher Lasch montre que les mouvements démocratiques des trois derniers siècles, aussi bien en Europe qu'outre Atlantique, se constituèrent tous en opposition à un «mouvement de l'histoire» auquel ils ne croyaient pas.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jared Diamond,,https://m.media-amazon.com/images/I/31rmS-HV34L._SY600_.jpg
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Olivier Rey,Olivier Rey enseigne les mathématiques à l 'Ecole polytechnique et poursuit des recherches au CNRS.,
Gérard Noiriel,"Gérard Noiriel est historien, directeur d'études à l'EHESS, et auteur de nombreux livres sur l'histoire sur l'histoire de l'immigration en France, sur le racisme, sur l'histoire de la classe ouvrière et sur les questions interdisciplinaires et épistémologiques en histoire. Il tient un blog dans lequel il approfondit, explicite et discute les questions développées dans ces livres et s'exprime sur les grands problèmes d'actualité en mobilisant les outils des sciences sociales : .",
Paul Doumer,,
Paul Veyne,""" Cette folie, qui lançait les riches dans une surenchère de dons à la collectivité (chacun voulant se montrer plus magnifique que le voisin), porte un nom savant - l'évergétisme - et vient de trouver son historien. Paul Veyne a quelque chose de la prodigalité de ses héros, les évergètes. Il déverse sur ses lecteurs médusés les trésors de son information, les souvenirs de ses campagnes à travers l'érudition germanique et la sociologie anglo-saxonne, dépense en quelques pages la matière de vingt thèses et mobilise toutes les ressources d'un esprit follement ingénieux pour comprendre et faire comprendre ce que ces cadeaux en cascade étaient chargés d'entretenir. """,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ben Jeffrey Morris,,https://m.media-amazon.com/images/S/amzn-author-media-prod/4vkg95igucl4k9phcrdk1l87uo._SY600_.jpg
Buchfaktur Verlag,,
Landen Black,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nadine Touzeau,,https://m.media-amazon.com/images/I/81jl8qYJXTL._SY600_.jpg
Arthur de Gobineau,,
Jacques Paviot,"Jacques Paviot a été chercheur au CNRS de 1981 au 1999, maître de conférence à Paris-IV-Sorbonne, il est actuellement professeur d'histoire médiévale à l'université de Paris-XII-Val de Marne.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Louis-Jean Calvet,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Thomas Laqueur,"1712 : dans les bas-fonds littéraires de Londres, paraît une brochure anonyme. De l'habituel flot d'écrits pornographiques, rien ne la distingue. Sinon son titre, étrange, interminable, dérivé d'un épisode, mineur et interprété à contre-sens, de la Bible : Onanie ou L'odieux péché de pollution de soi-même, et toutes ses effroyables conséquences, considéré chez les deux sexes, accompagné de conseils spirituels et physiques à tous ceux qui se sont blessés par cette abominable pratique.Comment expliquer que ses thèses connaîtront, en moins d'un siècle, un succès mondial, traduites et relayées dans les principales langues, appuyées par les autorités théologiques de toute confession, promues au rang du mal social extrême sous la plume des plus grandes autorités pédagogiques, médicales, puis psychanalytiques ?Il faut suivre Thomas Laqueur dans sa vaste enquête. Il perce d'abord l'identité de l'auteur, John Marten, chirurgien et charlatan. Il montre ensuite que, des Anciens aux Pères de l'Église, le plaisir en solitaire était condamné uniquement parce qu'il ne donne pas lieu à enfantement. Ce sont les Lumières qui font de l'onanisme un problème majeur. C'est l'époque où naît l'économie politique, qui pose que la satisfaction des plaisirs individuels, par le jeu du marché, permet à l'égoïsme forcené de chacun de contribuer au bien-être de tous et d'oeuvrer, par sa limitation, à l'émergence de la société. Or, de tous les plaisirs, le solitaire est le seul à ne connaître ni limite ni satisfaction sociale contribuant à l'enrichissement de tous...",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Emmanuel Le Roy Ladurie,"Montaillou : petit village de montagnards et de bergers en haute Ariège, à 1 300 mètres d'altitude. En 1320, Jacques Fournier, évêque de Pamiers, plus tard pape d'Avignon, y déploie ses talents d'inquisiteur. Maigret avant la lettre, Jacques Fournier finit par déterrer tous les secrets du village. Rien n'échappe à cet évêque fureteur, ni les vies intimes, ni les drames de l'existence quotidienne. En s'appuyant sur cet extraordinaire document de Jacques Fournier, sorte de roman vrai du petit peuple du XIVᵉ siècle, Emmanuel Le Roy Ladurie ressuscite, en utilisant les méthodes historiques et ethnographiques les plus actuelles, la réalité occitane et cathare d'il y a six cent cinquante ans.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Armand Mattelart,"Expulsé du Chili, après y avoir séjourné onze ans, lors du coup d'État du 11 septembre 1973, Armand Mattelart intègre alors l'université française. Il est aujourd'hui professeur émérite de sciences de l'information et de la communication à l'université Paris-VIII. Il a notamment publié, aux éditions La Découverte L'Invention de la communication (1994 ; Poche, 2011), Histoire de l'utopie planétaire (1999 ; Poche 2009) et La Globalisation de la surveillance. Aux origines de l'ordre sécuritaire (2007 ; Poche, 2008).


Michèle Mattelart, essayiste et chercheuse a publié de nombreux ouvrages consacrés aux médias, à la culture et à la communication.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Vincent Andrews,,https://m.media-amazon.com/images/S/amzn-author-media-prod/4tlfn4ls8rfbc6k0su99shtut9._SY600_.jpg
