Nom,Description,Photo
Samuel P. Huntington,"Un pavé dans la mare. Les propos de Samuel Huntington ont souvent été controversés, critiqués : il est vrai que son interprétation de l'évolution de la politique mondiale et des relations internationales est percutante.
Les chocs entre civilisations représentent la principale menace pour la paix dans le monde, mais ils sont aussi, au sein d'un ordre international désormais fondé sur les civilisations, le garde-fou le plus sûr contre une guerre mondiale.
D'après l'auteur, la géopolitique mondiale ne se lit plus dans l'opposition idéologique - comme ce fut le cas entre les deux blocs de la guerre froide -, mais dans des conflits et des oppositions entre grandes civilisations, regroupées par affinités culturelles.
Les mots peuvent choquer : l'auteur questionne le possible déclin de l'Occident face à la montée en puissance économique et démographique des pays d'Asie (Chine et Inde) et face à l'islam. Mais le raisonnement se fait plus profond, plus convaincant : la mondialisation n'entraîne pas une uniformisation des civilisations, mais renforce des pôles majeurs, suscite des nouvelles concurrences, alliances et oppositions. Il propose à un public averti un cadre général à la compréhension de la politique globale à l'aube du XXIe siècle. --Mattieu Reno",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gregoire Chamayou,"Grégoire Chamayou est agrégé de philosophie, chercheur au CNRS Cerphi ENS Lyon. Derniers livres parus : Théorie du drone (2013), Les chasses à l'homme (2010).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jérôme Fourquet,"Jérôme Fourquet est analyste politique, expert en géographie électorale, directeur du département Opinion à l'IFOP. Sylvain Manternach est géographe et cartographe, issu de l'Institut français de géopolitique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yves Cochet,"Pablo Servigne Ingénieur agronome et docteur en biologie. Spécialiste des questions d'effondrement, de transition, d'agroécologie, il a publié récemment L'Entraide (LLL, 2017). Raphaël Stevens Eco-conseiller, expert en résilience des systèmes socioécologiques, il est cofondateur du bureau de consultance Greenloop.",
Max Weber,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Giuliano da Empoli,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alain Deneault,"Alain Deneault, docteur en philosophie de l'Université Paris-VIII, est notamment l'auteur de Noir Canada (Ecosociété, 2008), Offshore (Ecosociété/La Fabrique, 2010), Paradis sous terre (Ecosociété/Rue de l'Echiquier, 2012), ""Gouvernance"" (Lux, 2013) et Paradis fiscaux (Ecosociété, 2014).",https://m.media-amazon.com/images/I/31-KQPlCwKL._SY600_.jpg
Cristina de Robertis,"Depuis 35 ans, par une approche globale qui prend en compte les dimensions individuelle, familiale et de groupe, ce manuel demeure la référence pour la formation aux méthodes du travail social. Traduit en plusieurs langues, il représente une contribution fondamentale à la construction internationale du travail social. Cette nouvelle édition a été révisée et actualisée en tenant compte des évolutions récentes des problématiques et des terminologies.
Parce qu'une profession n'existe pas sans un ensemble de connaissances transmissibles et un cadre conceptuel général intégrant la diversité des approches et des modèles, ce livre contient les éléments de base indispensables pour le savoir-faire professionnel (processus historique de construction de la méthodologie, liens entre travail social et sciences sociales, concepts et élaboration de la méthodologie d'intervention et étapes du processus d'intervention), tout en contribuant à la construction d'une professionnalité créative et impliquée.
Les étudiants et praticiens du travail social (re)découvriront ici un véritable manuel de formation professionnelle, initialement destiné aux futurs assistants de service social, mais dont l'audience s'est depuis élargie à d'autres formations en travail social. Ils y trouveront un outil d'analyse et de réflexion proposant des repères pour une plus grande aisance pratique, et un cadre conceptuel général pour penser leur savoir-faire professionnel.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Emmanuel Dockès,"Emmanuel Dockès est professeur de droit du travail à l’université Paris Ouest Nanterre. Il réfléchit et écrit également au-delà du domaine juridique, et notamment sur les rapports de pouvoir en démocratie. Il collabore à plusieurs expérimentations misarchiques. Il a ainsi participé à l’exposition Lieux infinis à la Biennale d’architecture de Venise en 2018 sur le thème de friches, avec le collectif rennais de l’Hôtel Pasteur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Zygmunt Bauman,"Zygmunt Bauman est né en Pologne en 1925. Il a enseigné la sociologie à l'université de Leeds, où il est professeur émérite. Sociologue de réputation mondiale il a publié de nombreux ouvrages, dont, dans la collection ""Pluriel"", Le coût humain de la mondialisation, La vie en miettes, L'amour liquide, La société assiégée.",https://m.media-amazon.com/images/I/61HXlwF3LuL._SY600_.jpg
Mahnaz Shirali,"En novembre 2019, en réaction à une révolte populaire, les dirigeants de la République islamique coupent la connexion Internet du pays. Ils massacrent à huis clos, en trois jours, au moins 1 500 manifestants pacifiques. Depuis 1979, l'Iran est devenu l'un des pays les plus fermés au monde, et son régime l'un des plus dictatoriaux. L'économie est exsangue, les désastres écologiques accablent la population, par ailleurs ravagée par la Covid-19. La plupart des journalistes iraniens sont en prison et les femmes qui résistent à la domination religieuse sont réprimées. Privés de leurs droits fondamentaux, et en l'absence de libertés politiques, les Iraniens ont pour seul espace d'expression les réseaux sociaux. Le contrôle d'Internet est ainsi devenu un enjeu majeur pour les responsables politiques, obligés de s'en réapproprier les codes pour diviser la société. La mobilisation virtuelle annoncerait-elle un soulèvement populaire ? Mahnaz Shirali a mené l'enquête au cœur de ces réseaux sociaux. À la lumière de l'histoire et de la culture iraniennes, son analyse des réactions et des comportements des internautes révèle un peuple iranien bien différent de celui habituellement représenté dans les médias, et dont les récits semblent être autant d'appels à l'aide. Arrivée en France en 1994, Mahnaz Shirali est docteure en sociologie et HDR en sciences politiques. Elle a notamment publié La jeunesse iranienne : une génération en crise (PUF, 2001), La malédiction du religieux. La défaite de la pensée démocratique en Iran (François Bourin, 2012) et The Mystery of Contemporary Iran (Transaction Publishers, 2014).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Fabien Hein,"Fabien Hein est sociologue à l'Université de Lorraine (2L2S / LIEC) et dirige actuellement l'Observatoire Hommes-Milieux "" Pays de Bitche "" (CNRS / INEE). Ancien bassiste, manager et roadie, il a enregistré plusieurs disques et effectué des centaines de concerts en Europe et aux Etats-unis. Critique musical, il a longuement collaboré avec plusieurs fanzines européens (Kérosène, Vincebus Eruptum, Desert-rock.) et écrit aujourd'hui dans Versus Magazine. Il a publié Rock & Religion. Dieu(x) et la musique du diable (Autour du Livre, 2006), Ma petite entreprise punk. Sociologie du système D (Kicking Books, 2011) et Do it yourself ! Autodétermination et culture punk (Le passager clandestin, 2012). Dom Blake est éditeur au passager clandestin.",
Michel Clouscard,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Fillieule O.,"Olivier Fillieule, 28 ans. Politologue, rattaché au Centre d'Etude de la Vie Politique Française (CNRS). Il poursuit ses recherches sur les mobilisations des années quatre-vingt en France. Il est par ailleurs moniteur d'enseignement supérieur d l'Institut d'Etudes Politiques de Paris. Cécile Péchu, 24 ans. Politologue, rattachée au Centre de Recherches Administratives (CNRS). Ses recherches portent actuellement sur l'action collective en faveur du droit au logement. Elle a par ailleurs travaillé sur le Front national et le sida comme enjeu politique.",
Jeremy Locke,"C.C. Atman est un auteur français né en région parisienne qui a grandi auprès des forêts du Vexin durant la majeure partie de son enfance. C'est là qu'il a effectué, sans le savoir, ses premiers pas de découverte de la Nature et de toute la liberté et l'indépendance qu'elle peut procurer, en particulier pour qui sait l'approcher. Issu d'un milieu familial modeste et commun, il a suivi une scolarité traditionnelle, mais s'est néanmoins interrogé très tôt sur le sens de l'existence telle qu'elle lui était proposée, au point de rompre à plusieurs reprises avec la vie aisée dont il disposait. La naissance de ses deux enfants, la vie routinière dans laquelle il s'enlisait, et peut-être aussi la mort prématurée de sa mère après un long cancer alors qu'elle venait tout juste d'être retraitée, l'ont poussé instinctivement à opérer le plus grand des « sauts de foi » comme il aime les appeler. Il vendit sa voiture, sa maison, quitta sa profession de cadre ainsi que le confort et la sécurité acquis, et partit ainsi à la découverte du plus grand terrain de jeu qui puisse attendre un humain : la planète Terre. Accompagné seulement de son fils et de sa fille, alors âgés respectivement de dix et de huit ans, il se lança dans la quête ultime de renouer avec le plus haut état de bonheur qui puisse être vécu par un être humain. Ce long voyage guida ses pas à travers tous les continents et de nombreux pays. De l'Inde aux Amériques, en passant par l'Asie et l'Océanie, des déserts arides d'Australie aux jungles tropicales humides de Bornéo et ses dernières forêts primaires, des barrières de corail du Pacifique jusqu'aux plus hauts plateaux et montagnes des Andes et de l'Himalaya, chacun de ses pas l'a mené vers une multitude de rencontres et d'expériences uniques, mais aussi vers des enseignements millénaires venant de la Nature ou de l'Humanité. Il partage cette richesse immatérielle depuis 2015 en consacrant sa vie à l'écriture d'essais, d'enseignements et de romans inspirants.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
