Nom,Description,Photo
Marc Aurèle,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Elias Theodorakis,,https://m.media-amazon.com/images/S/amzn-author-media-prod/28vql8rq1d02d1rrg97ikgi4hd._SY600_.jpg
Christophe Guilluy,"L'auteur constate que les classes populaires, exclues des bénéfices de la mondialisation, sont reléguées dans la France périphérique, soit les petites villes et les territoires éloignés des métropoles. Celle-ci rassemble des bassins industriels asséchés, des zones d'emploi public ou touristiques et concentre l'essentiel des votes pour le Front national.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gaël Lefort,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5lmqk1o1bsbf8p1vn7cu1paqr7._SY600_.jpg
Aurèle Martin,,
Gilles Lipovetsky,"Sous-tendu par la nouvelle religion de l'amélioration continuelle des conditions de vie, le mieux-vivre est devenu une passion de masse, le but suprême des sociétés démocratiques, un idéal exalté à tous les coins de rue. Nous sommes entrés dans une nouvelle phase du capitalisme : la société d'hyperconsommation. Un Homo consumericus de troisième type voit le jour, une espèce de turbo-consommateur décalé, mobile, flexible, largement affranchi des anciennes cultures de classe, imprévisible dans ses goûts et ses achats, à l'affût d'expériences émotionnelles et de mieux-être, de qualité de vie et de santé, de marques et d'authenticité, d'immédiateté et de communication. La consommation intimisée a pris la relève de la consommation honorifique dans un système où l'acheteur est de plus en plus informé et infidèle, réflexif et ""esthétique"". L'esprit de consommation a réussi à s'infiltrer jusque dans le rapport à la famille et à la religion, à la politique et au syndicalisme, à la culture et au temps disponible. Tout se passe comme si, dorénavant, la consommation fonctionnait tel un empire sans temps mort dont les contours sont infinis. Mais ces plaisirs privés débouchent sur un bonheur blessé : jamais, montre Gilles Lipovetsky, l'individu contemporain n'a atteint un tel degré de déréliction.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Kevin Lynch,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Matthew Desmond,"Plongée dans le quotidien disloqué de huit foyers des quartiers pauvres de Milwaukee, au Wisconsin, où chaque jour, des dizaines de ménages sont expulsés de leurs maisons. Arleen élève ses garçons avec les 20 dollars qui lui restent pour tout le mois, après avoir payé le loyer. Lamar, amputé des jambes, s'occupe des gamins du quartier en plus d'éduquer ses deux fils. Scott, infirmier devenu toxicomane après une hernie discale, vit dans un mobile home insalubre. Tous sont pris dans l'engrenage de l'endettement et leur sort est entre les mains de leurs propriétaires, que l'on suit aussi au fil du récit.
Fruit de longues années de terrain, ce livre montre comment la dégradation des politiques du logement et la déréglementation du marché de l'immobilier fabriquent et entretiennent l'endettement chronique et la pauvreté, une violente épidémie qui s'avère très rentable pour certains et qui frappe surtout les plus vulnérables, en l'occurrence les femmes noires. Ouvrage magistral et captivant qui offre un regard précis et juste sur la pauvreté et un implacable plaidoyer pour le droit à un habitat digne pour tous.",
Grégory Busquet,"Grégory Busquet est sociologue et urbaniste, maitre de conférences en sociologie à l'Université Paris Ouest – Nanterre La Défense et chercheur au laboratoire Mosaïques-LAVUE (UMR CNRS 7218). Florent Hérouard est consultant et formateur en urbanisme et immobilier, AFTEC et E2SE Caen. Emilie Saint-Macary est chercheuse associée au Lab'urba (Université Paris Est Marne-la-Vallée – EA 3482), et membre fondatrice de Sens Pratique (plateforme pour la valorisation des sciences sociales).",
Michel Pinçon,"Michel Pinçon (1942-2022), sociologue, ancien directeur de recherche au CNRS, a notamment publié, avec Monique Pinçon-Charlot, Grandes Fortunes. Dynasties familiales et formes de richesse en France (Payot, 1996), Sociologie de la bourgeoisie (La Découverte, "" Repères "", 2000), Sociologie de Paris (La Découverte, "" Repères "", 2004), Les Ghettos du Gotha. Comment la bourgeoisie défend ses espaces (Le Seuil, 2007), Le Président des riches. Enquête sur l'oligarchie dans la France de Nicolas Sarkozy (Zones/La Découverte, 2010), La Violence des riches. Chronique d'une immense casse sociale (Zones/La Découverte, 2013), Tentative d'évasion (fiscale) (Zones/La Découverte, 2015), Le Président des ultra-riches. Chronique du mépris de classe dans la politique d'Emmanuel Macron (Zones/La Découverte, 2019) et Notre vie chez les riches. Mémoires d'un couple de sociologues (Zones/La Découverte, 2021).


Monique Pinçon-Charlot, sociologue, ancienne directrice de recherche au CNRS, a notamment publié, avec Michel Pinçon, Grandes Fortunes. Dynasties familiales et formes de richesse en France (Payot, 1996), Sociologie de la bourgeoisie (La Découverte, "" Repères "", 2000), Sociologie de Paris (La Découverte, "" Repères "", 2004), Les Ghettos du Gotha. Comment la bourgeoisie défend ses espaces (Le Seuil, 2007), Le Président des riches. Enquête sur l'oligarchie dans la France de Nicolas Sarkozy (Zones/La Découverte, 2010), La Violence des riches. Chronique d'une immense casse sociale (Zones/La Découverte, 2013), Tentative d'évasion (fiscale) (Zones/La Découverte, 2015), Le Président des ultra-riches. Chronique du mépris de classe dans la politique d'Emmanuel Macron (Zones/La Découverte, 2019) et Notre vie chez les riches. Mémoires d'un couple de sociologues (Zones/La Découverte, 2021).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
